zhi1 yuan1	2-19917-S
zhi1 yuan2	29-38505-B,33-58013-S
zhi1 yuan2 ti3	29-37692-B
zhi1 yuan2 ti3 fei4 yan2	29-37786-B
zhi1 yuan2 wei4	11-34257-S
zhi1 yue4	7-4768-S
zhi1 yun4 dong4 shan1	36-15044-S
zhi1 zao4	50-40327-B
zhi1 zhan4	33-41745-S,55-25563-S,60-5815-S,65-14258-S
zhi1 zhao1 zhan3	53-57403-S
zhi1 zhao4	2-22473-S
zhi1 zhe3	49-25866-S,49-38909-S
zhi1 zheng1	2-42132-S
zhi1 zheng4	2-16974-S,7-4684-S,24-41456-S
zhi1 zhi2	41-52025-S
zhi1 zhi4	3-10973-B,41-29558-S
zhi1 zhi4 ti3	52-28752-B
zhi1 zhong1	3-10488-B,15-36938-S
zhi1 zhong4	40-35095-S
zhi1 zhu1	30-38074-S,56-4279-B
zhi1 zhu1 lei4	56-4492-B
zhi1 zhu1 wang3	56-4373-B
zhi1 zhu1 xiong2	56-4436-B
zhi1 zhu3 ri4	34-21129-S
zhi1 zhu4	20-10768-S,29-38823-B,57-29726-S
zhi1 zhu4 chan3 ye4	29-38865-B
zhi1 zhuo2	57-35272-S
zhi1 zhuo2 jian4	45-43960-S
zhi1 zi4 xing2	3-10847-B
zhi1 zi5	33-51800-B
zhi1 zi5 hua1	33-51867-B
zhi1 zu2	29-38711-B,45-64832-B
