停止	6-16630-S
停止 停止	6-16630-B
停泊	6-16689-S
停泊 停泊	6-16689-B
停滞	6-16752-S
停滯 停滞	6-16752-B
停火	6-16817-S
停火 停火	6-16817-B
停火协议	6-16862-S
停火協議 停火协议	6-16862-B
停火線 停火线	6-16938-B
停火线	6-16938-S
停產 停产	6-17000-B
停电	6-17601-S
停留	6-17051-S
停留 停留	6-17051-B
停站	6-17122-S
停站 停站	6-17122-B
停航	6-17166-S
停航 停航	6-17166-B
停課 停课	6-17276-B
停课	6-17276-S
停車 停车	6-17346-B
停車位置 停车位置	6-17396-B
停車場 停车场	6-17480-B
停車庫 停车库	6-17548-B
停车	6-17346-S
停车位置	6-17396-S
停车场	6-17480-S
停车库	6-17548-S
停電 停电	6-17601-B
停靠	6-17646-S
停靠 停靠	6-17646-B
停靠港	6-17702-S
停靠港 停靠港	6-17702-B
停靠站	6-17761-S
停靠站 停靠站	6-17761-B
停頓 停顿	6-17825-B
停顿	6-17825-S
偝	6-17865-S
偝 偝	6-17865-B
偟	6-17914-S
偟 偟	6-17914-B
偢	6-17955-S
偢 偢	6-17955-B
健	6-17990-S
健 健	6-17990-B
健全	6-18079-S
健全 健全	6-18079-B
健壮	6-18128-S
健壯 健壮	6-18128-B
健康	6-18187-S
健康 健康	6-18187-B
健康保险	6-18237-S
健康保險 健康保险	6-18237-B
健康受损	6-18312-S
健康受損 健康受损	6-18312-B
健康状况	6-18384-S
健康狀況 健康状况	6-18384-B
健忘	6-18460-S
健忘 健忘	6-18460-B
健忘症	6-18509-S
健忘症 健忘症	6-18509-B
健怡可乐	6-18565-S
健怡可樂 健怡可乐	6-18565-B
健步如飛 健步如飞	6-18628-B
健步如飞	6-18628-S
健美	6-18708-S
健美 健美	6-18708-B
健美操	6-18764-S
健美操 健美操	6-18764-B
健美运动	6-18855-S
健美運動 健美运动	6-18855-B
健行	6-18926-S
健行 健行	6-18926-B
健診 健诊	6-18969-B
健诊	6-18969-S
健身	6-19021-S
健身 健身	6-19021-B
健身室	6-19097-S
健身室 健身室	6-19097-B
健身房	6-19147-S
健身房 健身房	6-19147-B
健身館 健身馆	6-19208-B
健身馆	6-19208-S
偨	6-19277-S
偨 偨	6-19277-B
偩	6-19305-S
偩 偩	6-19305-B
偪	6-19346-S
偪 偪	6-19346-B
偫	6-19382-S
偫 偫	6-19382-B
偬	6-32535-S
偭	6-19420-S
偭 偭	6-19420-B
偯	6-19454-S
偯 偯	6-19454-B
偲	6-19487-S
偲 偲	6-19487-B
側 侧	6-19524-B,6-19603-B
側壁 侧壁	6-19643-B
側耳 侧耳	6-19684-B
側躺 侧躺	6-19745-B
側邊欄 侧边栏	6-19806-B
側重 侧重	6-19875-B
側鋒 侧锋	6-19933-B
側鏈 侧链	6-20010-B
側面 侧面	6-20088-B
偵 侦	6-20154-B
偵察 侦察	6-20203-B
偵察兵 侦察兵	6-20278-B
偵察員 侦察员	6-20336-B
偵察性 侦察性	6-20415-B
偵察機 侦察机	6-20475-B
偵探 侦探	6-20541-B
偵查 侦查	6-20585-B
偵毒器 侦毒器	6-20638-B
偵毒管 侦毒管	6-20696-B
偵測 侦测	6-20755-B
偵破 侦破	6-20807-B
偵緝 侦缉	6-20968-B
偵聽 侦听	6-21041-B
偵訊 侦讯	6-21151-B
偶	6-21221-S
偶 偶	6-21221-B
偶一	6-21269-S
偶一 偶一	6-21269-B
偶人	6-21347-S
偶人 偶人	6-21347-B
偶像	6-21410-S
偶像 偶像	6-21410-B
偶函数	6-21449-S
偶函數 偶函数	6-21449-B
偶合	6-21514-S
偶合 偶合	6-21514-B
偶尔	6-21906-S
偶数	6-21557-S
偶數 偶数	6-21557-B
偶极	6-21601-S
偶極 偶极	6-21601-B
偶然	6-21662-S
偶然 偶然	6-21662-B
偶然事件	6-21750-S
偶然事件 偶然事件	6-21750-B
偶然性	6-21834-S
偶然性 偶然性	6-21834-B
偶爾 偶尔	6-21906-B
偶犯	6-21976-S
偶犯 偶犯	6-21976-B
偶見 偶见	6-22039-B
偶见	6-22039-S
偶蹄目	6-22129-S
偶蹄目 偶蹄目	6-22129-B
偶蹄类	6-22204-S
偶蹄類 偶蹄类	6-22204-B
偷	6-22280-S
偷 偷	6-22280-B
偷偷	6-22321-S
偷偷 偷偷	6-22321-B
偷偷摸摸	6-22404-S
偷偷摸摸 偷偷摸摸	6-22404-B
偷去	6-22478-S
偷去 偷去	6-22478-B
偷听	6-23539-S
偷安	6-22543-S
偷安 偷安	6-22543-B
偷工	6-22628-S
偷工 偷工	6-22628-B
偷工减料	6-22696-S
偷工減料 偷工减料	6-22696-B
偷惰	6-22837-S
偷惰 偷惰	6-22837-B
偷懒	6-22899-S
偷懶 偷懒	6-22899-B
偷拍	6-22955-S
偷拍 偷拍	6-22955-B
偷渡	6-23037-S
偷渡 偷渡	6-23037-B
偷渡者	6-23152-S
偷渡者 偷渡者	6-23152-B
偷猎	6-23218-S
偷猎者	6-23257-S
偷獵 偷猎	6-23218-B
偷獵者 偷猎者	6-23257-B
偷生	6-23309-S
偷生 偷生	6-23309-B
偷盗	6-23368-S
偷盜 偷盗	6-23368-B
偷看	6-23410-S
偷看 偷看	6-23410-B
偷稅 偷税	6-23448-B
偷税	6-23448-S
偷窃	6-23494-S
偷竊 偷窃	6-23494-B
偷聽 偷听	6-23539-B
偷袭	6-23608-S
偷襲 偷袭	6-23608-B
偷运	6-23656-S
偷運 偷运	6-23656-B
偷雞不成蝕把米 偷鸡不成蚀把米	6-23700-B
偷雞不著蝕把米 偷鸡不着蚀把米	6-23812-B
偷鸡不成蚀把米	6-23700-S
偷鸡不着蚀把米	6-23812-S
偻	6-49762-S
偽 伪	6-23923-B
偽代碼 伪代码	6-23985-B
偽劣 伪劣	6-24039-B
偽君子 伪君子	6-24087-B
偽善 伪善	6-24140-B
偽善者 伪善者	6-24187-B
偽幣 伪币	6-24242-B
偽托 伪托	6-24295-B
偽書 伪书	6-24369-B
偽朝 伪朝	6-24472-B
偽科學 伪科学	6-24530-B
偽經 伪经	6-24587-B
偽裝 伪装	6-24678-B
偽證 伪证	6-24742-B
偽軍 伪军	6-24785-B
偽造 伪造	6-24830-B
偽造品 伪造品	6-24892-B
偽造者 伪造者	6-24968-B
偽鈔 伪钞	6-25019-B
偽頂 伪顶	6-25065-B
偽飾 伪饰	6-25110-B
偾	6-51762-S
偿	6-56693-S
偿命	6-56754-S
偿清	6-56813-S
偿还	6-56876-S
傀	6-25160-S,6-25203-S
傀 傀	6-25160-B,6-25203-B
傀儡政权	6-25232-S
傀儡政權 傀儡政权	6-25232-B
傅	6-25303-S
傅 傅	6-25303-B
傅作义	6-25341-S
傅作義 傅作义	6-25341-B
傅佳敏	6-25392-S
傅佳敏 傅佳敏	6-25392-B
傅科摆	6-25448-S
傅科擺 傅科摆	6-25448-B
傅立叶	6-25510-S
傅立叶变换	6-25616-S
傅立葉 傅立叶	6-25510-B
傅立葉變換 傅立叶变换	6-25616-B
傅說 傅说	6-25709-B
傅说	6-25709-S
傅里叶	6-25771-S
傅里葉 傅里叶	6-25771-B
傈	6-25863-S
傈 傈	6-25863-B
傈僳	6-25915-S,6-25964-S
傈僳 傈僳	6-25915-B,6-25964-B
傈僳族	6-26026-S
傈僳族 傈僳族	6-26026-B
傌	6-26085-S
傌 傌	6-26085-B
傍	6-26115-S
傍 傍	6-26115-B
傍亮	6-26234-S
傍亮 傍亮	6-26234-B
傍人篱壁	6-26284-S
傍人籬壁 傍人篱壁	6-26284-B
傍人門戶 傍人门户	6-26358-B
傍人门户	6-26358-S
傍午	6-26437-S
傍午 傍午	6-26437-B
傍大款	6-26497-S
傍大款 傍大款	6-26497-B
傍家儿	6-26561-S
傍家兒 傍家儿	6-26561-B
傍戶而立 傍户而立	6-26618-B
傍户而立	6-26618-S
傍晚	6-26698-S
傍晚 傍晚	6-26698-B
傍柳随花	6-26802-S
傍柳隨花 傍柳随花	6-26802-B
傍边	6-26918-S
傍近	6-26869-S
傍近 傍近	6-26869-B
傍邊 傍边	6-26918-B
傍黑	6-26965-S
傍黑 傍黑	6-26965-B
傎	6-27004-S
傎 傎	6-27004-B
傑 杰	6-27045-B
傑伊漢港 杰伊汉港	6-27079-B
傑佛茲 杰佛兹	6-27170-B
傑作 杰作	6-27255-B
傑克森 杰克森	6-27300-B
傑出 杰出	6-27358-B
傑夫 杰夫	6-27403-B
傑弗遜 杰弗逊	6-27456-B
傑弗里喬叟 杰弗里乔叟	6-27509-B
傑拉 杰拉	6-27608-B
傑米 杰米	6-27662-B
傑里科 杰里科	6-27704-B
傑里米 杰里米	6-27774-B
傒	6-27830-S
傒 傒	6-27830-B
傔	6-27879-S
傔 傔	6-27879-B
傕	6-27910-S
傕 傕	6-27910-B
傖 伧	6-27950-B
傘 伞	6-28002-B
傘兵 伞兵	6-28041-B
傘菌 伞菌	6-28087-B
備 备	6-28129-B
備中 备中	6-28192-B
備件 备件	6-28235-B
備份 备份	6-28281-B
備取 备取	6-28321-B
備受 备受	6-28404-B
備品 备品	6-28472-B
備忘錄 备忘录	6-28556-B
備戰 备战	6-28640-B
備抵 备抵	6-28714-B
備料 备料	6-28803-B
備查 备查	6-28890-B
備案 备案	6-28944-B
備用 备用	6-29020-B
備用二級頭呼吸器 备用二级头呼吸器	6-29085-B
備用環 备用环	6-29214-B
備考 备考	6-29272-B
備而不用 备而不用	6-29318-B
備耕 备耕	6-29433-B
備至 备至	6-29508-B
備荒 备荒	6-29577-B
備註 备注	6-29646-B
備課 备课	6-29687-B
傚 效	6-29753-B
傜	6-29784-S
傜 傜	6-29784-B
傞	6-29816-S
傞 傞	6-29816-B
傢 家	6-29867-B
傢伙 家伙	6-29904-B
傢俱 家具	6-29954-B
傣	6-30016-S
傣 傣	6-30016-B
傣族	6-30093-S
傣族 傣族	6-30093-B
傥	6-60177-S
傧	6-55303-S
傧相	6-55344-S
储	6-58847-S
储值卡	6-58933-S
储备	6-59019-S
储备粮	6-59073-S
储备货币	6-59134-S
储备金	6-59205-S
储存	6-59265-S
储水	6-59338-S
储水管	6-59387-S
储水箱	6-59495-S
储物	6-59561-S
储蓄	6-59602-S
储蓄率	6-59667-S
储藏	6-59722-S
储藏室	6-59775-S
储量	6-59848-S
傩	6-60139-S
催	6-30180-S
催 催	6-30180-B
催乳	6-30266-S
催乳 催乳	6-30266-B
催乳激素	6-30359-S
催乳激素 催乳激素	6-30359-B
催产	6-31622-S
催促	6-30421-S
催促 催促	6-30421-B
催化	6-30458-S
催化 催化	6-30458-B
催化作用	6-30526-S
催化作用 催化作用	6-30526-B
催化剂	6-30592-S
催化劑 催化剂	6-30592-B
催吐	6-30644-S
催吐 催吐	6-30644-B
催吐剂	6-30705-S
催吐劑 催吐剂	6-30705-B
催命	6-30776-S
催命 催命	6-30776-B
催奶	6-30865-S
催奶 催奶	6-30865-B
