xiōng xiàng	7-2395-B
xiōng xiàng bì lù	7-2453-B
xiōng xiá ài	24-37943-S
xiōng xié	52-25452-B
xiōng xiōng	25-19426-S,36-26676-S
xiōng xiǎn	7-2852-B
xiōng xìn	8-30827-B
xiōng yá lì	10-19944-B
xiōng yá lì yǔ	10-19996-B
xiōng yì	6-46675-S,45-21534-S,52-25928-B
xiōng yē	52-24330-B
xiōng yīn	52-26163-B
xiōng yǒng	37-63183-B
xiōng yǒu chéng zhú	52-24832-B
xiōng yǔ	10-20069-B
xiōng zhuī	52-24971-B
xiōng zhào	52-25347-B
xiōng zhái	7-1483-B
xiōng zhāng	52-25298-B
xiōng zhēn	52-26120-B
xiōng zhě	56-31603-S
xiōng zhōng	52-24228-B
xiōng è	7-1680-B,8-30894-B
xiū	1-67775-S,3-3881-S,4-23616-S,4-55298-B,5-34434-S,5-47277-B,5-55316-S,7-33873-S,13-18400-S,13-30752-B,14-5772-S,14-33527-S,15-66078-S,17-64464-S,19-59566-S,22-63487-B,24-13282-S,24-40984-S,24-53972-S,28-61826-S,30-43905-S,33-12299-S,35-12601-S,35-30943-S,35-50469-S,36-48786-S,39-31240-B,42-43743-S,42-44113-S,46-43048-S,50-1124-S,50-19647-S,50-54410-S,51-10058-B,51-21065-S,52-32190-B,53-1235-S,54-8874-B,54-63946-S,56-60642-S,58-63150-S,59-7079-S,59-27197-B,59-28488-S,60-49329-S,61-61690-S,62-28840-S,62-69996-S,63-55890-S,63-60184-S,66-46470-S,67-8787-S,69-19457-B,70-25260-B,70-56318-B
xiū biān fú	1-68625-S
xiū bù	62-66905-S
xiū bǔ	5-49094-B
xiū bǔ jiàng	5-49131-B
xiū cháng	5-49731-B
xiū chéng nù	25-24885-S
xiū chē	5-49350-B
xiū chǐ	51-10149-B
xiū cán	51-10244-B
xiū cí	5-49410-B
xiū cí xué	5-49451-B
xiū dào	5-49503-B,18-19278-S
xiū dào huì	5-49607-B
xiū dào yuàn	5-49668-B,17-5921-S,18-19392-S
xiū dào yuàn zhǎng	17-6009-S,43-45057-S
xiū dào zhāng	5-49555-B,18-19329-S
xiū dá	4-56357-B
xiū dìng	5-49183-B
xiū dìng bǎn	5-49224-B
xiū fù	5-47626-B
xiū gǎi	5-47823-B,15-66887-S
xiū huì	4-56164-B,5-47985-B,26-52842-S,63-20782-S
xiū huā	65-28203-S
xiū hǎo	5-47527-B
xiū jià	4-55377-B
xiū jiàn	5-47570-B
xiū jiù hǎo	63-55960-S
xiū jiǎn	5-47374-B
xiū jīn	61-61746-S
xiū kuì	5-15190-S,51-10203-B
xiū kè	4-55440-B,24-41034-S,62-45779-S,62-70085-S
xiū liàn	5-48432-B
xiū liàn chéng xiān	5-48520-B
xiū luó	5-48902-B,13-62294-S
xiū lù	5-49301-B
xiū lǐ	5-48656-B
xiū lǐ chǎng	5-48734-B
xiū mó	4-56302-B
xiū níng	4-55547-B
xiū níng xiàn	4-55621-B
xiū nǚ	5-47491-B
xiū qiè	51-10106-B
xiū qì	4-55900-B
xiū qí	5-50071-B
xiū qī	5-34500-S
xiū qū	50-1208-S
xiū rì	7-54579-S,66-63716-S
xiū rǔ	51-10348-B
xiū shuǐ	5-48284-B
xiū shuǐ xiàn	5-48352-B
xiū shàn	5-48833-B
xiū shì	5-47425-B,5-49913-B,66-46515-S
xiū shì dùn	4-55495-B
xiū sè	51-10304-B
xiū sī	7-15009-S,18-13901-S,18-16426-S
xiū sī dùn	4-56113-B
xiū sī dūn	4-56062-B
xiū wén	5-47922-B
xiū wǔ	5-48225-B
xiū xi	4-55707-B
xiū xiàn	36-48854-S
xiū xián	4-56427-B,4-56522-B
xiū xián xié	4-56592-B
