ri4	1-77193-S,2-13735-S,2-39902-S,3-5908-S,3-69953-S,4-22774-S,6-4788-S,6-8423-S,6-16245-S,7-7890-S,7-54579-S,9-21135-S,10-42163-S,11-24647-S,11-50115-S,12-40124-S,12-47988-S,15-8886-S,16-52587-S,17-61313-S,19-28909-S,19-45695-S,22-19254-S,22-39960-S,22-41708-S,22-63713-S,23-62454-S,24-50204-S,27-23842-S,29-12887-S,29-44551-S,31-5051-B,31-7370-S,31-14007-S,31-16142-S,31-24236-S,31-28482-S,31-30410-S,31-36930-S,31-40706-S,31-62024-S,32-34770-S,32-44830-S,32-46281-S,32-47980-S,32-59873-S,34-6669-S,34-21129-S,34-21219-S,35-20890-S,36-5529-S,40-33902-S,43-21164-S,43-67343-S,47-8500-S,47-47706-S,48-29155-S,49-2968-S,49-36023-S,49-36204-S,49-40664-S,51-17510-S,53-43340-S,54-63375-S,57-49674-S,60-4779-S,61-48167-S,62-22438-S,62-27163-S,62-47365-S,62-54039-S,62-66618-S,64-11500-S,66-63716-S,68-10078-S,69-8525-S,69-46294-B
ri4 Dian4 xun4 bao4	36-5962-S
ri4 Jing4 bao4	36-5796-S
ri4 Kuai4 bao4	36-5567-S
ri4 Xin1 wen2	32-48019-S,36-5648-S
ri4 You2 bao4	36-5719-S
ri4 bao4	2-39748-S,4-3913-S,4-12649-S,7-9704-S,10-26561-S,14-48959-S,21-52830-S,23-12587-S,30-55905-S,31-6504-B,31-29434-S,32-50448-S,37-18824-S,37-29515-S,57-49774-S,59-42670-S
ri4 chang2	31-6792-B
ri4 chang2 gong1 zuo4	31-6841-B
ri4 cheng2	31-11133-B
ri4 chi2 jiu3	32-3329-S
ri4 chu1	31-5806-B
ri4 dan4 gao1	43-21278-S
ri4 de5 liang2 shi5	42-7416-S
ri4 dian3	61-48250-S
ri4 er2 yu3	1-76013-S,12-48043-S,32-57086-S
ri4 er3	21-13685-S
ri4 er3 he2	21-13754-S
ri4 fang1 chang2	5-18148-S
ri4 feng1	69-22343-S
ri4 gong1 zuo4	10-58595-S
ri4 guang1	31-5394-B
ri4 guang1 deng1	31-5491-B
ri4 guang1 jie2 yue1 shi2	31-5555-B
ri4 guang1 yu4	31-5437-B
ri4 gui3	31-7411-B
ri4 hang2	31-11745-B
ri4 hou4	31-6906-B
ri4 huan2 shi2	31-10522-B
ri4 ji1 yue4 lei3	31-11186-B
ri4 ji4	31-12036-B,42-3960-S,50-7608-S
ri4 ji4 ben3	31-12073-B
ri4 jian1	31-12394-B
ri4 jian4	31-10180-B
ri4 kan1	31-5846-B
ri4 ke2	44-54482-S
ri4 kuai4 le4	43-21207-S
ri4 kui2	12-63315-S
ri4 li4	31-7451-B
ri4 li4 ya4	21-13626-S
ri4 luo4	31-11949-B
ri4 mei2 ye4	37-9689-S
ri4 mian3	31-5704-B
ri4 mian3 ceng2	31-5744-B
ri4 na4	67-23351-S
ri4 nie4 fu1	9-64932-S
ri4 qi1	8-42529-S,17-65573-S,31-8263-B,48-40744-S,63-25739-S
ri4 qi1 bian4 geng1 xian4	15-16900-S
ri4 qian2	31-5898-B
ri4 qu1	31-12280-B
ri4 ri4	31-7370-B
ri4 ru2 lai2	17-19986-S
ri4 ru2 nian2	22-63768-S
ri4 shang4	55-2218-S
ri4 sheng1	6-4832-S
ri4 sheng4	31-10944-B
ri4 shi2	31-11996-B,31-12623-B
ri4 shuai1	15-3159-S
ri4 wei2 xin1	44-54549-S
ri4 wu2 suo3 yong4 xin1	69-8637-S
ri4 wu2 xia2 gui3	31-10238-B
ri4 xi4	31-11319-B
ri4 xian4 jia4	36-5876-S
ri4 xiang1	31-33624-S,40-36427-S
ri4 xin1 shuo1	31-6971-B
ri4 xin1 yue4 yi4	31-7186-B
ri4 xue2	3-5955-S
ri4 ye4	31-6607-B
ri4 yi4	31-10767-B
ri4 yi4 Shan1 dong1 xiong1 di4	3-19248-S
ri4 yi4 zeng1 jia1	31-10872-B
ri4 yong4	31-10636-B
ri4 yong4 pin3	31-10700-B
ri4 yuan2	31-5357-B
ri4 yue4	31-7491-B
ri4 yue4 chong2 guang1	31-8055-B
ri4 yue4 cuo1 tuo2	31-7939-B
ri4 yue4 ru2 suo1	31-7665-B
ri4 yue4 wu3 xing1	31-7607-B
ri4 yue4 yun4	31-7780-B
ri4 zeng1	31-6552-B
ri4 zhan4 zheng1	7-67631-S,60-4870-S
ri4 zhao4	31-10395-B
ri4 zhi4	7-37493-S,31-11650-B,31-12128-B
ri4 zhi4 xue2 xiao4	10-58495-S
ri4 zi5	31-6721-B,62-46039-S
ri4 zu2	13-38747-S
ri4 zuo4 meng4	44-39882-S
