han gai	38-38618-B
han gang	6-27079-S
han gong	11-7972-S,44-46920-S
han gong ju zheng	12-67489-B
han gou	8-48041-B,24-43852-S
han guan	38-38441-B
han guo	36-56272-B,50-60255-S,64-10253-S
han guo ren	68-11480-B
han hen	25-57903-B
han hou	25-56873-B
han hu	2-1309-S,12-68325-B
han hu qi ci	12-68373-B
han ji	33-21917-S,33-24119-S,35-32883-S,69-7875-S,69-45663-S
han jia	20-9053-B
han jian	8-47801-B,50-50887-B
han jiao	14-5586-B
han jiao po	69-4610-S,69-19831-S
han jie	40-44530-B
han jin	20-9301-B,54-12564-S
han jun	58-48979-S
han leng	20-9143-B
han liang	12-68713-B,56-26118-S
han lin	12-68175-B
han lin li	17-24462-S
han liu	20-9718-B
han mao	20-9616-B,36-56515-B
han mo de	47-37862-S
han mo de liu shi	47-37936-S
han mu	33-65978-S
han nei si bao	49-6963-S
han niu chong dong	36-56606-B
han pen pen qi tui jin yan jiu zhong xin	12-3331-S
han qi	12-67865-B,20-9677-B,29-65525-S
han quan	50-60169-S,61-55226-S
han ran	25-6781-B
han ran bu gu	25-6841-B
han ren chi ru	12-67653-B
han ru yu	28-49993-S,39-8106-S
han ru yu xia	36-56328-B
han san shu	49-6803-S
han sha liang	12-67953-B
han sha men shi jun	6-43945-S
han shan	36-56921-B
han shang ju zheng	12-67387-B
han sheng	71-52860-B
han shi	20-9857-B,35-47808-S
han shi ku	8-47858-B
han shi zhu	56-6180-S
han shou	8-47943-B
han shu	1-12660-S,1-41715-S,3-36809-S,4-31109-S,6-21449-S,8-47999-B,11-30611-S,11-44908-S,13-12643-S,15-22870-S,18-293-S,20-15054-S,20-50917-S,20-58343-S,27-59594-S,34-59649-S,35-6913-S,57-6331-S,57-50319-S,62-24393-S,66-46649-S
han shu lun	4-31194-S,20-15146-S,57-6425-S,57-50426-S
han shui	12-67912-B
han si	51-49801-S
han si dun	49-7405-S
han ta bing du	39-48183-B
han tan	12-68219-B
han tan bing du	39-48628-B
han ti	7-26983-S
han wei	28-2862-B
han wei zhe	28-2919-B
han wen	68-12332-B
han wen nuan	14-34182-S
han xi	64-32815-B
han xian	36-56875-B
han xiao	12-68261-B
han xin	46-19827-S,54-12879-S
han xin ru ku	12-68624-B
han xu	12-68583-B,38-38560-B
han xuan	20-9209-B,20-9432-B
han xun	49-7669-S
han yang	38-38683-B
han yao	46-18385-S
han ye	36-56568-B
han yi	12-67771-B,12-68472-B,38-38252-B,38-38488-B,41-57868-S
han yi shu	49-6724-S,49-7183-S
han yi yi	7-29553-S
han yong	25-6668-B
han you	12-67811-B,12-68054-B,50-50834-B
han you yan	12-68114-B
han yu shui ping kao shi	39-51086-B
han yu xi	65-25051-S
han yuan	14-5529-B,68-11832-B
han zai	31-17054-B
han zhan	20-9390-B,68-12287-B
han zheng	6-44047-S
han zhu	36-56770-B
han zhu zi	36-56818-B
han · Ben ren	49-6537-S
han · Huo jin si	49-6625-S
han1	13-48935-B,25-56831-B,55-59143-B,59-15677-B,63-41939-B,68-27463-B,71-52832-B
han1 hou4	25-56873-B
han1 sheng1	71-52860-B
han2	5-17146-S,5-28604-S,5-43086-S,5-58232-S,6-43902-S,7-29413-S,8-24496-S,8-47758-B,9-31899-S,10-13621-S,10-16357-S,10-36417-S,11-5653-S,11-61036-S,12-14925-S,12-67301-B,13-49046-S,14-41715-S,15-41445-S,17-15177-S,20-3589-S,20-8935-B,20-63370-S,24-31753-S,30-32697-S,36-64390-S,38-38222-B,40-44610-B,41-17882-S,41-20895-S,42-51258-B,46-54126-S,51-36233-S,53-11296-S,53-19051-S,54-17375-S,55-42379-S,55-42523-S,57-48759-S,63-14773-B,63-19102-B,66-46807-S,67-48053-S,68-51240-S,69-7394-S,71-49383-S,71-50236-S
han2 Min2 guo2	17-40331-S
han2 dai4	10-30504-S,20-9343-B
han2 dan4	38-38402-B
han2 di4 dong4	17-46448-S
han2 dong1	20-9102-B
han2 dong4	38-38346-B
han2 er2 li4	2-6094-S
han2 fen1 xi1	37-35972-S
han2 feng1	20-9813-B
han2 fu2	65-60517-S
han2 gai4	38-38618-B
han2 gong1 ju3 zheng1	12-67489-B
han2 gou4	8-48041-B,24-43852-S
han2 guan3	38-38441-B
han2 guo2 ren2	68-11480-B
han2 hu2	12-68325-B
han2 hu2 qi2 ci2	12-68373-B
han2 hu5	2-1309-S
han2 jia4	20-9053-B
han2 jian4	8-47801-B
han2 jiao1 po4	69-4610-S,69-19831-S
han2 jin1	54-12564-S
han2 jin4	20-9301-B
han2 leng3	20-9143-B
han2 liang4	12-68713-B,56-26118-S
han2 lin2	12-68175-B
han2 liu2	20-9718-B
han2 mao2	20-9616-B
han2 qi4	12-67865-B,20-9677-B
han2 ren3 chi3 ru3	12-67653-B
han2 sha1 liang4	12-67953-B
han2 sha1 men2 shi4 jun1	6-43945-S
han2 shang1 ju3 zheng1	12-67387-B
han2 shi2	20-9857-B
han2 shi4 ku4	8-47858-B
han2 shou4	8-47943-B
han2 shu4	1-12660-S,1-41715-S,3-36809-S,4-31109-S,6-21449-S,8-47999-B,11-30611-S,11-44908-S,13-12643-S,15-22870-S,18-293-S,20-15054-S,20-50917-S,20-58343-S,27-59594-S,34-59649-S,35-6913-S,57-6331-S,57-50319-S,62-24393-S,66-46649-S
han2 shu4 lun4	4-31194-S,20-15146-S,57-6425-S,57-50426-S
han2 shui3	12-67912-B
han2 tan4	12-68219-B
han2 ti3	7-26983-S
han2 wen2	68-12332-B
han2 wen4 nuan3	14-34182-S
han2 xiao4	12-68261-B
han2 xin1	46-19827-S,54-12879-S
han2 xin1 ru2 ku3	12-68624-B
han2 xu4	12-68583-B,38-38560-B
han2 xuan1	20-9209-B,20-9432-B
han2 yang3	38-38683-B
han2 yao2	46-18385-S
han2 yi4	12-67771-B,12-68472-B,38-38252-B,38-38488-B,41-57868-S
han2 yi4 yi4	7-29553-S
han2 you2	12-68054-B
han2 you2 yan2	12-68114-B
han2 you3	12-67811-B
han2 yu3 xi4	65-25051-S
han2 yuan2	68-11832-B
han2 zhan4	20-9390-B,68-12287-B
han2 zheng4	6-44047-S
han3	3-57778-S,4-16593-S,9-56274-S,12-3270-S,12-9184-S,12-30915-S,13-9977-S,13-18504-S,14-5489-B,14-33064-S,17-10228-S,22-21463-S,28-54024-S,29-9138-S,47-45955-S,50-50807-B,55-10101-B
han3 da2 si1	54-26006-S
han3 da4 jiao4	17-10269-S
han3 dao4	14-5634-B
han3 jian4	50-50887-B
han3 jiao4	14-5586-B
han3 mo4 de2	47-37862-S
han3 mo4 de2 liu4 shi4	47-37936-S
han3 pen1 pen4 qi4 tui1 jin4 yan2 jiu1 zhong1 xin1	12-3331-S
han3 you3	50-50834-B
han3 yuan1	14-5529-B
han4	1-21589-S,1-72640-S,3-24560-S,4-58764-S,7-1603-S,8-40783-S,9-38469-S,14-21972-S,17-26162-S,18-28913-S,19-55101-S,22-24515-S,23-14255-S,23-43986-S,23-56464-S,23-66145-S,25-6587-B,25-43821-S,25-57874-B,25-63696-S,26-8910-S,26-53223-B,27-5560-S,28-2822-B,29-17269-B,29-65462-S,30-65939-S,30-66010-S,31-17024-B,31-30841-S,31-46504-B,32-1025-B,33-21314-S,34-21028-S,34-28912-S,35-47681-S,36-29209-S,36-30129-S,36-56114-B,37-54030-S,38-4412-S,38-4690-S,38-10939-S,39-41859-S,40-15427-B,40-44500-B,41-17541-B,41-27022-S,43-45545-S,44-30574-S,45-53997-B,45-65925-S,46-1379-S,47-56713-S,49-6465-S,49-65235-S,50-49165-S,50-60118-S,50-62240-S,51-19913-B,51-28939-S,51-49744-S,53-66717-S,54-17739-S,54-21792-S,54-27639-S,54-30879-B,56-11896-B,56-23305-S,56-26253-S,58-48905-S,59-27037-B,61-36855-S,63-2805-S,63-46710-S,64-8410-S,64-20344-B,64-27617-S,64-32770-B,65-21823-S,65-27212-B,66-1072-S,66-10636-S,66-63210-B,67-32214-S,67-39712-S,67-40228-S,68-40986-B,69-11278-S,70-15909-S
han4 Da4 xue2	35-47738-S
han4 Gang1 tie3 Gong1 si1	35-47876-S
han4 La1 bei4	49-7301-S
