year of one of the 12 animals	21-26938-S
year of one s death	4-2097-B
year of the boar e g 2007	59-25661-B
year of the cock e g 2005	67-7300-B
year of the dog e g 2006	42-7286-B
year of the dragon e g 2000	71-59600-B
year of the horse e g 2002	69-37110-B
year of the monkey e g 2004	42-13803-B
year of the ox or bull e g 2009	41-47637-B
year of the rabbit e g 2011	7-22681-B
year of the ram e g 2003	50-64123-B
year of the rat e g 2008	71-49534-B
year of the snake e g 2001	55-59961-B
year of the tiger e g 2010	55-47325-B
year old eggs	45-135-S
year old pig	59-22818-S
year plan	3-50333-S
year present	16-33225-S
year round	30-15222-S,40-47008-S,65-14347-S
year s	61-48050-S
year s calendar almanac	51-29738-S
year s card	59-50069-S
year s course	43-50533-S,43-51088-S
year s day	6-62028-S,8-67837-S
year s eve	21-1723-S,30-48049-S,66-21866-S
year s eve family dinner	22-48098-S
year s grass on sb s grave	20-65-S
year s harvest	22-50514-S
year s horoscope augurs ill 成语 saw	38-3178-S
year scrolls	31-35351-S
year spring festival picture	22-49033-S
year traditional new year greeting	25-3836-S
year university	14-49683-S
year university student	17-3966-S,17-4156-S,17-5004-S,17-10822-S
year wedding anniversary	49-21981-S
year with a thirteen intercalary month	65-44908-S
year with bumper harvest	59-20606-B
year 成语 saw	22-63768-S
year 春節 春节	71-24132-S,71-24371-S
yearbook	22-50157-B
yearly	22-48456-B,36-5388-B
yearn day and night	70-33373-S
yearn for	14-41110-S,15-55030-S,45-47128-S
yearn for sth	23-19574-S
yearning	45-47184-B
years	1-707-S,1-15020-S,1-32122-S,1-34380-S,2-37725-S,3-34813-S,7-37373-S,7-43878-S,7-51164-S,9-51588-S,10-41830-S,10-43830-S,10-46790-S,14-49639-S,16-37226-S,16-57031-S,16-57160-S,18-28180-S,22-47037-S,22-47415-S,22-49377-B,22-50252-S,22-50403-S,22-57388-S,22-57632-S,22-57632-S,22-57691-S,22-58034-S,22-58034-S,23-62227-S,23-62227-S,23-62606-S,29-60845-S,30-52136-S,31-13665-S,31-14465-S,31-15984-S,31-16088-S,31-28421-S,31-28421-S,31-45063-S,31-65482-S,32-1451-S,32-21361-S,32-21361-S,32-21361-S,32-44015-S,35-50918-S,35-51014-S,35-52591-S,43-67136-S,44-53148-S,51-26107-S,54-44858-S,55-9853-S,56-18272-S,59-17756-S,59-17877-S,61-48099-S,62-21748-S,62-21748-S,63-21240-S,65-567-S,66-27523-S,66-28901-S,69-15601-S
years ago	1-38228-S,1-43159-S,1-49767-S,2-72538-S,2-76192-S,3-39607-S,3-41884-S,5-21400-S,6-61320-S,9-19644-S,10-49364-S,12-2632-S,12-4052-S,12-7775-S,12-7775-S,15-60488-S,17-56714-S,17-56809-S,18-17004-S,18-38499-S,20-9526-S,22-47711-B,24-44979-S,32-8103-S,37-43507-S,39-55385-S,44-37935-S,46-8870-S,48-10262-S,54-44986-S,67-40305-S
years back 成语 saw	66-40276-S
years drought	44-53213-S
years duration	22-50514-S
years in the past	16-57076-S
years of	22-50252-S
years of a person s life	35-50856-S
years of a regime	32-59711-S
years of age	3-47162-S,10-59352-S,22-48982-B
years of eastern han	33-21377-S,33-21496-S
years of the ch ing or qing dynasty	38-61764-S
years of the sui dynasty	66-39317-S
years of yuan dynasty 1279 1368	6-62513-S
years old	3-34259-S,7-66414-S,10-42392-S,12-4603-S,22-49995-S,35-50407-B,35-50407-S,35-50693-S,48-3840-S
years previously	14-49778-S
years since the last ice age	7-37165-S
