Wang Qin ruo	42-35495-B
Wang Sa dan	70-36055-S
Wang Shi chong	42-32663-B
Wang Shi fu	42-34497-B
Wang Shi zhen	42-33920-B
Wang Shu wen	42-35236-B
Wang Shuo	42-35309-B
Wang Su	42-36514-B
Wang Wei	42-36343-B
Wang Xi meng	42-34617-B
Wang Xi zhi	42-36449-B
Wang Xian zhi	42-32782-B
Wang Xuan	42-36995-B
Wang Yi fu	42-36396-B
Wang Ying	42-36567-B
Wang Yong min	42-35705-B
Wang Yu cheng	42-36244-B
Wang Zhao jun	42-35166-B
Wang Zhen	42-37040-B
Wang Zhi zhi	42-35782-B
Wang Zhu	42-36755-B
Wang an xiang	32-46013-B
Wang cang	31-17482-B
Wang cheng	32-45559-B
Wang du	32-47074-B
Wang dui	69-40278-S
Wang fu	42-34735-B
Wang fu jing	42-34785-B
Wang fu zhi	42-34089-B
Wang gong	42-33343-B
Wang hua	32-46686-B
Wang hua qu	32-46772-B
Wang jiang	32-46366-B
Wang jing	32-45491-B,50-5748-B
Wang kui	32-45680-B
Wang ling	65-52647-S
Wang ma	42-36136-B
Wang mo	32-46868-B
Wang mu niang niang	42-35563-B
Wang pi	42-32841-B
Wang qing	36-64001-B
Wang qing xian	36-64153-B
Wang shu wen	42-33629-B
Wang tai hou	42-33991-B
Wang yi	50-5707-B
Wang1 Dao4 han2	36-64390-B
Wang1 Jing1 wei4	36-64317-B
Wang1 qing1	36-64001-B
Wang1 qing1 xian4	36-64153-B
Wang2	10-9467-S,13-12042-S,19-9674-S,25-11426-S,25-17795-S,26-51750-S,34-1049-S,42-32622-B,59-28176-S,61-29198-S,61-29315-S,65-52583-S,71-60983-S
Wang2 An1 shi2	42-34253-B
Wang2 Bo2	42-33523-B
Wang2 Chong1	42-33127-B
Wang2 Dan1	42-32731-B
Wang2 Dao3	42-34564-B
Wang2 Dun1	42-35056-B
Wang2 Fei1	42-36703-B
Wang2 Gou1 Jian4	60-27370-S
Wang2 Guo2 wei2	42-33784-B
Wang2 Hong2 wen2	42-35975-B
Wang2 Jian4 min2	42-34914-B
Wang2 Jun1 xia2	42-36808-B
Wang2 Li4 Hong2	42-33437-B
Wang2 Li4 qin2	42-33574-B
Wang2 Mang3	42-36644-B
Wang2 Meng3	42-36091-B
Wang2 Ming2	42-35109-B
Wang2 Nan2	42-35397-B
Wang2 Ping2	42-34690-B
Wang2 Qin1 ruo4	42-35495-B
Wang2 Sa1 dan4	70-36055-S
Wang2 Shi2 fu3	42-34497-B
Wang2 Shi4 chong1	42-32663-B
Wang2 Shi4 zhen1	42-33920-B
Wang2 Shu1 wen2	42-35236-B
Wang2 Shuo4	42-35309-B
Wang2 Su4	42-36514-B
Wang2 Wei2	42-36343-B
Wang2 Xi1 meng4	42-34617-B
Wang2 Xi1 zhi1	42-36449-B
Wang2 Xian1 zhi1	42-32782-B
Wang2 Xuan3	42-36995-B
Wang2 Yi4 fu1	42-36396-B
Wang2 Ying1	42-36567-B
Wang2 Yong3 min2	42-35705-B
Wang2 Yu3 cheng1	42-36244-B
Wang2 Zhao1 jun1	42-35166-B
Wang2 Zhen4	42-37040-B
Wang2 Zhi4 zhi4	42-35782-B
Wang2 Zhu4	42-36755-B
Wang2 dui1	69-40278-S
Wang2 fu1 zhi1	42-34089-B
Wang2 fu3	42-34735-B
Wang2 fu3 jing3	42-34785-B
Wang2 gong1	42-33343-B
Wang2 ling2	65-52647-S
Wang2 ma3	42-36136-B
Wang2 mu3 niang2 niang2	42-35563-B
Wang2 pi1	42-32841-B
Wang2 shu1 wen2	42-33629-B
Wang2 tai4 hou4	42-33991-B
Wang3 jing3	50-5748-B
Wang3 yi4	50-5707-B
Wang4 Jiao3	31-17549-B
Wang4 an1 xiang1	32-46013-B
Wang4 cang1	31-17482-B
Wang4 cheng2	32-45559-B
Wang4 du1	32-47074-B
Wang4 hua1	32-46686-B
Wang4 hua1 qu1	32-46772-B
Wang4 jiang1	32-46366-B
Wang4 jing1	32-45491-B
Wang4 kui2	32-45680-B
Wang4 mo2	32-46868-B
Wei	10-36721-S,21-43816-S,24-3121-S,27-32803-S,32-13975-S,33-8725-S,33-26352-S,34-29184-S,42-36343-S,57-24360-S,60-30187-S,70-34323-B,70-34541-S
Wei Chi gong	20-42318-B
Wei Jin	70-34881-B
Wei Jin Nan Bei Chao	70-34957-B
Wei Jing sheng	70-34416-B
Wei Liao zi	20-42263-B
Wei Mu ting	68-10158-B
Wei Tuo ma	18-46025-B
Wei Wei	70-34541-B
Wei Wen di	70-34824-B
Wei Ying wu	68-10237-B
Wei Zheng	70-34590-B
Wei Zhong xian	70-34698-B
Wei bo	68-10020-B
Wei chang	15-21780-B
Wei chu	36-54804-S
Wei da	50-4815-B,68-10728-B
Wei de mai	70-34645-B
Wei di ma la	11-22122-B
Wei di ma la ren	11-22184-B
Wei duo li ya	50-2094-B
Wei duo li ya dao	50-2357-B
Wei duo li ya gang	50-2585-B
Wei duo li ya hu	50-2666-B
Wei duo li ya nu: wang	50-2247-B
Wei duo li ya pu bu	50-2762-B
Wei duo li ya zhou	50-2437-B,50-2511-B
Wei en tu jie	50-3247-B
Wei er fu lei zi	68-10526-B
Wei er jing Qun dao	51-6499-S,54-3153-S
Wei er niu si	50-4115-B
Wei er rong	50-3904-B
Wei er shi	18-47962-B,30-44868-S
Wei er shi zhou	30-44949-S
Wei er si te la si	50-4014-B
Wei er te jun	18-48081-B
Wei er wa	68-10642-B
Wei er xun	18-48161-B
Wei fang	40-11041-B
Wei fang di qu	40-11117-B
Wei fang shi	40-11215-B
Wei ge na	68-10359-B,70-35102-B
Wei guo	55-12646-S,70-34485-B
Wei hai	18-47698-B
Wei hai shi	18-47772-B
Wei hai wei	18-47857-B
Wei he	39-5252-B
Wei hui	56-38861-B
Wei ji bai ke	50-1958-B
Wei ji er	50-1422-B
Wei jia si	27-23685-S
Wei ke	68-10691-B
Wei ke duo · Yu guo	50-1268-B
Wei ke tuo	50-1365-B
Wei la	50-3321-B
Wei li	18-45228-B,42-53203-S
Wei li si	18-45287-B
Wei lian	18-46722-B
Wei lian · Fu ke na	18-46782-B
Wei lian · Sha shi bi ya	18-46884-B
Wei liang	1-26076-S
Wei ling dun	18-49272-B
Wei luo na	50-4677-B
