槍擊案 枪击案	34-44808-B
橄欖岩 橄榄岩	35-94-B
橄欖枝 橄榄枝	35-157-B
橄欖樹 橄榄树	35-230-B
橄欖油 橄榄油	35-285-B
橄欖球 橄榄球	35-339-B
橄欖石 橄榄石	35-428-B
橆	35-530-S
橆 橆	35-530-B
橈 桡	35-603-B
橈骨 桡骨	35-660-B
橋 桥	35-727-B
橋接 桥接	35-757-B
橋接器 桥接器	35-823-B
橋本 桥本	35-887-B
橋本龍太郎 桥本龙太郎	35-948-B
橋梁 桥梁	35-1049-B
橋牌 桥牌	35-1092-B
橋頭 桥头	35-1154-B
橋頭鄉 桥头乡	35-1224-B
橐	35-1304-S
橐 橐	35-1304-B
橕	35-1353-S
橕 橕	35-1353-B
橘	35-1392-S
橘 橘	35-1392-B
橘子	35-1423-S
橘子 橘子	35-1423-B
橘子汁	35-1463-S
橘子汁 橘子汁	35-1463-B
橘柑	35-1517-S
橘柑 橘柑	35-1517-B
橘树	35-1566-S
橘樹 橘树	35-1566-B
橘紅 橘红	35-1610-B
橘红	35-1610-S
橙	35-1709-S
橙 橙	35-1709-B
橙剂	35-1769-S
橙劑 橙剂	35-1769-B
橙子	35-1816-S
橙子 橙子	35-1816-B
橙紅色 橙红色	35-1856-B
橙红色	35-1856-S
橙色	35-1931-S
橙色 橙色	35-1931-B
橙色剂	35-1978-S
橙色劑 橙色剂	35-1978-B
橙色战剂	35-2035-S
橙色戰劑 橙色战剂	35-2035-B
橚	35-2104-S
橚 橚	35-2104-B
橛	35-2154-S
橛 橛	35-2154-B
機 机	35-2191-B
機不可失 机不可失	35-2239-B
機制 机制	35-2362-B
機動 机动	35-2404-B
機動性 机动性	35-2495-B
機動車 机动车	35-2552-B
機動車輛 机动车辆	35-2610-B
機務段 机务段	35-2683-B
機器 机器	35-2743-B
機器人 机器人	35-2782-B
機器翻譯 机器翻译	35-2848-B
機場 机场	35-2920-B
機場大廈 机场大厦	35-2971-B
機宜 机宜	35-3044-B
機密 机密	35-3125-B
機密文件 机密文件	35-3188-B
機尾 机尾	35-3258-B
機床 机床	35-3321-B
機庫 机库	35-3377-B
機敏 机敏	35-3426-B
機智 机智	35-3466-B
機會 机会	35-3534-B
機會主義 机会主义	35-3594-B
機杼 机杼	35-3670-B
機械 机械	35-3709-B
機械化 机械化	35-3770-B
機械工程 机械工程	35-3823-B
機械性 机械性	35-3903-B
機械碼 机械码	35-3958-B
機械翻譯 机械翻译	35-4013-B
機械能 机械能	35-4086-B
機械裝置 机械装置	35-4148-B
機械語言 机械语言	35-4215-B
機械鐘 机械钟	35-4285-B
機構 机构	35-4347-B
機槍 机枪	35-4411-B
機油 机油	35-4457-B
機率 机率	35-4500-B
機理 机理	35-4567-B
機票 机票	35-4608-B
機箱 机箱	35-4669-B
機組 机组	35-4738-B
機緣 机缘	35-4794-B
機翼 机翼	35-4854-B
機能 机能	35-4904-B
機製 机制	35-4946-B
機詐 机诈	35-5019-B
機警 机警	35-5061-B
機變 机变	35-5146-B
機身 机身	35-5222-B
機身寬大 机身宽大	35-5304-B
機車 机车	35-5392-B
機軸 机轴	35-5460-B
機遇 机遇	35-5499-B
機長 机长	35-5580-B
機關 机关	35-5634-B
機關報 机关报	35-5683-B
機關槍 机关枪	35-5768-B
機關車 机关车	35-5853-B
機靈 机灵	35-5908-B
機頂盒 机顶盒	35-5961-B
機頭 机头	35-6063-B
機體 机体	35-6127-B
橡	35-6178-S
橡 橡	35-6178-B
橡木	35-6222-S
橡木 橡木	35-6222-B
橡树	35-6262-S
橡樹 橡树	35-6262-B
橡皮	35-6301-S
橡皮 橡皮	35-6301-B
橡皮搽	35-6352-S
橡皮搽 橡皮搽	35-6352-B
橡皮擦	35-6403-S
橡皮擦 橡皮擦	35-6403-B
橡皮球	35-6454-S
橡皮球 橡皮球	35-6454-B
橡皮筋	35-6511-S
橡皮筋 橡皮筋	35-6511-B
橡皮線 橡皮线	35-6568-B
橡皮线	35-6568-S
橡皮膏	35-6646-S
橡皮膏 橡皮膏	35-6646-B
橡胶	35-6784-S
橡胶树	35-6725-S
橡胶树 橡胶树	35-6725-B
橡膠 橡胶	35-6784-B
橢 椭	35-6827-B
橢圓 椭圆	35-6857-B
橢圓函數 椭圆函数	35-6913-B
橢圓形 椭圆形	35-6995-B
橢圓形辦公室 椭圆形办公室	35-7046-B
橢圓曲線 椭圆曲线	35-7159-B
橢圓積分 椭圆积分	35-7238-B
橤	35-7319-S
橤 橤	35-7319-B
橥	35-17215-S
橧	35-7361-S
橧 橧	35-7361-B
橫 横	35-7417-B,35-7488-B
橫切 横切	35-7518-B
橫向 横向	35-7583-B
橫山 横山	35-7673-B
橫山鄉 横山乡	35-7740-B
橫峰 横峰	35-7821-B
橫峰縣 横峰县	35-7898-B
橫座標 横坐标	35-7987-B
橫征暴斂 横征暴敛	35-8064-B
橫截 横截	35-8213-B
橫截線 横截线	35-8257-B
橫折 横折	35-8320-B
橫振動 横振动	35-8405-B
橫掃 横扫	35-8473-B
橫掃千軍 横扫千军	35-8537-B
橫斷物 横断物	35-8613-B
橫是 横是	35-8676-B
橫桁帆 横桁帆	35-8724-B
橫槓 横杠	35-8780-B
橫樑 横梁	35-8834-B
橫死 横死	35-8875-B
橫段山脈 横段山脉	35-8927-B
橫波 横波	35-9032-B
橫浜 横浜	35-9081-B
橫濱 横滨	35-9125-B
橫濱輪胎 横滨轮胎	35-9182-B
橫爬行 横爬行	35-9260-B
橫稜紋 横棱纹	35-9332-B
橫穿 横穿	35-9396-B
橫筆 横笔	35-9453-B
橫結腸 横结肠	35-9535-B
橫線 横线	35-9641-B
橫縣 横县	35-9719-B
橫膈 横膈	35-9777-B
橫臥 横卧	35-9820-B
橫行 横行	35-9861-B
橫衝直撞 横冲直撞	35-9909-B
橫豎 横竖	35-10105-B
橫財 横财	35-10145-B
橫貫 横贯	35-10230-B
橫跨 横跨	35-10322-B
橫過 横过	35-10384-B
橫鉤 横钩	35-10430-B
橫須賀 横须贺	35-10501-B
橫骨 横骨	35-10591-B
橱	35-16895-S
橱柜	35-16941-S
橱窗	35-17022-S
橹	35-16567-S
橼	35-16817-S
橾	35-10635-S,35-10685-S
橾 橾	35-10635-B,35-10685-B
橿	35-10774-S
橿 橿	35-10774-B
檀	35-10813-S
檀 檀	35-10813-B
檀君	35-10847-S
檀君 檀君	35-10847-B
檀君王	35-10887-S
檀君王 檀君王	35-10887-B
檀香山	35-10939-S
檀香山 檀香山	35-10939-B
檁 檩	35-10995-B
檄	35-11039-S
檄 檄	35-11039-B
檇	35-11075-S
檇 檇	35-11075-B
檉 柽	35-11121-B
檍	35-11154-S
檍 檍	35-11154-B
檎	35-11190-S
檎 檎	35-11190-B
檐	35-11220-S,48-39748-S
檐 檐	35-11220-B
檑	35-11248-S
檑 檑	35-11248-B
檔 档	35-11306-B
檔期 档期	35-11426-B
檔案 档案	35-11482-B
檔案傳輸協定 档案传输协定	35-11535-B
檔案分配區 档案分配区	35-11644-B
檔案執行 档案执行	35-11735-B
檔案屬性 档案属性	35-11822-B
檔案建立 档案建立	35-11893-B
檔案服務 档案服务	35-11962-B
檔案轉送 档案转送	35-12028-B
檔案轉送存取及管理 档案转送存取及管理	35-12100-B
檔案館 档案馆	35-12225-B
檔次 档次	35-12286-B
檖	35-12345-S
檖 檖	35-12345-B
檗	35-12374-S
檗 檗	35-12374-B
檜 桧	35-12418-B
檟 槚	35-12460-B
檠	35-12490-S
檠 檠	35-12490-B
檢 检	35-12547-B
檢修 检修	35-12601-B
檢字法 检字法	35-12699-B
檢察 检察	35-12797-B
檢察官 检察官	35-12856-B
檢察院 检察院	35-12936-B
