捷 捷	28-8817-B
捷克	28-8909-S
捷克 捷克	28-8909-B
捷克共和国	28-8947-S
捷克共和國 捷克共和国	28-8947-B
捷克斯洛伐克	28-9027-S
捷克斯洛伐克 捷克斯洛伐克	28-9027-B
捷克語 捷克语	28-9127-B
捷克语	28-9127-S
捷報 捷报	28-9186-B
捷安特	28-9257-S
捷安特 捷安特	28-9257-B
捷尔任斯克	28-9364-S
捷径	28-9319-S
捷徑 捷径	28-9319-B
捷报	28-9186-S
捷爾任斯克 捷尔任斯克	28-9364-B
捷語 捷语	28-9438-B
捷语	28-9438-S
捷足先登	28-9484-S
捷足先登 捷足先登	28-9484-B
捷运	28-9551-S
捷運 捷运	28-9551-B
捺	28-9605-S
捺 捺	28-9605-B
捻	28-9687-S,29-9503-S
捻 捻	28-9687-B
捻军	28-9733-S
捻軍 捻军	28-9733-B
捼	28-9782-S
捼 捼	28-9782-B
捽	28-9822-S,28-9849-S
捽 捽	28-9822-B,28-9849-B
掀	28-9877-S
掀 掀	28-9877-B
掀动	28-9936-S
掀動 掀动	28-9936-B
掀天揭地	28-10008-S
掀天揭地 掀天揭地	28-10008-B
掀开	28-10297-S
掀掉	28-10081-S
掀掉 掀掉	28-10081-B
掀涌	28-10138-S
掀涌 掀涌	28-10138-B
掀腾	28-10463-S
掀起	28-10196-S
掀起 掀起	28-10196-B
掀開 掀开	28-10297-B
掀風鼓浪 掀风鼓浪	28-10357-B
掀风鼓浪	28-10357-S
掀騰 掀腾	28-10463-B
掂	28-10527-S
掂 掂	28-10527-B
掃 扫	28-10583-B,28-10614-B
掃墓 扫墓	28-10642-B
掃帚 扫帚	28-10736-B
掃把 扫把	28-10775-B
掃描 扫描	28-10812-B
掃描儀 扫描仪	28-10858-B
掃描器 扫描器	28-10919-B
掃瞄 扫瞄	28-10971-B
掃羅 扫罗	28-11033-B
掃興 扫兴	28-11107-B
掃蕩 扫荡	28-11193-B
掃除 扫除	28-11251-B
掃除天下 扫除天下	28-11342-B
掃除機 扫除机	28-11447-B
掃雷 扫雷	28-11509-B
掃黃 扫黄	28-11570-B
掃黃運動 扫黄运动	28-11634-B
掄 抡	28-11721-B,28-11761-B
掇	28-11790-S
掇 掇	28-11790-B
授	28-11844-S
授 授	28-11844-B
授与	28-12629-S
授乳	28-11905-S
授乳 授乳	28-11905-B
授予	28-11963-S
授予 授予	28-11963-B
授任	28-12015-S
授任 授任	28-12015-B
授勋	28-12177-S
授勛 授勋	28-12177-B
授受	28-12229-S
授受 授受	28-12229-B
授命	28-12283-S
授命 授命	28-12283-B
授奖	28-12482-S
授意	28-12333-S
授意 授意	28-12333-B
授时	28-12387-S
授時 授时	28-12387-B
授权	28-12434-S
授權 授权	28-12434-B
授獎 授奖	28-12482-B
授粉	28-12535-S
授粉 授粉	28-12535-B
授精	28-12581-S
授精 授精	28-12581-B
授與 授与	28-12629-B
授計 授计	28-12675-B
授課 授课	28-12732-B
授计	28-12675-S
授课	28-12732-S
掉	28-12790-S
掉 掉	28-12790-B
掉书袋	28-13280-S
掉以輕心 掉以轻心	28-12829-B
掉以轻心	28-12829-S
掉价	28-12924-S
掉价儿	28-13010-S
掉價 掉价	28-12924-B
掉價兒 掉价儿	28-13010-B
掉向	28-13084-S
掉向 掉向	28-13084-B
掉头	28-13692-S
掉换	28-13177-S
掉換 掉换	28-13177-B
掉書袋 掉书袋	28-13280-B
掉点儿	28-13778-S
掉球	28-13459-S
掉球 掉球	28-13459-B
掉色	28-13518-S
掉色 掉色	28-13518-B
掉落	28-13573-S
掉落 掉落	28-13573-B
掉轉 掉转	28-13620-B
掉转	28-13620-S
掉頭 掉头	28-13692-B
掉點兒 掉点儿	28-13778-B
掊	28-13835-S,28-13879-S
掊 掊	28-13835-B,28-13879-B
掌	28-13914-S
掌 掌	28-13914-B
掌击	28-14278-S
掌声	28-14711-S
掌控	28-13964-S
掌控 掌控	28-13964-B
掌握	28-14025-S
掌握 掌握	28-14025-B
掌握电脑	28-14190-S
掌握電腦 掌握电脑	28-14190-B
掌擊 掌击	28-14278-B
掌权	28-14363-S
掌柜	28-14317-S
掌櫃 掌柜	28-14317-B
掌權 掌权	28-14363-B
掌玺大臣	28-14442-S
