yan4 xiang3	19-60329-B
yan4 xin1 li3 xue2	20-16234-S
yan4 xing4	58-13799-S
yan4 xu4 lie4	22-33388-S
yan4 xue4	69-58848-B
yan4 yang3	11-36581-B
yan4 yao3	70-37347-S
yan4 yin3	19-60286-B
yan4 yu3	58-48772-B
yan4 yu4	59-22531-B
yan4 zha4	8-369-S
yan4 zhen1 li3 de5 wei2 yi1 biao1 zhun3	20-15514-S
yan4 zheng4	69-58933-B
yan4 zheng4 ma3	69-59016-B
yan4 zhu3 yi4	49-62686-S
yan4 zi5	41-28824-B
yan4 zuo4	17-50897-S
yan5	55-58786-S
yan5 lu4	55-58841-S
yang	1-12407-S,1-12502-S,1-62826-S,1-65267-S,1-69809-S,2-9460-S,2-19663-S,2-50625-S,2-65617-S,3-0-S,3-3272-S,3-61020-S,4-32887-S,4-39637-B,4-56651-S,5-10772-B,5-23637-S,5-23725-S,5-41679-S,5-42850-S,5-46880-S,5-49996-S,6-36505-S,6-50339-S,6-63508-S,6-65293-S,7-63657-S,10-5072-S,10-29004-S,10-30030-S,10-32864-S,10-52354-S,10-67365-S,11-535-S,11-4997-S,11-19624-S,11-34117-S,11-35820-S,11-36581-S,11-50697-S,11-58454-S,12-29339-S,12-29866-S,12-30199-S,12-30378-S,12-38202-S,12-48718-S,13-30413-S,13-48566-S,14-8688-S,14-8780-S,14-9586-S,15-674-S,15-27190-S,15-54072-B,15-56977-B,15-63063-S,15-66439-S,16-39541-S,16-42021-S,16-59193-S,16-61038-S,17-23036-S,17-24908-S,17-34880-S,17-43581-S,17-58450-S,17-60982-S,17-63372-B,18-5207-S,18-28871-S,19-30831-S,19-33941-S,19-50781-S,19-54724-S,19-64898-S,20-8572-S,20-20326-S,20-35947-S,20-65704-S,20-69341-S,20-69381-S,21-16251-S,21-28921-S,21-31967-S,21-33438-S,21-36763-S,21-37711-S,21-42892-S,22-45940-S,22-57811-S,23-23012-S,23-24913-S,23-25353-S,23-40136-S,23-57928-S,23-66214-B,24-7914-S,24-8132-S,24-28850-S,24-51613-S,24-51857-S,24-52157-B,24-64978-S,24-65072-S,25-0-B,25-8108-S,25-18403-S,25-52590-S,25-63643-S,26-46530-S,26-56098-S,26-56571-S,26-66596-S,27-14263-S,27-17168-S,27-34035-S,28-7869-S,28-21461-S,28-43776-S,28-44489-B,28-49142-S,28-53601-S,28-53643-S,29-14717-S,29-43254-S,29-44837-S,29-53419-S,30-5577-S,30-11029-S,31-16626-S,31-18249-S,31-19611-S,31-28536-S,31-28625-B,31-49127-S,31-52174-S,31-63546-B,32-6181-S,32-17962-S,32-18016-S,32-49150-S,32-49233-S,32-49315-S,32-57318-S,32-59120-S,33-16898-S,33-20399-S,33-25784-S,34-1309-S,34-2560-S,34-22194-S,34-27196-B,34-39621-S,34-46368-B,34-49649-S,34-50300-S,34-58712-S,34-59260-B,34-59729-S,35-29341-S,35-30881-S,35-39641-S,35-60173-B,36-3540-S,36-4342-S,36-32100-B,36-34216-S,36-57616-S,36-63947-S,37-2250-S,37-2535-S,37-18318-S,37-28945-S,37-35704-S,37-36054-S,37-42029-S,37-48984-B,37-49469-B,37-51036-S,37-56859-S,38-20979-S,38-26175-S,38-28790-S,38-38683-S,38-47948-S,39-3342-S,39-19033-S,39-27787-S,39-28128-S,39-51313-S,39-55977-B,39-63612-S,39-63829-S,39-64438-S,40-9877-S,40-10810-S,40-12698-B,40-13247-S,40-13814-S,40-18184-S,40-26125-S,40-27265-S,40-34257-B,40-51883-S,40-55802-S,41-6785-S,41-8141-S,41-10487-B,41-32473-S,41-52422-S,41-52633-S,43-5370-S,43-16818-S,43-30742-S,43-38450-S,43-50450-S,43-56788-S,43-62131-S,43-68286-S,44-13534-B,44-13575-S,44-13575-S,44-17473-B,44-20293-S,44-21706-B,44-29458-S,44-32009-S,44-40546-S,44-54691-S,45-2789-S,45-14418-S,45-52925-S,45-60365-S,46-51304-S,46-62079-S,47-25421-B,47-48210-S,48-38868-S,48-39853-S,48-46565-S,49-22384-S,49-30266-S,49-32784-S,49-57331-S,50-0-S,50-13098-S,50-13545-S,50-49223-S,50-63955-B,51-9764-S,51-9936-S,51-37610-S,52-23305-B,52-32900-S,53-15920-S,53-16278-S,53-16961-S,53-32964-S,53-57887-S,54-40770-S,55-4753-S,55-15874-S,55-31611-S,56-0-B,56-8287-S,56-41344-S,56-44962-S,56-60200-S,56-60593-S,56-61444-S,56-61444-S,57-7404-S,57-10051-S,57-15084-S,57-19326-S,58-12906-S,58-40257-S,59-9872-S,59-14712-S,59-44076-S,59-53443-S,59-56080-S,60-686-S,60-4054-S,60-6416-S,60-12011-S,60-30009-S,60-33582-S,62-5618-S,62-6645-S,62-61090-S,62-61956-S,62-66304-S,63-5781-S,63-17233-S,63-19957-S,63-35456-S,63-36513-S,63-61476-S,64-2372-S,64-3272-S,64-17205-S,64-27452-S,64-28077-S,64-50179-B,65-19687-S,65-43981-S,65-59091-S,66-25698-S,66-34671-B,66-36743-S,66-36743-S,67-2421-S,67-19137-S,67-59225-S,68-5517-S,68-6565-B,68-24662-S,68-27789-S,68-35471-S,68-59742-B,68-59793-B,68-60589-S,68-63487-S,69-6718-S,69-7029-S,69-10328-B,69-18699-S,69-20242-S,69-45904-S,69-57657-S,70-15386-S,70-23376-S,70-27488-S,70-52734-S,70-54356-S,70-54356-S,70-54988-B,71-16190-S,71-35604-S,71-43837-S,71-62418-S
yang Gong yue Zu zhi	10-30099-S
yang Jun shi Wei yuan hui	2-80134-S
yang Min zu Da xue	2-67005-S
yang Qing bao ju	2-66646-S
yang Ri bao	2-66929-S
yang Shi you Zong gong si	2-60883-S
yang Tong xun she	32-50113-S
yang Tu jia zu zi zhi xian	65-20661-S
yang Wei xi tong gong si	17-61207-S
yang Wei yuan hui	2-54416-S
yang Xi ju Xue yuan	2-66747-S
yang Xiu	35-30943-S
yang Xuan chuan bu	2-50728-S
yang Xun	66-36017-S
yang Yan jiu yuan	2-67385-S
yang Yin hang	35-28330-S
yang Yin yue Xue yuan	2-68169-S
yang Yu qian	66-35936-S
yang Zhan zheng	17-58728-S
yang Zhou	17-25028-S
yang ao	2-65775-S
yang ba	17-24300-S,62-5747-S
yang bai cai	37-51578-B
yang bai han	34-28912-B
yang bai han da xue	34-28971-B
yang ban	34-59520-B
yang ban xi	34-59587-B
yang bang	2-67735-S
yang bao	17-61148-S
yang ben	34-59470-B
yang bing	69-10572-B,69-11569-B
yang bo zang	11-29964-S
yang bu lao	3-66287-S
yang bu liang	41-32530-S
yang cai	37-51942-B
yang can ye	69-12890-B
yang ceng	39-27828-S,53-17007-S
yang chang	69-7079-S
yang chang er qu	28-45562-B
yang chang xiao jing	51-684-B
yang cheng	69-10956-B
yang cheng ren	29-14781-S
yang chong bing	25-32-B
yang chu li ji	2-67547-S
yang chuang	17-61991-S
yang chun qiu	7-63802-S
yang cong	37-51981-B
yang dao	65-63698-B
yang dao ju	34-1417-S
yang de	18-28648-S,63-17286-S
yang de yi	37-51133-S
yang di	37-50507-B,69-10666-B
yang di di qiao	37-50572-B
yang di qu	3-60733-S,3-61111-S,5-46953-S,11-5070-S,13-30507-S,19-34012-S,21-37784-S,25-18469-S,25-52665-S,32-49459-S,37-56932-S,45-2860-S,50-13622-S,56-41419-S,57-10118-S,63-20032-S,65-59162-S
yang dian	44-41678-S
yang dian he	66-36968-B
yang dian ji	66-36870-B
yang dian shi tai	2-52595-S,2-67965-S,2-68067-S
yang dun cuo	26-66888-S
yang er fang lao	69-10433-B
yang fa Gong yue	51-59044-S
yang fan	28-45030-B
yang fei	60-4126-S
yang fen	69-10623-B
yang feng	17-62344-S,69-12832-B
yang fu	69-11350-B
yang gao	17-63567-B,51-373-B
yang ge	26-66838-S,36-32208-B,47-25524-B
yang gen	36-34771-S
yang gen li zi	36-34841-S
yang gong	46-39734-S
yang gong si	17-61076-S
yang guai	50-64186-B
yang guang	17-61020-S,66-34856-B
yang guang bo dian tai	2-66531-S
yang guang da	44-29516-S
yang gui	33-20448-S,37-52357-B
yang gui zi	33-20543-S
yang hai ling	2-67120-S
yang han	69-11278-B
yang han liang	56-26118-S
yang hang	17-56902-S,17-63709-B
yang he gan suan	52-33096-S
yang he tang	52-32946-S
yang he tang he suan	11-38190-S,52-33014-S
yang hei zi	17-62401-S
yang hei zi zhou	17-62464-S
yang hou he	9-18085-S
yang hou zang	55-20465-S
yang hu	63-35529-S
yang hu die	70-54425-S
yang hu die pai	70-54593-S
yang hu shang shen	69-12555-B
yang hu yi huan	69-12695-B
yang hua	16-59246-S,36-32273-B,36-34286-S,69-12505-B
yang hua bing	53-58019-S
yang hua dan	1-13458-S,3-37658-S
yang hua er dan	1-13362-S
yang hua er fan	3-51330-S
yang hua gai	36-32518-B,36-34524-S
yang hua gong	49-12541-S
yang hua guan	36-32433-B
yang hua gui	3-37792-S
yang hua ji	27-5759-S,36-32315-B
yang hua jia	36-34619-S
yang hua liu	3-37870-S
yang hua lu:	36-32636-B,36-34696-S
yang hua mei	36-32751-B
yang hua meng	3-38296-S
yang hua na	36-34433-S
yang hua tai	3-38139-S
yang hua tan	1-13526-S,3-37944-S
yang hua tan ge li	3-38014-S
yang hua wu	3-37730-S,36-32383-B,36-34367-S,36-35312-S,62-46497-S
yang hua wu mei	70-5195-S
yang hua xin	36-32695-B
yang hua you	3-38211-S,36-32577-B
yang huai	36-14387-S,37-50816-B
yang huai shu	37-50892-B
yang hui	68-13305-S
yang hui jin	2-65870-S
yang huo	37-52067-B,38-46320-S,69-11213-B
yang huo dong	17-61464-S
yang hú dié	70-54425-S
yang hú dié pài	70-54593-S
yang ji	2-75555-S,15-66528-S,17-63500-B,28-7916-S,34-59774-B,37-51801-B,47-20692-S,66-35864-B
yang ji chang	69-12948-B
yang ji dui	37-50213-B
yang ji lu: jian cha wei yuan hui	2-51045-S
yang ji quan	2-67883-S
yang ji wei jian cha bu	2-50903-S
yang jia	66-25745-S,69-10809-B
yang jia hu kou	69-10881-B
yang jia zhi	41-32647-S
yang jian	18-40181-S,21-51446-S,37-52520-B
yang jian li	34-27813-B
yang jiao	37-50649-B
yang jiao feng	51-1025-B,51-1112-B
yang jie	64-2422-S
yang jing xu rui	69-12081-B
yang ju	66-34901-B
yang jun	10-33376-S,71-62482-S
yang jun fa	10-33438-S
yang jun wei	2-67644-S
yang la qiang tou	64-27180-S
yang lai	4-40539-B
yang lao	69-12215-B
yang lao bao xian	69-12273-B
yang lao jin	69-12348-B
yang lao yuan	69-12401-B
yang li	66-35588-B,66-36084-B
yang li zi	36-34925-S,66-36799-B
yang lian he tie lu	17-58836-S
yang liang	10-23343-S
yang liao	69-11033-B
yang lin	1-37089-S
yang liu	15-54861-S,34-28034-B,37-51364-B
yang long qi	33-16969-S
yang lou	21-37950-S
yang lou ji	21-38009-S
yang lu jun	10-33527-S
yang lu:	28-21504-S
yang mao	50-64270-B
yang mao chu zai yang shen shang	50-64323-B
yang mao xian	51-0-B
yang mei	34-28188-B
yang mei wai	21-42451-S
yang men	32-49770-S
yang mian	37-52253-B
yang miao	47-25564-B
yang min	15-66666-S
yang ming	28-44682-B
yang mo	51-805-B
yang mo chuan ci shu	51-862-B
yang mu	4-40313-B,69-11173-B
yang nai	50-64076-B
yang nan	51-209-B
yang neng	17-62205-S
yang neng ban	17-60854-S
yang neng dian chi	17-62264-S
yang nian	50-64123-B
yang niu	37-50290-B
yang nu:	69-10759-B
yang pai	50-64226-B
yang pi	51-276-B
yang pi pa	37-51526-B
yang pi zhi	4-45848-S,51-319-B
yang pin	34-59319-B,41-32722-S
yang ping	66-35282-B
yang ping sheng	66-35336-B
yang qi	3-38372-S,28-45498-B,36-32873-B,47-48278-S,49-32852-S,57-19510-S
yang qian	37-52148-B
yang qiang	37-50743-B
yang qiao	37-50979-B,71-4517-S
yang qin	28-45313-B,37-51470-B
yang qing	40-5307-S
yang qing ji zhuo	28-45128-B
yang qiu	17-63638-B
yang qu	15-63154-S,32-49366-S,39-63691-S,39-63907-S,67-2516-S
yang qu yu	17-58514-S
yang quan hui	2-65675-S
yang que chui guan	36-32919-B
yang qun	51-412-B
yang r	57-26228-S,59-9946-S,60-12069-S
yang ran liao	38-54033-S
yang ren	37-49576-B,41-52464-S,57-19405-S
yang ri	17-61313-S
yang rou	51-502-B
yang rou chuan	51-543-B
yang rou xian	51-624-B
yang san	66-34814-B
yang shan	54-46207-S,57-19459-S,66-47842-S
yang shang bao	11-580-S
yang she	2-67471-S
yang shen	17-61763-S
yang shen ji hua	17-61824-S
yang shen shang	36-13471-S,50-64323-S
yang sheng	2-67285-S,69-11390-B
yang sheng fa	69-11509-B
