nancheng county in fuzhou 撫州 抚州	10-68896-B,10-68971-B
nanchong prefecture in sichuan	10-67113-B
nanchong prefecture level city in sichuan	10-67036-B,10-67199-B
nanchou village in taiwan	10-70768-S
nanchuan	10-70670-B,10-70714-B
nanchuang village in taiwan	11-3038-S
nancun 1912 1966	69-34690-S
nancy	10-70847-B
nancy pelosi 1940 	5-10381-B
nandan place in guangxi	10-65904-S
nanfen district of benxi city 本溪市 本溪市	11-2805-B,11-2888-B
nanfeng county in fuzhou 撫州 抚州	11-3437-B,11-3510-B
nang place in tibet	26-39164-S
nangarhar province of afghanistan	34-31574-B
nangong city in hebei	10-69377-S
nangqian place in qinghai	14-44611-S
nanguan district of changchun city 長春市 长春市	11-4746-B,11-4835-B
nanguo	11-4460-S
nanhe place in hebei	10-68483-S
nanhsi village in taiwan	34-31743-S
nanhua place in yunnan	11-3121-S
nanhua village in taiwan	10-67430-S
nanhui place in shanghai	10-67842-S
nanjian yizu autonomous county in yunnan	11-1308-B
nanjiang place in sichuan	11-287-S
nanjiao river shandong province	11-2728-B
nanjing	2-70349-S,23-21524-S,31-23176-S,39-31369-S,49-30085-S,64-17051-S
nanjing 1842 that concluded the first opium war between qing china and britain	10-66710-S
nanjing abbr 	20-16437-B
nanjing documentary book by iris chang 張純如 张纯如	10-66418-S
nanjing line	39-31423-S
nanjing massacre	27-25659-S,49-7301-S
nanjing massacre of december 1937	10-66315-S,10-66418-S
nanjing place in fujian	11-5492-S
nanjing prefecture level city on the changjiang	10-66159-B,10-66617-B
nanjing railway	39-31490-S
nanjing st	10-66980-B
nanjing university	10-66241-B
nanjing university nju	10-69058-B
nanjing university of science and technology	10-66858-B
nanjing 南京	23-21088-S
nanjing 南京條約 南京条约 that concluded the first opium war	3-47862-S
nankai university tianjin	11-4664-B
nankan village in taiwan	11-2316-S
nankang area in taiwan	11-1063-S
nankang county level city in ganzhou 贛州 赣州	10-71140-B,10-71225-B
nanking	64-17128-S
nanle place in henan	11-180-S
nanling mountain	10-70562-B
nanling place in anhui	11-4934-S
