eyes in literature	45-51180-B
eyes lips tongue ears 鼻目口舌耳	3-48904-S
eyes of a beautiful view	39-40231-S
eyes of the lover	25-12113-S
eyes off 成语 saw	45-15897-S
eyes on	69-8339-S
eyes on a goal	54-55087-S
eyes 成语 saw	28-33271-S,35-55881-S,35-56041-S,43-59492-S,44-63558-S,71-41034-S
eyesight	45-37111-S,45-48366-B,45-51180-B,57-34382-B
eyesight i e quality of vision	45-16739-B
eyesight obscured	45-59191-B
eyesight test	69-57900-S
eyesight testing	57-34430-B,69-57961-B,69-58033-B,69-58128-B
eyesore	2-2626-S
eyespot in lower creatures	45-52675-B
eyewitness	45-17116-B
eyewitness to nanjing massacre	27-25659-S,49-7301-S
eyre	48-35998-S
ezekiel	4-38766-S
ezekiel 以西結書 以西结书	31-33426-S
ezhou prefecture level city in hubei	63-28490-B,63-28559-B
ezra	4-37755-S
f	20-58343-S,22-1717-S,36-24546-S
f b riemann 1826 1866	71-27020-S
f o	22-55167-S
f of a function f	20-58343-S
f or roman vi in list a b c	22-1372-S
f 氟	71-3432-S,71-3493-S,71-3643-S
f10 of the 60 year cycle	22-2003-S
f12 of the 60 year cycle	22-1571-S
f2 of the 60 year cycle	22-1496-S
f4 of the 60 year cycle	22-1646-S
f6 of the 60 year cycle	22-1784-S
f8 of the 60 year cycle	22-1850-S
fa quan eight methods martial art	7-52067-S
fa3	70-24770-S
faba	50-60454-S,56-22675-S
fabaceae	59-17268-B
fable	20-10096-B
fable of mr dongguo and the ungrateful wolf by ma zhongxi 馬中錫 马中锡	2-70137-S
fabled island in eastern sea	55-7529-B
fabled islands in eastern sea	30-61348-S
fabric	31-62771-S,34-12058-S,37-63050-S,38-55034-S,38-55034-S,49-48182-S,49-54996-S,49-56260-S,50-336-S,50-385-S,50-14188-S,50-61239-S,51-15926-S,51-16217-S,71-15316-S
fabric of waste silk	50-12967-S
fabric with single colored woof but many colored warp	49-62468-S
fabric with single woof but colored warp	49-61894-S
fabricate	28-3415-S,33-8226-B,33-9095-S,50-19552-B,50-21882-B
fabricate a story	6-10094-S,45-58790-S,58-61648-S
fabricate excuses 成语 saw	21-60616-S
fabricated	55-51232-B
fabricated declaration e g income tax return	6-7348-B
fabricated legal case	6-8520-B
fabrication	41-23915-S
fabrics	49-25596-B,50-39718-S
fabulous	34-34729-B
fabulous bird	70-57171-S
fabulous bird like sinbad s roc	69-50514-B
fabulous horse	69-53307-S
facade	6-9759-B
