pan2 xuan2	45-11086-B
pan2 yue4 qi4	64-51165-S
pan2 zhen4	20-67467-S
pan2 zi5	17-28869-S,45-10685-B
pan2 zuo4	50-61050-S
pan4	4-47189-S,7-56781-S,8-62127-S,9-2215-B,11-45384-S,11-65637-B,13-22667-S,15-44772-S,16-64428-S,18-12318-S,19-54036-S,20-20634-S,21-59763-S,26-56974-S,27-40589-B,29-43661-S,32-51455-S,33-62396-S,36-60327-S,37-20952-S,37-45161-B,39-11592-S,43-48286-B,45-32675-B,46-13254-S,52-17133-S,56-50870-B,56-53105-S,57-12472-B,58-6276-B,58-7321-S,58-40845-S,59-49370-S,62-8086-S,68-33142-B
pan4 bian4	11-66081-B
pan4 bian4 de5 sheng3 fen4	11-66156-B
pan4 chu3	9-2773-B
pan4 chu3 si3 xing2	9-2829-B
pan4 dang3	11-66579-B
pan4 ding4	9-2452-B
pan4 duan4	9-2522-B,58-9701-S
pan4 duan4 fa3	58-9969-S
pan4 duan4 li4	9-2579-B
pan4 duan4 ren4 wu4	19-5013-S,58-9773-S
pan4 duan4 zuo4 ye4	58-9871-S
pan4 fei3	11-65812-B
pan4 fen4 zi3	11-45430-S
pan4 guan1	9-2344-B,56-53236-S
pan4 guo2	11-65858-B
pan4 guo2 zui4	11-65899-B
pan4 jiao4	11-66038-B
pan4 jue2	9-2711-B
pan4 jun1	11-66361-B
pan4 lan2	20-20744-S
pan4 luan4	1-40950-S,11-65688-B
pan4 luan4 zui4	11-65738-B
pan4 mai4	11-66318-B
pan4 ming2	9-2649-B
pan4 ming4	27-40782-B
pan4 ni4	11-66477-B
pan4 ni4 zhe3	11-66528-B
pan4 qi4	27-40856-B
pan4 tao2	11-66405-B
pan4 tu2	11-65964-B
pan4 wang4	45-32731-B
pan4 xi2	20-20686-S
pan4 xing2	9-2285-B
pan4 yuan2	56-53183-S
pan4 zei2	11-66268-B
pan4 zhang3	20-20853-S
pan4 zhe3	20-20802-S,52-17181-S
pan4 zhuo1	58-40914-S
pang	1-10429-S,3-11879-S,3-12168-B,6-12656-S,7-45660-S,11-29163-B,14-24214-B,14-50588-S,15-35174-S,15-37061-S,21-8717-B,23-299-B,23-54964-S,23-60254-B,24-17660-B,24-31807-S,30-67012-B,39-25566-B,41-48943-S,44-10276-S,46-1712-S,51-38950-B,51-65745-S,52-12143-S,52-19481-B,52-45999-B,52-46039-B,52-52744-S,53-37389-S,56-9923-B,67-17749-B,68-4307-S,70-46091-B,71-62921-B
pang bai	30-67184-B
pang bian	30-67818-B
pang bian r	30-67885-B
pang bo	46-36579-B
pang cuo wu	51-65930-S
pang da	34-35552-S,71-63088-B
pang dai	59-40996-S
pang guan	8-22548-S,30-67363-B
pang guan zhe	30-67424-B
pang guang	52-46121-B
pang guang qi hua	52-46181-B
pang hu hu	52-19514-B
pang huang	23-60349-B
pang lu	30-67489-B
pang pi	2-80797-S,53-23104-S,60-26528-S,70-24000-S,70-46132-B
pang qiao ce ji	30-67114-B
pang qiu	3-11924-S
pang qiu pai	3-12021-S
pang qiu tai	3-12092-S
pang ran da wu	71-63289-B
pang ren	52-19564-B
pang shou	70-18779-S
pang ting	30-67308-B
pang xie	56-9951-B,56-9990-B
pang za	71-63356-B
pang zheng	52-12181-S
pang zi	26-48362-S,51-65821-S,52-19622-B
pang1	3-11879-S,3-12168-B,39-25566-B,52-45999-B
pang1 qiu2	3-11924-S
pang1 qiu2 pai1	3-12021-S
pang1 qiu2 tai2	3-12092-S
pang2	1-10429-S,6-12656-S,7-45660-S,11-29163-B,14-50588-S,15-35174-S,15-37061-S,21-8717-B,23-299-B,23-54964-S,23-60254-B,24-17660-B,30-67012-B,41-48943-S,51-65745-S,52-46039-B,52-52744-S,53-37389-S,56-9923-B,67-17749-B,68-4307-S,70-46091-B,71-62921-B
pang2 bai2	30-67184-B
pang2 bian1	30-67818-B
pang2 bian1 r5	30-67885-B
pang2 bo2	46-36579-B
pang2 cuo4 wu4	51-65930-S
pang2 da4	34-35552-S,71-63088-B
pang2 dai4	59-40996-S
pang2 guan1	8-22548-S,30-67363-B
pang2 guan1 zhe3	30-67424-B
pang2 guang1	52-46121-B
pang2 guang1 qi4 hua4	52-46181-B
pang2 huang2	23-60349-B
pang2 lu4	30-67489-B
pang2 pi2	2-80797-S,53-23104-S,60-26528-S,70-24000-S,70-46132-B
pang2 qiao1 ce4 ji1	30-67114-B
pang2 ran2 da4 wu4	71-63289-B
pang2 ting1	30-67308-B
pang2 xie4	56-9951-B,56-9990-B
pang2 za2	71-63356-B
pang2 zi4	51-65821-S
pang3	14-24214-B,51-38950-B
pang4	24-31807-S,44-10276-S,46-1712-S,52-12143-S,52-19481-B
pang4 hu1 hu1	52-19514-B
pang4 ren2	52-19564-B
pang4 shou4	70-18779-S
pang4 zheng4	52-12181-S
pang4 zi5	26-48362-S,52-19622-B
pao	1-23668-S,2-83398-S,3-27618-S,9-4929-B,9-59793-S,10-20385-B,10-45272-S,11-25667-S,13-21187-B,13-23133-S,14-44480-S,16-50476-S,17-29393-S,18-7522-S,22-61282-B,24-48621-S,25-50503-S,26-46012-S,26-47417-S,26-49201-S,27-27154-B,28-17626-S,28-25254-S,29-53349-S,29-53474-S,31-3694-S,33-17266-S,34-42310-S,36-28765-S,36-42629-S,36-44842-S,37-36817-B,37-36891-B,38-27324-S,40-22419-S,40-23616-S,40-23764-S,40-30191-B,40-30703-B,41-25099-S,44-30615-S,44-55828-S,45-811-B,46-405-S,46-16004-B,47-8712-S,52-11827-S,52-14795-S,52-35015-B,52-51556-S,52-51626-S,53-22339-S,53-52396-S,53-58193-S,55-48092-S,56-50263-B,60-970-S,60-18450-S,60-25771-S,60-27889-S,60-27965-S,60-35466-B,61-52351-S,61-65514-S,62-20560-S,62-22912-S,63-46075-S,63-62139-S,63-63403-S,65-19497-S,65-40019-S,67-32493-S,68-6517-B,68-8799-S,69-37273-S,70-13391-S,70-49821-S,71-55671-B
pao bian	60-36340-B
pao biao	60-36521-B
pao bing	40-30236-B,46-16037-B,59-25777-S
pao bu	60-35809-B
pao bu zhe	60-35873-B
