dàn huā tāng	55-60959-B
dàn huǒ chē	19-1278-S
dàn hé	49-4109-S,49-5428-S
dàn hé qián tǐng	20-58673-S
dàn jiá	23-47765-B
dàn jiè qì	36-35382-B
dàn jié	51-41928-S,51-51403-S
dàn jiǎo	31-12718-B
dàn jì	38-43429-B,67-40305-S
dàn jìn liáng jué	23-49491-B
dàn jìn yuán jué	23-49352-B
dàn jīng yíng	25-47723-S
dàn kuài lè	51-51269-S
dàn ké	23-49073-B,55-60608-B
dàn ké 5r	67-8083-S
dàn kēng	23-47571-B,63-6998-S
dàn kǎ	51-51209-S
dàn kǒng	23-47909-B
dàn liàng	61-7314-S
dàn lóng	47-60012-S
dàn lǎo rén	51-51491-S
dàn miàn	29-23021-S
dàn ní	51-44491-S
dàn ní shēng	4-64679-B
dàn piàn	23-49121-B
dàn pào	34-42310-S
dàn qián tǐng	20-58933-S
dàn qián xī	51-51138-S
dàn qì	36-35271-B
dàn shuǐ	38-43493-B
dàn shuǐ hú	38-43583-B
dàn shuǐ yú	38-43719-B
dàn shuǐ zhèn	38-43644-B
dàn shì	4-64740-B
dàn shì jiàn	37-1659-S
dàn shù	51-51342-S
dàn shā shǒu	53-7832-S
dàn shēng	58-23772-B
dàn shū	4-64785-B
dàn sī kè	33-65001-S
dàn tà	55-60563-B
dàn tóu	23-50378-B,33-57513-S
dàn wán	23-47048-B
dàn wú jī	54-18484-S
dàn wú qí	22-43165-S
dàn wǔ qì jì shù kòng zhì zhì dù	20-58774-S
dàn xìng	22-6875-S
dàn xí jī shì jiàn	53-7522-S
dàn yuàn	4-64844-B
dàn yào	10-21901-S,11-32219-S,23-49960-B,43-24523-S
dàn yào kù	23-50004-B
dàn yǎng huà wù	36-35312-B
dàn yǐ lǐ shū	4-64611-B
dàn zhèn	17-22440-S
dàn zhū	23-49225-B
dàn zi	29-22680-B
dàn è	23-58150-S
dàn ān suān	55-60649-B
dàng	1-2375-S,1-54246-S,2-19271-S,2-35303-S,6-60579-S,10-1432-S,10-1868-S,10-12744-S,14-57623-S,15-53402-S,17-66386-S,18-36445-S,19-7951-S,19-39247-B,19-46679-S,19-63464-S,23-16944-S,23-58922-S,24-8563-S,25-5753-S,25-30794-B,26-2787-S,26-57438-S,27-35886-S,27-70852-S,28-11193-S,28-46414-S,28-59878-S,29-20186-B,29-52833-S,30-27090-S,30-28862-S,30-59340-S,34-46129-S,35-11306-B,35-54643-S,37-41592-S,38-10729-S,38-11247-S,38-12055-S,38-46375-S,39-43626-S,40-5596-S,40-5693-S,41-51452-S,43-64540-B,45-14367-B,45-21415-S,46-30422-B,47-48762-S,47-49039-S,48-35791-B,48-39970-S,48-54571-S,52-41192-S,53-2847-S,54-23737-S,54-31457-B,55-15614-B,60-34302-S,60-34750-S,60-35009-S,62-37788-S,62-65554-S,63-18859-S,65-52839-S,67-40797-S,68-61241-S,70-16699-S
dàng bō li	68-55132-S
dàng chéng	43-67281-B
dàng chāng	19-39289-B
dàng chē	19-30227-S
dàng chǎn	6-47391-S
dàng cì	35-12286-B
dàng diào huán	29-30640-S
dàng dàng	38-10729-S,47-49039-S
dàng dí	55-15829-B
dàng fù	55-15695-B
dàng fú zhuāng	70-16761-S
dàng fǎ	52-39453-S
dàng gǎn	28-46464-S
dàng huí shì	43-66415-B
dàng huí shì 5r	43-66574-B
dàng jiāng hú	65-52966-S
dàng qiū qiān	45-14561-B
dàng qì huí cháng	55-15751-B
dàng qī	35-11426-B
dàng rán	45-14502-B,55-15928-B
dàng rán wú cún	55-16020-B
dàng shān	46-30468-B
dàng tiān	43-66975-B
dàng xìng	35-38125-S
dàng yàng	45-14418-B,55-15874-B
dàng yī huí shì	2-19338-S
dàng zhāo zhāng	60-34381-S
dàng zuò	43-65799-B,43-65852-B
dàng àn	35-11482-B
dàng àn fú wù	35-11962-B
dàng àn fēn pèi qū	35-11644-B
dàng àn guǎn	35-12225-B
dàng àn jiàn lì	35-11893-B
dàng àn shǔ xìng	35-11822-B
dàng àn zhuǎn sòng	35-12028-B
dàng àn zhuǎn sòng cún qǔ jí guǎn lǐ	35-12100-B
dàng àn zhí xíng	35-11735-B
