urge on	14-26499-S,30-24582-B,68-8949-B,69-55834-S
urge on a criminal act	30-1663-S
urge on a horse by patting its bottom	27-30279-S
urge on an animal	12-30629-S,12-30965-S
urge peace	10-10708-S
urge sb on	29-33632-S
urge sb to be sure to	8-60451-B
urge sb to complete a task	45-55921-S
urge to eat	5-21525-B
urge to smoke	41-2784-S
urge virtue in buddhism	10-10552-S
urgency	2-9683-S,26-6811-S,61-13271-S,61-52149-B
urgent	3-65655-B,6-2682-B,6-19487-B,8-63363-B,9-55710-S,9-55710-B,10-47375-S,11-23520-B,24-57383-B,24-58146-S,24-59708-B,24-60202-B,28-61896-S,40-23030-S,41-58495-S,49-55585-B,50-14360-B,50-15588-B,54-55460-B,57-6936-B,57-26289-S,57-27100-B,60-50238-B,61-51642-B,61-52046-B,61-52101-B
urgent advice	8-61111-B
urgent and important moment 成语 saw	50-15362-B
urgent need	24-60336-B,62-61567-S,62-61757-S
urgent priority	43-66228-B
urgent repairs	28-61826-B
urgent task	24-57847-B
urgent 成语 saw	50-22471-S
urgently	8-60451-B,9-55710-S,24-59435-S,24-59552-B,24-60396-S
urgently and say one s piece	24-57906-S
urgently e g emergency supplies	28-62448-S
urgently need	24-60336-S
urgently required	24-59435-B
uri	62-11456-B
uriah name	40-40169-B
urinal	5-28781-S,5-29848-B
urinary bladder	52-46121-B
urinary catheterization	20-58434-B
urinary tract	21-16400-B
urinate	20-60641-B,21-15995-S,21-16035-S,28-15961-S,29-6930-S,39-23778-B,39-25149-B
urination	65-55862-S
urination and defecation	17-15888-B
urine	20-60641-B,21-15995-B,21-16035-B,21-16251-B,21-16304-B,25-54240-S,39-25149-B,44-20399-S,44-20451-S,52-52784-S
urine flow	44-20451-S
urine or feces	37-36817-S
urine sample	21-16251-B
url	1-18733-S,50-5546-B
urmiyeh	67-23010-S
urn	43-11925-B,43-13017-B,50-50165-B,70-1570-B
ursa major	10-31761-B,17-26918-B
ursa minor constellation	20-67170-B
ursae majoris	17-48579-S
ursae majoris in the big dipper	17-48633-S,17-48787-S,17-51437-S,17-51509-S,28-53770-S,42-32202-S,65-43981-S
ursinus linnaeus	52-46677-S
ursus thibetanus	71-31498-S
urtica thunbergiana	54-27767-B
uruguay	34-11526-S,40-35761-B,54-63045-S
urumqi in xinjiang	4-50755-S
urumqi prefecture level city and capital of xinjiang uighur autonomous region 新疆維吾爾自治區 新疆维吾尔自治区 in west china	40-39271-S,40-39476-S
urva	56-19372-S
us	5-51743-S,6-47487-S,9-1618-S,10-29188-S,10-68169-S,17-32115-S,17-58728-S,20-4666-S,23-2711-S,26-12897-B,26-13149-B,27-6852-S,31-11488-S,36-54115-S,43-66144-S,44-7319-S,51-3090-S,53-5158-S,56-42859-S,58-1090-S,66-2013-S
us aerospace company	37-55592-S
us aircraft carrier	21-2822-S
us ambassador to china	21-6998-S
us and canada	54-49428-S
us and canada abbr 	51-2353-B
us and eu	51-7333-B
us and europe golf team competition	54-39840-S
us and europe of 1871	21-35836-S
us and north korea	51-7128-B
us armed forces	51-9177-B
us army	51-9177-B
us astronomer	13-36494-S
us by coming	69-49311-S
us cents	3-47478-S
us citizen	51-8400-B
us congress	11-38922-S,51-3639-B
us construction company	13-37147-S
us defense language institute founded 1941	15-13884-B
us defense secretary	47-18520-S
us department of energy doe	51-4964-B
us department of homeland security	15-3528-B
us department of state	51-3386-B
us dollar	51-2061-B,51-9356-B
us eastern standard time	33-25009-B
us federal capital	54-35324-S
us federal reserve fed	51-4860-B,51-8528-B
us film company	33-48280-S
us flag	53-56344-S
us food and drug administration authority fda	69-2785-B
us government	12-24485-S,51-4123-B
us government in washington	54-33878-S
us house of representatives	45-53723-S
us japan	51-6967-B
us joint chiefs of staff	37-14658-S
us journalist	68-12562-S
us military base in the indian ocean	61-51021-S
us missile guidance	19-43442-S
us movie company	38-1015-S
us national aeronautics and space administration	51-3886-B,51-6048-B
us navy equivalent	38-24745-S,38-24841-S,38-24939-S,38-25086-S
us oil company	6-57702-S
us pacific island	65-54794-S
us part	44-48302-S,44-48490-S
us president	48-8814-S
us secretary of state	18-15521-S
us secretary of state from 2005	23-1464-S,59-62671-S
us securities and exchange commission sec	19-24283-B,51-5233-B,58-59762-B
us senator from california	48-31144-S
us senator from idaho	52-13905-S
us senator from vermont	6-27170-S
us soldier	51-5509-B
us state	4-47837-S,5-1003-S,7-28044-S,9-32246-S,11-18338-S,16-8000-S,24-6668-S,25-33466-S,25-34227-S,52-13048-S,53-47083-S,60-42731-S,66-3959-S
us state department arms control expert	42-58699-S
us state department spokesperson	4-58567-S
us state governor	21-50831-B
us state of the union	15-8726-B
us supermarket chain	37-3531-S
us supreme court	69-22103-S
us tonne	54-1941-S
us towns	18-17096-S
us university	23-1618-S
us with your presence	7-12879-S
usa	2-78725-S,15-2857-S,45-53811-S,51-2660-B
usa and germany	51-6880-B
usa china	51-1609-B
usa eastern standard time	51-7181-B
usa land of the stars and stripes	53-56482-B
usable	5-13964-B
usable material	35-44826-S
usable value	5-14528-B
usage	5-54021-S,7-39069-S,7-39804-S,22-31918-S,25-51060-S,32-56594-S,32-58067-S,35-48337-S,37-27291-S,43-35758-B,43-35947-B,48-164-S,57-18506-S,64-42458-S
usage agreement e g paying one s bill in a restaurant	49-4909-S
usage amount	5-14874-B
usage child in need of help orphaned	24-32135-S
usage in old document	41-8202-S
usage of an electric device e g a 100 watt light bulb	67-25955-S
usage rights	5-14685-B
use	1-12737-S,2-17776-S,2-17826-S,2-36802-S,4-16815-S,4-35588-S,5-12764-S,5-14453-S,5-14597-S,5-14597-S,5-14874-S,6-622-S,6-622-S,6-29318-S,7-46875-S,7-55392-S,7-57904-S,7-61985-S,7-72692-S,8-5639-S,9-7503-S,9-68220-S,10-1252-S,11-62881-S,13-22289-S,18-26656-S,19-63156-S,20-14038-S,21-22023-S,23-3359-S,25-56057-S,25-60177-S,27-16709-S,28-21749-S,30-65464-S,30-66292-S,31-10636-S,31-10700-S,32-45064-S,35-2404-S,36-22324-S,40-56130-S,43-33828-S,43-34539-S,43-34789-S,43-36066-B,44-39451-S,47-1269-S,50-44540-S,54-53241-S,55-34736-S,61-394-S,62-10796-S,62-12525-S,62-38588-S,62-40348-S,62-40348-S,63-764-S,65-45335-S,68-20593-S,68-24499-S,68-24576-S
use a fair wind	3-14649-S
use a long line to catch a big fish 成语 saw	29-53078-B
use a microphone	6-39035-S
use a pole ax to slaughter a chicken	9-34347-S
use a sacred tripod as cooking pot and jade as ordinary stone 成语 saw	71-47254-S
use a sledgehammer to crack a nut	17-18573-S,17-26443-S
use all of	43-33858-S
use all one s mental energies	59-47569-S
use an alias	10-20891-S
use analogy	11-43612-S
use as food	69-3048-S
use as pretext	6-722-S
use as reference	6-1826-S,6-1937-S
use as servant	23-60500-S
use at a fire	64-35307-S
use at anything song writer ouyang xiu 欧阳修	24-28215-S
use bad language	13-53268-S
use both carrot and stick	61-3379-B
use e g and obsolete product	61-62234-S
use e g pedestrians and vehicles	38-55416-S
use florid language to conceal errors	30-31813-S
use for	43-33937-S,43-34006-B
use for another purpose	61-25840-S
use for sth	43-34789-S
use force	31-66173-B
use freely	62-40403-S
use fully	30-65464-S
use gentle methods and force	61-3379-B
use in	43-34006-B
use in common	12-36013-S
use in cyclic order	24-17224-S
use in funeral procession	28-321-S,61-8522-S
use in the shape of people or animals	49-21579-S,49-23410-S
use influence to get what one wants	65-10751-S
use it	28-14025-S
use less than	43-33858-S
use letters	43-34605-B
use methods appropriate to the current situation	14-60620-S
use methods in line with local circumstances	14-59805-S
use neighbor as drain 成语 saw	4-39331-S
use next	62-23244-B
use of	3-12362-S,4-1865-S,4-2465-S,5-14453-S,9-7503-S,44-29458-S
use of ability mencius	20-44051-S
use of every second and every inch	57-30450-S
use of foreign currency	26-57085-S
use of great talent	17-18573-S
use of military force	35-44240-S
use of sth	47-1269-S
use of tonics to restore the patient s health	56-57428-S
use of words	62-64061-B
use old methods	37-27291-S
use on	43-34006-B
use on foodstuffs	5-40294-S
use one s position to bully others	42-7048-S
use other people s experience	6-1826-S,6-1937-S
use others strengths to make up for one s weak points 成语 saw from mencius	11-59061-S
use powerful connections to intimidate people	42-6057-S
use public office to avenge private wrongs	7-58035-S
use romanization system introduced in taiwan in 2003	62-11110-S
use sb as a stepping stone to fortune	30-14429-S
use separately	14-19749-B
use sign language	36-9643-S
use sparingly	25-34941-S,48-29617-S
use sth as a metaphor	5-65193-S
use strong words	14-42719-S
use the able 成语 saw	4-44001-S
use the correct method	32-34472-S
use the current topic to put over one s own ideas	6-2105-S
use the past to disparage the present 成语 saw	5-64777-S
use the same oil repeatedly for deep frying a possible health hazard	14-58183-S
use the toilet	57-49063-S
use their heads	32-32698-S
use this in place of that	11-59061-S
use together with sth	62-23244-B
use up	7-6723-S,38-31697-S,45-7675-S
use up completely	43-35797-S
use vague or ambiguous language	66-49033-S
use whatever methods you can	14-62332-B
use words	43-34605-B
useable	12-36013-B,43-34789-B
used	17-29393-S,26-34948-S,44-21557-S
used after a verb give it a go	1-399-B
used after a verb or adjective as main verb	24-6019-S
used after name of a ship	55-55154-S
used as a bubbling agent in detergents	40-43110-S
used as a calibration point in some temperature scales	64-29672-S
used as a factory	23-7844-S
used as a medicinal herb in ancient times	4-29564-S
used as a parameter	11-41103-S
used as a pretext in sentencing dissidents	60-62819-S
used as a thickener	71-17272-S,71-22203-S
used as a wall hanging	16-31472-S
used as alarm signal over long distance	40-43860-S
used as antibiotic	4-4908-S
used as decoration by actors or in hui nationality	50-46535-S
used as ear plug	42-57938-S
used as equivalent for 抢 qiang1	26-15493-B
used as foodstuff	52-12236-S
used as gossip	27-54589-S
used as hailer	49-22861-S
used as phonetic	18-56560-B,22-22066-B
used as phonetic bi or pi	12-66327-B
used as phonetic for ga	4-63091-S
used as phonetic for za ke or sack	55-22977-B
used as phonetic in transliteration	55-37341-B
used as phonetic ka	13-26460-B
used as poison	70-53455-S
used as pretext for the second opium war	3-63343-S,3-63507-S
used as proof	24-22725-S
used as secret code	8-60709-S
used as shelter	47-57912-S
used as shoes	56-52845-S
used as toilet	69-39061-S
used as traditional character	5-1329-S,11-12109-S
used as translation for country under a chief	63-36827-B
used as translation for foreign leaders	63-36709-B
used at lantern festival 元宵節 元宵节	53-58238-S
used at 端午	71-61573-S
used before a noun	44-58948-S
used before a verb or adjective	15-37428-S
used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity	51-24509-S
used before verb or clause	32-15317-S,32-16427-S
used bike market	53-29217-B
used broadly for many pre qin scripts	17-30240-B
used by british colonial power to refer to independent states of india or africa	15-32913-S
used by buddhists	16-48000-S
used by daoist priests	39-42849-S,70-39180-S
used by monk of himself	59-35154-S
used by optician	57-34521-S
used by peddlers	68-6417-S
used by peddlers or as a toy	29-12476-S
used by plumbers and glaziers	37-42816-S
used by sb	43-35947-S
used by sentry	11-67353-S
used by servant	3-4456-S
used by shopkeeper to clients	7-14082-S
used by spammers	6-52599-S
used by street peddlers	14-6758-S
used by the duke of zhou hosting his vassals	15-57374-S
used by the japanese as a pretext to annex manchuria	3-17360-S,33-49592-S
used by the nationalist government in their 1930s campaigns against the communists	9-38657-S
used by the sudanese government against darfur rebels	59-53751-S
used by women	61-5998-S
used directly after a noun	37-26625-S
used erroneously for konghou 箜篌 harp or 笙簧 sheng	48-24935-S
used erroneously for xun2 尋 寻	29-5458-B
used erroneously for 作為 作为	6-15435-B
used erroneously for 反應 反应	11-50158-B
used erroneously for 狻	59-27837-S
used erroneously for 白羊座	41-50966-B
used erroneously for 絮 xu2	55-15136-B
used erroneously for 肏	29-20480-S
used erroneously for 貌	59-27837-S
used erroneously for 陝 陕 shaanxi	66-19113-B
used erroneously for 魔羯座	29-2280-B
used esp in girl s names such as anna 安娜 or diana 黛安娜	18-50809-B
used for	6-13941-S,12-11163-S,43-34157-S
used for ablutions in a monastery	40-1105-S
used for amusement	42-37776-S
used for animals	41-50242-S
used for bathing	38-14767-S
used for building and sculpting	39-50663-S
used for comparison and er than	36-8397-S
used for crab meat in general	56-19623-B
used for divination	11-11771-S
used for earth	43-53125-S
used for emphasis	12-10925-S,54-56212-S
used for english t shirt	25-643-S
used for ferret	42-15235-B
used for film and fiber	63-47356-S
used for foot binding	57-3618-S
used for grain offerings	43-3352-S
used for homophone 癮君子 瘾君子	66-46711-B
used for issue of a periodical	32-50939-B
used for mail	6-36841-S
used for making goblets	43-8500-S
used for many fishing birds	70-39097-S
used for medical test	27-15955-S
used for medicine	53-62494-S
used for military uniforms etc	9-11549-S
used for musical instruments	34-15512-S
used for names of books etc	32-10258-S
used for organizations such as médecins sans frontières	40-48729-S
used for paints	66-63249-S
used for private interests 成语 saw	6-6513-S
used for public transportation	20-61157-S
used for rooms	65-43568-S
used for rope or sacks	71-25761-S
used for shirts	22-63212-S
used for their physical strength mules	41-55347-S
used for things	19-20121-S
used for tracking	53-17723-S
used for transcribing names	33-40753-B
used for whetstone	46-30333-S
used for 師傅 师傅 in taiwan	22-26421-B
used for 旗語 旗语 semaphore	31-3456-B
used for 棉	50-12005-S
used for 殍 piǎo	54-23854-B
used goods	3-38942-B
used in a name	58-64473-S
used in a prc economic program c 1955 1993	49-211-S
used in acupuncture	64-29349-S
used in advertising	19-48857-B
used in advertising instrumental tuition	7-53598-B
used in antifreeze	3-39163-S
used in battle	23-64756-S
used in blast furnace	40-65335-S
used in bookbinding	15-60970-S
used in buddhist transliteration	65-51538-B
used in chinese medicine	5-10445-S,41-48807-S,48-3330-S,49-29366-S,66-28721-S
used in chinese medicine to draw the blood and qi 氣 气	27-33756-S
used in classifying amino acids	6-20010-S
used in company names	55-9038-S
used in concrete 混凝土	70-318-S
used in constructing words for feelings such as anger	4-33981-B
used in cooking	46-10886-S
used in cooking cakes	63-42480-S,63-42558-S
used in divination	43-42180-S
used in drilling troops or gymnasts	11-67353-S
used in dyeing trough	60-61028-S,60-61090-S
used in falconry	66-54042-S
used in financial analysis	15-48363-S,47-26383-S
used in fixing photos formerly hyposulphite	38-20861-S
used in folk dancing	67-49778-S
used in fractions	4-19581-S
used in gambling	53-44499-S
used in give names	68-62292-B
used in given names	38-41347-B,42-1383-B,47-6286-B,64-58763-B
used in historical names	47-6202-B
used in hospitals	13-17756-S
used in hotel names	21-32636-B
used in japanese names with phonetic value hatake	43-48213-B
used in japanese names with phonetic value ogi	54-20489-B
used in ladies names	18-61964-S
used in malaysia and indonesia	65-44538-S
used in medical research	56-29766-S
used in metal inscriptions	65-804-S
used in microelectonics	7-7170-S
used in modern book titles	48-36353-S
used in names	64-23088-B
used in names of media companies	18-50631-B
used in names of people and shops	65-7374-B
used in names of publications or documentaries	28-23627-S
used in negative sentence	24-10484-S
used in old names	6-27910-B
used in painting	36-40137-S
used in particle physics	67-27377-S
