of 繪 绘	49-55358-S
of 繼 继	49-62925-S
of 續 续	49-62974-S
of 纖 纤	50-39577-S
of 缺	65-52378-S
of 罐	50-50093-S
of 罪	61-34031-S
of 罵 骂	69-50670-S
of 羅圈 罗圈	50-56390-S
of 羅布 罗布	50-55493-S
of 羅睺 罗喉	50-50938-S,50-56206-S
of 羅鍋 罗锅	50-62483-S
of 羊角風 羊角风	51-1025-S
of 群	51-10467-S
of 義和團 义和团	59-3214-S
of 老	71-64145-S
of 老伴	51-25363-S
of 老客	51-27440-S
of 考	29-43304-S
of 耽	60-57811-S
of 聊天 聊天	51-43607-S
of 聯繫 联系	51-62223-S
of 聽 听	51-67639-S
of 聽牆根 听墙根	52-898-S
of 肅 肃	48-51083-S
of 脅 胁	52-29189-S
of 腦 脑	52-35506-S
of 臟 脏	52-53335-S
of 臭氧	53-15920-S
of 舉 举	27-67406-S
of 舍	53-30508-S
of 舖 铺	53-31772-S
of 舟山市	19-46375-S
of 艎	34-36791-S
of 芥蘭 芥兰	53-52631-S
of 花	10-20571-S,53-54455-S
of 芸	55-14557-S
of 若望 or 約翰 约翰	53-66717-S
of 茅	54-7866-S
of 茹	55-15136-S
of 茹漆	55-15234-S
of 茹藘	55-15283-S
of 莊 庄	54-19115-S
of 著邊 着边	54-56062-S
of 蒼 苍 house fly	56-12980-S
of 蓋茨 盖茨	55-6359-S
of 蕩然 荡然	45-14502-S
of 薰	55-26899-S
of 藏	55-13542-S
of 藥 药	55-26945-S
of 藥水 药水	55-34432-S
of 處 处	8-29528-S
of 蛇	55-56945-S
of 螃蟹 crab	56-9990-S
of 螈	55-58166-S
of 螢 萤	55-61282-S
of 螭	23-60112-S
of 蟹 蟹 crab	56-20455-S
of 術 术	32-68134-S,32-68192-S
of 衛	56-40413-S
of 衛星電視 卫星电视	56-38728-S
of 衽 overlapping part of chinese gown	46-52214-S
of 袱	22-34770-S
of 補缺 补缺	56-60043-S
of 裡邊 里边	57-2381-S
of 褒	57-9591-S
of 褰	29-32669-S
of 褲 裤	49-48385-S,56-52622-S
of 褲子 裤子	56-52662-S
