wu1 zi1 bie2 ke4 zu2	40-37549-B
wu1 zi4	36-63123-B
wu1 zi5	21-20360-B
wu1 zu2	14-37839-S
wu2	4-48054-S,9-4022-S,12-14454-S,13-7003-B,13-53157-B,19-14544-S,21-7566-S,21-40866-B,34-15134-B,36-3304-B,36-16346-S,40-45824-B,43-56589-S,47-6202-B,54-18247-S,54-40442-S,55-3166-S,55-16137-B,55-36347-S,55-53297-S,56-3840-B,63-21671-B,64-35704-B,64-35743-B,70-33093-S,71-9157-B,71-50738-B
wu2 ba3 wo4	40-53888-B
wu2 ba4	21-61465-S
wu2 ban4 zou4 he2 chang4	40-46258-B
wu2 bao3 liu2	40-46475-B
wu2 bi3	9-45569-S,18-2223-S,40-55720-B
wu2 bian1	40-62761-B
wu2 bian1 wu2 ji4	40-62824-B
wu2 biao3 qing2	40-61310-B
wu2 bing4 shen1 yin2	40-57620-B
wu2 bing4 zi4 jiu3	40-57763-B
wu2 bu3	30-64868-S,40-61403-B
wu2 bu4 sheng4	26-18920-S
wu2 cai1	40-56780-B
wu2 ce4	33-11937-S
wu2 chan3 jie1 ji2	40-57351-B
wu2 chan3 zhe3	38-4116-S,40-57273-B
wu2 chan3 zhe3 lian2 he2 qi3 lai5	7-33601-S
wu2 chang2	8-40954-S,40-46948-B,40-50255-B,47-2422-S
wu2 cheng2	40-52733-B
wu2 chi3	40-51942-B,54-17941-S
wu2 chi4	40-60551-B
wu2 chu1 qi2 you4	40-47106-B
wu2 chu4	40-61198-B
wu2 chu4 rong2 shen1	40-61238-B
wu2 cong2	40-51147-B
wu2 cun2	55-16020-S
wu2 cun4 tie3	26-34707-S
wu2 cuo4	26-36384-S
wu2 da4 wu2 xiao3	40-49224-B
wu2 dang3 pai4	40-64557-B
wu2 dao4	40-62702-B
wu2 di2	40-54399-B
wu2 di3	40-50452-B
wu2 di3 dong4	40-50586-B
wu2 di3 keng1	40-50494-B
wu2 di4 fang4 shi3	40-57922-B
wu2 di4 zi4 rong2	40-49086-B
wu2 ding4 xing2 tan4	40-49824-B
wu2 dong1 wu2 xia4	40-47008-B
wu2 dong4 yu3 zhong1	40-47419-B
wu2 du2 bu4 zhang4 fu5	40-55615-B
wu2 du2 you3 ou3	40-56859-B
wu2 du3	32-37334-S
wu2 du4	23-63929-S,28-50657-S,40-50646-B
wu2 duan1	40-58919-B
wu2 duan1 duan1	40-58973-B
wu2 dui4 zheng4	35-58308-S
wu2 e4 bu4 zuo4	40-52307-B
wu2 er3	50-1495-S
wu2 er3 Zi4 zhi4 qu1	30-52769-S
wu2 er3 ren2	50-1565-S
wu2 er3 yu3	50-1734-S
wu2 er3 zu2	50-1642-S
wu2 er4	42-17783-S
wu2 er4 yong4	24-34455-S
wu2 er4 zhi4	36-16430-S
wu2 fa3	40-55875-B
wu2 fa3 ji4	45-17733-S
wu2 fa3 ren3 shou4	40-56004-B
wu2 fa3 wu2 tian1	40-56070-B
wu2 fa3 xing2 rong2	40-55923-B
wu2 fan3 gu4	51-13678-S
wu2 fan4	47-15074-S
wu2 fang2	40-49492-B
wu2 fei1	40-64176-B
wu2 feng1 bu4 qi3 lang4	40-64393-B
wu2 feng4	40-60322-B
wu2 feng4 lian2 jie1	40-60364-B
wu2 fu2 hao4	40-59032-B
wu2 fu2 hao4 shu4	69-16516-S
wu2 fu2 ji1 zhi1 li4	26-34786-S
wu2 ge1 wang2 chao2	33-47238-S
wu2 gong1	10-5907-S,24-5338-S,56-3871-B
wu2 gu1	40-62470-B
wu2 gu3 ren2 hou4 wu2 lai2 zhe3	9-21785-S
wu2 gu4	40-54281-B
wu2 guai4	40-51705-B
wu2 guai4 hu1	40-51764-B
wu2 guan1	40-63455-B
wu2 guan1 jin3 yao4	40-63535-B
wu2 gui1	56-25487-S
wu2 gui3	40-62362-B
wu2 gui3 dian4 che1	40-62404-B
wu2 guo2 jie4	40-48729-B,57-67031-S
wu2 guo2 jie4 ji4 zhe3	40-48848-B
wu2 guo2 jie4 yi1 sheng1	40-48955-B
wu2 hai4	40-49897-B
wu2 he2	40-54677-B,40-64297-B
wu2 he2 hua4	40-54725-B
wu2 he2 qu1	40-54805-B
wu2 heng2	40-51833-B
wu2 hua1 guo3	40-61036-B
wu2 hua4 ke3 shuo1	40-61628-B
wu2 huan2 zi3	40-52025-B
wu2 hui3	40-51599-S
wu2 ji1	40-55309-B,40-58531-B,54-17244-S,54-18484-S
wu2 ji1 hua4 xue2	40-55358-B
wu2 ji1 wu4	40-55431-B
wu2 ji1 yan2	40-55491-B
wu2 ji1 zhi1 tan2	40-58571-B
wu2 ji2	40-55162-B
wu2 ji3	20-11691-S
wu2 ji3 zhui1	40-60861-B
wu2 ji3 zhui1 dong4 wu4	40-60917-B
wu2 ji4	1-11282-S,40-62824-S
wu2 ji4 dan4	52-3895-S
wu2 ji4 ke3 shi1	40-61520-B
