shòu	2-2711-S,2-3646-S,2-76432-S,4-1928-S,4-20535-S,6-28404-S,6-36439-S,7-23168-S,8-37035-S,8-47943-S,9-32409-S,11-59260-B,13-53952-B,16-38105-B,18-26927-S,18-59130-S,19-51756-S,19-59387-S,21-33037-S,21-61605-S,22-54398-S,23-16577-S,23-17304-S,23-36670-S,24-42769-S,24-65362-S,25-39646-S,25-40023-S,26-60830-S,27-27453-S,27-31447-S,27-45332-S,27-58195-S,27-66056-S,28-11844-B,28-12229-S,28-25319-S,29-35780-S,30-2829-S,30-2911-S,33-2317-S,34-42021-S,34-52494-S,36-50003-S,38-29712-S,38-31454-S,38-63743-S,39-49021-S,40-56004-S,40-62943-S,41-54886-S,42-8385-B,42-12168-S,42-17638-B,42-21592-S,42-25203-B,42-43586-S,42-62247-S,44-15451-B,44-18779-B,44-22404-S,46-54829-S,46-58574-S,47-10417-S,49-58127-S,50-801-B,51-36029-S,52-46677-S,53-796-S,54-14948-S,54-61691-S,55-56282-S,58-54606-S,60-12624-S,60-52827-S,60-64395-S,61-24372-S,61-65870-S,62-66249-S,63-37717-S,63-40807-S,64-3932-S,64-33585-S,65-12638-S,66-27078-S,66-35073-S,66-53459-S,67-11834-S,67-19902-S,67-51145-S,68-33642-S,68-64468-S,69-3999-S,69-7338-S,69-45177-S,70-12836-S,70-18779-S,70-50071-S,70-55051-S
shòu biě	11-62981-B
shòu bì jìng shì jiào shòu	30-2911-S
shòu bìng	11-62934-B
shòu bù liǎo	11-59370-B
shòu bǎo rén	11-59744-B
shòu bǎo xiǎn	4-7634-S
shòu bǎo zhàng jiān dū de shè shī	11-59850-B
shòu bǐ nán shān	16-38864-B
shòu cháng	44-18993-B
shòu cháo	11-62550-B
shòu chén	16-39419-B
shòu chéng fá	11-61473-B
shòu chí	11-61610-B
shòu chǒng	11-61174-B
shòu chǒng ruò jīng	11-61260-B
shòu cuò	11-61682-B
shòu cái	16-38674-B
shòu diàn	67-20009-S
shòu dào	11-60273-B
shòu dào yǐng xiǎng	11-60343-B
shòu fēng xiāng	16-39338-B
shòu fěn	28-12535-B
shòu fǎng zhě	11-64637-B
shòu guāng	16-38140-B
shòu gé	11-62020-B
shòu gù	11-60118-B
shòu gōng jī	31-27594-S
shòu gǔ lín xún	44-19034-B
shòu huì	11-61420-B,11-64797-B
shòu huò	13-54369-B
shòu huò jī	53-2056-S
shòu huò tái	13-54475-B
shòu huò yuán	13-54417-B
shòu huān yíng	1-75014-S,11-62218-B
shòu hài	2-7996-S,11-60914-B
shòu hài zhě	11-60965-B
shòu hán	11-61036-B
shòu hòu fú wù	13-54043-B
shòu jià	13-53983-B
shòu jiào	11-61854-B
shòu jiè	11-61528-B
shòu jiǎng	28-12482-B
shòu jiǎo lèi kǒng lóng	42-25501-B
shòu jiǒng	11-63489-B
shòu jì	28-12675-B
shòu jī	12-61006-S
shòu jīng	11-63610-B,28-12581-B,32-56988-S,70-6249-S
shòu jīng luǎn	11-63686-B
shòu kàn	11-63186-B
shòu kè	28-12732-B
shòu kùn	11-60773-B
shòu kǔ	11-64381-B
shòu liáng	11-62500-B
shòu liè	42-8490-B
shòu liè chǎng	42-8532-B
shòu luó	47-3227-S
shòu lèi	11-63817-B,42-25911-B
shòu lì	51-36085-S
shòu lì chē	42-25242-B
shòu lǐ	1-75081-S,11-62818-B,11-63414-B,16-39035-B
shòu lǐng	11-65428-B
shòu lǐng zhě	11-65474-B
shòu miàn	16-39693-B
shòu mài	13-54535-B
shòu mìng	11-60517-B,16-38248-B,22-38476-S,28-12283-B,52-56397-S
shòu mìng yú tiān	11-60608-B
shòu nián fēng	4-7706-S
shòu nàn	11-65170-B
shòu nàn jié	51-40968-S
shòu nàn zhě	11-65330-B
shòu nán jì niàn	11-65265-B
shòu níng	16-38392-B
shòu piàn	11-65532-B
shòu piào chù	13-54309-B
shòu piào dà tīng	13-54238-B
shòu piào kǒu	13-54117-B
shòu piào yuán	13-54177-B
shòu pìn	11-64002-B
shòu pìn yú	11-64162-B
shòu pí	42-25406-B
shòu qióng	11-63569-B
shòu quán	11-62145-B,28-12434-B
shòu qì	11-62281-B,25-39767-S
shòu qì bāo	11-62358-B
shòu ruò	44-18901-B
shòu rè	11-62768-B
shòu rèn	11-59582-B,28-12015-B
shòu ròu	44-18949-B
shòu rú chái	70-1128-S
shòu rǔ	11-64912-B,28-11905-B
shòu shàn	11-63358-B
shòu shì	11-59455-B
shòu shì jiè	70-35969-S
shòu shì zhě	11-64739-B
shòu shí	28-12387-B
shòu shí rén	42-28888-S
shòu shù	16-38458-B,42-25667-B,57-64499-S,69-44778-S
shòu shù yǐ jǐn	16-38519-B
shòu shān	54-44329-S
shòu shāng	1-74947-S,5-13236-S,11-59971-B,67-19944-S
shòu shāng hài	11-60063-B
shòu shěn	11-61101-B
shòu shěn wèn	28-25374-S
shòu shǎng	11-64857-B
shòu shǔ	11-61935-B
shòu sàn	70-50129-S
shòu sī	16-38209-B
shòu sǔn	6-18312-S,11-61736-B
shòu tuō	11-64487-B
shòu tuō rén	11-64531-B
shòu tuō zhě	11-64584-B
shòu táng	16-38309-B
shòu táo	16-38715-B
shòu táo bāo	16-38780-B
shòu tāi	11-64291-B
shòu tīng	11-64224-B
shòu tǐ	11-65595-B
shòu wáng fén	16-38956-B
shòu xiàn	16-39221-B,16-39482-B
shòu xiáng	11-65036-B
shòu xiáng yí shì	11-65092-B
shòu xiǎn	16-39607-B
shòu xiǎng	11-59537-B
shòu xué	42-25456-B
shòu xuē	44-18818-B
shòu xìng	11-61369-B,12-13763-S,42-25316-B,51-36168-S
shòu xíng	11-60213-B,42-25610-B
shòu xùn	11-64433-B
shòu xīng	16-38622-B
shòu xūn	28-12177-B
shòu xǐ	11-62439-B
shòu yuē shù	1-75176-S,11-63749-B
shòu yáng	16-39541-B
shòu yè	11-62063-B
shòu yì	11-63046-B,28-12333-B
shòu yì rén	11-63102-B
shòu yòng	11-62881-B
shòu yù	42-25358-B
shòu yùn	4-8740-S,11-60824-B
shòu yī	16-39290-B,42-25804-B
shòu yī xué	42-25848-B
shòu yǔ	28-11963-B,28-12629-B
shòu zhi	11-63294-B
shòu zhì	11-60441-B
shòu zhòng	11-63233-B
shòu zhě	28-25474-S
shòu zhī pèi	11-61778-B
shòu zhōng zhèng qǐn	16-39105-B
shòu zi	44-18857-B
shòu zuì	11-63906-B
shòu zāi	11-62616-B
shòu zāi dì qū	11-62700-B
shòu zǔ	11-64975-B
shòu é	64-33641-S
shóu	22-31770-S,41-10561-S
shóu liàn	10-59136-S
shóu yǔ	41-16635-B
