stir up	27-64445-S,27-66273-B,29-13332-S,29-15460-S,29-33573-B
stir up a row	28-54982-S
stir up behind sb s back	26-22323-S
stir up emotions	29-13194-S
stir up fire and get burnt expr 	25-27008-B
stir up the fire	25-26903-S
stir up trouble	25-26828-S,26-22774-S,27-44494-S,28-10357-S,28-55333-S,29-13495-S,58-36820-S,58-37224-S,71-40529-S
stir up trouble in secret	71-43262-S
stir up trouble or emotions	57-54266-S
stir up troubles	13-19755-S
stirring	25-9552-S,25-43261-S
stirring strains	25-10278-B
stirring up trouble	25-27123-B
stirrup	65-936-B,69-43122-B,69-43741-B
stirrup bone of middle ear	65-967-S
stirs	32-8741-S
stitch	29-13194-B,49-28031-S,49-34990-S,50-26545-S,50-26969-S,50-27424-S,64-18929-B
stitch embroidery	27-66213-S
stitch finely	50-17961-S
stitch of clothing	1-17545-S
stitch together	50-11109-S
stitch up	23-51750-S
stitches	50-27424-S
stitches from a wound	27-19607-S
stjørdal city in trøndelag	30-40477-B
stoat	71-50480-B
stochastic effect	66-44478-B
stock	6-57321-S,12-36945-S,19-8469-B,20-21684-S,22-66124-B,30-59340-S,31-51880-S,33-64541-S,42-49958-S,43-50890-S,48-4641-S,48-4737-S,52-6087-S,52-9755-B,52-10109-S,55-29157-S,70-17344-S
stock animal	52-47219-S
stock broker	58-60119-B
stock company	52-9816-S
stock cooking	22-60611-B
stock exchange	1-53129-S,3-69885-B,49-11934-S,49-16540-S,49-19471-S,52-10506-B,52-10683-B,58-59700-B,58-60035-B
stock in one day s trading	39-53993-S
stock in theater	5-38299-B
stock liquid from stewing meat etc	11-34186-B
stock market	1-49233-S,1-53246-S,39-5501-S,52-10024-B,52-10452-B,52-10683-B,58-60287-S,58-60371-S,69-26919-S
stock market index	31-11407-S,39-31573-S
stock of animal species	47-32047-S,47-33468-S
stock options	65-28590-S
stock price	52-9968-B
stock prices	42-12334-S
stock right	52-10287-B
stock sales	34-16113-S
stock up	14-62792-S
stockade	20-20514-B,34-13049-B,46-15489-B,63-11694-S
stockholder	52-10242-B
stockholm capital of sweden	30-40386-B
stocking	49-55154-B,65-19639-B
stockings	12-44573-S,57-11547-B,57-11584-B,65-18699-B,68-6276-B
stockpile	6-59265-B,6-59265-S,30-34848-S,33-58686-S,47-39083-S,47-40368-S,59-41184-B
stocks	33-39813-S
stocks and chain	33-39904-B
stocks and knives	34-1309-S,34-1417-S
stocks chinese company stocks incorporated outside mainland china and listed in the hong kong stock exchange	49-11934-S
stocks incorporated outside mainland china and listed in the hong kong stock exchange	49-11934-S
