xian4 bing1 dui4	25-57365-B
xian4 bing3	33-38108-S,55-43539-S,69-18094-B
xian4 bing4 du2	4-18418-S,52-45755-B
xian4 chang2	23-35701-S
xian4 chang3	42-49816-B
xian4 chang3 shi4 cha2	42-49881-B
xian4 cheng2	42-50372-B,50-26315-B
xian4 chong2	48-25601-S,50-726-B
xian4 chuan1 zhen1	23-30269-S
xian4 chui2 ti3	52-45694-B
xian4 cun2	42-49958-B
xian4 dai4	42-48858-B
xian4 dai4 Zhong1 guo2	61-56868-S
xian4 dai4 hua4	14-46395-S,15-13644-S,21-56112-S,42-48935-B,47-17802-S,48-11870-S,61-41561-S
xian4 dai4 ji2 tuan2	42-49254-B
xian4 dai4 pai4	42-49123-B
xian4 dai4 shi3	61-48590-S
xian4 dai4 wu3	42-49197-B
xian4 dai4 xing2 shi4	42-48994-B
xian4 dai4 xing4	42-49067-B
xian4 dai4 yin1 yue4	42-49318-B
xian4 dai4 zhu3 yi4	24-698-S
xian4 dan1 yuan2	32-41174-S
xian4 dao4 lai2	17-38441-S
xian4 de5 nu:3 ren2	26-8394-S
xian4 di4 qu1	19-67701-S,24-50764-S,54-46990-S
xian4 dian4	40-59712-S
xian4 dian4 bo1	40-59975-S
xian4 dian4 hua4	40-60065-S
xian4 dian4 jie1 shou1 ji1	40-59766-S
xian4 dian4 shi4	32-38484-S
xian4 dian4 shou1 fa1 ji1	40-59861-S
xian4 diao4 da4 yu2	29-53078-S
xian4 ding4	66-18667-B
xian4 du4	32-18907-S,60-24297-S,66-18720-B
xian4 du4 li3 lun4	32-18969-S
xian4 duan4	50-17222-B
xian4 fa3	3-51183-S,25-57575-B
xian4 feng1 guang1 zai4 xian3 feng1	40-63881-S
xian4 feng1 zheng1	30-60108-S
xian4 gan1	1-38747-S,3-40214-S,52-45859-B,67-33810-S
xian4 gan3	50-17129-B,67-33885-S
xian4 gei3	42-26138-B
xian4 gong1 si1	2-61362-S,32-41090-S,37-1297-S
xian4 gong1 zuo4 bu4	49-51214-S
xian4 guan3	56-14868-S,66-24581-S
xian4 guang1	49-28392-S
xian4 guang1 pu3	31-62636-S
xian4 guo4 dong4 zheng4	37-44500-S
xian4 hai4	66-32188-B
xian4 han4 ji4	33-21917-S
xian4 hao2	44-31461-S
xian4 huo4	42-50863-B
xian4 huo4 jia4	42-50924-B
xian4 ji1 su4	49-49599-S
xian4 ji2	50-26375-B
xian4 ji2 shi4	50-26421-B
xian4 jia1 su4 qi4	45-23254-S
xian4 jia4	36-5876-S,66-18349-B
xian4 jie1 duan4	42-51191-B
xian4 jin1	8-8831-S,22-66195-S,26-37024-S,42-48804-B,42-51044-B,49-6273-S
xian4 jin1 liu2 liang4	42-51083-B
xian4 jing3	66-32503-B
xian4 ju4	50-17804-B
xian4 keng1	66-32126-B
xian4 kuan3	42-50534-B
xian4 kuang4	42-50574-B
xian4 lan4	50-17492-B
xian4 li4	56-45564-S
xian4 li4 ti3	50-17314-B
xian4 liang4 xue2	39-3805-S
xian4 lin2 tou2	17-38544-S
xian4 lu4	30-21142-S,50-17632-B,67-37588-S
xian4 lu:4	27-9455-S,59-48457-S
xian4 lun4	32-5789-S
xian4 luo4	66-32332-B
xian4 luo4 dai4	66-32439-B
xian4 mei4	42-26064-B
xian4 mi4 ding4	52-25670-S
xian4 mu4	51-12289-B,59-13621-S
xian4 mu4 ta3	22-59776-S
xian4 ni3 he2	32-5722-S
xian4 nian2	42-50269-B
xian4 pi2 zhi4	52-36737-S
xian4 pu3	3-53098-S
xian4 qi1	40-63812-S,66-18815-B
xian4 qi4	66-58975-S
xian4 qian2	42-51151-B
xian4 qiao2	60-39900-S
