classifier for cannons and statues	20-42393-B
classifier for cases or unpredictable events	60-15659-B
classifier for clothes suit	60-55088-B
classifier for coins	33-35465-B
classifier for cross pieces	35-11306-B
classifier for devices	8-4561-B
classifier for doors or windows	34-52109-B
classifier for dramas	8-33733-B
classifier for drinks glass	33-13274-B
classifier for events	4-41175-B,21-19307-B
classifier for events and happenings	16-12860-B
classifier for events or states of short duration	66-20587-B
classifier for events such as sports matches	16-13020-B
classifier for events time	62-66090-B
classifier for families or businesses	19-60606-B
classifier for fields	43-53921-B
classifier for flat objects	23-37289-B
classifier for flat surfaces such as drums	68-891-B
classifier for flowers	32-70164-B
classifier for food dish	45-10338-B
classifier for games match	21-16456-B
classifier for gifts	4-44561-B
classifier for groups	42-46221-B
classifier for guns or machinery	27-71150-B
classifier for gunshots	44-25775-B
classifier for hats	68-19696-B
classifier for horses	10-39948-B
classifier for houses	22-34925-B,26-27570-B
classifier for houses or buildings	34-22678-B
classifier for items	71-37621-B
classifier for jiao 角	36-13155-S
classifier for lamps	45-6830-B
classifier for large guns	65-21183-B
classifier for layers	21-24724-B
classifier for lessons	65-21183-B
classifier for loads of laundry	50-48321-B
classifier for locations or items of damage spot	55-48777-B
classifier for long objects such as guns	34-8756-B
classifier for long slender objects	33-63839-B
classifier for long thin stretches	62-49380-B
classifier for long thin things ribbon	34-13801-B
classifier for loops or orbits	15-1310-B
classifier for meals	68-32433-B
classifier for movies	41-43965-B
classifier for noises	68-18669-B
classifier for number of people participating	4-11455-B
classifier for number of some languages and actions cannot be followed by a noun	16-12860-B
classifier for objects with handle	26-65079-B
classifier for pairs	9-31594-B
classifier for panels	26-31022-B
classifier for people	4-66195-B,12-53008-B
classifier for people or objects in general	5-52353-B
classifier for phrases or lines of verse	12-5649-B
classifier for pieces of cloth	16-14150-B
classifier for pigs or livestock	68-35986-B
classifier for planes	33-39414-B
classifier for plays or chapters of classical novels	71-56194-S
classifier for repeated actions time	43-56906-B
classifier for rods such as pens and guns	29-37208-B
classifier for roof beams and trusses	34-36879-B
classifier for rows or strings	3-1164-B
classifier for sealed objects	20-32299-B
classifier for sections of a tv series etc episode	66-56500-B
classifier for segments	48-28185-B
classifier for ships	53-39361-B
classifier for short time intervals	9-14180-B
classifier for small indeterminate quantities	71-37621-B
classifier for small round things peas	48-47933-B
classifier for small spheres	68-42574-B
classifier for smells	52-9678-B
classifier for sounds	51-65159-B
classifier for square things	30-61117-B
classifier for sticks	33-38159-B
classifier for suits esp of funeral robes	57-12180-B
classifier for sums of money	48-14041-B
classifier for textiles or pictures	22-33702-B
classifier for theatrical scenes	27-8254-B
classifier for things with mouths such as people	11-67016-B
classifier for time intervals	65-46337-B
classifier for times	60-30389-B
classifier for trees	34-24518-B
classifier for trees or plants	33-54275-B
classifier for urine or feces	37-36817-B
classifier for vehicles	61-13794-B
classifier for vehicles or machines	53-20207-B
classifier for walls	16-13722-B
classifier for wine and liquids	43-12078-B
classifier for wisps of cloud	27-15528-B
classifier for works of literature	63-22531-B
classifier for written items chapter	48-31881-B
classifier for years old	35-50407-B
classifier in chinese grammar	10-2434-S,12-58923-S,64-6707-B
classifier meaning kind	47-31899-B
classify	9-2905-B,50-11339-B
classify as	35-53472-S
classifying amino acids	6-20010-S
classmate	12-46443-S,12-49609-B,12-49653-B
