mai an	52-29616-B
mai ba	71-12985-B
mai bo	52-29568-B,52-29663-B
mai bu	21-1104-S
mai cang	15-61077-B
mai chong	33-63513-S,41-21341-S,52-29714-B,67-33496-S
mai chong xing	52-29802-B,52-30300-B
mai chu	63-8756-B
mai chun	59-58945-B
mai cun guang yin	20-31887-S
mai dan	15-60818-B,59-45028-B
mai dao	59-44988-B
mai dao mai	5-61061-S
mai de	53-46717-S
mai de a ba de	53-46782-S
mai di	17-42351-S
mai di nei jia de	53-46873-S
mai dian	20-41368-S,59-59214-B
mai dian di	67-62582-S
mai diao	59-58834-B
mai dong	52-29296-B
mai dong xi	59-45440-B
mai du	37-14789-S
mai fang	59-45312-B,59-58904-B
mai fang shi chang	59-45367-B
mai fu	15-60701-B
mai guan	52-29943-B
mai guan zu zhi	52-30007-B
mai guo	59-58609-B
mai guo zei	59-58734-B
mai guo zhu yi	59-58672-B
mai hao	59-45151-B
mai hua gong	28-20430-S
mai hui	27-30227-S,51-14407-S,59-45085-B
mai jia	41-47064-S,59-44942-B,59-45206-B,71-12529-B
mai jia hu jiao	41-47115-S
mai jin	59-45769-B
mai jiu	71-12901-B
mai ke	71-11224-B
mai ke feng	71-11529-B
mai ke li	63-8824-B,71-12369-B
mai ke wei	71-11379-B
mai ken xi	71-12594-B
mai kou	52-29356-B
mai lai xing fu	64-16439-S
mai li	59-58551-B,60-318-S
mai long	14-2620-S
mai lu:	11-6746-S
mai luo	52-30078-B
mai luo mo	52-30200-B
mai ma	27-41131-S
mai mai	27-2529-S,59-45498-B
mai men	52-30494-B
mai ming	15-60740-B,66-47069-S,66-49889-S
mai mo	15-60929-B
mai pian	71-12208-B
mai pin	41-21894-S
mai rou	59-59107-B
mai rou zhe	59-59162-B
mai ru jing	71-11162-B
mai sha	57-254-S,59-58482-B
mai shang	27-30156-S
mai shi	52-29856-B
mai si ka lin	71-11740-B
mai tan weng	59-59038-B
mai te	4-30999-S
mai tong	59-45726-B
mai tou	15-61126-B
mai tou ku gan	15-61237-B
mai wan	59-58786-B
mai xi	52-29530-B
mai xi du	67-62503-S
mai xian	15-60970-B
mai xiang	52-30410-B
mai xin wen	59-6702-S
mai xu	54-52534-S
mai xun huan	8-13281-S
mai ya	52-29483-B,71-12656-B
mai ya tang	71-12693-B
mai yin	59-58992-B
mai ying hua	10-1671-S
mai zang	15-61038-B
mai zhang	2-31739-S,59-45252-B,59-45581-B
mai zhe	60-378-S
mai zhen	52-30362-B
mai zhi guan xi cong ju	2-71287-S
mai zhou	41-30317-S
mai zhou yang ying hua	10-1771-S
mai zhu	59-44900-B,59-58442-B
mai zi	71-11952-B
mai2	15-60643-B,16-32967-S,28-33416-S,41-26420-S,55-27353-B,66-26014-S,67-50303-B
mai2 cang2	15-61077-B
mai2 dan1	15-60818-B
mai2 fu2	15-60701-B
mai2 ming2	15-60740-B,66-47069-S,66-49889-S
mai2 mo4	15-60929-B
mai2 tou2	15-61126-B
mai2 tou2 ku3 gan4	15-61237-B
mai2 xian4	15-60970-B
mai2 zang4	15-61038-B
mai2 zhi4 guan1 xi4 cong2 ju4	2-71287-S
mai3	10-52099-S,19-11195-S,28-22419-S,29-42792-S,59-44874-B,60-276-S
mai3 cun4 guang1 yin1	20-31887-S
mai3 dan1	59-45028-B
mai3 dao3 mai4	5-61061-S
mai3 dao4	59-44988-B
mai3 dong1 xi5	59-45440-B
mai3 fang1	59-45312-B
mai3 fang1 shi4 chang3	59-45367-B
mai3 hao3	59-45151-B
mai3 hui2	59-45085-B
mai3 jia1	41-47064-S,59-45206-B
mai3 jia1 hu2 jiao1	41-47115-S
mai3 jia4	59-44942-B
mai3 jin4	59-45769-B
mai3 lai2 xing4 fu2	64-16439-S
mai3 li4	60-318-S
mai3 lu:2	11-6746-S
mai3 ma3	27-41131-S
mai3 mai4	27-2529-S,59-45498-B
mai3 te4	4-30999-S
mai3 tong1	59-45726-B
mai3 zhang4	2-31739-S,59-45252-B,59-45581-B
mai3 zhe3	60-378-S
mai3 zhu3	59-44900-B
mai4	2-32857-S,3-3524-S,3-4234-S,5-19976-S,5-51329-S,5-61061-S,5-61307-S,7-23332-S,8-13087-S,8-13222-S,8-45572-S,8-62650-S,9-65200-S,10-1630-S,10-10019-B,11-8068-S,11-66318-S,13-20296-S,13-50657-S,13-54535-S,14-9873-S,15-44296-S,15-49498-S,15-68330-S,16-35583-S,16-37787-B,16-50977-S,17-8030-S,17-35649-S,17-42312-S,19-24881-S,19-32007-S,20-31604-S,20-31707-S,20-41299-S,21-2901-S,21-32194-S,22-23429-S,22-50071-S,23-36890-S,26-39423-S,27-2529-S,27-30115-S,27-31142-S,27-63162-S,28-20357-S,28-55523-S,31-33201-S,34-56179-S,35-8927-S,37-56740-S,39-65105-S,39-65963-S,40-35963-S,40-53365-S,41-20682-S,41-27705-S,41-30280-S,44-12092-S,46-45168-S,46-51121-S,49-43756-S,50-6212-S,51-14331-S,51-31066-S,52-29253-B,53-66801-S,54-52464-S,55-14456-S,56-28807-S,57-3474-S,57-9178-S,59-11660-S,59-25157-S,59-38619-S,59-45498-S,59-58412-B,59-59303-S,60-52978-S,61-28354-S,63-8548-B,63-15370-S,64-47116-S,64-47283-S,65-13740-S,66-2527-S,66-8411-S,67-62464-S,70-34645-S,71-11086-B,71-12453-S
mai4 a1 mi4	71-12938-B
mai4 a1 mi4 tan1	63-9107-B
mai4 an4	52-29616-B
mai4 ba4	71-12985-B
mai4 bo2	52-29568-B,52-29663-B
mai4 bu4	21-1104-S
mai4 chong1	33-63513-S,41-21341-S,52-29714-B,67-33496-S
mai4 chong1 xing1	52-29802-B,52-30300-B
mai4 chu1	63-8756-B
mai4 chun1	59-58945-B
mai4 de2	53-46717-S
mai4 de2 a1 ba1 de2	53-46782-S
mai4 di2 nei4 jia3 de2	53-46873-S
mai4 di4	17-42351-S
mai4 dian3	59-59214-B
mai4 dian3 di1	67-62582-S
mai4 dian4	20-41368-S
mai4 diao4	59-58834-B
mai4 dong4	52-29296-B
mai4 du4	37-14789-S
mai4 fang1	59-58904-B
mai4 guan3	52-29943-B
mai4 guan3 zu3 zhi1	52-30007-B
mai4 guo2	59-58609-B
mai4 guo2 zei2	59-58734-B
mai4 guo2 zhu3 yi4	59-58672-B
mai4 hua2 gong1	28-20430-S
mai4 hui4	27-30227-S,51-14407-S
mai4 jia1	71-12529-B
mai4 jiu3	71-12901-B
mai4 ke1 li3	63-8824-B,71-12369-B
mai4 ke4	71-11224-B
mai4 ke4 feng1	71-11529-B
mai4 ke4 wei2	71-11379-B
mai4 ken3 xi1	71-12594-B
mai4 kou3	52-29356-B
mai4 li4	59-58551-B
mai4 long2	14-2620-S
mai4 luo4	52-30078-B
mai4 luo4 mo2	52-30200-B
mai4 men2	52-30494-B
mai4 pian4	71-12208-B
mai4 pin3	41-21894-S
mai4 rou4	59-59107-B
mai4 rou4 zhe3	59-59162-B
mai4 ru3 jing1	71-11162-B
mai4 sha3	57-254-S,59-58482-B
mai4 shang1	27-30156-S
mai4 shi2	52-29856-B
mai4 si1 ka3 lin2	71-11740-B
mai4 tan4 weng1	59-59038-B
mai4 wan2	59-58786-B
mai4 xi1	52-29530-B
mai4 xi1 du2	67-62503-S
mai4 xiang4	52-30410-B
mai4 xin1 wen2	59-6702-S
mai4 xu4	54-52534-S
mai4 xun2 huan2	8-13281-S
mai4 ya1	52-29483-B
mai4 ya2	71-12656-B
mai4 ya2 tang2	71-12693-B
mai4 yin2	59-58992-B
mai4 ying4 hua4	10-1671-S
mai4 zhen3	52-30362-B
mai4 zhou1	41-30317-S
mai4 zhou1 yang4 ying4 hua4	10-1771-S
mai4 zhu3	59-58442-B
mai4 zi5	71-11952-B
man	1-29215-S,2-17708-S,4-49673-S,5-26139-S,6-32684-S,6-65502-S,7-52149-S,8-64644-S,9-5634-S,9-48649-S,10-500-S,13-37764-S,15-24129-S,15-30742-S,15-40553-S,15-60670-B,16-6496-S,16-21958-S,16-23180-B,18-14481-S,18-15681-S,18-59434-B,19-29832-S,20-66992-S,21-19476-S,21-23189-B,22-34093-B,24-48079-S,24-56927-S,25-48816-B,25-49745-S,27-36477-S,29-8282-S,29-25342-S,29-30288-S,30-9111-S,31-11529-S,32-14016-B,32-51384-S,33-46197-S,34-47023-B,35-23458-S,36-2198-S,37-41521-S,38-11706-S,39-504-S,39-15460-B,39-18611-S,39-27592-S,39-35164-B,39-52161-B,39-54127-S,40-2160-B,40-16516-S,40-18480-S,41-23015-B,41-34425-S,41-36139-S,41-36290-S,45-20225-S,45-59069-B,48-37177-S,50-22991-S,50-31394-B,51-7864-S,51-16271-S,53-8595-S,53-31197-S,55-10411-B,55-10460-B,55-33241-S,55-41238-S,56-13041-B,56-22898-B,57-0-S,57-1754-S,58-59320-B,58-59350-B,59-20875-S,59-20944-S,59-34936-S,60-8709-S,61-10193-S,61-54550-S,62-67402-S,63-32723-B,63-54581-S,64-4363-S,64-57138-B,65-12716-S,65-17277-S,65-38581-S,66-5975-S,66-11811-S,66-48735-S,67-42271-S,68-48627-B,69-7831-S,69-19303-B,70-28016-B,70-28065-B,70-46876-B,71-27020-S
man Hai	19-33398-S
man Qun dao	65-37368-S
man ban	25-50101-B
man bei	55-41618-S
man bu	25-50054-B,39-52772-B
man bu zai hu	39-35230-B
man cao	55-10735-B
man chan	56-23431-B
man chang	25-50652-B,39-53299-B
man chang ye	39-52859-S
man che	25-50573-B
man cheng feng yu	39-36991-B
man chi	25-49785-S
man chong	56-16863-B
man da man suan	39-38702-B
man dai	25-49236-B
man dan	9-59411-S
man dang dang	39-39701-S,39-39932-B
man dao	19-33286-S
man deng deng	39-39786-S,39-40006-B
man di	56-23564-B,58-49307-S,58-49513-S
man di ban dao	58-49429-S
man di guo	18-14540-S
man di ke	50-59323-S
man di ren	58-49359-S
man dian	39-42022-B
man dong zuo	25-48843-B
man du	9-55511-S
man duo	39-40965-B
man e	39-41954-B
man fan	39-38121-B
man fen	39-35571-B
man fu	39-39032-B,39-40515-B,48-55910-S
man fu jing lun	39-40715-B
man fu lao sao	39-40576-B
man gan	56-23177-B
man gong	39-35519-B
man gong chu qiao jiang	25-49027-B
man gong chu xi huo	25-49136-B
man gu	39-36715-S
man guan	17-26107-S,39-41096-B
man han	56-23305-B
man heng	56-23375-B
man hua	39-52963-B
man hua ji	25-48900-B
man hua jia	39-53030-B
man huai	39-38483-B
man huang	56-23495-B
man ji he	71-27079-S
man ji he xue	71-27159-S
man jiao	55-25235-S
man jing	55-10798-B
man ka	54-42588-S
man keng man gu	39-36715-B
man kou	39-35615-B
man kou cheng zan	39-35968-B
man kou hu chai	39-36045-B
man kou hu yan	39-36140-B
man kou huang yan	39-36234-B
