quod in libro continetur[noun]	9-1563-B
quod sui juris est	41-3634-B
quodammodo	15-6319-B
quodcumque	41-3699-S
quodnam	41-4214-S
quomodo	16-1040-B
quondam	13-3777-B,13-3885-B
quoniam	24-4630-B
quoque	5-2599-B
quorum	2-3440-B,2-5349-B
quos	2-3319-B
quot	15-4281-B
quotiens	20-247-B
quotienscumque	15-4486-B
quovis	39-2289-B
quris	4-602-S
rabidus	22-3502-B
rabies	13-6025-B,18-604-B
rabiose	23-5861-B
radicitus	7-5374-B
radio	6-4405-B
radix	25-1698-B
rapiere[verb]	4-3320-B
rapina	22-4464-B
rapio	36-157-B
rapio, rapui, ratum	36-7082-B
raptor	22-4440-B
raptus[noun]	4-3341-B
rapui, ratum	36-7082-S
rare	27-2690-B
rarus	22-4011-B
ratio	21-6108-B,22-5276-B,26-2551-B
ratio verborum[noun]	9-1846-B
rationabiliter	22-5079-B
ratis	40-5911-B
ratum	36-7082-S
re vera	16-798-B
rebellis	22-5106-B
rebello	39-455-B
reboare	36-3516-B
recedentia	23-1845-B
recedo	23-1766-B,32-559-B,32-7667-B
recenseo	36-934-B
recepi, receptum	32-7604-S
receptum	32-7604-S
recessus	3-5141-B
recidivus	23-1982-B
recipero	36-461-B,36-1724-B
recipio, recepi, receptum	32-7604-B
reciproca	23-2040-B
recita[verb]	22-4793-B
recitare[verb]	22-4518-B
recitatio[noun]	22-4751-B
recito	36-328-B
recognosco	36-706-B
recolitus	40-5222-B
recolligo	14-951-B
recolo	30-3641-B,30-5255-B,36-377-B
reconcilio	36-3873-B
recondo	17-2391-B
recoquo	22-5135-B
recordatio	22-5367-B
recordo	28-5458-B
recordor	36-2390-B
recreo	36-4389-B
recro	36-1059-B
rector	14-4487-B
rectum	33-2031-S,41-43-B
rectus	23-2765-B,25-4883-B
