利器 利器	9-6038-B
利害	9-6137-S,9-6212-S
利害 利害	9-6137-B,9-6212-B
利尿	9-6317-S
利尿 利尿	9-6317-B
利尿剂	9-6359-S
利尿劑 利尿剂	9-6359-B
利川	9-6411-S
利川 利川	9-6411-B
利己主义	9-6473-S
利己主義 利己主义	9-6473-B
利市	9-6532-S
利市 利市	9-6532-B
利弊	9-6586-S
利弊 利弊	9-6586-B
利得稅 利得税	9-6681-B
利得税	9-6681-S
利息	9-6735-S
利息 利息	9-6735-B
利息率	9-6803-S
利息率 利息率	9-6803-B
利於 利于	9-6857-B
利未記 利未记	9-6914-B
利未记	9-6914-S
利权	9-6990-S
利權 利权	9-6990-B
利比亚	9-7066-S
利比亞 利比亚	9-7066-B
利比里亚	9-7113-S
利比里亞 利比里亚	9-7113-B
利津	9-7172-S
利津 利津	9-7172-B
利润	9-7234-S
利润率	9-7274-S
利潤 利润	9-7234-B
利潤率 利润率	9-7274-B
利物浦	9-7330-S
利物浦 利物浦	9-7330-B
利率	9-7391-S
利率 利率	9-7391-B
利玛窦	9-7437-S
利瑪竇 利玛窦	9-7437-B
利用	9-7503-S
利用 利用	9-7503-B
利用人工吹气	9-7595-S
利用人工吹氣 利用人工吹气	9-7595-B
利益	9-7688-S
利益 利益	9-7688-B
利益集团	9-7746-S
利益集團 利益集团	9-7746-B
利茲 利兹	9-7814-B
利落	9-7851-S
利落 利落	9-7851-B
利辛	9-7917-S
利辛 利辛	9-7917-B
利錢 利钱	9-7976-B
利钱	9-7976-S
利隆圭	9-8041-S
利隆圭 利隆圭	9-8041-B
利雅得	9-8114-S
利雅得 利雅得	9-8114-B
利馬 利马	9-8188-B
利馬竇 利马窦	9-8242-B
利马	9-8188-S
利马窦	9-8242-S
刪 删	9-8309-B
刪掉 删掉	9-8342-B
刪減 删减	9-8384-B
刪節 删节	9-8443-B
刪簡壓縮 删简压缩	9-8531-B
刪除 删除	9-8630-B
别	9-2905-S,23-46644-S
别人	9-3007-S
别克	9-3073-S
别具一格	9-3111-S
别出心裁	9-3200-S
别动队	9-3302-S
别号	9-4460-S
别名	9-3403-S
别嘴	23-46684-S
别墅	9-3450-S
别处	9-4417-S
别太客气	9-3489-S
别字	9-3636-S
别客气	9-3711-S
别开生面	9-4645-S
别扭	23-46757-S
别无	9-4022-S
别有洞天	9-3784-S
别有用心	9-3923-S
别理	9-4076-S
别的	9-4163-S
别着急	9-4360-S
别离	9-4765-S
别称	9-4205-S
别管	9-4270-S
别致	9-4319-S
别赫捷列夫	9-4499-S
别针	9-4607-S
刭	9-16433-S
刮	9-8684-S,68-59535-S
刮 刮	9-8684-B
刮伤	9-8754-S
刮傷 刮伤	9-8754-B
刮刀	9-8835-S
刮刀 刮刀	9-8835-B
刮勺	9-8884-S
刮勺 刮勺	9-8884-B
刮掉	9-8945-S
刮掉 刮掉	9-8945-B
刮痧	9-8986-S
刮痧 刮痧	9-8986-B
刮胡刀	9-9156-S
刮胡子	9-9205-S
刮脸	9-9071-S
刮臉 刮脸	9-9071-B
刮鏟 刮铲	9-9114-B
刮铲	9-9114-S
刮风	68-59579-S
刮鬍刀 刮胡刀	9-9156-B
刮鬍子 刮胡子	9-9205-B
到	9-9255-S
到 到	9-9255-B
到了	9-9327-S
到了 到了	9-9327-B
到來 到来	9-9438-B
到场	9-9486-S
到場 到场	9-9486-B
到处	9-10134-S
到头来	9-10442-S
到底	9-9555-S
到底 到底	9-9555-B
到时	9-9632-S
到时候	9-9687-S
到時 到时	9-9632-B
到時候 到时候	9-9687-B
到期	9-9766-S
到期 到期	9-9766-B
到来	9-9438-S
到此	9-9822-S
到此 到此	9-9822-B
到此处	9-9870-S
到此處 到此处	9-9870-B
到现在	9-9920-S
到現在 到现在	9-9920-B
到目前	9-9986-S
到目前 到目前	9-9986-B
到目前为止	9-10051-S
到目前為止 到目前为止	9-10051-B
到處 到处	9-10134-B
到达	9-10192-S
到达大厅	9-10243-S
到達 到达	9-10192-B
到達大廳 到达大厅	9-10243-B
到那个时候	9-10310-S
到那個時候 到那个时候	9-10310-B
到那裡 到那里	9-10392-B
到那里	9-10392-S
到頭來 到头来	9-10442-B
到﹍之上	9-10517-S
到﹍之上 到﹍之上	9-10517-B
刱	9-10574-S
刱 刱	9-10574-B
刲	9-10609-S
刲 刲	9-10609-B
刳	9-10650-S
刳 刳	9-10650-B
刵	9-10700-S
刵 刵	9-10700-B
制	9-10752-S,57-3707-S
制 制	9-10752-B
制伏	9-10827-S
制伏 制伏	9-10827-B
制作	57-3741-S
制作者	57-3791-S
制假	57-3844-S
制剂	57-3925-S
制品	57-3998-S
制图	9-10915-S
制圖 制图	9-10915-B
制定	9-10969-S
制定 制定	9-10969-B
制导	9-11027-S
制導 制导	9-11027-B
制度	9-11112-S
制度 制度	9-11112-B
制式	9-11196-S
制式 制式	9-11196-B
制式化	9-11246-S
制式化 制式化	9-11246-B
制成	57-4046-S
制成品	9-11306-S
制成品 制成品	9-11306-B
制服	9-11388-S
制服 制服	9-11388-B
制服呢	9-11549-S
制服呢 制服呢	9-11549-B
制止	9-11636-S
制止 制止	9-11636-B
制片	57-4120-S
制片人	57-4166-S
制約 制约	9-11720-B
制约	9-11720-S
制药	9-11775-S
制药业	9-11829-S
制药厂	57-4223-S
制藥 制药	9-11775-B
制藥業 制药业	9-11829-B
制裁	9-11896-S
制裁 制裁	9-11896-B
制訂 制订	9-11977-B
制订	9-11977-S
制造	57-4320-S
制造业	9-12030-S
制造业者	57-4518-S
制造厂	57-4444-S
制造商	57-4376-S
制造業 制造业	9-12030-B
制造者	57-4585-S
制陶工人	57-4635-S
制鞋匠	57-4698-S
制鞋工人	57-4762-S
刷	9-12096-S,9-12204-S
刷 刷	9-12096-B,9-12204-B
刷子	9-12237-S
刷子 刷子	9-12237-B
刷牙	9-12281-S
刷牙 刷牙	9-12281-B
刷磅	9-12329-S
刷磅 刷磅	9-12329-B
券	9-12380-S
券 券	9-12380-B
刹	9-26325-S,9-26391-S
刹不住	9-26428-S
刹住	9-26494-S
刹把	9-26553-S
刹车	9-26648-S
刹那	9-26757-S
刺	9-12429-S
刺 刺	9-12429-B
刺伤	9-12506-S
刺傷 刺伤	9-12506-B
刺儿	9-12562-S
刺儿头	9-12755-S
刺儿李	9-12635-S
刺儿话	9-12686-S
刺兒 刺儿	9-12562-B
刺兒李 刺儿李	9-12635-B
刺兒話 刺儿话	9-12686-B
刺兒頭 刺儿头	9-12755-B
刺刀	9-12846-S
刺刀 刺刀	9-12846-B
刺客	9-12886-S
刺客 刺客	9-12886-B
刺戳	9-12935-S
刺戳 刺戳	9-12935-B
刺探	9-12990-S
刺探 刺探	9-12990-B
刺杀	9-13141-S
刺柏	9-13026-S
刺柏 刺柏	9-13026-B
刺槐	9-13074-S
刺槐 刺槐	9-13074-B
刺殺 刺杀	9-13141-B
刺激	9-13198-S
刺激 刺激	9-13198-B
刺激剂	9-13274-S
刺激劑 刺激剂	9-13274-B
刺激启动不同步	9-13330-S
刺激啟動不同步 刺激启动不同步	9-13330-B
刺激性	9-13440-S
刺激性 刺激性	9-13440-B
刺激物	9-13551-S
刺激物 刺激物	9-13551-B
刺激素	9-13601-S
刺激素 刺激素	9-13601-B
刺激群	9-13657-S
刺激群 刺激群	9-13657-B
刺猬	9-14018-S
刺痛	9-13722-S
刺痛 刺痛	9-13722-B
刺穿	9-13806-S
刺穿 刺穿	9-13806-B
刺繡 刺绣	9-13878-B
刺繡品 刺绣品	9-13920-B
刺绣	9-13878-S
刺绣品	9-13920-S
刺耳	9-13974-S
刺耳 刺耳	9-13974-B
刺蝟 刺猬	9-14018-B
刺青	9-14059-S
刺青 刺青	9-14059-B
刺骨	9-14099-S
刺骨 刺骨	9-14099-B
刻	9-14180-S
刻 刻	9-14180-B
刻不容緩 刻不容缓	9-14299-B
刻不容缓	9-14299-S
刻写	9-14399-S
刻寫 刻写	9-14399-B
刻度	9-14440-S
刻度 刻度	9-14440-B
刻录	9-15760-S
刻意	9-14500-S
