san cha shen jing	1-32327-B
san chan ye	48-10180-S
san chang	30-7577-B
san chang liang duan	1-43677-B
san chi	15-55030-S
san chong	1-43565-B
san chong zou	1-43607-B
san chu	30-7404-B
san chun	2-43558-S,66-61029-S
san ci	1-36017-B,48-10121-S
san ci fang	1-36148-B,65-29737-S
san ci fang cheng	1-36210-B
san ci mi	1-36088-B
san ci qu xian	1-36290-B
san cong si de	1-34468-B
san cuo shi	44-2424-S
san da	30-8229-B
san da jia	3-24073-S
san dai	1-30112-B,48-9811-S
san dai tong tang	1-30162-B
san dan	30-9935-B,34-42755-S
san dao	7-48187-S
san dao si	68-45507-S
san de ce lu:e	8-53783-S
san deng fen	1-38979-B
san deng fen jiao	1-39063-B
san di	66-58226-S
san dian shui	1-44971-B
san die ji	1-43159-B
san du	17-15793-S
san duan lun	1-36364-B
san fa	30-9380-B
san fa si	1-37691-B
san fan	22-57903-S
san fan wu ci	1-38143-B
san fan zhi luan	1-40816-B
san fang	48-10065-S
san fei	30-7490-B
san fen	7-24933-S
san fen shu	1-31178-B
san fen zhi er	1-31113-B
san fen zhi yi	1-31049-B
san feng liu	67-18351-S
san fu	1-30252-B
san fu hua peng	1-36723-B
san gang wu chang	1-39604-B
san ge dai biao	1-30647-B
san geng	10-56059-S
san gong	30-7822-B
san gu mao lu	1-44380-B
san guang	30-7118-B
san gui jiu kou	1-42832-B
san guo shi dai	1-33013-B
san guo si	6-33349-S
san hao dian chi	1-41295-B
san hao mu gan	1-41228-B
san he tu	1-32613-B
san he wu qi tiao yue	2-12567-S
san he xing	1-32678-B
san he yi	1-32471-B
san he yi yi miao	1-32533-B
san hu	30-8153-B
san hua	30-9891-B
san huan lu	1-37948-B
san huang pao chui	1-38542-B
san huang wu di	1-38373-B
san hui	30-8575-B
san hun	1-44800-B
san hun qi po	1-44864-B
san huo	30-6990-B
san ji	1-39159-B,30-7442-B,30-9830-B,48-10262-S,48-10438-S
san ji du	48-9979-S
san ji guan	1-35862-B
san ji tiao	1-39222-B
san ji tiao yuan	1-39294-B
san jia	1-30860-B,30-8822-B
san jian	30-6930-B,30-9778-B
san jiang	23-20253-S
san jiao	1-34806-B,1-41538-B,36-55200-S,37-36270-S,42-44534-S,45-24049-S,64-7346-S
san jiao ban	1-42130-B
san jiao ce liang fa	1-42419-B
san jiao deng	1-41641-B
san jiao fa	1-42302-B
san jiao fu dai	1-42591-B
san jiao guan xi	1-42738-B
san jiao han shu	1-41715-B
san jiao ji	1-42512-B
san jiao jia	1-39952-B
san jiao jiu liu	1-34868-B
san jiao kong long	1-41979-B
san jiao lian ai	1-42060-B
san jiao xing	1-41924-B,2-23882-S,2-28715-S,22-23015-S,45-24130-S,48-19416-S
san jiao xue	1-41794-B
san jiao zhai	1-41581-B
