司令部 司令部	12-23878-B
吉木萨尔	12-40565-S
吉木薩爾 吉木萨尔	12-40565-B
吉本斯	12-40650-S
吉本斯 吉本斯	12-40650-B
吉林	12-40707-S
吉林 吉林	12-40707-B
吉林大学	12-40781-S
吉林大學 吉林大学	12-40781-B
吉林市	12-40851-S
吉林市 吉林市	12-40851-B
吉林省	12-40969-S
吉林省 吉林省	12-40969-B
吉水	12-41056-S
吉水 吉水	12-41056-B
吉水县	12-41119-S
吉水縣 吉水县	12-41119-B
吉爾伯特群島 吉尔伯特群岛	12-41194-B
吉爾吉斯 吉尔吉斯	12-41283-B
吉爾吉斯人 吉尔吉斯人	12-41354-B
吉爾吉斯坦 吉尔吉斯坦	12-41433-B
吉爾吉斯斯坦 吉尔吉斯斯坦	12-41507-B
吉爾吉斯族 吉尔吉斯族	12-41591-B
吉电子伏	12-42013-S
吉祥	12-41702-S
吉祥 吉祥	12-41702-B
吉祥物	12-41742-S
吉祥物 吉祥物	12-41742-B
吉縣 吉县	12-41793-B
吉达	12-41846-S
吉達 吉达	12-41846-B
吉隆	12-41896-S
吉隆 吉隆	12-41896-B
吉隆坡	12-41957-S
吉隆坡 吉隆坡	12-41957-B
吉電子伏 吉电子伏	12-42013-B
吉首	12-42134-S
吉首 吉首	12-42134-B
吉首市	12-42306-S
吉首市 吉首市	12-42306-B
吊	12-42489-S,23-26222-S
吊 吊	12-42489-B
吊丧	23-26457-S
吊儿郎当	12-42551-S
吊兒郎當 吊儿郎当	12-42551-B
吊兰	12-44392-S
吊卷	12-42614-S
吊卷 吊卷	12-42614-B
吊古	23-26300-S
吊唁	23-26368-S
吊嗓子	12-42673-S
吊嗓子 吊嗓子	12-42673-B
吊坠	12-42799-S
吊塔	12-42752-S
吊塔 吊塔	12-42752-B
吊墜 吊坠	12-42799-B
吊孝	23-26523-S
吊审	12-42854-S
吊客	23-26577-S
吊審 吊审	12-42854-B
吊床	12-42925-S
吊床 吊床	12-42925-B
吊慰	23-26641-S
吊扇	12-42970-S
吊扇 吊扇	12-42970-B
吊打	12-43027-S
吊打 吊打	12-43027-B
吊挂	12-43087-S
吊掛 吊挂	12-43087-B
吊文	23-26720-S
吊斗	12-43183-S
吊斗 吊斗	12-43183-B
吊杆	12-43279-S
吊杆 吊杆	12-43279-B
吊杠	12-43410-S
吊桥	12-43592-S
吊梯	12-43363-S
吊梯 吊梯	12-43363-B
吊楼	12-43466-S
吊槓 吊杠	12-43410-B
吊樓 吊楼	12-43466-B
吊橋 吊桥	12-43592-B
吊死	12-43656-S
吊死 吊死	12-43656-B
吊死问疾	23-26799-S
吊死鬼	12-43722-S
吊死鬼 吊死鬼	12-43722-B
吊民伐罪	23-26935-S
吊灯	12-43774-S
吊燈 吊灯	12-43774-B
吊环	12-43890-S
吊球	12-43820-S
吊球 吊球	12-43820-B
吊環 吊环	12-43890-B
吊着	12-44352-S
吊祭	23-27034-S
吊窗	12-43952-S
吊窗 吊窗	12-43952-B
吊篮	12-44003-S
吊籃 吊篮	12-44003-B
吊索	12-44089-S
吊索 吊索	12-44089-B
吊繩 吊绳	12-44219-B
吊绳	12-44219-S
吊膀子	12-44261-S
吊膀子 吊膀子	12-44261-B
吊著 吊着	12-44352-B
吊蘭 吊兰	12-44392-B
吊袜带	12-44573-S
吊装	12-44478-S
吊裝 吊装	12-44478-B
吊襪帶 吊袜带	12-44573-B
吊诡	23-27144-S
吊诡矜奇	23-27253-S
吊起	12-44644-S
吊起 吊起	12-44644-B
吊車 吊车	12-44686-B
吊车	12-44686-S
吊运	12-44748-S
吊運 吊运	12-44748-B
