貝・佈托 贝・布托	59-28695-B
貝丘 贝丘	59-28774-B
貝克 贝克	59-28819-B
貝利卡登 贝利卡登	59-28864-B
貝加爾湖 贝加尔湖	59-28954-B
貝加萊 贝加莱	59-29019-B
貝努力 贝努力	59-29124-B
貝卡谷地 贝卡谷地	59-29203-B
貝塔 贝塔	59-29294-B
貝多羅樹 贝多罗树	59-29351-B
貝多芬 贝多芬	59-29443-B
貝婭特麗克絲 贝娅特丽克丝	59-29497-B
貝寧 贝宁	59-29584-B
貝彫 贝雕	59-29624-B
貝拉 贝拉	59-29672-B
貝拉米 贝拉米	59-29710-B
貝斯 贝斯	59-29760-B
貝斯吉他 贝斯吉他	59-29828-B
貝殼 贝壳	59-29892-B
貝殼兒 贝壳儿	59-30005-B
貝母 贝母	59-30077-B
貝爾 贝尔	59-30161-B
貝爾實驗室 贝尔实验室	59-30212-B
貝爾格萊德 贝尔格莱德	59-30287-B
貝爾法斯特 贝尔法斯特	59-30379-B
貝爾湖 贝尔湖	59-30449-B
貝爾莫潘 贝尔莫潘	59-30519-B
貝納通 贝纳通	59-30601-B
貝聿銘 贝聿铭	59-30654-B
貝雷帽 贝雷帽	59-30732-B
貝類 贝类	59-30782-B
貝魯特 贝鲁特	59-30834-B
貞 贞	59-30904-B
貞德 贞德	59-30934-B
貞潔 贞洁	59-30992-B
貞豐 贞丰	59-31035-B
負 负	59-31102-B
負債 负债	59-31182-B
負債纍纍 负债纍纍	59-31224-B
負傷 负伤	59-31295-B
負反饋 负反馈	59-31382-B
負壓 负压	59-31443-B
負心 负心	59-31500-B
負擔 负担	59-31587-B
負擔不起 负担不起	59-31643-B
負擔者 负担者	59-31731-B
負整數 负整数	59-31781-B
負數 负数	59-31843-B
負方 负方	59-31891-B
負有 负有	59-31940-B
負極 负极	59-31994-B
負片 负片	59-32047-B
負荷 负荷	59-32106-B
負責 负责	59-32156-B
負責人 负责人	59-32262-B
負責任 负责任	59-32336-B
負載 负载	59-32424-B
負重擔 负重担	59-32461-B
負離子 负离子	59-32515-B
負面 负面	59-32577-B
負鼠 负鼠	59-32637-B
財 财	59-32684-B
財主 财主	59-32745-B
財利 财利	59-32797-B
財力 财力	59-32854-B
財務 财务	59-32906-B
財務秘書 财务秘书	59-32956-B
財務軟件 财务软件	59-33019-B
財團 财团	59-33114-B
財富 财富	59-33164-B
財寶 财宝	59-33210-B
財帛 财帛	59-33263-B
財政 财政	59-33308-B
財政年度 财政年度	59-33371-B
財政部 财政部	59-33481-B
財會 财会	59-33546-B
財東 财东	59-33603-B
財權 财权	59-33658-B
財源 财源	59-33756-B
財物 财物	59-33828-B
財產 财产	59-33880-B
財產公證 财产公证	59-33923-B
財產權 财产权	59-34004-B
財神 财神	59-34066-B
財經 财经	59-34118-B
財貿 财贸	59-34174-B
財迷 财迷	59-34225-B
財長 财长	59-34277-B
財閥 财阀	59-34359-B
貢 贡	59-34426-B
貢品 贡品	59-34463-B
貢嘎 贡嘎	59-34505-B
貢寮鄉 贡寮乡	59-34557-B
貢物 贡物	59-34638-B
貢獻 贡献	59-34679-B
貢獻者 贡献者	59-34763-B
貢覺 贡觉	59-34832-B
貢賦 贡赋	59-34895-B
貢高我慢 贡高我慢	59-34936-B
貤	59-35012-S
貤 貤	59-35012-B
貧 贫	59-35048-B
貧乏 贫乏	59-35106-B
貧僧 贫僧	59-35154-B
貧嘴 贫嘴	59-35236-B
貧嘴薄舌 贫嘴薄舌	59-35300-B
貧困 贫困	59-35382-B
貧女詩 贫女诗	59-35436-B
貧富 贫富	59-35490-B
貧富差距 贫富差距	59-35536-B
貧弱 贫弱	59-35621-B
貧民 贫民	59-35670-B
貧民區 贫民区	59-35715-B
貧民窟 贫民窟	59-35775-B
貧氣 贫气	59-35831-B
貧油 贫油	59-35885-B
貧油國 贫油国	59-35930-B
貧無立錐 贫无立锥	59-35994-B
貧無立錐之地 贫无立锥之地	59-36120-B
貧瘠 贫瘠	59-36267-B
貧相 贫相	59-36321-B
貧礦 贫矿	59-36368-B
貧窮 贫穷	59-36417-B
貧窮潦倒 贫穷潦倒	59-36470-B
貧腔 贫腔	59-36545-B
貧苦 贫苦	59-36598-B
貧血 贫血	59-36652-B
貧血性壞死 贫血性坏死	59-36692-B
貧賤 贫贱	59-36775-B
貧賤不能移 贫贱不能移	59-36824-B
貧農 贫农	59-36959-B
貧鈾 贫铀	59-37006-B
貧雇農 贫雇农	59-37063-B
貨 货	59-37134-B
貨倉 货仓	59-37178-B
貨幣 货币	59-37224-B
貨幣供應量 货币供应量	59-37280-B
貨幣危機 货币危机	59-37362-B
貨幣貶值 货币贬值	59-37431-B
貨攤 货摊	59-37531-B
貨架 货架	59-37579-B
貨棧 货栈	59-37639-B
貨機 货机	59-37685-B
貨款 货款	59-37729-B
貨源 货源	59-37781-B
貨物 货物	59-37831-B
貨物運輸 货物运输	59-37891-B
貨站 货站	59-37953-B
貨船 货船	59-38027-B
貨車 货车	59-38083-B
貨輪 货轮	59-38120-B
貨運 货运	59-38174-B
貨運列車 货运列车	59-38249-B
販 贩	59-38330-B
販嬰 贩婴	59-38387-B
販子 贩子	59-38439-B,59-38489-B
販毒 贩毒	59-38553-B
販賣 贩卖	59-38619-B
販運 贩运	59-38670-B
貪 贪	59-38747-B
貪吃 贪吃	59-38776-B
貪吃者 贪吃者	59-38818-B
貪圖 贪图	59-38870-B
貪多嚼不爛 贪多嚼不烂	59-38910-B
貪婪 贪婪	59-39011-B
貪官 贪官	59-39095-B
貪得無厭 贪得无厌	59-39167-B
貪心 贪心	59-39238-B
貪慾 贪欲	59-39278-B
貪戀 贪恋	59-39339-B
貪杯 贪杯	59-39385-B
貪求無厭 贪求无厌	59-39437-B
貪污 贪污	59-39522-B
貪腐 贪腐	59-39565-B
貪色 贪色	59-39608-B
貪財 贪财	59-39679-B
貪賄無藝 贪贿无艺	59-39742-B
貪贓枉法 贪赃枉法	59-39863-B
貪食 贪食	59-39997-B
貫 贯	59-40045-B
貫徹 贯彻	59-40085-B
貫時 贯時	59-40157-B
貫穿 贯穿	59-40202-B
貫通 贯通	59-40303-B
責 责	59-40368-B
責令 责令	59-40430-B
責任 责任	59-40521-B
責任制 责任制	59-40579-B
責任心 责任心	59-40651-B
責任感 责任感	59-40718-B
責備 责备	59-40785-B
責怪 责怪	59-40842-B
責成 责成	59-40894-B
責打 责打	59-40943-B
責無旁貸 责无旁贷	59-40996-B
責罵 责骂	59-41107-B
責難 责难	59-41144-B
貯 贮	59-41184-B
貯備 贮备	59-41233-B
貯存 贮存	59-41275-B
貯存器 贮存器	59-41328-B
貯存管 贮存管	59-41394-B
貯木場 贮木场	59-41486-B
貯水處 贮水处	59-41543-B
貯熱 贮热	59-41598-B
貯物 贮物	59-41647-B
貯藏 贮藏	59-41687-B
貰 贳	59-41751-B
貲 赀	59-41803-B
貳 贰	59-41860-B
貳拾	59-41915-S
貳拾 貳拾	59-41915-B
貴 贵	59-41988-B
貴公司 贵公司	59-42047-B
貴南 贵南	59-42104-B
貴古賤今 贵古贱今	59-42167-B
貴妃 贵妃	59-42278-B
貴妃醉酒 贵妃醉酒	59-42345-B
貴姓 贵姓	59-42419-B
貴婦人 贵妇人	59-42472-B
貴定 贵定	59-42520-B
貴州 贵州	59-42585-B
貴州日報 贵州日报	59-42670-B
貴州省 贵州省	59-42739-B
貴德 贵德	59-42837-B
貴族 贵族	59-42898-B
貴族化 贵族化	59-42987-B
貴族社會 贵族社会	59-43043-B
貴族論者 贵族论者	59-43109-B
貴族身份 贵族身份	59-43174-B
貴池 贵池	59-43238-B
貴港 贵港	59-43298-B
貴港市 贵港市	59-43373-B
貴溪 贵溪	59-43459-B
貴溪市 贵溪市	59-43540-B
貴賓 贵宾	59-43632-B
貴賓室 贵宾室	59-43703-B
貴賤 贵贱	59-43758-B
貴遠賤近 贵远贱近	59-43860-B
貴重 贵重	59-43973-B
貴金屬 贵金属	59-44017-B
貴陽 贵阳	59-44076-B
貴陽市 贵阳市	59-44172-B
貶 贬	59-44279-B
貶低 贬低	59-44373-B
貶值 贬值	59-44436-B
貶抑 贬抑	59-44518-B
貶損 贬损	59-44571-B
貶斥 贬斥	59-44638-B
貶義 贬义	59-44688-B
貶詞 贬词	59-44738-B
貶謫 贬谪	59-44809-B
買 买	59-44874-B
買主 买主	59-44900-B
買價 买价	59-44942-B
買到 买到	59-44988-B
買單 买单	59-45028-B
買回 买回	59-45085-B
買好 买好	59-45151-B
買家 买家	59-45206-B
買帳 买帐	59-45252-B
買方 买方	59-45312-B
買方市場 买方市场	59-45367-B
買東西 买东西	59-45440-B
買賣 买卖	59-45498-B
買賬 买账	59-45581-B
買通 买通	59-45726-B
買進 买进	59-45769-B
貸 贷	59-45811-B
貸方 贷方	59-45916-B
貸款 贷款	59-45990-B
貸款人 贷款人	59-46061-B
貺 贶	59-46117-B
費 费	59-46155-B
費事 费事	59-46228-B
費利克斯 费利克斯	59-46273-B
費力 费力	59-46331-B
費加羅報 费加罗报	59-46396-B
費勁 费劲	59-46461-B
費勁兒 费劲儿	59-46522-B
費城 费城	59-46592-B
費奧多爾 费奥多尔	59-46640-B
費孝通 费孝通	59-46718-B
費德勒 费德勒	59-46777-B
費心 费心	59-46851-B
費洛蒙 费洛蒙	59-46893-B
費爾巴哈 费尔巴哈	59-46948-B
費爾干納 费尔干纳	59-47029-B
費爾干納槃地 费尔干纳槃地	59-47118-B
費爾幹納盆地 费尔干纳盆地	59-47228-B
費爾馬 费尔马	59-47343-B
費爾馬大定理 费尔马大定理	59-47414-B
費用 费用	59-47510-B
費盡心機 费尽心机	59-47569-B
費盧傑 费卢杰	59-47704-B
費米子 费米子	59-47756-B
費縣 费县	59-47806-B
費解 费解	59-47863-B
貼 贴	59-47947-B
貼切 贴切	59-48038-B
貼吧 贴吧	59-48107-B
貼士 贴士	59-48147-B
貼心 贴心	59-48202-B
貼息 贴息	59-48250-B
貼水 贴水	59-48329-B
貼現 贴现	59-48407-B
貼現率 贴现率	59-48457-B
貼身衛隊 贴身卫队	59-48515-B
貼近 贴近	59-48590-B
貽 贻	59-48667-B
貽誤 贻误	59-48697-B
貿 贸	59-48797-B
貿易 贸易	59-48834-B
貿易保護主義 贸易保护主义	59-48885-B
貿易公司 贸易公司	59-48979-B
貿易國 贸易国	59-49049-B
貿易壁壘 贸易壁垒	59-49107-B
貿易夥伴 贸易夥伴	59-49174-B
貿易戰 贸易战	59-49244-B
貿易組織 贸易组织	59-49298-B
貿易談判 贸易谈判	59-49370-B
貿易逆差 贸易逆差	59-49436-B
貿易順差 贸易顺差	59-49525-B
貿易額 贸易额	59-49594-B
賀 贺	59-49671-B
賀卡 贺卡	59-49716-B
賀子珍 贺子珍	59-49781-B
賀州 贺州	59-49846-B
賀州市 贺州市	59-49919-B
賀年卡 贺年卡	59-50003-B
賀年片 贺年片	59-50069-B
賀縣 贺县	59-50130-B
賀蘭 贺兰	59-50184-B
賀詞 贺词	59-50245-B
