堭	16-8121-S
壞 坏	16-34417-B
壞事 坏事	16-34473-B
壞人 坏人	16-34610-B
壞傢伙 坏家伙	16-34670-B
壞包兒 坏包儿	16-34747-B
壞家伙	16-34837-S
壞家伙 壞家伙	16-34837-B
壞東西 坏东西	16-34941-B
壞死 坏死	16-35009-B
壞種 坏种	16-35051-B
壞脾氣 坏脾气	16-35106-B
壞處 坏处	16-35160-B
壞蛋 坏蛋	16-35207-B
壞血病 坏血病	16-35267-B
壞話 坏话	16-35320-B
壞賬 坏账	16-35386-B
壞透 坏透	16-35431-B
壟 垄	16-35480-B
壟斷 垄断	16-35514-B
壟斷販賣 垄断贩卖	16-35583-B
壤	16-35649-S
壤 壤	16-35649-B
壤土	16-35683-S
壤土 壤土	16-35683-B
壤塘	16-35741-S
壤塘 壤塘	16-35741-B
壩 坝	16-35808-B
士	16-35849-S
士 士	16-35849-B
士丹利	16-35894-S
士丹利 士丹利	16-35894-B
士兵	16-35952-S
士兵 士兵	16-35952-B
士学位	16-35994-S
士學位 士学位	16-35994-B
士师记	16-36056-S
士師記 士师记	16-36056-B
士族	16-36114-S
士族 士族	16-36114-B
士林区	16-36164-S
士林區 士林区	16-36164-B
士气	16-36236-S
士氣 士气	16-36236-B
壬	16-36293-S
壬 壬	16-36293-B
壬午	16-36405-S
壬午 壬午	16-36405-B
壬子	16-36477-S
壬子 壬子	16-36477-B
壬寅	16-36550-S
壬寅 壬寅	16-36550-B
壬戌	16-36625-S
壬戌 壬戌	16-36625-B
壬申	16-36699-S
壬申 壬申	16-36699-B
壬辰	16-36768-S
壬辰 壬辰	16-36768-B
壮	16-36946-S
壮丽	16-37632-S
壮举	16-36844-S
壮举 壮举	16-36844-B
壮围乡	16-36999-S
壮士	16-37082-S
壮大	16-37167-S
壮年	16-37226-S
壮志	16-37356-S
壮族	16-37426-S
壮烈	16-37468-S
壮美	16-37517-S
壮观	16-37565-S
壯 壮	16-36946-B
壯圍鄉 壮围乡	16-36999-B
壯士 壮士	16-37082-B
壯大 壮大	16-37167-B
壯年 壮年	16-37226-B
壯志 壮志	16-37356-B
壯族 壮族	16-37426-B
壯烈 壮烈	16-37468-B
壯美 壮美	16-37517-B
壯觀 壮观	16-37565-B
壯麗 壮丽	16-37632-B
声	51-65159-S
声乐	51-66166-S
声价	51-65228-S
声势	51-65274-S
声卡	51-65318-S
声名大震	51-65363-S
声响	51-67122-S
声囊	51-65443-S
声学	51-65541-S
声带	51-65586-S
声张	51-65633-S
声援	51-65691-S
声旁	51-65745-S
声旁字	51-65821-S
声旁错误	51-65930-S
声明	51-66006-S
声明书	51-66064-S
声望	51-66121-S
声母	51-66213-S
声气	51-66303-S
声波	51-66348-S
声浪	51-66393-S
声称	51-66436-S
声类系统	51-67171-S
声纳	51-66513-S
声言	51-66584-S
声誉	51-67036-S
声说	51-66661-S
声调	51-66705-S
声调的调值	51-66782-S
声调语言	51-66865-S
声调轮廓	51-66966-S
声音	51-67075-S
壱	16-37710-S
壱 壱	16-37710-B
売	16-37787-S
売 売	16-37787-B
