tun hu yan	42-9630-S
tun ji	14-62792-B
tun jin	12-65688-B
tun ken	21-27836-B
tun ken yuan qu	21-27936-B
tun mie	12-65489-B
tun mo	12-65421-B
tun na	12-65313-B
tun na yu	12-65362-B
tun qu	10-30634-S,10-69960-S,43-33642-S,57-16341-S
tun se	57-8378-B
tun sheng	12-65630-B,24-43144-S
tun shi	12-65023-B,12-65758-B
tun shi xi bao	12-65201-B,17-9536-S,20-61786-S
tun shi zuo yong	12-65090-B
tun shu	21-28038-B,59-22774-B
tun tu	12-64813-B
tun tu tu	12-64891-S
tun tun	25-48953-S,25-49859-S
tun tun tu tu	12-64891-B
tun zhen	54-14360-S
tun zuo	38-24463-S
tun1	5-11843-S,5-27147-S,12-64686-B,13-62387-B,25-48953-S,25-49859-S,31-17683-B,32-1282-B,38-36215-B,40-45755-B
tun1 bing4	12-64727-B
tun1 chi1	12-64770-B
tun1 hu3 yan4	42-9630-S
tun1 jin1	12-65688-B
tun1 mie4	12-65489-B
tun1 mo4	12-65421-B
tun1 na2	12-65313-B
tun1 na2 yu2	12-65362-B
tun1 sheng1	12-65630-B,24-43144-S
tun1 shi2	12-65758-B
tun1 shi4	12-65023-B
tun1 shi4 xi4 bao1	12-65201-B,17-9536-S,20-61786-S
tun1 shi4 zuo4 yong4	12-65090-B
tun1 tu3	12-64813-B
tun1 tu3 tu3	12-64891-S
tun1 tun1	25-48953-S,25-49859-S
tun1 tun1 tu3 tu3	12-64891-B
tun2	1-41392-S,10-30570-S,14-62755-B,15-32767-S,18-5387-S,20-24361-S,21-27740-B,26-39665-S,36-60904-S,37-21346-S,38-24422-S,43-12240-S,43-33544-S,44-49736-S,52-51682-B,53-50462-B,59-22739-B,61-1676-B,69-5011-B,69-17749-S,70-39696-B,71-49708-S
tun2 bu4	52-51718-B
tun2 du2 su4	37-21396-S
tun2 ji1	14-62792-B
tun2 ken3	21-27836-B
tun2 ken3 yuan2 qu1	21-27936-B
tun2 qu1	10-30634-S,10-69960-S,43-33642-S,57-16341-S
tun2 shu3	59-22774-B
tun2 shu4	21-28038-B
tun2 zhen4	54-14360-S
tun2 zuo4	38-24463-S
tun4	57-8332-B
tun4 se4	57-8378-B
tuo	2-4202-S,3-68604-S,4-27391-S,5-3115-B,5-5148-S,5-16361-B,5-24936-S,5-45005-S,6-9267-S,6-24295-S,7-41455-S,8-44147-S,11-64487-S,12-66253-S,13-34731-S,13-56709-B,14-18133-S,14-44882-S,15-53691-B,15-57630-S,16-29533-S,17-63997-S,18-5450-S,18-14020-S,18-36255-B,18-41801-S,18-45957-S,20-2734-S,22-7926-S,22-15349-S,22-15680-S,22-48329-S,23-4063-B,23-52014-S,24-41206-S,26-51252-B,26-51451-S,27-32044-B,27-35188-B,27-46542-S,27-53621-S,28-19106-S,29-772-S,29-964-S,29-16196-B,29-30386-S,31-7939-S,31-52780-S,33-5062-S,33-13591-S,33-40431-B,33-45108-B,35-1304-B,35-6827-B,35-19889-S,37-18485-B,37-18519-B,38-36746-S,40-18533-S,40-18590-S,40-38365-S,40-40878-S,45-12391-S,45-20986-S,46-15405-B,47-23271-S,47-42166-S,48-43998-B,49-34845-B,50-1365-S,51-1248-S,52-32243-B,52-34088-S,53-55962-S,54-28388-S,54-40335-S,55-36040-B,55-37902-S,55-53767-S,57-11964-S,57-52040-S,57-65349-B,58-6664-B,59-28695-S,60-19224-S,60-33723-B,60-35365-B,60-49749-S,61-23943-S,61-65313-S,63-33368-S,63-41848-B,63-59006-S,65-35517-S,65-40509-S,65-59408-B,66-13762-S,66-14621-B,66-14989-B,69-4953-B,69-38802-S,69-45091-B,69-46171-S,69-47447-B,69-50477-B,69-51209-S,69-51209-S,69-57200-B,70-27035-S,70-41630-B,70-54207-B,71-46464-B
tuo Fo	66-2013-S
tuo Hai xia	45-21050-S
tuo Pu sa	68-10789-S
tuo Tou zi gong si	2-56464-S
tuo Xiang zi	69-51271-S
tuo ba	27-36537-B,69-35999-S
tuo bang	40-35710-S
tuo bo	27-37884-B
tuo bo er	16-20659-S
tuo bo xiu hui	26-52842-B
tuo bu	27-36138-B
tuo chan	10-59833-S
tuo chang	27-37789-B
tuo che	27-37562-B,29-900-S
tuo che tou	27-37640-B
tuo chu	13-24287-S,69-45227-B
tuo chuan	27-37470-B
tuo ci	26-52601-B,57-65614-B
tuo dai	27-36174-B
tuo dang	18-36445-B,27-35886-B,41-51452-S
tuo diao	52-32710-B
tuo dong li	27-35721-B
tuo dou	27-36796-B
tuo er dai nu:	27-35597-B
tuo er suo	26-51650-B
tuo fa	52-34930-B
tuo fang	66-13486-S
tuo fen	66-13395-S
tuo fu	7-19095-S,26-51411-B,26-52269-B,50-58839-S
tuo ge Luo suo	69-42056-S
tuo gou	52-34464-B
tuo gua	27-36748-B
tuo guan	26-52345-B
tuo guang	52-32368-B
tuo gui	52-34338-B
tuo hai	12-12050-S
tuo hou tui	27-36398-B
tuo huang	27-32583-B
tuo huang zhe	27-32652-B
tuo huo shan	14-2117-S
tuo ji	69-50514-B
tuo jia	26-51985-B
tuo jia dai kou	27-35941-B
tuo jiang	52-34694-B
tuo jiang zhi ma	52-34788-B
tuo jie	52-33895-B
tuo jin	27-37745-B
tuo jiu	52-35277-B
tuo kai	52-34516-B
tuo ke	43-14196-S,48-6575-S,48-6722-S,50-58778-S
tuo ke qi	63-28746-S
tuo ke qian qi	63-28639-S
tuo ken li shi quan	30-40559-S
tuo kou	52-32468-B
tuo kou chi	44-33124-S
tuo kou er chu	52-32514-B
tuo la	27-36573-B
tuo la ji	27-36628-B
tuo la la	27-36678-S
tuo lei	27-37342-B
tuo li	52-34642-B
tuo li ni dao	34-6519-S
tuo li ya	19-32109-S,36-9869-S
tuo lou	52-33702-B
tuo lu	45-12453-S
tuo lun	27-37698-B
tuo lun xiang	39-59648-S
tuo luo	14-62266-S,32-15232-S,33-63339-S,42-1562-S,52-34212-B,66-14933-B
tuo luo la	29-838-S,54-63258-S
tuo luo ni	66-14802-B
tuo ma	13-57040-B
tuo ma pin fa	18-46100-S
tuo ma pin yin	18-46208-S
tuo man	27-36477-B
tuo mao	52-32754-B
tuo mao ji	52-32837-B
tuo mian zi gan	13-57103-B
tuo mo	13-56897-B,27-37287-B
tuo na	26-5366-S
tuo ni dai shui	27-37181-B
tuo niao	70-54237-B
tuo nu	47-18580-S
tuo pin	52-35335-B,66-2416-S
tuo pin hua	66-4880-S
tuo pin yao wu	29-28062-S
tuo pu	4-31675-S,22-56578-S,27-32306-B
tuo pu kong jian	27-32445-B
tuo pu xue	22-56657-S,27-32385-B
tuo qi	13-56857-B
tuo qian	27-36954-B
tuo qing	52-33309-B
tuo qing mei	2-45013-S
tuo qu	52-32426-B
tuo ren	11-64531-S,18-41705-S
tuo ren xia shui	27-35393-B
tuo rong	52-33629-B
tuo ru lai	66-2165-S
tuo se ji	52-34143-B
tuo shan	18-36334-B,31-52842-S
tuo shou	52-32616-B,69-45177-B
tuo shou ke de	13-56746-B
tuo shui	52-33435-B
tuo shui ji	52-33532-B
tuo su	56-45778-S
tuo sui xiao ya qian jin	47-34936-S
tuo ta	27-37044-B
tuo tang	27-35787-B
tuo tang he suan	52-33202-S
tuo tao	52-34409-B
tuo tuo la la	27-36678-B
tuo wang	27-37418-B
tuo wei ba	27-36036-B
tuo wei ji	29-30561-S
tuo wei ya	27-25228-S
tuo xia	52-32312-B
tuo xia shui	27-35260-B
tuo xian	16-29592-S,52-33942-B,52-34561-B
tuo xiang	23-52055-S
tuo xie	2-4259-S,15-42200-S,18-36290-B,27-37842-B
tuo xing	65-35671-S
tuo xiáng zi	69-51271-S
tuo yan	27-36231-B
tuo yan zhan shu	27-36298-B
tuo yang	52-32900-B
tuo yang he gan suan	52-33096-B
tuo yang he tang	52-32946-B
tuo yang he tang he suan	52-33014-B
tuo yang tuo tang he suan	52-33202-B
tuo ye	13-56944-B,27-36848-B
tuo ye fu si ji	66-14675-S
tuo ye xian	13-56983-B
tuo yi fu	52-34288-B
tuo yi ji	27-36904-B
tuo ying er chu	52-33765-B
tuo you ping	27-37113-B
tuo yu	13-57209-B
tuo yuan	35-6857-B
tuo yuan han shu	35-6913-B
tuo yuan ji fen	35-7238-B
tuo yuan qu xian	35-7159-B
tuo yuan xing	35-6995-B
tuo yuan xing ban gong shi	35-7046-B
tuo yue	40-41434-S
tuo yun	26-52675-B
tuo yun lu	69-45272-B
tuo yun xing li	26-52743-B
tuo zhai	27-35542-B
tuo zhan	27-32182-B
tuo zhe	11-64584-S,65-35742-S
