shēng chuán yì	12-51108-S
shēng chuān záo	18-33217-S
shēng chén	43-30118-B
shēng chén bā zì	43-30163-B
shēng chéng	43-20965-B
shēng chéng lùn	19-20711-S
shēng chéng sù	49-13140-S
shēng chéng wù	29-51439-S
shēng chóng	20-2480-S
shēng chù	41-55429-B
shēng chēng	51-66436-B
shēng chōu	43-21044-B
shēng chū	43-18484-B
shēng chǎn	8-9549-S,17-37337-S,26-58208-S,43-26523-B,63-61292-S
shēng chǎn duì	43-27806-B
shēng chǎn fǎn yìng duī	43-26835-B
shēng chǎn guò chéng	43-27581-B
shēng chǎn guān xì	43-27684-B
shēng chǎn hé zuò shè	61-41657-S
shēng chǎn láo dòng	43-26759-B
shēng chǎn lì	43-26674-B,47-17500-S
shēng chǎn lǜ	43-26924-B
shēng chǎn néng lì	43-27143-B
shēng chǎn qǐ yè	43-26605-B
shēng chǎn shè bèi	43-27322-B
shēng chǎn shè shī	43-27425-B
shēng chǎn xiàn	43-27008-B
shēng chǎn yào sù	43-27243-B
shēng chǎn zhě	43-27086-B
shēng chǎn zī liào	43-27503-B
shēng chǎn zǒng zhí	15-2192-S,15-10692-S,43-27869-B
shēng cài	43-29333-B
shēng cái	13-23701-S
shēng cái yǒu dào	43-29895-B
shēng cí	38-1212-S,43-29555-B,59-24198-S
shēng cí běn	43-29720-B
shēng cí kǎ	43-29655-B
shēng cí yú	43-29785-B
shēng cún	43-20066-B,62-65609-S
shēng cún néng lì	33-60724-S
shēng de	7-30138-S
shēng diào	31-19786-B,51-66705-B
shēng diào de diào zhí	51-66782-B
shēng diào lún kuò	51-66966-B
shēng diào yǔ yán	51-66865-B
shēng dà huì	2-41005-S
shēng dài	2-76192-S,12-4052-S,30-52136-S,51-65586-B
shēng dá	43-30262-B
shēng dì	8-42401-S
shēng dì diǎn	8-42457-S
shēng dìng wèi	14-57310-S
shēng dòng	43-18615-B
shēng dòng wù	11-34587-S,64-4122-S
shēng dòng zhí wù zhǒng guó jì mào yì gōng yuē	40-14224-S
shēng dēng	32-65503-S
shēng fàn	17-71108-S
shēng fá	29-64854-S
shēng fáng yì	56-38521-S
shēng fó	20-30200-S
shēng fù	43-23122-B
shēng fēi	20-44655-S,25-26828-S,29-13495-S,40-45983-S
shēng fēi jī	45-20797-S,45-22478-S
shēng fǎ	44-32861-S,69-11509-S
shēng guài qì	24-65662-S
shēng guān yuán	56-37969-S
shēng guāng	55-8004-S,55-8493-S
shēng gé	10-53297-B
shēng gāo	31-20018-B
shēng gōng jù	64-15251-S
shēng gōng sī	23-44729-S
shēng gǒng	10-53349-B
shēng huà	43-18657-B
shēng huà wǔ qì	43-18705-B
shēng huá	10-53686-B
shēng huán zhě	43-30323-B
shēng huó	17-1360-S,20-2328-S,24-62775-S,43-22346-B,57-63266-S
shēng huó bì xū pǐn	43-22403-B
shēng huó fèi	43-22716-B
shēng huó fāng shì	43-22488-B
shēng huó kuò chuò	43-22874-B
shēng huó shuǐ píng	43-22568-B
shēng huó sù zhì	43-22644-B
shēng huó zhì liào	43-22801-B
shēng huā	39-40872-S
shēng huǒ	43-23056-B
shēng jià	51-65228-B
shēng jiàng	31-19897-B,53-58622-S,53-58684-S
shēng jiàng jī	31-19954-B
shēng jiàng xìng	26-66735-S
shēng jié cháng	10-53581-B
shēng jiān	56-38455-S
shēng jiāng	43-29397-B
shēng jiāng sī	43-29447-B
shēng jiǔ zǐ	71-61068-S
shēng jì	43-29510-B
shēng jìng	43-19912-B
shēng jí	10-53465-B,62-2439-S
shēng jí hū	17-31308-S
shēng jī	43-21406-B,43-51267-S,45-20741-S,45-22389-S
shēng jīn	56-38044-S
shēng kou	41-55347-B
shēng kōng	10-53408-B
shēng kǎ	51-65318-B
shēng liù diào	3-20412-S
shēng làng	51-66393-B
shēng lái	43-18301-B
shēng lán	52-37662-S
shēng láo dòng shěng	11-29652-S
shēng lèi xì tǒng	51-67171-B
shēng lín	35-21142-S
shēng lù bù shú	4-14639-S
shēng lǐ	43-26218-B
shēng lǐ xué	43-26263-B
shēng lǐ xué jiā	43-26319-B
shēng lǐ xìng	43-26388-B
shēng lǐ yán shuǐ	43-26448-B
shēng lǜ	8-42598-S,44-31739-S
shēng miàn	9-4645-S
shēng miàn tuán	43-30872-B
shēng miè	43-23006-B
shēng mèng sǐ	63-46754-S
shēng mìng	16-48506-S,40-57212-S,43-18872-B
shēng mìng de yí jì	43-19310-B
shēng mìng duō yàng xìng	43-19226-B
shēng mìng jì xiàng	43-19606-B
shēng mìng kē xué	43-19405-B
shēng mìng lì	43-18921-B
shēng mìng sù zhì	43-19476-B
shēng mìng wēi xiǎn	8-11509-S,8-11717-S
shēng mìng xiàn	43-19549-B
shēng mìng zhōu qī	43-19678-B
shēng mìng zài yú yùn dòng	43-18976-B
shēng míng	7-21187-S,35-18353-S,44-33899-S,51-60585-S,51-66006-B
shēng míng dà zhèn	51-65363-B
shēng míng shū	51-66064-B
shēng māo	64-4190-S
shēng mǐ	43-28306-B
shēng mǐ shú fàn	43-28819-B
shēng mǐ zhǔ chéng shú fàn	43-28618-B
shēng mǐ zuò chéng shú fàn	43-28366-B
shēng mǔ	51-66213-B,67-21243-S
shēng nà	51-66513-B
shēng náng	51-65443-B
shēng nì jì	64-33941-S
shēng nǚ	42-20055-S,43-33456-B
shēng pà	43-20252-B
shēng páng	51-65745-B
shēng páng cuò wù	51-65930-B
shēng páng zì	51-65821-B
shēng pì	43-18346-B
shēng pí	43-28109-B
shēng pín	60-23747-S
shēng píng	43-20121-B
shēng píng jiǎn jiè	43-20175-B
shēng pó	6-31551-S
shēng qián	43-18533-B
shēng qiān	10-53866-B
shēng qiǎo	19-16119-S,41-16330-S
shēng quē xiàn	8-42653-S
shēng qì	4-60487-S,5-14398-S,6-39103-S,28-45401-S,38-31952-S,43-22119-B,51-66303-B
shēng qì bó bó	43-22234-B
shēng qì mó xíng	14-21676-S
shēng qí	10-53154-B
shēng qí yí shì	10-53220-B
shēng qū shì	1-46595-S
shēng qǐ	10-53806-B,31-19845-B
shēng qǔ yì	28-6998-S
shēng rèn	66-19925-B
shēng rén	43-18257-B,66-16629-S
shēng rì	43-21164-B,62-47365-S
shēng rì dàn gāo	43-21278-B
shēng rì kuài lè	43-21207-B
shēng rì qī	8-42529-S
shēng ròu	43-28923-B
shēng rù sǐ	8-42238-S
shēng rú mèng	4-14549-S
shēng shuō	51-66661-B
shēng shuō huà	17-31443-S
shēng shuǐ	43-22295-B
shēng shè bèi	56-38316-S
shēng shì	51-65274-B,55-51479-S
shēng shí gāo	43-28231-B
shēng shí huī	43-28157-B
shēng shēng	11-67593-S,24-66572-S,37-65223-S
shēng shēng huó	20-2328-S
shēng shēng wù	11-34666-S
shēng shěng	11-29751-S
shēng shū	43-27979-B
shēng shǔ	56-38105-S
shēng sè	1-73359-S,2-36247-S
shēng sù	23-54620-S,27-4723-S,27-6172-S,50-4374-S
shēng sù shù	19-20044-S
shēng sǎo miáo	60-23399-S
shēng sǐ	43-21503-B
shēng sǐ cún wáng	43-21551-B
shēng tiān	1-1662-S,10-52974-B,67-7583-S
shēng tiān jié	51-40842-S,51-47876-S
shēng tiě	43-30519-B
shēng tài	43-20621-B
shēng tài gū dǎo	43-20676-B
shēng tài láng	71-14969-S
shēng tài lǚ yóu qū	1-37471-S
shēng tài xué	43-20777-B
shēng tài xué jiā	43-20831-B
shēng tài xì tǒng	43-20898-B
shēng tàn qì	13-49723-S
shēng tái	43-29292-B
shēng táo cí	56-38598-S
shēng tí kū	21-6425-S
shēng tú tàn	55-3502-S
shēng tǒng	6-39161-S
shēng tǔ	43-19845-B
shēng tǔ zhǎng	15-31908-S
shēng wài xiàng	18-21376-S
shēng wàng	51-66121-B
shēng wèi	32-46433-S
shēng wù	11-33739-S,11-33981-S,11-34666-S,12-4142-S,14-20696-S,16-62345-S,20-2275-S,24-20039-S,38-13638-S,43-23174-B,56-35814-S
shēng wù chuán gǎn qì	43-23354-B
shēng wù chāi yóu	43-25040-B
shēng wù cái liào	43-24969-B
shēng wù cè dìng	43-25321-B
shēng wù duō yuán huà	43-23999-B
shēng wù duō yàng xìng	43-24080-B
shēng wù dàn yào	43-24523-B
shēng wù fēn xī fǎ	43-23432-B
shēng wù fǎn yìng qì	43-23855-B
shēng wù gāo fēn zǐ	43-26085-B
shēng wù gōng chéng xué	43-24439-B
shēng wù huà xué	43-23674-B
shēng wù huà xué zhàn jì	43-23743-B
shēng wù huó huà xìng	43-25241-B
shēng wù jiàng jiě	43-25959-B
shēng wù jiè	11-33806-S,43-25451-B
shēng wù jiǎn	43-26163-B
shēng wù jì liàng yí	43-23518-B
shēng wù jì shù	43-24834-B
shēng wù jīng piàn	43-24903-B
shēng wù kē jì	43-25520-B
shēng wù liàng	43-25840-B
shēng wù lì xué	43-23606-B
shēng wù lún qín dāng liàng	43-23244-B
shēng wù méi jiè	43-24162-B
shēng wù quān	43-23933-B
shēng wù qì tǐ	43-25179-B
shēng wù rán liào	43-25386-B
shēng wù tǐ	43-26032-B
shēng wù wǔ qì	43-25107-B
shēng wù xué	8-50905-S,12-4201-S,24-20098-S,43-24236-B,44-33037-S,46-59864-S,49-33216-S
shēng wù xué jiā	12-4270-S,24-20167-S,43-24289-B
shēng wù xìng	43-24601-B
shēng wù yī xué gōng chéng	43-25737-B
shēng wù zhuān yī xìng	43-24355-B
shēng wù zhàn	11-51628-S,43-24658-B
shēng wù zhàn jì	43-24736-B
shēng wù zhì jì	43-25588-B
shēng wù zhì pǐn	43-25662-B
shēng wù zhōng	43-25895-B
shēng wēn	7-39281-S
shēng wū rǎn	14-35756-S
shēng xià	43-18022-B
shēng xiào	43-21095-B,43-28967-B
shēng xiù	43-30379-B,43-30459-B
shēng xiāng	11-71169-S
shēng xiōng dì	66-67708-S
shēng xiǎng	51-67122-B
shēng xué	4-45526-S,6-58132-S,10-53030-B,51-65541-B
shēng xì qì	49-32289-S
shēng xìng	43-20355-B
shēng xī	4-56724-S,10-53096-B,43-20411-B
shēng yi	27-42390-S,43-20479-B
shēng yuàn	43-30677-B,46-14313-S
shēng yuán	12-11540-S,43-19747-B,51-65691-B
shēng yuè	51-66166-B
shēng yuān niè	9-22113-S
shēng yá	26-7293-S,43-22965-B
shēng yán	51-66584-B
shēng yè	3-45397-S
shēng yì	6-15513-S,32-46090-S
shēng yì xīng lóng	43-20521-B
shēng yín háng	24-67906-S,24-69852-S
shēng yòng zhǐ	56-38170-S
shēng yù	43-29051-B,51-67036-B,57-58220-S
shēng yù lǜ	43-29146-B
shēng yù néng lì	37-10654-S,43-29201-B
shēng yùn	27-16295-S
shēng yú piàn	43-30818-B
shēng yī	29-64910-S
shēng yī shì	1-14717-S
shēng yīn	51-67075-B
shēng yīn jiē	3-53161-S
shēng yǎng	43-30742-B
shēng yǐ lái	32-36521-S
shēng yǒu quán	43-21348-B
shēng yǒu sè	32-38812-S
shēng zhào huàn	9-22197-S
shēng zhèng	8-42724-S
shēng zhèng míng shū	8-42809-S
shēng zhì	11-34752-S,24-57268-S
shēng zhì dòng	8-9472-S
shēng zhí	12-52427-S,19-13898-S,31-19726-B,32-33096-S,43-21633-B
shēng zhí lì	43-21693-B
shēng zhí lún	43-22042-B
shēng zhí qì	43-21748-B
shēng zhí qì guān	43-21821-B
shēng zhí wù	55-10649-S
shēng zhí xiàn	43-21960-B
shēng zhí xì bāo	43-21897-B
shēng zhòu	68-51473-S
shēng zhāng	51-65633-B
shēng zhě	20-2418-S
shēng zhěn duàn	60-23634-S
shēng zhī	48-28499-S
shēng zhī dú bù pà hǔ	9-785-S
shēng zhǎng	43-30563-B
shēng zhǎng jī sù	43-30605-B
shēng zhǐ	56-38241-S
shēng zhǐ shù	24-69778-S
shēng zhǒu yè	59-10542-S
shēng zhǔ yì	36-22235-S
shēng zài dào	24-64159-S,25-10673-S,68-27885-S
shēng zì	23-55344-S,43-19956-B
shēng zú nián	43-18778-B
shēng zāi hài	35-21214-S
shēng zǐ	6-906-S,47-13041-S
shēng zǐ nǚ	42-20116-S,47-13130-S,57-39987-S,67-64097-S
shēng zǐ nǚ zhèng cè	42-20184-S
shēng zǔ zhī	2-41105-S,8-56526-S
shēng ér	30-52236-S
shēng ér yù nǚ	43-18403-B
shě	5-23996-S,11-58327-S,26-3884-S,28-6535-B,30-65572-S,51-30217-S,64-50511-S,67-11707-S
