subjugation to a foreign power	38-44887-B
subjunctive	6-9395-B
sublandlord	3-35240-B,3-35813-B
sublayer	19-1137-B
sublet	61-26449-S
sublets	3-35240-S,3-35813-S
subletting	10-17004-S
sublexical units	3-64021-B
sublimate phys 	10-53686-S
sublimation	10-53686-B
sublime	21-42959-B,45-35122-B
sublingual gland	53-29485-B
submachine gun	56-40349-B
submandibular gland	1-64514-B
submarine	11-51324-S,20-58673-S,20-58933-S,29-47635-S,33-55565-S,33-55679-S,33-59568-S,36-38136-B,39-59534-B,39-60489-B
submaxillary saliva gland	1-64514-B
submerge	37-5859-B,37-28185-B,37-45188-B,38-40452-B,38-55865-B,38-55943-B,39-58196-S,39-58343-S,39-59943-S
submerged	39-14143-B,39-14184-B,66-22958-S
submerged reef rock	31-62250-B
submission	28-1754-S,33-12481-B,35-55518-B
submissive	23-36670-B,27-48581-S
submit	4-53149-S,13-8106-S,13-8604-S,21-10310-S,28-1565-S,32-42272-B,68-23819-S
submit a bid	27-2247-S
submit a petition	43-43081-S,43-43542-S
submit a report	13-8199-S
submit a report etc	28-36646-S
submit an expense account	16-10005-B,16-12506-B
submit meekly to insults	61-65870-S
submit to	68-25106-S
submit to force	18-47444-S
submit to humiliation	24-43144-S
submit to me and prosper	68-24374-B
submit to superiors	13-8424-S
submit to the law	32-43827-S
submit to the will of heaven	51-70036-S
submit totally	58-29452-S
submit 成语 saw	20-17906-S
submits to circumstances	58-62673-S
submitted to a superior	13-8255-S
submitted to one s superior	5-34852-S
submitting a tender	34-56307-S
submodel	19-1415-B
subnetwork	19-1974-B
subnormal child	4-69324-B
suboptimal	35-19821-B
suborder including cicadas	12-51019-S
suborder of order homoptera	10-59631-S
suborder taxonomy	3-62297-B
subordinate	1-59544-B,21-27212-B,24-11552-B,26-46744-S,26-57152-S,45-20932-S,48-35427-B,63-22643-B,66-15524-B
subordinate i e those subordinate to oneself	26-28197-B
subordinate in a gang of bandits	14-44222-B
subordinate to	21-26938-B
subordinate to oneself	26-28197-S
subordinates	2-9764-S,12-10157-S,26-31552-B,57-65087-S
subordinates in gang of bandits	14-29310-B
subordinates of a high official	52-56490-S
subordinating	66-15524-B
subordination	49-51703-B
subpar	35-19821-B
subphylum taxonomy	3-64927-B
subpoena	6-34861-B,6-39524-B,27-38198-B
subprefecture level city in ili kazakh autonomous prefecture in north xinjiang	3-49048-S,3-49216-S
subprefecture level city in north xinjiang	46-7511-S,46-7643-S
subprefecture level city in west xinjiang	15-26730-S,15-26871-S,66-4502-S,66-4623-S
subprime lending	35-21485-B,35-21838-B
subprovincial city and capital of guangdong province in south china	23-12260-S,23-12418-S
subprovincial city in guangdong	38-48963-S,38-49140-S
subregion gms	17-25713-S,17-25828-S
subroutine	19-1827-B
subscribe	57-57687-S
subscribe to a newspaper etc	57-56606-S
subscribe to a periodical or newspaper	19-48441-S
subscribe to share issue	58-22389-S
subscriber	57-57687-B,57-57754-B
subscriber line	30-21142-S,43-35648-B,67-64384-S
subscriber to a newspaper or periodical	57-57086-B
subscript	1-60670-B
subscription	57-57885-B,66-59661-S
subscription service	29-15369-S
subscription to a publication	24-23631-S
subsequent writing	31-9875-S
subsequently	28-27616-B
subset	19-2251-B
subside	1-64184-S,16-15247-S,38-28857-B,61-62817-B
subsidence	1-64184-B,37-7692-B,66-32439-S
subsidence of land	66-32332-B
subsidiary	7-41688-S,66-15524-B,66-15676-B
subsidiary bank	8-57893-B
subsidiary character in a play	30-67184-S
subsidiary company	8-50176-B,19-397-B
subsidiary corporation	19-397-B
subsidiary course	61-9321-B
subsidiary ledger	31-26142-B
subsidize	28-60860-S,59-47947-B,59-50871-B
subsidy	56-57052-S,56-59546-B
subsoil	24-31395-B
subsp rapa	53-65995-S
subspecies taxonomy	3-62841-B
substance	7-27863-B,15-53691-S,20-15260-B,20-16323-B,28-46521-S,32-35577-S,36-31632-S,39-24874-S,40-31428-S,41-54758-B,41-55190-B,53-19751-S,55-52848-S,59-59704-B
substance concisely	71-43146-S
substance consisting purely of one element	14-21824-S
substance of a document	57-26855-S
substance of speech all of a kind e g all lies	39-35615-B
substance up into components by boiling	69-18872-S
substances	17-71892-S
substances together	29-33180-S
substandard	4-67700-B
substandard choice 成语 saw	20-19187-S
substandard products	35-20286-B,35-21770-B
