dòng chá	37-57548-B
dòng chá lì	37-57597-B
dòng chéng xù	69-56185-S
dòng chē	35-2552-S,53-3012-S
dòng chē liàng	35-2610-S
dòng chǎn	1-73272-S
dòng chǎng	62-38919-S
dòng cí	1-74866-S,9-61173-S,10-2085-B,11-42618-S,52-27507-S,62-23680-S
dòng cí chóng dié	10-2207-B
dòng cí jié gòu	10-2123-B
dòng de gōng zuò	53-2138-S
dòng diàn huà	47-26659-S,56-31974-S
dòng diàn shì	3-44865-S
dòng diān fù guó jiā zhèng quán	41-11022-S
dòng diān fù guó jiā zuì	41-11202-S
dòng diǎn	1-73498-S,10-2837-B
dòng diǎn dìng lǐ	1-73575-S
dòng duàn céng	60-10388-S
dòng duì	9-3302-S
dòng dài	6-34354-S,15-46251-S
dòng dàn	9-69170-B
dòng dàn bái	52-7478-S
dòng dàng	10-1432-B,10-1868-B,53-2847-S
dòng dì	69-60447-S
dòng dì yù	38-13001-S
dòng dǎng	4-13162-S,26-32000-S,53-2693-S
dòng fáng	37-64118-S
dòng fáng huā zhú	37-57791-B
dòng fáng huā zhú yè	37-57947-B
dòng fáng wū	37-64194-S
dòng fáng zhǐ fú shè chéng xù	53-3067-S
dòng fèn zǐ	11-45235-S
dòng fù kuǎn jī	53-1758-S
dòng fù zhài	38-2655-S
dòng fú	62-39329-S
dòng fú tī	53-2393-S
dòng fāng chéng	62-39184-S
dòng fāng àn	56-31831-S
dòng guà dǎng	53-2456-S
dòng guàn liàng	61-21545-S
dòng gōng	9-69105-B
dòng gǎi zào	10-4987-S
dòng gǎng	1-71058-S
dòng gǎng kǒu	1-71127-S
dòng huà	5-36081-S,10-1316-B,34-50708-S,53-1925-S,57-59707-S,61-35117-S,62-13410-S
dòng huà jì shù	53-1980-S
dòng huà piān	10-1368-B
dòng huì	15-62159-S,18-15050-S,62-39263-S
dòng huì zǔ zhī wěi yuán huì	18-15163-S
dòng huī fù	53-2318-S
dòng hè	25-3443-B
dòng hú lu	36-26365-S,67-26241-S
dòng jiàn	37-58199-B
dòng jiào yǎng	10-5072-S
dòng jié	8-27410-B,10-5156-S,15-15127-S
dòng jiā	37-64054-S,62-39060-S
dòng jiā gōng	34-37249-S
dòng jué	10-1986-B
dòng jì huà	56-31906-S
dòng jì lù	45-48592-S
dòng jì shù	13-64787-S,45-48514-S,60-40201-S
dòng jìng	10-2557-B
dòng jī	10-439-B,14-37003-S,33-51008-S,33-59631-S,36-49013-S,39-3161-S,39-3255-S,44-26980-S,67-26181-S
dòng kòng zhì	36-26236-S,53-2534-S
dòng kāi guān	36-26440-S
dòng kū	37-58159-B
dòng kǒu	37-57403-B
