孝悌忠信 孝悌忠信 [01\[ xiào tì zhōng xìn\]]	confucian moral injunctions of fidelity;piety to one's parents
孝感 孝感 [01\[ xiào gǎn\]]	xiaogan prefecture level city in hubei
孝感地區 孝感地区 [01\[ xiào gǎn dì qū\]]	(n) xiaogan district (district in hubei)
孝感市 孝感市 [01\[ xiào gǎn shì\]]	xiaogan prefecture level city in hubei
孝成王 孝成王 [01\[ xiào chéng wáng\]]	king xiaocheng of zhao 趙國|赵国
孝敬 孝敬 [01\[ xiào jìng\]]	to respect;to give presents (to one's elders or superiors)
孝經 孝经 [01\[ xiào jīng\]]	xiao jing (classic of filial piety)
孝義 孝义 [01\[ xiào yì\]]	(n) xiaoyi (city in shanxi)
孝道 孝道 [01\[ xiào dao\]]	filial piety (confucian virtue);to be a good son or daughter
孝順 孝顺 [01\[ xiào shùn\]]	filial piety
孟 孟 [01\[ mèng\]]	first month;eldest brother;surname meng
孟加拉 孟加拉 [01\[ mèng jiā lā\]]	bengal;bangladesh
孟加拉共和國 孟加拉共和国 [01\[ mèng jiā lā gòng hé guó\]]	bangladesh
孟加拉國 孟加拉国 [01\[ mèng jiā lā guó\]]	bangladesh
孟加拉灣 孟加拉湾 [01\[ mèng jiā lā wān\]]	bay of bengal
孟加拉語 孟加拉语 [01\[ mèng jiā lā yǔ\]]	bengalese
孟姜女 孟姜女 [01\[ mèng jiāng nǚ\]]	heroine of qin dynasty 秦朝 folk tale
孟子 孟子 [01\[ mèng zǐ\]]	mencius (c. 372-c. 289 bc)
孟德斯鳩 孟德斯鸠 [01\[ mèng dé sī jiū\]]	charles de secondat
孟村回族自治縣 孟村回族自治县 [01\[ mèng cūn huí zú zì zhì xiàn\]]	mengcun hui autonomous county in hebei
孟津 孟津 [01\[ mèng jīn\]]	mengjin county in henan
孟浩然 孟浩然 [01\[ mèng hào rán\]]	meng haoran (689-740)
孟浪 孟浪 [01\[ mèng làng\]]	hasty;rash;impetuous
孟縣 孟县 [01\[ mèng xiàn\]]	(n) meng county (county in henan)
孟菲斯 孟菲斯 [01\[ mèng fēi sī\]]	memphis (egypt
孟買 孟买 [01\[ mèng mǎi\]]	mumbai (formerly bombay)
孟軻 孟轲 [01\[ mèng kē\]]	mencius 孟子 (c. 372-c. 289)
孟郊 孟郊 [01\[ mèng jiāo\]]	meng jiao (751-814)
孢 孢 [01\[ bāo\]]	spore
孢子 孢子 [01\[ bāo zǐ\]]	spore
季 季 [01\[ jì\]]	season;period;surname ji
季世 季世 [01\[ jì shì\]]	final phase;end of a historical era
季候 季候 [01\[ jì hòu\]]	season
季冬 季冬 [01\[ jì dōng\]]	final month of winter (i.e. twelfth month of lunar calendar)
季刊 季刊 [01\[ jì kān\]]	quarterly publication
季報 季报 [01\[ jì bào\]]	quarterly report
季夏 季夏 [01\[ jì xià\]]	final month of summer (i.e. sixth month of lunar calendar)
季子 季子 [01\[ jì zǐ\]]	youngest brother;a period of two or three months
季度 季度 [01\[ jì dù\]]	period of three month;quarter
季後賽 季后赛 [01\[ jì hòu sài\]]	a playoff
季春 季春 [01\[ jì chūn\]]	final month of spring (i.e. third month of lunar calendar)
季會 季会 [01\[ jì huì\]]	quarterly meeting
季父 季父 [01\[ jì fù\]]	youngest uncle;fourth uncle
季相 季相 [01\[ jì xiàng\]]	characteristic nature of some season
季節 季节 [01\[ jì jié\]]	time;season;period
季節性 季节性 [01\[ jì jié xìng\]]	seasonal
季肋 季肋 [01\[ jì lèi\]]	upper abdomen
季諾 季诺 [01\[ jì nuò\]]	a promise that can be realised
季路 季路 [01\[ jì lù\]]	ji lu (542-480 bc)
季軍 季军 [01\[ jì jūn\]]	third in a race;bronze medallist
季風 季风 [01\[ jì fēng\]]	monsoon
孤 孤 [01\[ gū\]]	lone;lonely
孤僻 孤僻 [01\[ gū pì\]]	unsociable and eccentric
孤兒 孤儿 [01\[ gū ér\]]	orphan
孤兒藥 孤儿药 [01\[ gū ér yào\]]	orphan drug
孤兒院 孤儿院 [01\[ gū ér yuàn\]]	orphanage;child asylum
孤單 孤单 [01\[ gū dān\]]	lone;loneliness
孤島 孤岛 [01\[ gū dǎo\]]	isolated region
孤征 孤征 [01\[ gū zhēng\]]	to act on one's own;to fight alone
孤掌難鳴 孤掌难鸣 [01\[ gū zhǎng nán míng\]]	it's hard to clap with only one hand.;it takes two to tango;it's difficult to achieve anything without support.
孤獨 孤独 [01\[ gū dú\]]	lonely;solitary
孤立 孤立 [01\[ gū lì\]]	isolate;isolated
孤立無援 孤立无援 [01\[ gū lì wú yuán\]]	isolated and without help
孤膽 孤胆 [01\[ gū dǎn\]]	solitary hero;maverick
孤膽英雄 孤胆英雄 [01\[ gū dǎn yīng xióng\]]	solitary hero;maverick
孤證不立 孤证不立 [01\[ gū zhèng bù lì\]]	unacceptable as uncorroborated evidence (in law or in textual criticism)
孤陋 孤陋 [01\[ gū lòu\]]	ignorant;ill-informed
孤陋寡聞 孤陋寡闻 [01\[ gū lòu guǎ wén\]]	ignorant and inexperienced;ill-informed and narrow-minded
孤雌生殖 孤雌生殖 [01\[ gū cí shēng zhí\]]	parthenogenesis (biol. a female reproducing without fertilization)
孤零零 孤零零 [01\[ gū líng líng\]]	lone;isolated and without help;all alone
孥 孥 [01\[ nú\]]	child;offspring
孩 孩 [01\[ hái\]]	child
孩子 孩子 [01\[ hái zi\]]	child
孩子們 孩子们 [01\[ hái zi men\]]	children
孩子氣 孩子气 [01\[ hái zi qì\]]	boyish;childish
孫 孙 [01\[ sūn\]]	grandson;descendant;surname sun
孫中山 孙中山 [01\[ sūn zhōng shān\]]	dr sun yat-sen (1866-1925)
孫傳芳 孙传芳 [01\[ sūn chuán fāng\]]	sun chuanfang (1885-1935) one of the northern warlord
孫吳 孙吴 [01\[ sūn wú\]]	(n) sunwu (place in heilongjiang)
孫堅 孙坚 [01\[ sūn jiān\]]	sun jian (155-191)
孫女 孙女 [01\[ sūn nǚ\]]	son's daughter;granddaughter
孫女兒 孙女儿 [01\[ sūn nǚ er\]]	granddaughter (son's daughter)
孫女婿 孙女婿 [01\[ sūn nǚ xu\]]	son's daughter's husband; granddaughter's husband
孫媳夫 孙媳夫 [01\[ sūn xí fu\]]	son's son's wife; grandson's wife
孫子 孙子 [01\[ sūn zǐ\]]	sun wu 孫武|孙武
孫子 孙子 [01\[ sūn zi\]]	grandson;son's son
孫子兵法 孙子兵法 [01\[ sūn zǐ bīng fǎ\]]	the art of war by sun wu 孫武|孙武
孫子定理 孫子定理 [01\[ sūn zi dìng lǐ\]]	the chinese remainder theorem
孫悟空 孙悟空 [01\[ sūn wù kōng\]]	sun wukong (name of a monkey with supernatural powers in the novel journey to the west 西遊記|西游记)
孫權 孙权 [01\[ sūn quán\]]	sun quan (reigned 222-252)
孫武 孙武 [01\[ sūn wǔ\]]	sun wu
孫武子 孙武子 [01\[ sūn wǔ zǐ\]]	sun wu
孫繼海 孙继海 [01\[ sūn jì hǎi\]]	sun jihai
孫臏 孙膑 [01\[ sūn bìn\]]	sun bin
孫臏兵法 孙膑兵法 [01\[ sūn bìn bīng fǎ\]]	the art of war by sun wu 孫武|孙武;also written 孫子兵法|孙子兵法
孫逸仙 孙逸仙 [01\[ sūn yì xiān\]]	dr sun yat-sen (1866-1925)
孬 孬 [01\[ huài\]]	bad (same as 壞|坏
孬 孬 [01\[ nāo\]]	bad (informal abbr. of 不好
孬種 孬种 [01\[ nāo zhǒng\]]	coward;useless scoundrel
孰 孰 [01\[ shú\]]	who;which;what
孰真孰假 孰真孰假 [01\[ shú zhēn shú jiǎ\]]	what is true and what is fake
孰能生巧 孰能生巧 [01\[ shú néng shēng qiǎo\]]	practice makes perfect
孱 孱 [01\[ càn\]]	dodger
孱 孱 [01\[ chán\]]	coward;weak
孳 孳 [01\[ zī\]]	industrious;produce;bear
孳孳 孳孳 [01\[ zī zī\]]	diligent;hardworking;industrious;assiduous
孵 孵 [01\[ fū\]]	breeding;to incubate;to hatch
孵化 孵化 [01\[ fū huà\]]	breeding;to incubate;innovation (esp. in commerce and marketing)
孵育 孵育 [01\[ fū yù\]]	to incubate;to rear (chicks)
孵蛋 孵蛋 [01\[ fū dàn\]]	to incubate
學 学 [01\[ xué\]]	learn;study;science;-ology
學以致用 学以致用 [01\[ xué yǐ zhì yòng\]]	to study sth to apply it;study for practical applications
學位 学位 [01\[ xué wèi\]]	educational level
學位論文 学位论文 [01\[ xué wèi lùn wén\]]	a dissertation;a phd thesis
學分 学分 [01\[ xué fēn\]]	course credit
學制 学制 [01\[ xué zhì\]]	educational system;length of schooling
學區 学区 [01\[ xué qū\]]	school district
學名 学名 [01\[ xué míng\]]	scientific name;latin name (of plant or animal)
學員 学员 [01\[ xué yuán\]]	student;member of an institution of learning
學問 学问 [01\[ xué wèn\]]	learning;knowledge
學堂 学堂 [01\[ xué táng\]]	college;school
學報 学报 [01\[ xué bào\]]	a scholarly journal;journal
學壞 学坏 [01\[ xué huài\]]	to follow bad examples
學士 学士 [01\[ xué shì\]]	bachelor degree
學士學位 学士学位 [01\[ xué shì xué wèi\]]	bachelor's degree
學好 学好 [01\[ xué hǎo\]]	to follow good examples
學家 学家 [01\[ xué jiā\]]	scholar
學年 学年 [01\[ xué nián\]]	academic year
學府 学府 [01\[ xué fǔ\]]	educational establishment
學徒 学徒 [01\[ xué tú\]]	apprentice
學時 学时 [01\[ xué shí\]]	class hour;period
學會 学会 [01\[ xué huì\]]	to learn;to master;institute;learned society;(scholarly) association
學期 学期 [01\[ xué qī\]]	term;semester
學校 学校 [01\[ xué xiào\]]	school;cl:所[suo3]
學業 学业 [01\[ xué yè\]]	schoolwork;study material
學歷 学历 [01\[ xué lì\]]	school record
學派 学派 [01\[ xué pài\]]	school of thought
學海 学海 [01\[ xué hǎi\]]	sea of learning;erudite;knowledgeable person;scholarship
學海汎舟 学海泛舟 [01\[ xué hǎi fàn zhōu\]]	sailing on the sea of learning (成语 saw); ars longa
學海無涯 学海无涯 [01\[ xué hǎi wú yá\]]	sea of learning
學然後知不足 学然后知不足 [01\[ xué rán hòu zhī bù zú\]]	to learn is to know one's ignorance (the book of rites 禮記|礼记)
學生 学生 [01\[ xué sheng\]]	student;school child
學生會 学生会 [01\[ xué sheng huì\]]	student union
學生證 学生证 [01\[ xué sheng zhèng\]]	student identity card
學甲鎮 学甲镇 [01\[ xué jiǎ zhèn\]]	(n) hsuehchia (town in taiwan)
學科 学科 [01\[ xué kē\]]	subject;branch of learning;course
學童 学童 [01\[ xué tóng\]]	schoolboy
學籍 学籍 [01\[ xué jí\]]	school roll(s)
學級 学级 [01\[ xué jí\]]	class
學習 学习 [01\[ xué xí\]]	to learn;to study
學習刻苦 学习刻苦 [01\[ xué xí kè kǔ\]]	to study hard;assiduous
學者 学者 [01\[ xué zhě\]]	scholar
學藝 学艺 [01\[ xué yì\]]	to learn a skill or art
學術 学术 [01\[ xué shù\]]	learning;science;academic
學術界 学术界 [01\[ xué shù jiè\]]	academic circles;academia
學術自由 学术自由 [01\[ xué shù zì yóu\]]	academic freedom
學說 学说 [01\[ xué shuō\]]	theory;doctrine
學識 学识 [01\[ xué shí\]]	erudition;scholarly knowledge
學費 学费 [01\[ xué fèi\]]	tuition fee;tuition
學院 学院 [01\[ xué yuàn\]]	college;educational institute;school;faculty
學齡 学龄 [01\[ xué líng\]]	school age
孺 孺 [01\[ rú\]]	child;surname ru
孻 孻 [01\[ lái\]]	last
孽 孽 [01\[ niè\]]	consequence of sin
孽海花 孽海花 [01\[ niè hǎi huā\]]	flower in the sea of evil
孿 孪 [01\[ luán\]]	twins
孿生素數 孪生素数 [01\[ luán shēng sù shù\]]	(math.) twin primes
它 它 [01\[ tā\]]	it (used for things)
它們 它们 [01\[ tā men\]]	they (for inanimate objects)
它本身 它本身 [01\[ tā běn shēn\]]	itself
宄 宄 [01\[ guǐ\]]	traitor
宅 宅 [01\[ zhái\]]	residence
宅子 宅子 [01\[ zhái zi\]]	house;residence
宅男 宅男 [01\[ zhái nán\]]	male addicted to computers
宅舍 宅舍 [01\[ zhái shè\]]	house;residence
宅院 宅院 [01\[ zhái yuàn\]]	house;house with a courtyard
宇 宇 [01\[ yǔ\]]	room;universe
宇宙 宇宙 [01\[ yǔ zhòu\]]	universe;cosmos
宇宙射線 宇宙射线 [01\[ yǔ zhòu shè xiàn\]]	cosmic ray
宇宙生成論 宇宙生成论 [01\[ yǔ zhòu shēng chéng lùn\]]	cosmology
宇宙線 宇宙线 [01\[ yǔ zhòu xiàn\]]	cosmic ray
宇宙號 宇宙号 [01\[ yǔ zhòu hào\]]	cosmos
宇宙觀 宇宙观 [01\[ yǔ zhòu guān\]]	world view
宇宙速度 宇宙速度 [01\[ yǔ zhòu sù dù\]]	escape velocity
宇宙飛船 宇宙飞船 [01\[ yǔ zhòu fēi chuán\]]	spacecraft
宇文 宇文 [01\[ yǔ wén\]]	a branch of the xianbei 鮮卑|鲜卑 nomadic people
宇普西龍 宇普西龙 [01\[ yǔ pǔ xī lóng\]]	upsilon (greek letter υυ)
宇航 宇航 [01\[ yǔ háng\]]	space flight
宇航員 宇航员 [01\[ yǔ háng yuán\]]	astronaut
宇航局 宇航局 [01\[ yǔ háng jú\]]	space agency
宇航服 宇航服 [01\[ yǔ háng fú\]]	spacesuit
守 守 [01\[ shǒu\]]	to guard;to observe (the ritual)
守住 守住 [01\[ shǒu zhu\]]	to hold (a position)
守信 守信 [01\[ shǒu xìn\]]	to keep promises
守信用 守信用 [01\[ shǒu xìn yòng\]]	to keep one's word;trustworthy
守候 守候 [01\[ shǒu hòu\]]	to wait for;to expect;to nurse;to look after
守則 守则 [01\[ shǒu zé\]]	rules;regulations
守夜 守夜 [01\[ shǒu yè\]]	night vigil
守恆定律 守恒定律 [01\[ shǒu héng dìng lǜ\]]	conservation law
守時 守时 [01\[ shǒu shí\]]	punctual
守更 守更 [01\[ shǒu gēng\]]	to keep watch during the night
守法 守法 [01\[ shǒu fǎ\]]	to abide by the law
守節 守节 [01\[ shǒu jié\]]	faithful (to the memory of betrothed);constant (of widow who remains unmarried)
守舊 守旧 [01\[ shǒu jiù\]]	conservative;reactionary
守舊派 守旧派 [01\[ shǒu jiù pài\]]	the conservative faction;reactionaries
守衛 守卫 [01\[ shǒu wèi\]]	guard
守護神 守护神 [01\[ shǒu hù shén\]]	protector god;patron saint
守車 守车 [01\[ shǒu chē\]]	caboose
守門 守门 [01\[ shǒu mén\]]	to keep goal;on duty as gate-keeper
守門員 守门员 [01\[ shǒu mén yuán\]]	goal-keeper
守齋 守斋 [01\[ shǒu zhāi\]]	to fast
安 安 [01\[ ān\]]	content;calm;still;quiet;to pacify;peace;surname an
安丘 安丘 [01\[ ān qiū\]]	(n) anqiu (city in shandong)
安乃近 安乃近 [01\[ ān nǎi jìn\]]	analgin
安之若素 安之若素 [01\[ ān zhī ruò sù\]]	bear hardship with equanimity;regard wrongdoing with equanimity
安仁 安仁 [01\[ ān rén\]]	(n) anren (place in hunan)
安保 安保 [01\[ ān bǎo\]]	to maintain security (abbr.)
安倍 安倍 [01\[ ān bèi\]]	japanese surname abe
安倍晉三 安倍晋三 [01\[ ān bèi jìn sān\]]	abe shinzou
安克拉治 安克拉治 [01\[ ān kè lā zhì\]]	anchorage (alaska)
安克雷奇 安克雷奇 [01\[ ān kè léi qí\]]	anchorage (city in alaska)
安全 安全 [01\[ ān quán\]]	safe;secure;safety;security
安全區 安全区 [01\[ ān quán qū\]]	a safe area;a security zone
安全問題 安全问题 [01\[ ān quán wèn tí\]]	safety issue;security issue
安全套 安全套 [01\[ ān quán tào\]]	condom
安全局 安全局 [01\[ ān quán jú\]]	security authorities
安全帶 安全带 [01\[ ān quán dài\]]	seat belt
安全性 安全性 [01\[ ān quán xìng\]]	security;safety
安全檢查 安全检查 [01\[ ān quán jiǎn chá\]]	safety check;security inspection (at airports)
安全殼 安全壳 [01\[ ān quán ké\]]	containment vessel
安全燈 安全灯 [01\[ ān quán dēng\]]	safety lamp;safelight
安全理事會 安全理事会 [01\[ ān quán lǐ shì huì\]]	un security council
安全網 安全网 [01\[ ān quán wǎng\]]	safety net
安全考慮 安全考虑 [01\[ ān quán kǎo lǜ\]]	security consideration
安全與交換委員會 安全与交换委员会 [01\[ ān quán yǔ jiāo huàn wěi yuán huì\]]	us securities and exchange commission (sec)
安全閥 安全阀 [01\[ ān quán fá\]]	safety valve
安分 安分 [01\[ ān fèn\]]	not go beyond one's bounds;be law-abiding
安分守己 安分守己 [01\[ ān fèn shǒu jǐ\]]	abide by the law and behave oneself;know one's place
安利 安利 [01\[ ān lì\]]	amway
安化 安化 [01\[ ān huà\]]	(n) anhua (place in hunan)
安南 安南 [01\[ ān nán\]]	kofi annan (1938-)
