tonal modification	59-11592-B
tonal system of cantonese and other southern languages	3-20412-S
tone	1-18232-S,1-55021-S,3-40984-S,4-21426-S,4-21426-S,4-21551-S,4-21551-S,11-38293-S,12-51574-S,16-1847-S,19-47769-S,19-47820-S,27-69869-S,29-12788-S,34-50121-B,48-16510-S,49-20848-S,51-65159-B,51-66303-B,51-66705-B,58-25907-B,58-35256-B,58-37039-S,59-11592-S,61-11759-S,66-24047-S,66-24101-S,66-35282-S,66-35336-S,68-15422-B,68-15478-B,68-15747-B,68-16531-B,68-17732-S,68-18525-S
tone and mood	25-15744-B
tone arm tracking arm of gramophone	13-55838-B
tone classical chinese	4-21426-S,7-23713-S
tone contor	51-66966-B
tone i e final rhyming syllable must be classical first or second tone 平聲 平声	27-16295-S
tone i e first and second tones in classical chinese	22-37104-S
tone i e the first and second tones of classical chinese	22-44181-S
tone musical interval	7-42835-S
tone of a character	19-6658-B
tone of chinese syllable	48-9461-S,48-10492-S,48-11631-S,48-13220-S
tone of classical chinese	4-21551-S,7-25508-S
tone of comments	11-68401-S
tone of putonghua	1-45053-S,11-37465-S
tone of putonghua high level tone	1-18232-S
tone of speech	11-70502-B
tone of voice	11-70234-B
tone on a chinese syllable	51-66705-S
tone phonetics	31-19786-S
tone sandhi	62-24894-B
tone the fourth tone of classical chinese	7-25508-S
tone the third tone of classical chinese	4-21551-S
tone 平聲 平声	27-16295-S
tones	51-66782-S,58-35412-S
tones and six modes tonal system of cantonese and other southern languages	3-20412-S
tones in classical chinese	22-37104-S
tones of classical chinese	22-44181-S
tones of classical chinese phonetics	14-52391-S
tones technical term for classical chinese rhythmic poetry	22-37286-S
tones 四聲 四声 then rhyme 韻 韵 i e medial consonant and final	68-17534-S
tong	5-9347-S,23-55744-S,47-64434-S
tong an place in fujian	12-46496-S
tong county in beijing	62-12194-B
tong place in hong kong	57-42005-S
tong prime minister of singapore	12-69595-S
tong ren tang	12-45444-B
tong sui	48-61019-B
tong university	1-51578-S
tong4 kuai5	44-14183-S
tonga	39-14369-B,39-14409-B
tongariro	39-14471-B
tongbai place in henan	34-5871-S
tongcheng city in anhui	34-5630-B
tongcheng place in anhui	34-5563-S
tongcheng place in hubei	62-9084-S
tongdao dongzu autonomous county in hunan	62-15161-B
tongde place in qinghai	12-47037-S
tonggu county in yichun 宜春	64-31044-B,64-31108-B
tongguan place in shaanxi	39-64847-S
tonghai place in yunnan	62-10619-S
tonghe place in heilongjiang	62-10551-S
tonghua city 通化市	3-42975-S,3-43066-S,33-19625-S,33-19706-S
tonghua county	62-8181-S
tonghua county in tonghua 通化	62-8529-B
tonghua district district in jilin	62-8312-S
tonghua prefecture level city in jilin province 吉林省 in northeast china	62-8181-B,62-8407-B
tonghua 通化	33-50094-S,33-50157-S,34-11339-S,34-11427-S,61-13917-S,61-13982-S,62-8529-S,66-57381-S,66-57454-S
tongji medical college	12-49512-B
tongji university	12-49440-B
tongjiang city in heilongjiang	12-49008-S
tongjiang place in sichuan	62-10482-S
tongli	12-49773-B
tongliang place in sichuan	64-30516-S
tongliao prefecture level city in inner mongolia	62-15332-B,62-15416-B
tongling prefecture level city in anhui	64-30883-B,64-30958-B
tonglu place in zhejiang	34-5701-S
tongmenghui	2-55253-B,12-50415-B
tongnan place in sichuan	39-64782-S
tongren city and prefecture in guizhou	64-29885-B
tongren place in qinghai	12-45379-S
tongren prefecture in guizhou	64-29958-B
tongs	17-70511-B,17-71852-B,40-24823-S,64-23491-B
tongshan county	3-18129-S,3-18221-S,62-9432-B
tongshan place in hubei	62-9367-S
tongshan place in jiangsu	64-30200-S
tongshi city in hainan	62-6854-S
tongue	4-70830-S,11-69356-B,13-20834-S,14-30023-S,14-30149-S,14-32651-S,17-64824-S,17-67284-S,24-57906-S,25-23114-S,25-23316-S,32-64222-S,53-29456-B,53-29485-S,53-29573-S,53-29787-S,53-29950-S,53-30017-S,53-30075-B,53-64390-S,58-25192-S,60-10677-S
tongue against the alveolar ridge	9-26190-S
tongue against the soft palate	24-3194-S
tongue depressor	16-33737-B
tongue ears 鼻目口舌耳	3-48904-S
tongue in wonder	13-20994-S
tongue lashing	53-17239-B
tongue of flame	40-23940-B
tongue root	53-29950-B
tongue tied	46-42946-B,49-44039-B,58-762-B
tongue tied for fear of embarassment 成语 saw	46-43048-B
tongue tied 成语 saw	23-37900-S
