shi2 ti3	20-16323-B
shi2 ti3 ceng2	20-16372-B
shi2 tian1	1-32065-S
shi2 tian1 gan1	10-45823-B
shi2 tian1 huan2 you2 di4 qiu2	7-49388-S
shi2 tong1 bian4	58-62867-S
shi2 tong1 xun4	11-24884-S
shi2 tou2 da4 hai3	46-6237-B
shi2 tou5	15-24592-S,46-10848-B
shi2 tou5 huo3 guo1	46-10886-B
shi2 tu2	51-31657-S
shi2 tu2 lao3 ma3	58-63638-B
shi2 tu2 ni2 cha2	47-16774-S
shi2 tu3 bu1	61-14872-S
shi2 wan4	3-34981-S,10-47219-B
shi2 wan4 huo3 ji2	10-47375-B
shi2 wan4 wei4	10-47269-B
shi2 wang2	12-55480-S
shi2 wei1 jian4 ji3	58-62318-B
shi2 wei2 ke4	22-16646-S
shi2 wei2 li4	37-14658-S,55-23360-S
shi2 wei2 tian1	36-19315-S
shi2 wei4	10-43888-B
shi2 wen2 duan4 zi4	58-62591-B
shi2 wu3	1-31594-S,3-33756-S,7-66360-S,10-43630-B,48-12624-S
shi2 wu3 da4	10-43738-B
shi2 wu3 hao4	3-51011-S
shi2 wu3 nian2	10-43830-B
shi2 wu3 shi3	3-33813-S
shi2 wu3 sui4	7-66414-S
shi2 wu3 yi4	1-31652-S,10-43673-B
shi2 wu4	2-30554-S,20-12428-B,20-14038-B,27-53965-B,69-2675-B
shi2 wu4 ji2 yao4 pin3 guan3 li3 ju2	69-2785-B
shi2 wu4 jiao4 xue2	20-14149-B
shi2 wu4 lian4	69-2993-B
shi2 wu4 you2	69-2929-B
shi2 wu4 zhe3 wei4 jun4 jie2	58-62673-S
shi2 wu4 zhong4 du2	69-2712-B
shi2 xi2	20-14451-B
shi2 xi2 sheng5	20-14506-B
shi2 xia2	53-58959-S
shi2 xia4	31-38779-B,46-9662-B
shi2 xian3 shi2 yin3	31-42844-B
shi2 xian4	20-14218-B,31-42799-B,40-34570-S,46-37406-S,53-6455-S,65-69588-S
shi2 xiang1	21-6173-S,33-22215-S
shi2 xiang4	10-47890-B,46-3846-B,58-63037-B
shi2 xiang4 quan2 neng2	10-47957-B
shi2 xiao1 xi5	53-22240-S
shi2 xiao3	31-39929-S
shi2 xiao4	61-59773-S
shi2 xie3 shi2 chuo4	31-40189-B
shi2 xin4 guan3	19-45757-S
shi2 xing1	31-41512-B
shi2 xing2	20-14685-B
shi2 xing2 tai4	25-30358-S
shi2 xing2 wei2	57-34264-S
shi2 xiu1	46-43048-S,58-63150-B
shi2 xu4	9-55105-S,31-40466-B,31-40596-S
shi2 xue2	21-36581-S,45-42521-S
shi2 xun4	31-41644-B
shi2 yan2	46-11183-B,69-4081-B,69-4473-B
shi2 yan2 shi4	22-18780-S,22-18929-S
shi2 yan4	20-16033-B
shi2 yan4 shi4	20-16092-B
shi2 yan4 shi4 gan3 ran3	20-16147-B
shi2 yan4 xin1 li3 xue2	20-16234-B
shi2 ye4	20-13782-B
shi2 ye4 jia1	20-13845-B
shi2 yi1	1-31302-S,2-24028-S,3-33087-S,10-41760-B,48-12361-S
shi2 yi1 ding1	2-30061-S
shi2 yi1 feng4 xian4	4-19629-B
shi2 yi1 hao4	1-35778-S
shi2 yi1 nian2	10-41830-B
shi2 yi1 shi4 ji4	3-33143-S
shi2 yi1 tiao2	3-33219-S
shi2 yi1 yue4	10-41887-B
shi2 yi2	1-70228-S,2-57-S,12-31509-S,12-34724-S,27-54268-B,31-40069-B,56-58698-S,56-60108-S,60-41398-S,62-49468-S
shi2 yi2 bu3 que1	27-54374-B
shi2 yi3 hou4	1-7250-S
shi2 yi3 qian2	35-41443-S
shi2 yi3 shou4	69-3999-B
shi2 yi4	1-3796-S,1-14946-S,1-31717-S,3-33930-S,10-44027-B,20-13085-B,22-57330-S,30-20510-S,45-42172-S
shi2 yi4 de5	45-41903-S
shi2 yi4 wei4 yuan2	10-44077-B
shi2 yi4 wei4 yuan2 yi3 tai4 wang3 luo4	10-44140-B
shi2 yi4 wei4 yuan2 yi3 tai4 wang3 luo4 lian2 meng2	10-44256-B
shi2 yin3	31-42844-S
shi2 yin4	46-4366-B
shi2 ying1	46-9934-B,49-28892-S
shi2 ying1 hao4	49-28945-S
shi2 ying1 lu3 su4 deng1	46-10035-B
shi2 ying1 zhong1	46-9975-B
shi2 yong4	20-14302-B,69-3048-B
shi2 yong4 zhu3 yi4	20-14385-B
shi2 you2	46-7786-B,54-2644-S,61-12335-S,69-2542-B
shi2 you2 chan3 pin3	61-12441-S
shi2 you2 chuan1 dong1 zuan4 tan4 gong1 si1	2-76805-S
shi2 you2 gong1 si1	54-2718-S,67-15971-S
shi2 you2 he2 hua4 xue2 gong1 ye4 xie2 hui4	2-61549-S
shi2 you2 hua4 gong1 gu3 fen4 you3 xian4 gong1 si1	2-61362-S
shi2 you2 hua4 xue2	46-7833-B
shi2 you2 huan4 shi2 pin3 xiang4 mu4	46-7903-B
shi2 you2 la4	46-8019-B
shi2 you2 mi2	46-8168-B
shi2 you2 qi4	38-37327-S
shi2 you2 shu1 chu1 guo2 zu3 zhi1	46-8076-B
shi2 you3 suo3 wen2	31-40793-B
shi2 yu3 yin1 ji4 yi4	45-66288-S
shi2 yu4	69-2417-B
shi2 yue4	10-47092-B
shi2 yue4 ge2 ming4	10-47145-B
shi2 yun4	31-41905-B
shi2 yun4 bu4 ji4	31-41957-B
shi2 zai4	20-12487-B
shi2 ze2	20-12338-B
shi2 zha4 dan4	19-45950-S,31-41228-B
shi2 zhan4	20-13125-B
shi2 zhe3	49-25408-S
shi2 zhen1	61-67309-S,68-24985-S
shi2 zhen4	21-61696-S
shi2 zheng4	20-14844-B,48-55553-S,52-50958-S
shi2 zheng4 fu3	52-58139-S
shi2 zheng4 zhu3 yi4	20-14920-B
shi2 zhi1 wu2	43-56589-S
shi2 zhi1 xu1	2-14755-S
shi2 zhi2	20-12155-B,20-14567-B
shi2 zhi3	69-2458-B
shi2 zhi4	16-40784-S,20-15260-B,46-10364-B
shi2 zhi4 shang4	20-15311-B
shi2 zhi4 xing4	20-15379-B
shi2 zhi4 yi2	14-60620-S
shi2 zhong1	19-46016-S,31-42067-B,70-29842-S
shi2 zhong1 ri4	69-8525-S
shi2 zhong1 ri4 wu2 suo3 yong4 xin1	69-8637-S
shi2 zhong1 xin1	21-2340-S
shi2 zhong1 zuo4	31-42108-B
shi2 zhong4 bo1	33-36365-S
shi2 zhou3	20-14621-B
shi2 zhu2	71-10599-S
shi2 zhu3 yi4	42-50115-S
shi2 zhu4	56-6180-S
shi2 zhuang1	31-41566-B
shi2 zhuang4	46-9079-B
shi2 zhuo1	12-21138-S
shi2 zi3 r5	46-5583-B
shi2 zi4	2-30381-S,10-45895-B,58-62212-B
shi2 zi4 hua1 ke1	10-46125-B
shi2 zi4 hui4	49-8648-S
shi2 zi4 jia4	10-46044-B
shi2 zi4 jun1	10-46347-B
shi2 zi4 jun1 dong1 zheng1	10-46431-B
shi2 zi4 jun1 yuan3 zheng1	10-46542-B
shi2 zi4 lu4 kou3	10-46270-B
shi2 zi4 tuan2	55-21768-S
shi2 zi4 xing2	10-45978-B
shi2 zi4 zuo4	10-67963-S
shi2 zu2	10-47564-B,38-1561-S
shi2 zuo4	46-3796-B
shi2 zuo4 yong4	5-27992-S
shi3	3-33813-S,3-34457-S,3-47017-S,5-12764-B,5-31008-S,5-51221-S,6-5916-S,6-55755-S,6-61498-S,7-38141-S,7-54709-S,8-35035-S,9-302-S,9-36072-S,10-11692-S,10-29455-S,10-68416-S,11-24050-S,11-31467-S,12-497-S,12-1214-S,12-20620-B,12-54992-S,13-47881-S,14-58553-S,14-64455-S,15-3232-S,15-39428-S,17-5524-S,17-43790-S,18-26656-S,18-38289-B,19-34973-S,21-20915-B,22-53463-S,23-7525-S,23-20709-S,23-42597-S,24-12520-S,24-54909-S,27-22436-S,28-38624-S,30-2641-S,30-26676-S,30-27260-S,30-28571-S,30-43553-S,30-43953-S,31-16037-S,31-22716-S,31-42444-S,32-7695-S,35-34420-S,35-51840-S,38-58713-S,40-46185-S,40-57922-S,41-55819-S,45-48774-S,45-62854-B,46-57228-S,47-17161-S,48-28795-S,48-36353-S,49-36835-S,50-20007-S,50-28527-S,50-59078-S,50-59184-S,51-8769-S,51-39393-S,52-4361-S,52-52921-S,53-18946-S,53-27889-S,56-24227-S,56-31456-S,56-35465-S,58-54291-S,59-22625-B,60-16552-S,61-47442-S,61-48590-S,61-51993-S,62-8658-S,62-27819-S,63-4550-S,63-60357-S,64-3127-S,64-8291-S,65-33115-S,69-49740-S,69-50389-B,69-55899-S,70-40126-S,71-44255-S,71-51317-S
shi3 Bo2 wu4 guan3	2-59775-S
shi3 bao4 xi3 jie2	17-43830-S
shi3 bo2 wu4 guan3	35-52077-S
shi3 cang1	69-49955-S
shi3 ce4	12-20993-B
shi3 chen2	12-22336-B
shi3 chi1 jing1	5-13288-B
shi3 de5	5-13964-B
shi3 duo4	57-31761-S
shi3 er3 long2	5-15341-B
shi3 fan1	57-31576-S
shi3 fan2 nao3	5-14348-B
shi3 fen4 kai3	5-14138-B
shi3 fen4 nu4	5-14087-B
shi3 feng1 fu4	5-16232-B
shi3 gao1	38-59598-S
shi3 gao1 gui4	5-16021-B
shi3 gao1 xing4	5-15942-B
shi3 gong1	17-57121-S
shi3 gu1 li4	5-13741-B
shi3 gu4 ding4	5-13524-B
shi3 guan1	12-21328-B,12-22543-B
shi3 guan3	5-15827-B,17-5635-S,38-59677-S
shi3 gui3 tui1 mo2	32-40285-S
shi3 hai4 pa4	5-15890-B
shi3 huang2	47-23660-S
shi3 huang2 ling2	47-23950-S
shi3 ji2	17-5579-S
shi3 jia1	12-21429-B,35-52274-S
shi3 jie2	5-15061-B
shi3 jie2 tuan2	5-15113-B,21-35836-S
shi3 jin4	5-13126-B,5-14948-B
shi3 jiu3 yuan3	35-51947-S
shi3 ju4	35-52018-S
shi3 ju4 ti3 hua4	5-13066-B
shi3 ke4	54-57537-S
shi3 kun4 jiong3	5-13468-B
shi3 kun4 rao3	5-13417-B
shi3 lian2	16-40349-S
shi3 liang4	45-62963-B
shi3 liao4	12-21691-B
shi3 lie4 zhuan4	38-59478-S
shi3 lin2	11-31550-S
shi3 ling3 guan1 yuan2	5-15670-B
