chun qiu shi dai	31-34938-B
chun qiu wu ba	31-34409-B
chun qiu zhan guo	31-34629-B
chun quan	58-11933-S
chun se	39-36527-S
chun shi	19-49971-S,42-60495-S,56-21681-B,65-15248-S
chun shu	49-20294-B
chun suan	3-17114-S
chun sun	67-14304-S
chun teng	22-31574-S
chun tian	31-33259-B
chun wang chi han	13-49046-B
chun xia qiu dong	31-33120-B
chun xiang ji	11-45647-S
chun xiao ci	17-37103-S
chun xing ke	13-49125-B
chun yao	31-35557-B
chun yin	49-20848-B,66-64361-S
chun zhen	24-67390-S,49-20602-B
chun zheng	49-20457-B
chun zhong	49-20645-B
chun zhong du	43-41952-S
chun zi zhi qi	63-28369-S
chun1	4-49525-S,18-35667-S,19-12074-S,19-49803-S,30-12577-S,31-14163-S,31-32686-B,33-5847-S,33-26804-B,34-26871-B,36-51641-S,42-60345-S,47-61184-S,49-65056-S,54-54426-S,55-36229-S,56-9853-B,59-58945-S,61-17194-B,65-15180-S,65-36942-S,66-35520-S,67-55515-S,70-45565-B
chun1 bing3	31-36534-B
chun1 bo1	31-33577-B
chun1 cha2	31-35428-B
chun1 da4 mai4	31-33201-B
chun1 di4 qu1	19-49876-S
chun1 dou4	67-55634-S,67-55685-S
chun1 feng1	31-35831-B,39-41770-S
chun1 feng1 de2 yi4	31-36208-B
chun1 feng1 he2 qi4	31-36113-B
chun1 feng1 hua4 yu3	31-35967-B
chun1 feng1 man3 mian4	31-36434-B
chun1 feng1 yi1 du4	31-35878-B
chun1 geng1	31-35286-B
chun1 gong1	31-33354-B
chun1 gu1	31-35508-B
chun1 guan4	31-33990-B
chun1 guang1	31-32805-B
chun1 guang1 ming2 mei4	31-32857-B
chun1 han2	5-58232-S
chun1 hua1	16-10905-S,61-45591-S
chun1 ji4	31-33310-B
chun1 jia4	31-32758-B
chun1 jie2	31-35217-B
chun1 juan3	31-33064-B
chun1 lian2	31-35351-B
chun1 lin2	31-35784-B
chun1 qi1	67-55569-S
chun1 qiu1	7-63802-S,10-45456-S,13-1945-S,13-7576-S,21-58976-S,31-34166-B,31-44377-S,56-18065-S
chun1 qiu1 Zuo3 shi4 zhuan4	31-34526-B
chun1 qiu1 ding3 sheng4	31-35134-B
chun1 qiu1 fan2 lu4	31-35032-B
chun1 qiu1 shi2 dai4	31-34938-B
chun1 qiu1 wu3 ba4	31-34409-B
chun1 qiu1 zhan4 guo2	31-34629-B
chun1 quan2	58-11933-S
chun1 se4	39-36527-S
chun1 shi4	19-49971-S,42-60495-S,65-15248-S
chun1 sun3	67-14304-S
chun1 teng2	22-31574-S
chun1 tian1	31-33259-B
chun1 xia4 qiu1 dong1	31-33120-B
chun1 yao4	31-35557-B
chun1 zhen4	24-67390-S
chun1 zi4 zhi4 qi2	63-28369-S
chun2	1-24533-S,1-25790-S,1-47868-S,1-59033-S,2-43558-S,2-43629-S,2-45117-S,3-15288-S,3-17043-S,3-32729-S,3-39163-S,3-40025-S,3-43318-S,7-22582-S,12-34161-S,13-49019-B,14-20373-S,14-32510-S,21-30590-S,26-6258-S,28-41467-S,28-41764-S,30-33017-S,32-53974-S,33-48793-S,34-26919-B,37-14372-S,38-52142-B,39-47187-B,43-15401-S,43-39256-S,43-41863-S,44-63675-S,49-20102-B,52-32022-B,52-50569-S,54-61288-B,55-9419-B,55-9480-B,63-44102-S,63-46478-B,64-43944-B,66-1429-S,66-23765-S,66-61029-S,68-47448-S,70-17040-S,70-44298-B,70-57775-B
chun2 an4	66-67021-S
chun2 bai2	49-20557-B
chun2 cai4	54-61349-B,55-9521-B
chun2 chi3	13-49325-B
chun2 chi3 xiang1 yi1	13-49428-B
chun2 cui4	49-20690-B
chun2 cui4 shu4 xue2	49-20731-B
chun2 du4	49-20359-B
chun2 fen1 dian3	31-32999-B
chun2 gao1	13-49282-B
chun2 jian3	49-20892-B
chun2 jie2	49-20501-B
chun2 jin1	49-20804-B
chun2 jing4	49-20153-B
chun2 li4	49-20207-B
chun2 mei3	63-46568-B
chun2 pao4 zhen3	14-20432-S
chun2 pao4 zhen3 bing4 du2	14-20511-S
chun2 pin3	49-20251-B
chun2 pu3	38-52378-B,49-20399-B
chun2 qiang1 she2 jian4	13-49179-B
chun2 shu3	49-20294-B
chun2 suan1	3-17114-S
chun2 wang2 chi3 han2	13-49046-B
chun2 xiang1 ji1	11-45647-S
chun2 xiao3 ci1	17-37103-S
chun2 xing2 ke1	13-49125-B
chun2 yin1	49-20848-B,66-64361-S
chun2 zhen1	49-20602-B
chun2 zheng4	49-20457-B
chun2 zhong1 du2	43-41952-S
chun2 zhong3	49-20645-B
chun3	25-26586-B,25-32028-S,56-21615-B
chun3 ben4	56-21761-B
chun3 cai2	56-21721-B
chun3 huo4	56-21802-B
chun3 shi4	56-21681-B
chun5	70-57101-S
chuo	2-32803-S,9-12935-S,9-24481-S,10-62808-S,10-62946-S,13-64043-B,18-54420-B,18-55503-B,20-27302-S,24-2287-S,25-16792-B,26-21857-B,29-18952-B,31-40189-S,35-31484-B,43-22874-S,44-65-B,50-11045-B,50-11809-B,50-12564-S,60-47348-B,61-14496-B,62-33036-B,63-25683-S,63-47098-B,65-51155-S,66-50559-S,71-56422-B,71-57106-S
chuo bi	61-14783-B
chuo bi jiao	26-22403-B
chuo bu zhu	26-21949-B
chuo chuan	26-22827-B
chuo chuan shi yan	26-22898-B
chuo chuo	66-50559-S
chuo ci gan	26-22179-B
chuo da	26-22673-B
chuo de zhu	26-22537-B
chuo fen r	26-22028-B
chuo ge r	26-22081-B
chuo gu	26-22323-B
chuo hao	50-11922-B
chuo huo	26-22774-B
chuo ji	26-23154-B
chuo ji liang	26-22970-B
chuo ji liang gu	26-23057-B
chuo li	26-22252-B
chuo po	26-22722-B
chuo r	26-22132-B
chuo ri qi	63-25739-S
chuo shi tu bu	61-14872-B
chuo xin guan sui	26-22608-B
chuo xue	61-14538-B
chuo yan	61-14698-B
chuo yao	68-54420-S
chuo yin	13-64099-B
chuo yue	50-11870-B
chuo zhi	61-14643-B
chuo zi	26-22490-B
chuo1	9-12935-S,26-21857-B,60-47348-B,63-25683-S
chuo1 bi4 jiao3	26-22403-B
chuo1 bu4 zhu4	26-21949-B
chuo1 chuan1	26-22827-B
chuo1 chuan1 shi4 yan4	26-22898-B
chuo1 ci4 gan3	26-22179-B
chuo1 da1	26-22673-B
chuo1 de5 zhu4	26-22537-B
chuo1 fen4 r5	26-22028-B
chuo1 ge4 r5	26-22081-B
chuo1 gu1	26-22323-B
chuo1 huo4	26-22774-B
chuo1 ji3 liang5	26-22970-B
chuo1 ji3 liang5 gu3	26-23057-B
chuo1 ji4	26-23154-B
chuo1 li4	26-22252-B
chuo1 po4	26-22722-B
chuo1 r5	26-22132-B
chuo1 ri4 qi1	63-25739-S
chuo1 xin1 guan4 sui3	26-22608-B
chuo1 zi5	26-22490-B
chuo4	2-32803-S,9-24481-S,10-62808-S,10-62946-S,13-64043-B,18-54420-B,18-55503-B,20-27302-S,24-2287-S,25-16792-B,29-18952-B,31-40189-S,35-31484-B,43-22874-S,44-65-B,50-11045-B,50-11809-B,50-12564-S,61-14496-B,62-33036-B,63-47098-B,65-51155-S,66-50559-S,71-56422-B,71-57106-S
chuo4 bi3	61-14783-B
chuo4 chuo4	66-50559-S
chuo4 hao4	50-11922-B
chuo4 shi2 tu3 bu1	61-14872-B
chuo4 xue2	61-14538-B
chuo4 yan3	61-14698-B
chuo4 yao1	68-54420-S
chuo4 yin3	13-64099-B
chuo4 yue1	50-11870-B
chuo4 zhi3	61-14643-B
chuài	14-31660-B,14-44439-S,14-44570-S,60-48690-B
chuàn	1-1224-S,3-1164-B,19-4370-S,19-6013-S,19-51144-S,26-7498-S,41-57149-S,42-37225-B,48-6046-S,51-543-S,62-19501-S,64-20143-B,64-44186-S
chuàn 5r	64-44237-S
chuàn chǔ lǐ	3-1509-B
chuàn gòng	3-1294-B
chuàn lián	3-1465-B
