文藝復興 文艺复兴	30-30864-B
斯維爾德洛夫 斯维尔德洛夫	30-42280-B
斯维尔德洛夫	30-42280-S
斯芬克斯	30-42393-S
斯芬克斯 斯芬克斯	30-42393-B
斯莱特林	30-42460-S
斯萊特林 斯莱特林	30-42460-B
斯蒂文森	30-42531-S
斯蒂文森 斯蒂文森	30-42531-B
斯諾 斯诺	30-42615-B
斯諾克 斯诺克	30-42682-B
斯诺	30-42615-S
斯诺克	30-42682-S
斯賓塞 斯宾塞	30-42732-B
斯賓諾莎 斯宾诺莎	30-42789-B
斯通亨治石栏	30-42882-S
斯通亨治石欄 斯通亨治石栏	30-42882-B
斯里兰卡	30-43099-S
斯里巴加湾港	30-42984-S
斯里巴加灣港 斯里巴加湾港	30-42984-B
斯里蘭卡 斯里兰卡	30-43099-B
斯雷佈雷尼察 斯雷布雷尼察	30-43179-B
斯雷布雷尼察	30-43179-S
新	30-43264-S
新 新	30-43264-B
新不伦瑞克	30-43336-S
新不倫瑞克 新不伦瑞克	30-43336-B
新世界	30-43423-S
新世界 新世界	30-43423-B
新世紀 新世纪	30-43477-B
新世纪	30-43477-S
新丰	30-56488-S
新丰乡	30-56658-S
新丰县	30-56567-S
新乐	30-50089-S
新乡	30-57488-S
新乡地区	30-57563-S
新乡市	30-57660-S
新书	30-49561-S
新五代史	30-43553-S
新五代史 新五代史	30-43553-B
新京報 新京报	30-43667-B
新京报	30-43667-S
新人	30-43737-S
新人 新人	30-43737-B
新任	30-43814-S
新任 新任	30-43814-B
新会	30-49603-S
新会县	30-49741-S
新会市	30-49672-S
新余	30-58103-S
新余市	30-58174-S
新修	30-43905-S
新修 新修	30-43905-B
新元史	30-43953-S
新元史 新元史	30-43953-B
新党	30-58409-S
新兴	30-55391-S
新兴区	30-55467-S
新兴经济国家	30-55542-S
新兵	30-44030-S
新兵 新兵	30-44030-B
新军	30-56964-S
新几内亚	30-48276-S
新出炉	30-44083-S
新出爐 新出炉	30-44083-B
新出生	30-44200-S
新出生 新出生	30-44200-B
新剧同志会	30-44257-S
新劇同志會 新剧同志会	30-44257-B
新加坡	30-44344-S
新加坡 新加坡	30-44344-B
新加坡人	30-44397-S
新加坡人 新加坡人	30-44397-B
新加坡国立大学	30-44482-S
新加坡國立大學 新加坡国立大学	30-44482-B
新化	30-44600-S
新化 新化	30-44600-B
新化县	30-44730-S
新化市	30-44665-S
新化市 新化市	30-44665-B
新化縣 新化县	30-44730-B
新化鎮 新化镇	30-44798-B
新化镇	30-44798-S
新华	30-55854-S
新华书店	30-55983-S
新华日报	30-55905-S
新华社	30-56068-S
新华网	30-56131-S
新南威尔士	30-44868-S
新南威尔士州	30-44949-S
新南威爾士 新南威尔士	30-44868-B
新南威爾士州 新南威尔士州	30-44949-B
新县	30-53688-S
新古典主义	30-45061-S
新古典主義 新古典主义	30-45061-B
新台币	30-45140-S
新台幣 新台币	30-45140-B
新和	30-45207-S
新和 新和	30-45207-B
新唐书	30-45269-S
新唐書 新唐书	30-45269-B
新喀裡多尼亞 新喀里多尼亚	30-45348-B
新喀里多尼亚	30-45348-S,30-45435-S
新喀里多尼亞 新喀里多尼亚	30-45435-B
新四军	30-45522-S
新四軍 新四军	30-45522-B
新园乡	30-45602-S
新園鄉 新园乡	30-45602-B
新型	30-45682-S
新型 新型	30-45682-B
新城乡	30-45871-S
新城县	30-45799-S
新城电台	30-45953-S
新城病	30-45734-S
新城病 新城病	30-45734-B
新城縣 新城县	30-45799-B
新城鄉 新城乡	30-45871-B
新城電台 新城电台	30-45953-B
新埔鎮 新埔镇	30-46033-B
新埔镇	30-46033-S
新埤乡	30-46105-S
新埤鄉 新埤乡	30-46105-B
新塘	30-46181-S
新塘 新塘	30-46181-B
新墨西哥	30-46223-S
新墨西哥 新墨西哥	30-46223-B
新墨西哥州	30-46286-S
新墨西哥州 新墨西哥州	30-46286-B
新大陆	30-46361-S
新大陸 新大陆	30-46361-B
新天地	30-46413-S
新天地 新天地	30-46413-B
新奇	30-46490-S
新奇 新奇	30-46490-B
新奥尔晾	30-46542-S
新奥尔良	30-46609-S
新奧爾晾 新奥尔晾	30-46542-B
新奧爾良 新奥尔良	30-46609-B
新娘	30-46676-S
新娘 新娘	30-46676-B
新婚	30-46717-S
新婚 新婚	30-46717-B
新婚夫妇	30-46760-S
新婚夫婦 新婚夫妇	30-46760-B
新学期	30-46845-S
新學期 新学期	30-46845-B
新宁	30-47236-S
新安	30-46904-S
新安 新安	30-46904-B
新官上任三把火	30-46964-S
新官上任三把火 新官上任三把火	30-46964-B
新宾县	30-56881-S
新宾满族自治县	30-56738-S
新宿	30-47147-S
新宿 新宿	30-47147-B
新寧 新宁	30-47236-B
新居	30-47299-S
新居 新居	30-47299-B
新屋乡	30-47354-S
新屋鄉 新屋乡	30-47354-B
新山	30-47430-S
新山 新山	30-47430-B
新巴尔虎右旗	30-47495-S
新巴尔虎左旗	30-47615-S
新巴爾虎右旗 新巴尔虎右旗	30-47495-B
新巴爾虎左旗 新巴尔虎左旗	30-47615-B
新市乡	30-47735-S
新市鄉 新市乡	30-47735-B
新市鎮 新市镇	30-47814-B
新市镇	30-47814-S
新干	30-47868-S
新干 新干	30-47868-B
新干县	30-47931-S
新干縣 新干县	30-47931-B
新干线	30-48192-S
新年	30-48006-S
新年 新年	30-48006-B
新年前夕	30-48049-S
新年前夕 新年前夕	30-48049-B
新年快乐	30-48120-S
新年快樂 新年快乐	30-48120-B
新幹線 新干线	30-48192-B
新幾內亞 新几内亚	30-48276-B
新庄	30-55786-S
新店	30-48340-S
新店 新店	30-48340-B
新建	30-48404-S,30-48455-S
新建 新建	30-48404-B,30-48455-B
新建县	30-48523-S
新建縣 新建县	30-48523-B
新异	30-52429-S
新式	30-48603-S
新式 新式	30-48603-B
新德里	30-48667-S
新德里 新德里	30-48667-B
新意	30-48738-S
新意 新意	30-48738-B
新慕道团	30-48787-S
新慕道團 新慕道团	30-48787-B
新房	30-48863-S
新房 新房	30-48863-B
新手	30-48928-S
新手 新手	30-48928-B
新抚区	30-48990-S
新撫區 新抚区	30-48990-B
新教	30-49082-S
新教 新教	30-49082-B
新斯科舍	30-49127-S
新斯科舍 新斯科舍	30-49127-B
新时代	30-49320-S
新时尚	30-49372-S
新昌	30-49201-S
新昌 新昌	30-49201-B
新星	30-49269-S
新星 新星	30-49269-B
新時代 新时代	30-49320-B
新時尚 新时尚	30-49372-B
新晃侗族自治县	30-49430-S
新晃侗族自治縣 新晃侗族自治县	30-49430-B
新書 新书	30-49561-B
新會 新会	30-49603-B
新會市 新会市	30-49672-B
新會縣 新会县	30-49741-B
新月	30-49813-S
新月 新月	30-49813-B
新朝	30-49864-S
新朝 新朝	30-49864-B
新柏拉图主义	30-49944-S
新柏拉圖主義 新柏拉图主义	30-49944-B
新樂 新乐	30-50089-B
新款	30-50147-S
新款 新款	30-50147-B
新殖民主义	30-50191-S
新殖民主義 新殖民主义	30-50191-B
新殖民化	30-50271-S
新殖民化 新殖民化	30-50271-B
新民	30-50345-S
新民 新民	30-50345-B
新民主主义	30-50429-S
新民主主义论	30-50508-S
新民主主义革命	30-50601-S
新民主主義 新民主主义	30-50429-B
新民主主義論 新民主主义论	30-50508-B
新民主主義革命 新民主主义革命	30-50601-B
新民市	30-50713-S
新民市 新民市	30-50713-B
新民晚報 新民晚报	30-50808-B
新民晚报	30-50808-S
新沂	30-50883-S
新沂 新沂	30-50883-B
新河	30-50943-S
新河 新河	30-50943-B
新泰	30-51002-S
新泰 新泰	30-51002-B
新泽西	30-51768-S
新泽西州	30-51821-S
新津	30-51065-S
新津 新津	30-51065-B
新洲	30-51128-S
新洲 新洲	30-51128-B
新派	30-51191-S
新派 新派	30-51191-B
新浪	30-51236-S
新浪 新浪	30-51236-B
新浪網 新浪网	30-51275-B
新浪网	30-51275-S
新海峡时报	30-51326-S
新海峽時報 新海峡时报	30-51326-B
新港乡	30-51421-S
新港鄉 新港乡	30-51421-B
新源	30-51501-S
新源 新源	30-51501-B
新潟	30-51567-S
新潟 新潟	30-51567-B
新潟县	30-51633-S
新潟縣 新潟县	30-51633-B
新潮	30-51715-S
新潮 新潮	30-51715-B
新澤西 新泽西	30-51768-B
新澤西州 新泽西州	30-51821-B
新热带界	30-51886-S
新熱帶界 新热带界	30-51886-B
新營 新营	30-51960-B
新版	30-52024-S
新版 新版	30-52024-B
新生	30-52081-S
新生 新生	30-52081-B
新生代	30-52136-S
新生代 新生代	30-52136-B
新生儿	30-52236-S
新生兒 新生儿	30-52236-B
新田	30-52302-S
新田 新田	30-52302-B
新界	30-52365-S
新界 新界	30-52365-B
新異 新异	30-52429-B
新畿內亞 新畿内亚	30-52487-B
新畿内亚	30-52487-S
新疆	30-52557-S
新疆 新疆	30-52557-B
新疆温宿县	30-52676-S
新疆溫宿縣 新疆温宿县	30-52676-B
新疆維吾爾自治區 新疆维吾尔自治区	30-52769-B
新疆维吾尔自治区	30-52769-S
新石器	30-52900-S
新石器 新石器	30-52900-B
新石器时代	30-53031-S
新石器时期	30-52953-S
新石器时期 新石器时期	30-52953-B
新石器時代 新石器时代	30-53031-B
新社乡	30-53124-S
新社鄉 新社乡	30-53124-B
新穎 新颖	30-53202-B
新竹	30-53272-S
新竹 新竹	30-53272-B
新紀元 新纪元	30-53341-B
新紀元音樂 新纪元音乐	30-53411-B
新約 新约	30-53505-B
新約全書 新约全书	30-53552-B
新絳 新绛	30-53622-B
新縣 新县	30-53688-B
新约	30-53505-S
新约全书	30-53552-S
新纪元	30-53341-S
新纪元音乐	30-53411-S
新绛	30-53622-S
新罕布什尔	30-53758-S
新罕布什尔州	30-53836-S
新罕布什爾 新罕布什尔	30-53758-B
新罕布什爾州 新罕布什尔州	30-53836-B
新罗	30-53926-S
新罗区	30-53965-S
新羅 新罗	30-53926-B
新羅區 新罗区	30-53965-B
新聞 新闻	30-54060-B
新聞主播 新闻主播	30-54098-B
新聞出版總署 新闻出版总署	30-54170-B
新聞周刊 新闻周刊	30-54319-B
新聞媒體 新闻媒体	30-54393-B
新聞學 新闻学	30-54458-B
新聞工作者 新闻工作者	30-54513-B
新聞界 新闻界	30-54591-B
新聞發佈會 新闻发布会	30-54655-B
新聞發布會 新闻发布会	30-54737-B
新聞發言人 新闻发言人	30-54819-B
新聞稿 新闻稿	30-54894-B
新聞組 新闻组	30-54952-B
新聞網 新闻网	30-55005-B
新聞自由 新闻自由	30-55062-B
新聞處 新闻处	30-55137-B
新聞記者 新闻记者	30-55213-B
新聞週刊	30-55278-S
新聞週刊 新聞週刊	30-55278-B
新興 新兴	30-55391-B
新興區 新兴区	30-55467-B
新興經濟國家 新兴经济国家	30-55542-B
新芬党	30-55664-S
新芬黨 新芬党	30-55664-B
新英格兰	30-55719-S
新英格蘭 新英格兰	30-55719-B
新莊 新庄	30-55786-B
新華 新华	30-55854-B
新華日報 新华日报	30-55905-B
新華書店 新华书店	30-55983-B
新華社 新华社	30-56068-B
新華網 新华网	30-56131-B
新营	30-51960-S
新蔡	30-56196-S
新蔡 新蔡	30-56196-B
新西伯利亚	30-56342-S
新西伯利亚市	30-56257-S
新西伯利亚市 新西伯利亚市	30-56257-B
新西伯利亞 新西伯利亚	30-56342-B
新西兰	30-56433-S
新西蘭 新西兰	30-56433-B
新豐 新丰	30-56488-B
新豐縣 新丰县	30-56567-B
新豐鄉 新丰乡	30-56658-B
新賓滿族自治縣 新宾满族自治县	30-56738-B
新賓縣 新宾县	30-56881-B
新軍 新军	30-56964-B
新近	30-57006-S
新近 新近	30-57006-B
新选	30-57089-S
新造	30-57045-S
新造 新造	30-57045-B
新選 新选	30-57089-B
新邱	30-57137-S
新邱 新邱	30-57137-B
新邱区	30-57220-S
新邱區 新邱区	30-57220-B
新邵	30-57313-S
新邵 新邵	30-57313-B
新郎	30-57376-S
新郎 新郎	30-57376-B
新郑	30-57746-S
新都	30-57427-S
新都 新都	30-57427-B
新鄉 新乡	30-57488-B
新鄉地區 新乡地区	30-57563-B
新鄉市 新乡市	30-57660-B
新鄭 新郑	30-57746-B
新野	30-57810-S
新野 新野	30-57810-B
新金县	30-57869-S
新金縣 新金县	30-57869-B
新闻	30-54060-S
新闻主播	30-54098-S
新闻出版总署	30-54170-S
新闻发布会	30-54655-S,30-54737-S
新闻发言人	30-54819-S
新闻周刊	30-54319-S
新闻处	30-55137-S
新闻媒体	30-54393-S
新闻学	30-54458-S
新闻工作者	30-54513-S
新闻界	30-54591-S
新闻稿	30-54894-S
新闻组	30-54952-S
新闻网	30-55005-S
新闻自由	30-55062-S
新闻记者	30-55213-S
新陈代谢	30-57940-S
新陳代謝 新陈代谢	30-57940-B
新雅	30-58049-S
新雅 新雅	30-58049-B
新颖	30-53202-S
新餘 新余	30-58103-B
新餘市 新余市	30-58174-B
新馬 新马	30-58256-B
新马	30-58256-S
新鮮 新鲜	30-58357-B
新鲜	30-58357-S
新黨 新党	30-58409-B
新龍 新龙	30-58473-B
新龙	30-58473-S
斲	30-58538-S
斲 斲	30-58538-B
斷 断	30-58577-B
斷交 断交	30-58664-B
斷代 断代	30-58730-B
斷定 断定	30-58791-B
斷層 断层	30-58873-B
斷層線 断层线	30-58936-B
斷弦 断弦	30-59005-B
斷想 断想	30-59071-B
斷斷續續 断断续续	30-59124-B
斷橋 断桥	30-59260-B
斷檔 断档	30-59340-B
斷流 断流	30-59403-B
斷滅 断灭	30-59459-B
斷滅論 断灭论	30-59515-B
斷然 断然	30-59582-B
斷瓦殘垣 断瓦残垣	30-59637-B
斷章取義 断章取义	30-59714-B
斷絃 断絃	30-59932-B
斷絕 断绝	30-59996-B
斷線 断线	30-60052-B
斷線風箏 断线风筝	30-60108-B
斷續 断续	30-60229-B
斷背山 断背山	30-60275-B
斷腿 断腿	30-60340-B
斷行 断行	30-60385-B
斷袖 断袖	30-60444-B
斷袖之癖 断袖之癖	30-60489-B
斷裂 断裂	30-60607-B
斷裂帶 断裂带	30-60658-B
斷裂模數 断裂模数	30-60722-B
斷言 断言	30-60793-B
斷送 断送	30-60844-B
斷開 断开	30-60905-B
斷電 断电	30-60969-B
斷頭台 断头台	30-61037-B
斸	30-61091-S
斸 斸	30-61091-B
方	30-61117-S
方 方	30-61117-B
方丈	30-61348-S,30-61426-S
方丈 方丈	30-61348-B,30-61426-B
方位	30-61563-S
方位 方位	30-61563-B
方位角	30-61654-S
方位角 方位角	30-61654-B
方便	30-61708-S
方便 方便	30-61708-B
方便面	30-61872-S
方便麵 方便面	30-61872-B
方兴未艾	30-63941-S
方向	30-61935-S
方向 方向	30-61935-B
方向性	30-62008-S
方向性 方向性	30-62008-B
方向盘	30-62091-S
方向盤 方向盘	30-62091-B
方圆	30-62153-S
方圓 方圆	30-62153-B
方块	30-62372-S
方块草皮	30-62412-S
方城	30-62202-S,30-62269-S
方城 方城	30-62202-B,30-62269-B
方塊 方块	30-62372-B
方塊草皮 方块草皮	30-62412-B
方头括号	30-64710-S
方妮	30-62481-S
方妮 方妮	30-62481-B
方山	30-62527-S
方山 方山	30-62527-B
方差	30-62593-S
方差 方差	30-62593-B
方庄	30-64114-S
方式	30-62649-S
方式 方式	30-62649-B
方形	30-62723-S
方形 方形	30-62723-B
方括号	30-62779-S
方括號 方括号	30-62779-B
方方面面	30-62844-S
方方面面 方方面面	30-62844-B
方根	30-62939-S
方根 方根	30-62939-B
方格	30-62985-S
方格 方格	30-62985-B
方格紙 方格纸	30-63088-B
方格纸	30-63088-S
方案	30-63224-S
方案 方案	30-63224-B
方正	30-63310-S
方正 方正	30-63310-B
方法	30-63404-S
方法 方法	30-63404-B
方法学	30-63454-S
方法學 方法学	30-63454-B
方法論 方法论	30-63510-B
方法论	30-63510-S
方程	30-63629-S
方程 方程	30-63629-B
方程式	30-63687-S
方程式 方程式	30-63687-B
方程組 方程组	30-63743-B
方程组	30-63743-S
方能	30-63840-S
方能 方能	30-63840-B
方腊	30-63900-S
方臘 方腊	30-63900-B
方興未艾 方兴未艾	30-63941-B
方舟	30-64075-S
方舟 方舟	30-64075-B
方莊 方庄	30-64114-B
方解石	30-64186-S
方解石 方解石	30-64186-B
方言	30-64271-S
方言 方言	30-64271-B
方針 方针	30-64313-B
方釳	30-64366-S
方釳 方釳	30-64366-B
方鉛礦 方铅矿	30-64474-B
方针	30-64313-S
方铅矿	30-64474-S
方阵	30-64529-S
方陣 方阵	30-64529-B
方面	30-64602-S
方面 方面	30-64602-B
方頂 方顶	30-64663-B
方頭括號 方头括号	30-64710-B
方顶	30-64663-S
於	30-64836-S
於 于	30-64786-B
於 於	30-64836-B
於事無補 于事无补	30-64868-B
於是 于是	30-64938-B
於田 于田	30-65016-B
於都 于都	30-65080-B
於都縣 于都县	30-65148-B
施	30-65228-S
