ling2 re4	44-45775-S
ling2 ren2	4-60709-B,45-5553-S
ling2 ru3	8-26886-B
ling2 ruo4	62-56679-S,62-56839-S
ling2 san4	67-20368-B
ling2 shang4	24-39903-S
ling2 sheng1	64-22190-B,67-37731-S
ling2 shi2	67-20720-B,67-22079-B
ling2 shi2 zhong1	70-29842-S
ling2 shi4	64-30958-S
ling2 shou4	67-19902-B
ling2 shou4 dian4	67-20009-B
ling2 shou4 shang1	67-19944-B
ling2 shu3	69-43690-S
ling2 sui4	67-21075-B
ling2 tang2	67-51083-B
ling2 ting1	51-43048-B
ling2 tong1	21-2056-S
ling2 tong1 ren2 shi4	38-29998-S
ling2 tou2	67-22025-B
ling2 wei4	67-50715-B
ling2 wen2	48-59209-S
ling2 wu3 shi2 yi4	1-3796-S
ling2 xi4 ling2	57-52888-S
ling2 xia4	67-19572-B
ling2 xian4	36-61635-S,40-28725-S
ling2 xing1	67-20647-B
ling2 xing2	54-36669-B
ling2 xing4	67-51551-B
ling2 xun4	8-26032-B,51-43105-B
ling2 ya2 li4 chi3	4-60975-B
ling2 yan4	67-53525-B
ling2 yang2	20-69381-S,31-49127-S,51-9936-B,55-31611-S
ling2 yi1 ye4	1-3691-S
ling2 yi2	8-25848-B,66-30672-B
ling2 yong4	67-20836-B
ling2 yong4 jin1	67-20913-B
ling2 yong4 qian2	67-20970-B
ling2 yu2	15-33090-S,46-11091-S,70-45018-B
ling2 yu3	14-63967-B,14-64007-B,54-15163-S,67-53010-B
ling2 yuan2	66-30572-B
ling2 za2	8-26929-B,67-21884-B
ling2 za2 mi3 yan2	8-26974-B
ling2 za2 r5	67-21952-B
ling2 zai4 ou1 zhou1 you2 dang4	1-2375-S
ling2 zhang3 lei4	67-53372-B
ling2 zhang3 lei4 dong4 wu4	67-53447-B
ling2 zhang3 mu4	67-53299-B
ling2 zhen1 xing4	1-22444-S
ling2 zhi1	67-52939-B
ling2 zu2	67-20529-B
ling2 zui3	67-20074-B
ling3	2-8947-S,2-67120-S,5-1975-S,7-53215-S,7-53963-S,8-12180-S,8-55718-S,10-70562-S,11-65428-S,15-59655-S,17-7124-S,20-37565-S,21-29597-S,21-49091-B,22-29418-S,23-31308-S,24-40022-S,28-41632-S,28-42947-S,32-67378-S,33-36536-S,34-1818-S,39-20587-S,40-26211-S,42-29295-S,43-44705-S,44-48187-S,46-26596-S,47-24151-S,49-54268-S,50-5160-S,51-29349-S,52-31646-S,55-12751-S,55-14200-S,55-30278-S,57-28043-S,58-22621-S,64-17510-S,65-2528-S,65-14056-S,68-33308-B,68-40354-S,69-24587-S
ling3 ban1	6-32442-S
ling3 dai4	68-34422-B
ling3 dao3	68-33965-B
ling3 dao3 ceng2	68-34090-B
ling3 dao3 quan2	68-34180-B
ling3 dao3 ren2	68-34038-B
ling3 dao3 xiao3 zu3	60-64257-S
ling3 dao4 neng2 li4	68-34299-B
ling3 dao4 zhe3	68-34247-B
ling3 di4	10-36462-S,68-33809-B,69-24242-S
ling3 di4 qu1	65-2672-S
ling3 dui4	68-35377-B
ling3 guan1 yuan2	5-15670-S
ling3 guan3	5-15759-S,68-35532-B
ling3 hai3	68-34774-B
ling3 hui4	68-34671-B
ling3 jiang3	68-34827-B
ling3 jin1	49-13886-S,68-34366-B
ling3 kong1	68-34975-B
ling3 kou3	4-70544-S
ling3 kou4	68-35122-B
ling3 lu4	68-35073-B
ling3 lu:e4	68-34896-B
ling3 qing2	68-34526-B
ling3 qu3	68-33592-B
ling3 shen2 hui4	24-40189-S
ling3 shi4	7-54052-S,50-36236-S,65-2770-S,68-33362-B
ling3 shi4 guan3	50-36297-S,68-33403-B
ling3 shou1	68-34605-B
ling3 shou4	68-33642-B
ling3 shu3 zhan4 dao4	47-24321-S
ling3 tu3	68-33687-B,70-14236-S
ling3 tu3 wan2 zheng3	68-33730-B
ling3 wu4	68-34465-B
ling3 xi3	68-34733-B
ling3 xian1	68-33459-B
ling3 xian1 di4 wei4	68-33517-B
ling3 xian2	68-35170-B
ling3 xian2 zhu3 yan3	68-35284-B
ling3 xian4	55-14269-S,65-2905-S,65-14128-S
ling3 xiu4	48-57004-S,68-35032-B
ling3 yang3	68-35471-B
ling3 yi4	34-53088-S
ling3 yu4	46-14527-S,68-33852-B
ling3 zhe3	5-2042-S,11-65474-S
ling3 zi5	68-33920-B
ling4	1-58388-S,4-33907-B,6-5839-S,6-33656-S,7-3235-S,9-16235-S,9-32005-S,9-47646-S,9-67182-S,11-58658-S,11-67353-S,12-6450-B,12-23771-S,13-20022-S,14-29268-S,16-40119-S,17-57006-S,23-42477-S,26-13505-S,27-57357-S,29-53792-S,31-39326-S,37-29341-S,38-25194-S,43-42704-S,44-33339-S,47-218-S,47-317-S,47-1662-S,47-14260-S,47-50044-S,50-28455-S,50-32484-S,50-40717-S,56-32962-S,56-49417-S,57-64121-S,58-6781-S,58-9046-S,59-40430-S,61-36402-S,61-51942-S,62-52689-S,62-55687-S
ling4 Hai3	44-36264-S
ling4 bing1	6-33713-S
ling4 bu4	12-23878-S,50-32610-S
ling4 cun2 wei4	12-6883-B
ling4 dao3 ren2	4-35073-B
ling4 hai3 xia2	44-36320-S
ling4 ji4	12-6945-B
ling4 lei4 yi1 liao2	12-7364-B
