zulfikar ali bhutto 1928 1979	22-15349-B
zulu	46-53753-B
zulu people	46-53789-B
zun yi prefecture level city in guizhou	62-68654-B,62-68819-B
zun yi prefecture 遵義 遵义	4-21145-S
zun1	5-3263-S
zun4	70-47638-S
zunhua city in hebei	62-68180-S
zunxian 1848 1905	71-23821-S
zunxian 黃遵憲 黄遵宪	31-8787-S
zunyi conference of january 1935 before the long march	62-68902-B
zunyi district district in guizhou	62-68726-S
zuo	21-57660-S
zuo qiuming or zuoqiu ming 556 451	21-57699-B
zuo qiuming 左丘明	45-60730-S
zuo s spring and autumn annals	21-58976-S,31-34526-S
zuo si 3rd century	21-58593-B
zuo1 si3 to invite death by recklessness	5-7699-S
zuo4	8-17505-S,15-61866-S,21-28423-S,29-315-S,29-393-S,29-471-S
zuogong place in tibet	21-59306-S
zuolin c 1873 1928	23-37552-S
zuoqi place in inner mongolia	15-33270-S,30-47615-S,55-38299-S,68-43876-S
zuoqi place in ningxia	66-3709-S
zuoqiu ming 556 451	21-57699-S
zuoquan county in shanxi	21-58846-B,21-58905-B
zuoren 1885 1967	13-10969-S
zuoyi	6-25341-S
zuoyi houqi place in inner mongolia	47-20102-S
zuoyi zhongqi place in inner mongolia	47-19963-S
zuoyun place in shanxi	21-59657-S
zuozhuan or tsochuan	21-57823-B
zurich	55-42222-B
zurna	57-53806-S,57-53924-S
zwolle netherlands	54-10271-B
zygomatic arch	68-53144-S
zygomatic bone cheek bone	68-53213-B
zygomycetes	28-25646-B
zymogen	63-44262-B
zymolysis	63-44158-B
zymosterol	63-44102-B
zyther and sword 成语 saw	42-59084-S
zào jiá 皂莢 皂荚	34-12897-S
zào 啰唣	13-53211-S
zürich swiss city	55-42271-B
züün khoshuu	22-7315-S,22-7402-S
· punct used to separate western names or words	65-47130-S
¿qué serà	9-24666-B
à l après midi d un faune	41-52276-S
à la chinoise	2-58420-B
álava	66-4755-S
écu coin	15-58103-B
édouard name	25-34457-B
épée fencing	63-56555-B
état	29-57948-S
évariste galois 1811 1832	4-63710-B,4-63868-B
ögedei khan 1186－1242	47-56643-B,47-56713-B
örkesh dölet 1968 	13-7029-B
ørsta city in norway	11-28575-B
østfold	52-38309-S,55-25404-S,66-1802-S
üan 1812 1864	37-62065-S
ürümqi or urumqi prefecture level city and capital of xinjiang uighur autonomous region 新疆維吾爾自治區 新疆维吾尔自治区 in west china	40-39271-B,40-39476-B
ājñā or ajna	45-36847-B
ālā ěr subprefecture level city in west xinjiang	66-4502-S,66-4623-S
ān prefecture level city and capital of shǎnxī province 陝西省 陕西省 in central north china	57-15540-S,57-15966-S
ān prefecture level city in shaanxi 陝西 陕西	23-16845-S
