通用語 通用语 [01\[ tōng yòng yǔ\]]	common language
通用資源識別號 通用资源识别号 [01\[ tōng yòng zī yuán shí bié hào\]]	universal resource identifier;uri
通用電器 通用电器 [01\[ tōng yòng diàn qì\]]	general electric;ge
通用電氣 通用电气 [01\[ tōng yòng diàn qì\]]	ge; general electric
通盤 通盘 [01\[ tōng pán\]]	across the board;comprehensive;overall;global
通知 通知 [01\[ tōng zhī\]]	to notify;to inform;notice;notification
通票 通票 [01\[ tōng piào\]]	a through ticket
通稱 通称 [01\[ tōng chēng\]]	the general name for sth;a generic term
通紅 通红 [01\[ tōng hóng\]]	very red;red through and through;to blush (deep red)
通緝 通缉 [01\[ tōng jī\]]	to order the arrest of sb as criminal;to list as wanted
通縣 通县 [01\[ tōng xiàn\]]	tong county in beijing
通脹 通胀 [01\[ tōng zhàng\]]	inflation
通脹率 通胀率 [01\[ tōng zhàng lǜ\]]	inflation rate
通航 通航 [01\[ tōng háng\]]	connected by air
通融 通融 [01\[ tōng róng\]]	flexible;to accommodate;to stretch or get around regulations;a short-term loan
通行 通行 [01\[ tōng xíng\]]	to go through;a passage through;in general use;a pass or laissez-passer;a license (to a computer account)
通行無阻 通行无阻 [01\[ tōng xíng wú zǔ\]]	unobstructed passage;to go through unhindered
通行稅 通行税 [01\[ tōng xíng shuì\]]	toll
通行證 通行证 [01\[ tōng xíng zhèng\]]	a pass (authorization through a checkpoint);a laissez-passer or safe conduct;to authenticate;to confirm name and password on a website;fig. a condition giving access to benefits (e.g. a diploma as a pass to a career)
通訊 通讯 [01\[ tōng xùn\]]	communications;a news story (e.g. dispatched over the wire)
通訊協定 通讯协定 [01\[ tōng xùn xié dìng\]]	communications protocol
通訊社 通讯社 [01\[ tōng xùn shè\]]	a news service (e.g. xinhua)
通訊系統 通讯系统 [01\[ tōng xùn xì tǒng\]]	communication system
通訊自動化 通讯自动化 [01\[ tōng xùn zì dòng huà\]]	communications automation
通訊行業 通讯行业 [01\[ tōng xùn háng yè\]]	communications industry
通訊通道 通讯通道 [01\[ tōng xùn tōng dào\]]	communications channel
通訊錄 通讯录 [01\[ tōng xùn lù\]]	address book;directory
通訊院士 通讯院士 [01\[ tōng xùn yuàn shì\]]	corresponding member (of an academy);junior academician
通許 通许 [01\[ tōng xǔ\]]	(n) tongxu (place in henan)
通話 通话 [01\[ tōng huà\]]	talk over telephone;hold a conversation
通諜 通谍 [01\[ tōng dié\]]	diplomatic note
通識 通识 [01\[ tōng shí\]]	general knowledge;overall knowledge;common knowledge;widely known;erudition
通識培訓 通识培训 [01\[ tōng shí péi xùn\]]	general culture
通識教育 通识教育 [01\[ tōng shí jiào yù\]]	general education
通識課程 通识课程 [01\[ tōng shí kè chéng\]]	general course;general education course;core course;general curriculum;general education curriculum;core curriculum
通貨 通货 [01\[ tōng huò\]]	currency;exchange of goods
通貨緊縮 通货紧缩 [01\[ tōng huò jǐn suō\]]	deflation
通貨膨脹 通货膨胀 [01\[ tōng huò péng zhàng\]]	inflation
通路 通路 [01\[ tōng lù\]]	access
通車 通车 [01\[ tōng chē\]]	open to traffic
通透 通透 [01\[ tōng tòu\]]	penetrating
通途 通途 [01\[ tōng tú\]]	through road;thoroughfare
通通 通通 [01\[ tōng tōng\]]	all;entire;complete
通過 通过 [01\[ tōng guò\]]	by means of;through;via;to adopt;to pass through;to get through;to switch over
通過事後 通过事后 [01\[ tōng guò shì hòu\]]	off-line
通道 通道 [01\[ tōng dào\]]	(communications) channel;thoroughfare;passage
通道侗族自治縣 通道侗族自治县 [01\[ tōng dào dòng zú zì zhì xiàn\]]	tongdao dongzu autonomous county in hunan
通達 通达 [01\[ tōng dá\]]	access
通遼 通辽 [01\[ tōng liáo\]]	tongliao prefecture level city in inner mongolia
通遼市 通辽市 [01\[ tōng liáo shì\]]	tongliao prefecture level city in inner mongolia
通量 通量 [01\[ tōng liàng\]]	flux
通電 通电 [01\[ tōng diàn\]]	to set up an electric circuit;to electrify;to switch...on;to be connected to electricity grid;to send a telegram;to circular telegram
通電话 通电话 [01\[ tōng diàn huà\]]	to phone sb up
通霄鎮 通霄镇 [01\[ tōng xiāo zhèn\]]	(n) tunghsiao (town in taiwan)
通順 通顺 [01\[ tōng shùn\]]	smooth;clear and coherent
通風 通风 [01\[ tōng fēng\]]	airy;ventilation;to ventilate;to disclose information
通風口 通风口 [01\[ tōng fēng kǒu\]]	air vent;opening for ventilation
通風孔 通风孔 [01\[ tōng fēng kǒng\]]	air vent;louvre
通風管 通风管 [01\[ tōng fēng guǎn\]]	ventilation duct
