chéng jìn dài huáng jīn jiǎ	39-36865-S
chéng jí	26-61876-B,47-38880-S
chéng jí sī hàn	26-8910-B
chéng jī	3-13447-B,3-13869-B,41-12102-S
chéng jīn	71-41263-S,71-42567-S
chéng jūn	39-64041-S
chéng jǐng	3-14358-B
chéng kuài	8-61544-S
chéng kè	3-13278-B
chéng kěn	58-29343-B
chéng kǎ	65-12421-S
chéng kǒng	58-29127-S
chéng kǒu	15-61548-B
chéng liáng	3-13706-B
chéng lèi gù chún	12-34161-S
chéng lì	26-11178-B
chéng lóng	3-14932-B,26-12777-B,32-45750-S
chéng lóng kuài xù	3-15018-B
chéng lóu	15-62243-B
chéng lùn	19-20711-S
chéng lǐng	34-1818-S
chéng mài	39-65963-B
chéng mén	15-62908-B,65-58609-S
chéng méng	26-61603-B
chéng méng guān zhào	26-61662-B
chéng mì	3-12648-B
chéng míng jiù	9-49014-S
chéng mò	40-66237-S
chéng mù	29-47446-S
chéng mǎn zú zì zhì xiàn	20-24655-S
chéng nián	26-9671-B
chéng nián rén	26-9713-B,32-58131-S
chéng nián zhě	26-9773-B,32-58218-S
chéng nuò	26-62187-B
chéng nù	25-24885-S
chéng piào	60-3591-S
chéng pào yǐng	49-35613-S
chéng píng shǒu	26-44239-S
chéng pǐn	9-11306-S,10-57681-S,26-8990-B
chéng pǔ	58-29524-B
chéng qián bì hòu	25-62921-B
chéng qiáng	15-62478-B
chéng qiú	66-59151-S
chéng qiān gǔ hèn	1-6114-S
chéng qiān shàng wàn	26-8722-B
chéng quán	26-8098-B,50-43018-S
chéng quān	26-9212-B
chéng qì	12-33612-S
chéng qí hǔ	10-7837-S
chéng qún	26-11425-B
chéng qún jié duì	26-11496-B
chéng qīn	26-11964-B
chéng qīng	39-65717-B
chéng qū	15-61485-B,20-24552-S,21-48673-S,33-16796-S,38-60008-S,55-22185-S,57-14525-S,68-23166-S,71-6852-S,71-58455-S
chéng qǐng	13-8424-B
chéng rán	58-29577-B
chéng rèn	26-62095-B
chéng rèn zhǔ yì	2-11725-S
chéng rén	18-22087-S,26-7727-B,26-7768-B,29-14781-S,50-42958-S
chéng rén zhī wēi	3-12489-B
chéng shèng	3-12783-B
chéng shèng zhuī jī	3-12870-B
chéng shì	1-12907-S,1-17340-S,3-13005-B,9-33018-S,10-22440-S,14-59084-S,15-61866-B,17-12032-S,19-54329-S,25-60615-S,30-63687-S,31-43560-S,34-5630-S,34-41165-S,44-37701-S,47-29559-B,47-40710-S,51-43462-S,53-23658-S,58-2503-S,59-20049-S,62-39918-S,65-32187-S,68-11967-S,68-21502-S,71-6689-S
chéng shì guī huà	15-62093-B
chéng shì guǎn lǐ yuán	47-29623-B
chéng shì huà	15-61924-B
chéng shì jiè miàn	25-60705-S
chéng shì rè dǎo	15-61983-B
chéng shì shí	31-4879-S
chéng shì yùn dòng huì	15-62159-B
chéng shì yǔ yán	47-29718-B
chéng shí	2-29656-S,19-37678-S,58-28898-B
chéng shí bǎ mǐ	6-23700-S
chéng shòu	26-60830-B
chéng shù	3-13322-B
chéng shú	26-10771-B
chéng shú fàn	43-28366-S,43-28618-S
chéng shān	67-54152-S
chéng shī	21-56763-S,45-64437-S
chéng shī lián hé huì	67-31416-S
chéng shū	26-10232-B
chéng suǒ zhì	48-58296-S
chéng sè	35-1931-B
chéng sè jì	35-1978-B
chéng sè zhàn jì	35-2035-B
chéng sòng	13-8553-B
chéng sù	49-13140-S
chéng sú	51-17687-S
chéng sī	8-61629-S
chéng tián	26-10818-B
chéng tián jī chǎng	26-10916-B
chéng tiān	26-9311-B
chéng tiě	71-42276-S
chéng tiě lù	20-29660-S
chéng tào	26-9381-B
chéng tóng	2-42952-S
chéng tóu	26-62850-B
chéng tú	21-56523-S,38-5261-S
chéng tú xué	21-56608-S
chéng tǐ	26-12714-B
chéng tǐ tǒng	2-11222-S
chéng wài	15-61813-B
chéng wàng	26-61432-B
chéng wáng	19-9674-S
chéng wèn tí	62-18478-S
chéng wéi	26-10713-B
chéng wéi rén	46-57751-S
chéng wén	13-8255-B,26-9999-B
chéng wén fǎ	2-11153-S,26-10052-B
chéng wù	12-33809-S,29-51439-S
chéng wù yuán	3-12712-B
chéng wān	34-41257-S
chéng wǔ	26-10421-B
chéng xià	8-2245-S
chéng xiàn	10-68971-S,13-8325-B,13-58781-S,17-12130-S,19-57478-S,20-16973-S,26-11294-B,29-59627-S,30-45799-S,45-66890-S,46-5207-S,54-9093-S,55-27818-S,62-20323-S,68-12038-S
chéng xiàng	2-45332-B,26-8053-B,26-12087-B,46-34698-S
chéng xiàng jiāo	12-33668-S
chéng xiàng jì shù	52-39879-S
chéng xiàng shù	9-49967-S
chéng xiào	10-63267-S,26-9895-B
chéng xiān	5-48520-S,26-7827-B,69-50084-S
chéng xiān wéi	12-33881-S
chéng xiāng	15-62787-B,17-12215-S,30-45871-S,60-58693-S
chéng xiāng jiàn	15-53526-S,65-42222-S
chéng xiāng shí	2-11437-S
chéng xué	21-56704-S,43-24439-S
chéng xì	3-14567-B
chéng xìn	58-28816-B
chéng xìng	3-13938-B,41-13067-S,51-17791-S
chéng xí	26-62031-B
chéng xíng	22-2212-S,26-11713-B
chéng xù	2-47762-S,19-1827-S,26-16362-S,47-29247-B,53-3067-S,58-2433-S,69-56185-S
chéng xù shè jì	47-29418-B
chéng xù xìng	47-29364-B
chéng xù yuán	47-29307-B
chéng xīn	26-9826-B,58-28967-B
chéng xīn chéng yì	58-29012-B
chéng xū	3-14099-B
chéng xū ér rù	3-14163-B
chéng yuàn	2-58212-S
chéng yuán	26-9059-B
chéng yuán guó	26-9102-B
chéng yào	26-11587-B
chéng yán	38-50283-S,40-21301-S
chéng yáng	15-63063-B
chéng yáng qū	15-63154-B
chéng yì	58-29012-S,58-29288-B
chéng yìng	26-61212-B
chéng yí	47-29885-B
chéng yí zhǐ	65-52272-S
chéng yóu	36-33760-S
chéng yù wǎng	15-61680-B
chéng yùn	26-62489-B
chéng yùn huì	15-62525-B
chéng yú	26-10487-B
chéng yī	3-9619-S,26-11772-B
chéng yī piàn	26-44126-S
chéng yīn	26-9164-B
chéng yǔ	16-43297-S,26-12014-B,28-50088-S
chéng yǔ jìng	12-34012-S
chéng yǔ yīn	12-34086-S
chéng zhe	50-43076-S
chéng zhuǎn	26-62324-B
chéng zhèn	15-62845-B,64-8658-S,68-36841-S
chéng zhèng	12-25163-S
chéng zhì	10-13364-S,10-15335-S,58-29401-B
chéng zhì zào	57-60398-S
chéng zhòng	26-62620-B
chéng zhòng sùn	26-62739-B
chéng zhú	52-24832-S
chéng zhāng	8-36470-S,68-26054-S
chéng zhēn	23-23495-S,26-11117-B,46-39515-S
chéng zhě	18-3567-S
chéng zhī dú cún chǔ qì	12-14004-S
chéng zhōng	15-34081-S,34-28733-S
chéng zhǎng	26-12412-B
chéng zhǎng lǜ	26-12474-B
chéng zi	35-1816-B,66-64747-S
chéng zuò	3-13097-B,26-60573-B
chéng zài	26-62259-B
chéng zì rán	51-18512-S
chéng zāi	26-10643-B
chéng zū fāng	26-61784-B
chéng zǔ	10-13428-S,10-15405-S,16-65424-S,26-11229-B,30-63743-S,31-23866-S
chéng è	10-10766-S
chéng ān	26-9465-B
chéng ēn	13-584-S
chì	2-1842-S,3-25913-B,3-45148-S,6-45359-B,6-65122-S,9-22930-S,9-62171-S,9-65976-B,12-20032-B,13-16248-S,14-587-B,14-10273-S,14-41488-S,14-43456-S,23-49019-S,23-60149-B,24-1067-S,27-15496-B,27-31833-S,27-59874-S,28-16446-S,28-30962-S,29-28243-S,29-65330-B,30-37735-B,40-60551-S,41-23156-B,43-43287-S,43-44762-S,44-42048-S,45-29373-S,51-17249-B,56-36364-S,57-64271-S,59-44638-S,60-5627-B,60-41043-B,60-46099-B,62-55544-S,64-13954-S,67-7878-S,68-2743-S,68-7667-S,69-5145-B,69-19676-B,69-46782-S,70-37691-S,70-48158-S,70-57883-B,71-2033-S
chì bì	60-5737-B
chì bì shì	60-5971-B
chì bì xiàn	60-6060-B
chì bì zhī zhàn	60-5815-B
chì bǎng	51-17319-B
chì cháo	60-6539-B
chì chéng	60-5672-B
chì duō	12-20140-B
chì dào	60-7089-B
chì dào jī nèi yà	60-7166-B
chì dào liú	11-54620-S
chì dào nì liú	60-7248-B
chì dēng	44-42106-S
chì dǎn zhōng xīn	60-6677-B
chì fēng	60-6191-B
chì fēng shì	60-6273-B
chì gāo fēi	21-22490-S
chì hè	12-20466-B
