huī háo sǎ mò	28-49862-B
huī hé	70-782-S
huī jié	51-48607-S
huī jiā	27-59259-S
huī jì	24-30608-B
huī jìn	40-25841-B
huī jù	24-30180-B
huī jīn rú tǔ	28-50441-B
huī liè quǎn	40-25880-B
huī lèi	27-67533-B
huī lǐng	40-26211-B
huī lǜ yán	61-14266-B
huī mò	24-30224-B
huī nán	61-13917-B
huī nán xiàn	61-13982-B
huī ní	40-25746-B
huī ruì	61-14112-B
huī shí	46-8503-S,61-14183-B
huī shěng	19-28630-S
huī shī	28-49540-B
huī shǒu	28-49648-B
huī sè	38-50929-S,40-26040-B
huī sǎ	27-67601-B
huī tóu tǔ liǎn	40-26294-B
huī wǔ	28-50385-B
huī xiàn	24-30490-B,61-14334-B
huī xié	58-17915-B
huī xióng	40-25793-B
huī xīn	40-25600-B
huī xīn sàng qì	40-25659-B
huī yán	40-25432-B,46-8449-S
huī yán cán qiū	40-25493-B
huī yì lěng	24-34298-S
huī yì lǎn	24-34377-S
huī zhì	24-30369-B
huī zhì yán	52-31432-S
huī zhāng	24-30409-B
huī zhě	27-59366-S
huī zhī lì	2-31927-S
huī zhōng xīn	27-59132-S
huī zhōu	24-30290-B
huī zhǔ	28-50735-B
huī zōng	19-35309-S
huō	59-16304-B
huō méi jī	29-32562-B
huǎn	4-69124-S,9-14299-S,13-24679-S,14-7343-S,20-27370-S,22-44007-S,23-18112-S,23-33313-S,24-4441-S,29-52443-S,31-65241-S,39-1015-S,40-1350-B,45-54036-B,50-22340-B,50-23169-S,61-43769-S,62-67740-S,70-26990-S
huǎn bù	50-23042-B
huǎn bù jì jí	50-22471-B
huǎn bīng zhī jì	50-22650-B
huǎn chōng	50-23240-B
huǎn chōng cún chǔ qì	70-22699-S
huǎn chōng jiān	47-48485-S
huǎn chōng qì	50-23286-B
huǎn cún	70-22638-S
huǎn dòng	50-22844-B
huǎn fā zhōng zǐ	50-23097-B
huǎn huǎn	50-23169-B
huǎn hé	50-22888-B
huǎn jiě	50-23358-B
huǎn jí	61-13271-S
huǎn màn	50-22991-B
huǎn xíng	50-22791-B
huǎng	22-33983-B,23-51055-S,24-66660-B,24-68151-B,29-8444-S,31-43004-B,32-67740-S,34-39993-B,39-27056-B,41-11402-B,44-64145-B,55-54309-S,57-27609-S,58-33633-S,58-52552-B,64-26571-S,64-53172-B
huǎng bào	58-52588-B
huǎng dòng zú zì zhì xiàn	30-49430-S
huǎng huà	58-52669-B
huǎng huǎng	64-26571-S
huǎng hū	24-68208-B,24-68279-B,48-55652-S
huǎng rán dà wù	24-68348-B
huǎng yán	1-13879-S,14-3491-S,39-36234-S,58-52630-B
huǎng zhě	58-33695-S
huǎng zi	22-34024-B
huǐ	4-30015-S,11-48269-S,16-26006-S,21-45128-S,22-42421-S,23-68171-S,25-7035-B,25-61994-S,26-3248-S,27-19401-S,28-52629-S,28-55238-S,28-65261-S,29-9325-S,29-9974-S,29-19793-S,36-2530-B,40-31255-S,40-45463-S,40-51599-S,41-27106-S,41-33516-B,46-21348-S,51-21590-S,55-57466-B,58-6133-S,58-23208-S,59-2429-B,61-57215-S,64-33872-S
huǐ bàng	36-2941-B
huǐ chú	36-2989-B
huǐ diào	36-2735-B
huǐ guò	25-7253-B
huǐ guò zì xīn	25-7300-B
huǐ gǎi	25-7158-B
huǐ huài	36-2656-B
huǐ hèn	25-7064-B
huǐ lái xìng	36-2581-B
huǐ miè	36-2817-B
huǐ sǔn	36-2777-B
huǐ wù	25-7116-B
huǐ yuē	36-2870-B
huǐ zuì	25-7209-B
huǒ	1-53812-S,3-70861-S,4-25990-S,4-56820-B,5-18478-S,6-553-S,6-16817-S,6-29904-S,10-13491-S,12-31649-S,12-45504-S,12-63472-S,14-56863-S,15-28590-S,16-34670-S,17-3754-B,17-13078-S,17-26282-S,17-66329-S,18-30908-S,20-33725-S,20-52497-S,21-31437-S,22-61468-S,23-29222-S,24-19980-S,24-53327-S,24-58146-S,25-24798-S,25-26903-S,25-53368-S,26-18856-S,27-13649-S,27-52557-S,27-65934-S,28-58887-S,29-52204-S,29-66186-S,30-6990-S,30-46964-S,31-29694-S,33-34486-S,38-46797-S,39-26576-S,40-19615-B,40-30451-S,40-33940-S,40-41883-S,40-43618-S,41-2626-S,41-11623-S,41-24850-S,41-25172-S,41-26752-S,41-35602-S,42-2937-S,42-39788-S,43-23056-S,44-30868-S,46-41640-S,46-50017-S,47-24632-S,48-32901-S,49-21694-S,49-40093-S,50-29868-S,51-36641-S,51-48546-S,51-53454-S,54-54943-S,56-12679-S,57-43134-S,60-15458-S,60-17320-S,61-233-S,61-45652-S,62-61757-S,64-3729-S,64-21863-B,65-9519-S,65-29927-S,65-38678-S,65-62203-S,69-0-S,69-28626-S,70-31807-S,71-40529-S,71-43262-S
huǒ 5r	5-18524-S,40-20055-B
huǒ bàn	4-56870-B,12-31868-S,17-3814-B,24-60863-S,26-19445-S,40-19958-B,59-49174-S
huǒ bào	40-23236-B
huǒ bù jué	69-28718-S
huǒ bù róng	36-43903-S
huǒ bǎ	40-21382-B
huǒ bǎ jié	40-21449-B
huǒ chái	23-29281-S,40-21747-B,49-22515-S
huǒ cháng chéng	65-62317-S
huǒ chéng	40-21219-B
huǒ chéng yán	40-21301-B
huǒ chóng	56-12742-S
