lexicography	61-36740-B
lit i dare not accept the honor	2-12885-B
lit if he orders you go	4-35506-B,47-812-B
lit if it s wrong	20-37489-B
lit if the rabbit dies	7-22798-B
lit in every trade	56-34861-B
lit in the same boat under wind and rain 成语 saw	68-58218-B
lit incompatible as fire and water	36-43903-B
lit inn that kills and robs guests esp in traditional fiction	71-29935-B
lit intense fire to dry wood 成语 saw	40-33994-B
lit interrelated as bones and flesh 成语 saw	70-1679-B
lit iris and orchid	53-51283-B
lit iron rice bowl	65-5278-S
lit it takes a long time to make a big pot 成语 saw	17-10568-B
lit its outside face seems good 成语 saw	55-52848-B
lit jails overgrown with grass 成语 saw	54-15163-B
lit kept hoodwinked inside a drum 成语 saw	45-61209-B
lit kill one to warn a hundred 成语 saw	35-66143-B
lit killing the chicken to scare the monkey 成语 saw	36-1517-B
lit killing the chicken to warn the monkey 成语 saw	36-1329-B,36-1880-B
lit last year s calendar almanac	51-29738-B
lit late comer lives above 成语 saw	23-66996-B
lit lay down the flag and still the drums 成语 saw	6-5300-B
lit leave no hole undrilled 成语 saw	40-49606-B
lit legendary nine ribbed turtle of yuan river	37-4124-B
lit legs on a snake	55-60425-B
lit like a moth flying into the fire 成语 saw	69-0-B
lit lion s head	42-16062-B
lit lips and teeth 成语 saw	13-49325-B
lit little secret	21-224-B
lit liver and guts cut to pieces 成语 saw	52-9457-B
lit lock the door and search for the right word 成语 saw	65-28766-B
lit long distance bus	65-20229-S
lit lord board	3-6091-S
lit lost soul	14-13846-B,17-68497-B
lit lotus rises from the water 成语 saw	53-50235-B
lit love the house and its crow 成语 saw	25-33806-B,25-33955-B
lit lovely flowers	53-55229-B
lit low tide	32-18741-B
lit lying on firewood	52-54964-S
lit machine box	35-4669-S
lit making little use of great talent	17-18573-B
lit measure the body then tailor the suit 成语 saw	64-6912-B
lit men s footprints are rare	4-16593-B
lit mention the pot that doesn t boil 俗语 common saying	13-45271-B
lit military tactics on paper 成语 saw	49-21294-B
lit mole cricket and ants	56-15405-B
lit money will make the devil turn millstones 成语 saw	32-40285-B
lit money wrapped in red as a gift	49-8543-B
lit morning bell	31-47066-B
lit mountain springs and rocks in one s heart 成语 saw	37-28572-B
lit mourning the wind and bewailing the rain	8-25101-B
lit mt zhongnan is a shortcut to a ministerial job 成语 saw	49-35175-B
lit much thunder but little rain	67-22549-B
lit multiple roof	63-58003-B
lit muscles and joints	48-19757-B
lit mustn t speak of two things on the same day 成语 saw	1-76013-B,32-57086-B
lit my worn out broom	30-5889-B
lit mythical bird jingwei tries to fill the ocean with stones 成语 saw	48-57976-B
lit name is not in vain 成语 saw	12-53496-B
lit name of old canal in henan that formed the border between enemies chu 楚 and han 漢 汉	70-55688-B
lit nameless soldier 成语 saw	40-48184-B
lit nest of devils	70-36115-B
lit never taking a short cut 成语 saw	56-31004-B
lit new bud	30-53202-B
lit new wine in old bottles	53-28635-B
lit night and day difference 成语 saw	17-45514-B
lit no blood on the men s swords 成语 saw	8-519-B
lit no excessive politeness	9-3489-B
lit no one picks up lost articles in the street 成语 saw	60-41398-B,62-49468-B
lit no time to concede much	2-34618-B
lit not eating for fear of choking 成语 saw	14-59606-B
lit not fit for elegant hall of artwork	2-19765-B
lit not following the straight path 成语 saw	56-30838-B
lit not harming a new feather 成语 saw	47-15074-B
lit not one drop can trickle through 成语 saw	36-42817-B
lit not one drop of water can leak out	39-32924-B
lit not requiring a detailed understanding 成语 saw	2-16755-B
lit not to know whether to laugh or cry	13-46829-B
lit notes on passing the hall	62-44983-B
lit of road winding and turning 成语 saw	27-30867-B,61-23153-B
lit older brother	22-47473-B
lit on all sides the songs of chu 成语 saw	14-54038-B
lit on horseback	69-31620-B
lit on the beat	1-9623-B,1-9696-B
lit once experienced the vast ocean 成语 saw	32-16545-B
lit one arrow	1-16954-B
lit one dragon	1-12142-B
lit one hundred loopholes 成语 saw	39-44617-B
lit one hundred splits 成语 saw	46-19461-B
lit one knife to cut two segments 成语 saw	1-2914-B
lit one man achieves the dao	1-1662-B
lit one phoenix feather	18-49633-B
lit one scale and half a claw 成语 saw	1-23039-B
lit one spot on the leopard	1-10270-B
lit one string short	30-59005-B
lit one strong beat and one weak beats in a measure of music two beats in the bar 成语 saw	1-11646-B
lit one strong beat and three weak beats in a measure of music four beats in the bar 成语 saw	1-11876-B
lit one track path	49-50978-B
lit one turnip	1-2577-B
lit one wrong step causes thousand hatred 成语 saw	1-6114-B
lit opening a book is progfitable 成语 saw	65-31013-B
lit orchids and jade trees 成语 saw	53-51540-B
lit original juices	11-34257-B
lit overturning heaven and earth 成语 saw	30-69909-B
lit overweight	52-51980-B
lit pale faced scholar	44-48045-B
lit paper can t wrap fire	49-21694-B
lit peace when you come or go	8-35452-B
lit pearl flows	42-45194-B
lit penetrates to the marrow	38-45291-B
lit penned words	61-36855-B
lit phoenix in embryo	67-3342-B
lit pick orchids and present poenies 成语 saw	28-22108-B
lit piles of work and papers 成语 saw	16-6308-B
lit plaintive whine of geese 成语 saw	13-33136-B
lit please raise your hand 成语 saw	70-15112-B
lit pleased with heaven	35-31722-B
lit practise austerities to become a daoist immortal	5-48520-B
lit praise fills the roads 成 语 saw	11-68916-B,68-27885-B
lit praising a horse s fart	69-36902-B
lit presenting the buddha with borrowed flowers 成语 saw	6-981-B
lit pseudo silver pewter spear head	64-27180-B
lit pull and fall	27-21200-B
lit pull down the east wall to repair the west wall 成语 saw	27-19042-B
lit pull down the east wall to repair the west 成语 saw	27-19237-B
lit pull one hair and the whole body moves	41-62858-B
lit pull up a plant and the roots follow	27-34604-B
lit pull up a plant and the roots follow 成语 saw	27-33444-B,27-34788-B
lit qin and se sing in harmony	42-59713-B
lit quantity of spirit	36-31058-B
lit quick mouth and quick tongue	24-57906-B
lit quick sword cuts through tangled hemp 成语 saw	24-47601-B,24-47790-B
lit raging sea of bureaucracy	19-56723-B
lit rarely seen	21-5086-B
lit rat in a country shrine	46-50664-B
lit rat s tail	51-31941-B
lit red bellied devotion 成语 saw	60-6677-B
lit refuse to be convinced until one is faced with grim reality	2-28312-B
lit reincarnated in sb else s body 成语 saw	5-65501-B
lit reins together and carriages level 成语 saw	62-25879-B
lit replacement for soldier on leave for the melon picking season	43-8664-B
lit reputation will go down in history 成语 saw	12-54992-B
lit restricted to the old track	29-60588-B
lit rich country	20-6725-B
lit right and wrong	31-37967-B
lit ripe as a melon that rolls from its vine 成语 saw	39-34673-B
lit rising winds	68-57465-B
lit river ganges monkey of north india	24-67513-B
lit river water does not interfere with well water 成语 saw	37-20133-B
lit roast meat	40-42195-S
lit robust years	16-37226-B
lit runner before a carriage	69-34473-B
lit running dog	60-12458-B
lit sandpiper and clam war together and the fisherman catches both	71-1127-B,71-1255-B
lit saving star cf star of bethlehem in biblical nativity story	29-64167-B
lit say three in the morning but four in the evening 成语 saw	32-47262-B
lit scatter heat device	30-9217-S
lit see a tiny bit and understand everything 成语 saw	58-62318-B
lit see one spot on a leopard	47-58451-B
lit see one spot on a leopard 成语 saw	47-58539-B
lit see the wind and assume it will rain 成语 saw	57-31944-B
lit see the wind and set the helm 成语 saw	57-31761-B
lit see the wind and set your sails 成语 saw	57-31576-B
lit seems so	4-62421-B
lit set out and it becomes spring 成语 saw	54-54426-B
lit settling accounts after the autumn harvest 成语 saw	47-14532-B
lit seven up	1-26673-B
lit shoes and slippers muddled together 成语 saw	21-26320-B
lit short lived cicada does not know the seasons	56-18065-B
lit short weaponed soldiery fight one another 成语 saw	45-65660-B
lit show strength while weak inside 成语 saw	53-44218-B
lit sing to accompany wine 成语 saw	20-57125-B
lit singing of the wind and the moon	12-66079-B
lit single spear and horse 成语 saw	14-19073-B
lit sitting at ease in a fishing boat despite storms 成语 saw	47-41835-B
lit six secret teachings 六韬 and three strategies 三略	7-69782-B
lit slap the table and shout with praise 成语 saw	27-29594-B
lit slow no aid to urgent 成语 saw	50-22471-B
lit smash bamboo	46-19229-B
lit smoothly flowing	39-9079-B,39-9126-B
lit so skinny the bones poke through	44-19034-B
lit soap bubble	37-36955-B
lit sole hegemony	42-21978-B
lit source is distant and the flow is long 成语 saw	39-16104-B
lit spare time college	34-33513-S
lit spare valor for sale 成语 saw	69-15072-B
lit sparrow and swallow	41-29798-B
lit sparrow and swallow s congratulation 成语 saw	41-29877-B
lit spider s thread and horse track	56-355-B
lit spirit and marrow	46-62574-B
lit spirit and soul upside down 成语 saw	46-62766-B
lit spring wind and rain 成语 saw	31-35967-B
lit stake a thousand pieces of gold on one throw 成语 saw	1-9947-B,10-51803-B
lit stale grain	66-29753-B
lit stamping and beating the chest 成语 saw	60-34829-B
lit start off leniently 成语 saw	26-31683-B
lit sth hits one in the face	29-16778-B,29-16955-B
lit stocks and knives	34-1309-B,34-1417-B
lit stone pillow	33-32475-B,33-32549-B,33-32803-B
lit straggling and disbanded soldiers 成语 saw	30-7255-B
lit strong dragon cannot repress a snake 成语 saw	23-46265-B
lit strung through and filled with evil 成语 saw	25-23777-B
lit stupid opinion	25-31528-S,25-32074-S
lit sunshine after rain 成语 saw	67-14838-B,67-15029-B
lit superficial contact	56-6398-B
lit supernatural tales from a verbose studio	51-43738-B
lit tail wind	68-27069-B
lit tailor the clothes to fit the body 成语 saw	45-32464-B
lit tangled skein	3-27710-B
lit target of a multitude of arrows 成语 saw	45-53565-B
lit ten thousand dimensional net	54-46821-B
lit ten thousand dimensional net covering heaven and earth	54-46662-B
lit ten thousand strings of cash in money belt 成语 saw	52-42707-B
lit that person	63-16291-B
lit the ant fights	56-19825-B
lit the birds are over	70-50338-B
lit the black horse of the herd	19-59922-B
lit the black horse of the herd 成语 saw	19-59609-B
lit the clumsy bird flies early 成语 saw	48-7938-B
lit the course of the road to heaven	17-54092-B
lit the crisis of being hanged upside down 成语 saw	5-56342-B,5-56503-B
lit the cycle comes back to the start 成语 saw	62-27819-B
lit the disease has attacked the vitals 成语 saw	44-8690-B
lit the divine steed huang flashes past 成语 saw	69-1410-B
lit the dragon fly shakes the stone tower 成语 saw	56-6180-B
lit the dragon has nine sons 成语 saw	71-61068-B
lit the dragon wars	71-60905-B
lit the dragonfly touches the water lightly 成语 saw	56-6398-B
lit the end comes back to the start 成语 saw	49-36835-B
