xing	1-8894-S,1-12737-S,1-18590-S,1-19357-S,1-20214-S,1-22444-S,1-28686-S,1-28841-S,1-32678-S,1-34661-S,1-35367-S,1-41924-S,1-43329-S,2-5222-S,2-7850-S,2-23012-S,2-23882-S,2-25783-S,2-26657-S,2-27304-S,2-27385-S,2-27617-S,2-28715-S,2-28817-S,2-43775-S,2-47554-S,2-65216-S,2-68551-S,2-71609-S,2-74733-S,2-77373-S,3-4700-S,3-5262-S,3-10847-S,3-13938-S,3-15521-S,3-20616-S,3-43527-S,3-45024-S,3-46558-S,3-50476-S,3-50661-S,3-52408-S,3-52529-S,3-54556-S,3-54944-S,3-54998-S,3-55325-S,3-57235-S,3-62998-S,3-67403-S,4-4508-S,4-9383-S,4-16815-S,4-17160-S,4-31997-S,4-33292-S,4-42973-S,4-60436-S,4-61590-S,5-4080-S,5-15942-S,5-16289-B,5-20637-S,5-27006-S,5-36630-S,5-47670-S,5-48941-S,5-53506-S,5-62315-B,6-4334-S,6-7791-S,6-18926-S,6-20415-S,6-21834-S,6-37050-S,6-39637-S,6-46964-S,6-47045-S,6-51346-S,7-5582-S,7-16812-S,7-35451-S,7-36312-S,7-39016-S,7-40733-S,7-44775-S,7-45141-S,7-52721-S,7-53267-S,7-69448-S,7-69578-S,7-71622-S,7-71720-S,7-71765-S,8-5596-S,8-6594-S,8-15740-S,8-31430-S,8-44869-S,8-52253-S,8-52732-S,8-61256-S,8-64153-B,8-66886-S,9-2285-S,9-2829-S,9-13440-S,9-22363-S,9-27894-S,9-30143-S,9-37428-S,9-38051-S,9-47230-S,9-49906-S,9-65715-S,9-69684-S,10-794-S,10-7417-S,10-21976-S,10-24553-S,10-31761-S,10-31849-S,10-32638-S,10-43431-S,10-43497-S,10-45978-S,10-47460-S,10-47836-S,10-55662-S,11-9702-S,11-12291-S,11-21301-S,11-22552-S,11-25078-S,11-25250-S,11-25534-S,11-30723-S,11-30850-S,11-31388-S,11-33129-S,11-33201-S,11-51886-S,11-60213-S,11-61369-S,12-5734-S,12-9782-S,12-12238-S,12-13763-S,12-14299-S,12-15193-S,12-15293-S,12-15643-S,12-15974-S,12-16113-S,12-16155-S,12-16852-S,12-17300-S,12-17622-S,12-22772-S,12-35246-S,12-35873-S,12-46228-S,12-47357-S,12-51522-S,12-63177-S,13-3978-S,13-4732-S,13-25464-S,13-33918-S,13-34996-S,13-40859-S,13-65020-S,14-3932-S,14-6703-S,14-13628-S,14-21164-S,14-21676-S,14-28623-S,14-43248-S,14-52803-S,14-53527-S,15-16714-S,15-23403-S,15-23861-S,15-25044-S,15-26222-S,15-29526-S,15-31216-S,15-35976-S,15-39370-S,15-40672-S,15-41394-S,15-47591-S,15-56395-B,15-65610-S,15-67032-S,16-3488-S,16-4223-S,16-15485-S,16-32566-S,16-38622-S,16-45480-S,16-47545-S,16-53996-S,16-56338-S,16-58709-S,16-59320-S,16-62522-S,16-62988-S,16-63362-S,16-64300-S,16-64765-S,17-1596-S,17-1666-S,17-11744-S,17-27527-S,17-32707-S,17-47141-S,17-48633-S,17-51129-S,17-51183-S,18-4547-S,18-5489-S,18-20605-S,18-39018-S,18-40623-B,18-47208-S,18-53944-S,18-54250-B,19-1415-S,19-4652-S,19-5113-S,19-8799-S,19-12397-S,19-23772-S,19-36624-S,19-37213-S,19-37799-S,19-45219-S,19-47244-S,19-50118-S,19-57307-S,20-14685-S,20-15379-S,20-15898-S,20-30318-S,20-34270-S,20-47207-S,20-50147-S,20-53683-S,20-60129-S,20-61932-S,21-317-S,21-16898-S,21-17119-S,21-17497-S,21-26473-S,21-27489-S,21-61022-S,21-61374-S,22-492-S,22-2212-S,22-2450-S,22-6875-S,22-23015-S,22-23117-S,22-44479-S,22-44637-S,22-46211-S,22-50956-B,23-17100-S,23-17438-S,23-22729-S,23-25795-S,23-35590-S,23-45119-S,23-45692-S,23-48306-S,23-52732-S,23-53607-B,23-59476-S,24-4571-S,24-5248-S,24-5735-S,24-7832-S,24-15613-S,24-17387-S,24-18545-S,24-19307-S,24-28036-S,24-28403-S,24-32733-S,24-41795-S,24-48532-S,24-58334-S,24-60540-B,24-63161-S,24-67138-S,25-9165-S,25-11318-B,25-13403-S,25-13546-S,25-13546-S,25-16572-S,25-20541-S,25-23175-S,25-24433-S,25-27321-B,25-40724-S,25-48533-S,25-49293-S,25-50245-S,25-50929-S,25-52239-S,25-60102-S,25-63233-S,26-11713-S,26-19166-S,26-19579-S,26-21135-S,26-31146-S,26-63396-S,26-66735-S,27-4530-S,27-6015-S,27-7309-S,27-48541-S,27-51413-S,27-56195-S,27-66419-S,27-70792-S,28-11107-S,28-23736-S,28-32028-S,28-42738-S,28-50238-S,28-62680-S,29-22041-S,29-25719-B,29-49739-S,29-56376-S,29-62989-S,29-64167-S,29-66537-S,30-969-S,30-4876-S,30-17757-S,30-21734-S,30-30864-S,30-36236-S,30-45682-S,30-49269-S,30-55391-S,30-60385-S,30-62008-S,30-62723-S,30-66839-S,30-68439-S,31-7607-S,31-24343-S,31-27060-S,31-28708-B,31-29644-S,31-29644-S,31-41512-S,31-46828-S,31-51773-S,31-52400-S,31-57110-S,31-65400-S,32-349-S,32-13295-S,32-32094-S,32-32186-S,32-32240-S,32-32508-S,32-33986-S,32-34112-S,32-34855-S,32-42441-S,32-52961-S,32-63933-S,33-5369-S,33-6375-B,33-43466-S,33-44258-S,33-58135-S,33-58441-S,33-62460-S,33-62535-S,33-67971-S,34-4861-S,34-14254-S,34-16193-S,34-21536-S,34-29876-S,34-35116-S,34-36981-S,34-37032-S,34-37144-S,34-41041-S,34-57957-S,34-58330-S,35-2495-S,35-3903-S,35-6995-S,35-9260-S,35-9861-S,35-11735-S,35-11822-S,35-18749-S,35-26079-S,35-28433-S,35-33646-S,35-33951-S,35-34881-S,35-37157-S,35-38125-S,35-42951-S,35-52327-S,35-56920-S,36-2581-S,36-7392-S,36-30739-S,36-41476-S,36-43239-S,36-48496-S,36-52544-S,36-65638-S,37-37738-S,37-38555-S,37-48287-S,38-958-S,38-2477-S,38-3357-S,38-3794-S,38-5401-S,38-5812-S,38-5935-S,38-20113-S,38-21077-S,38-22558-S,38-23425-S,38-37071-B,38-46452-S,38-53568-S,38-55416-S,38-65482-S,39-0-S,39-17279-S,39-19666-S,39-24809-S,39-28027-B,39-29434-S,39-37673-S,39-60617-S,39-63553-S,40-5203-S,40-20179-S,40-21527-S,40-26587-S,40-27189-S,40-27890-S,40-28427-S,40-33844-S,40-50723-S,40-51467-S,40-54606-S,40-61083-S,41-10963-S,41-13067-S,41-33166-S,41-37773-S,41-39747-S,41-58557-S,41-64222-S,42-13250-B,42-13277-S,42-13277-S,42-19370-S,42-22947-S,42-23427-S,42-25316-S,42-25610-S,42-40549-S,42-49067-S,42-50687-S,42-54802-S,42-54929-S,42-59991-S,43-5502-S,43-19226-S,43-20355-S,43-24080-S,43-24355-S,43-24601-S,43-25241-S,43-26388-S,43-33750-S,43-39568-S,43-45995-S,43-60902-S,43-61182-S,44-198-S,44-11091-S,44-12951-S,44-33455-S,44-43167-S,44-52281-S,44-52644-S,44-52743-S,44-53683-S,44-65052-S,44-65625-S,45-5933-S,45-8447-S,45-21189-S,45-23829-S,45-24130-S,45-26351-S,45-32211-S,45-33026-B,45-41982-S,45-48245-S,45-55546-S,45-65317-S,46-1466-S,46-1777-S,46-2284-S,46-17300-S,46-22501-B,46-33489-S,46-35255-S,46-46025-S,46-49018-S,46-57542-S,46-59516-S,47-812-S,47-1925-S,47-13856-S,47-26957-S,47-29364-S,47-31701-S,47-32245-S,47-36965-S,47-39739-S,47-42482-S,47-43702-S,47-44657-S,47-64682-S,48-514-S,48-11265-S,48-19416-S,48-34128-S,48-50608-S,49-1624-S,49-9569-S,49-9996-S,49-11729-S,49-13459-S,49-16748-S,49-17678-S,49-21870-S,49-26654-S,49-33149-S,49-34492-S,49-40412-S,49-48491-S,49-63540-S,50-16637-S,50-22791-S,50-27873-S,50-37574-S,50-39945-S,50-51704-S,50-52322-S,51-11050-S,51-14221-S,51-17791-S,51-18030-S,51-18120-S,51-18289-S,51-18457-S,51-29652-S,51-36168-S,51-36439-S,51-36537-S,51-37320-S,51-39546-S,51-69561-S,52-29802-S,52-30300-S,52-37218-S,52-39100-B,52-47598-S,52-52259-S,52-56073-S,52-62115-S,53-13227-S,53-15400-S,53-22708-B,53-22779-B,53-27491-S,53-36255-S,53-41374-S,54-253-S,54-5502-S,54-13653-B,54-22795-B,54-36669-S,55-6022-S,55-18473-S,55-28764-S,55-41719-S,55-52785-S,55-56844-S,55-60025-S,56-1259-B,56-9768-S,56-13791-S,56-24453-S,56-28854-S,56-30633-B,56-30798-B,56-33519-S,56-37398-S,56-45626-S,57-5469-S,57-6658-S,57-6780-S,57-32504-S,57-33150-S,57-39693-S,57-41330-S,57-43056-S,57-52734-S,57-55956-S,57-66449-S,58-10124-S,58-10716-S,58-11369-S,58-13360-S,58-13799-S,58-25035-S,58-25436-S,58-41593-S,59-938-S,59-1945-S,59-8131-S,59-8485-S,59-9434-S,59-23175-S,59-23786-S,59-25056-S,59-42419-S,59-53132-S,60-11322-S,60-20343-S,60-21508-S,60-56148-S,61-19015-S,61-22183-S,61-52149-S,61-61917-S,61-64075-S,61-68100-S,62-1037-S,62-1667-S,62-2609-S,62-7590-S,62-11050-S,62-12525-S,62-17106-S,62-17851-S,62-24558-S,62-27249-S,62-30357-S,62-30570-S,62-38045-S,62-41165-S,62-45689-S,62-62656-S,62-65337-S,62-69010-S,63-1887-S,63-15044-S,63-40475-S,63-44397-S,63-44856-S,63-47987-B,63-57205-S,64-138-S,64-348-S,64-5065-S,64-5225-S,64-11065-S,64-18812-S,64-20934-B,64-24944-B,64-26805-S,64-34045-S,64-39915-S,64-43137-S,65-14988-S,65-15463-S,65-15519-S,65-19009-S,65-30604-S,65-35671-S,65-62714-S,66-18952-B,66-24274-S,66-33932-S,66-35403-S,66-38517-S,66-39791-S,66-41339-S,66-47410-S,66-47605-S,66-53126-S,66-61081-S,67-1489-S,67-3122-S,67-10036-S,67-13435-S,67-20647-S,67-32958-S,67-37882-S,67-51551-S,67-52510-S,67-63501-S,67-67288-S,67-67453-S,67-68170-S,68-1801-S,68-2287-S,68-4710-S,68-5397-S,68-5586-S,68-10957-S,68-26705-S,68-32210-S,68-47500-S,68-47575-S,68-47834-S,68-50403-S,68-57086-S,69-239-S,69-18626-B,69-42785-S,69-51688-B,69-63414-S,70-5656-S,70-6048-S,70-6757-S,70-6913-S,70-21176-S,70-24811-S,70-32989-S,70-40785-S,71-5639-S,71-27769-S,71-31571-S,71-32032-S,71-44623-S
xing Ji tuan	1-35489-S
xing Ke Ya shi zheng	59-10824-S
xing Xin cun	2-79477-S
xing ai	12-47415-S,24-61922-B
xing an	8-64551-B
xing an lin Di qu	17-32866-S
xing ba ke	31-29503-B
xing ba zuo	3-54633-S
xing bai liang	8-54054-S
