he2 xian4	1-37623-S,4-20466-S,22-56747-S,33-50157-S,37-45569-S,48-54140-S,66-33527-S,69-26418-S
he2 xiang1	33-20322-S
he2 xiang1 hu4 zuo4 yong4	33-61017-B
he2 xiao1	33-63150-B,57-29381-B
he2 xiao3 ti3	33-57086-B
he2 xie2	13-25421-B
he2 xie2 xing4	13-25464-B
he2 xie2 yi4	33-55944-B
he2 xie4 lou4	33-59510-B
he2 xin1	33-57596-B
he2 xin1 bu4 si3	1-72767-S
he2 xing1	1-32678-S
he2 xing4	39-19666-S,49-63540-S
he2 xu4	13-23891-B
he2 xu4 shu4	49-63595-S
he2 xue2	4-31530-S,7-27165-S,8-52853-S,20-35118-S,22-56527-S,24-18178-S,27-1472-S,35-27823-S,35-28145-S,57-50622-S,67-65968-S,71-27159-S
he2 yan3	12-35457-B
he2 ye4	12-37324-B,12-38265-B
he2 yi1	1-32471-S,12-31267-B,29-55650-S
he2 yi1 yi4 miao2	1-32533-S
he2 yi2	12-32900-B
he2 yi3	5-2269-B
he2 yi4	12-33464-B,12-37722-B
he2 yi4 sun3 xing4	33-58135-B
he2 yi4 ting2	12-37770-B
he2 yin1 xiang3	49-38050-S
he2 ying2	7-63167-S,12-35631-B
he2 ying3	12-33254-B
he2 yong4	12-36013-B
he2 yu2	12-34662-B
he2 yu2 shi2 yi2	12-31509-B
he2 yuan2	68-35827-S
he2 yuan2 ben3	22-56455-S
he2 yuan2 liao4	33-56004-B
he2 yuan4	14-47326-S
he2 yue1	12-36604-B,13-24634-B,17-34511-S
he2 zai4	5-2368-B
he2 zang4	12-37361-B
he2 zhan4	33-57706-B
he2 zhan4 dou3 bu4	33-57755-B
he2 zhang3	12-34451-B,29-22182-S
he2 zhao4	12-35578-B
he2 zhe2	12-37889-B
he2 zhe2 r5	12-37960-B
he2 zhen4	44-41607-S
he2 zheng1	49-63483-S
he2 zheng4 fu3	51-60066-S
he2 zheng4 mo2 xing2	33-62460-B
he2 zheng4 ti3	7-71345-S
he2 zhi1 fang2 suan1	2-36702-S,16-53721-S,69-7513-S
he2 zhi1 yuan2	33-58013-B
he2 zhi1 zhong4	40-35095-S
he2 zhi4	7-71239-S
he2 zhong3 yuan2 yin1	2-21039-S
he2 zhong4	12-36105-B
he2 zhong4 wei2 yi1	12-36299-B
he2 zhou1	25-38287-S
he2 zhu4	33-58284-B
he2 zhuan3 bian4	33-62716-B
he2 zhuang1 zhi4	33-61944-B
he2 zhun3	57-28945-B
he2 zi1	12-37844-B
he2 zi1 xun4 ding4 yue4	51-53877-S
he2 zi3	46-7511-S
he2 zi3 shi4	46-7643-S
he2 zi4 xuan2	33-61707-B
he2 zi5	33-56979-B,45-3528-B
he2 zi5 zhong1 xin1	35-29503-S
he2 zou4	12-32837-B
he2 zu1	12-36449-B
he2 zu3 zhi1	4-46841-S,49-58372-S,51-60521-S
he2 zuo1 huo3 ban4	12-31868-B
he2 zuo4	2-0-S,12-31779-B,15-2463-S,16-64220-S,17-25828-S
he2 zuo4 bu4	20-48647-S
he2 zuo4 hua4	12-31942-B,61-40953-S,61-41367-S
he2 zuo4 she4	12-32022-B,61-41657-S
he2 zuo4 yong4	7-7678-S,51-53706-S
he2 zuo4 zhe3	12-32129-B
he2 zuo4 zu3 zhi1	35-29011-S,35-29175-S
he3	2-23381-S
he4	3-3379-S,3-14873-S,4-39331-S,5-10697-B,7-1081-S,10-50498-S,12-20466-S,13-16097-S,13-21531-B,14-10074-B,14-23332-B,15-59114-S,16-32275-B,18-45656-S,22-10223-S,24-68498-S,25-3443-S,25-52544-S,25-59056-S,27-24260-S,29-23186-S,31-59135-B,33-9972-S,35-10501-S,35-16175-S,37-15523-S,37-30487-S,39-18218-S,40-24963-S,41-29877-S,42-13567-B,44-49839-S,46-55057-S,49-23687-S,51-19864-B,53-19999-S,53-31554-S,54-19580-B,57-7130-B,59-15745-S,59-32106-S,59-49671-B,60-7673-B,60-40370-S,61-7660-S,62-52080-S,63-43138-S,63-64164-S,65-23656-S,66-15374-S,68-52476-S,69-42329-S,69-52910-S,70-58512-B,71-33482-S
he4 Xi1 you2	69-50179-S
he4 cai1 xiang3	13-43080-S
he4 cai3	14-10311-B,14-10683-B
he4 cheng2 xian1	69-50084-S
he4 ci2	46-55121-S,59-50245-B
he4 dao4 cai3	14-10110-B
he4 de2	37-34685-S
he4 di2	63-8908-S
