Su ge lan nu: wang Ma li	55-39749-B
Su ha tuo	55-37902-B
Su ji	31-18091-S,31-18170-S,51-16784-S
Su jia tun	43-33544-B
Su jia tun qu	43-33642-B
Su jie jue xuan an da gang xie ding	2-81022-S
Su jin da	55-41838-B
Su la wei xi	55-39143-B
Su lai man	55-41238-B
Su li nan	55-41329-B
Su li shi	55-42222-B
Su lian	9-23488-S,11-35452-S,55-40837-B
Su lian Gong chan dang	55-40979-B
Su lian Zui gao Su wei ai	55-41084-B
Su lian zhi you she	55-40883-B
Su lu	55-40371-B
Su mei er	55-40780-B
Su men da la	55-41935-B
Su men da la dao	55-42027-B
Su mu gai te	55-38068-B
Su nan Yu gu zu zi zhi xian	52-2764-B
Su ni te you qi	55-38194-B
Su ni te zuo qi	55-38299-B
Su ning	52-3307-B
Su qian	20-248-B
Su qian shi	20-321-B
Su shan	55-40249-B
Su song	20-609-B
Su wa	55-40317-B
Su wei ai	55-40448-B,55-41084-S
Su wei ai E guo	55-40507-B
Su wei ai gong he guo	2-80662-S
Su wei ai she hui zhu yi gong he guo lian meng	55-40595-B
Su wu	19-66591-B
Su xian	19-67649-B
Su xian di qu	19-67701-B
Su yi shi	55-37606-B
Su yi shi he	55-37661-B
Su yi shi yun he	55-37728-B
Su yin	68-12698-S
Su zhou	19-66936-B,55-38404-B
Su zhou Da xue	55-38555-B
Su zhou di qu	55-38477-B
Su zhou he	53-64036-B
Su zhou hua	55-38722-B
Su zhou shi	19-67007-B,55-38638-B
Su1	1-41113-S
Su1 Bu4 qing1	55-39923-B
Su1 Dong1 po1	55-39362-B
Su1 Gong4	55-37846-B
Su1 Shi4	55-41516-B
Su1 Wu3	55-39976-B
Su1 Xun2	55-40084-B
Su1 Yi4 jian3	55-39235-B
Su1 Zhe2	55-41567-B
Su1 Zhen1 chang1	55-41447-B
Su1 ao4 zhen4	55-40135-B
Su1 bao4 an4	55-37952-B
Su1 bi4 li4 er3 Hu2	55-38837-B
Su1 dan1	55-37532-B
Su1 di2 man4 bei1	55-41618-B
Su1 e2	55-37802-B
Su1 er3	55-40204-B
Su1 fu4 bi3	55-38129-B
Su1 ge2 la1 di3	55-39556-B
Su1 ge2 lan2	55-39629-B
Su1 ge2 lan2 nu:3 wang2 Ma3 li4	55-39749-B
Su1 ha1 tuo1	55-37902-B
Su1 ji1	51-16784-S
Su1 jia1 tun2	43-33544-B
Su1 jia1 tun2 qu1	43-33642-B
Su1 jie3 jue2 xuan2 an4 da4 gang1 xie2 ding4	2-81022-S
Su1 jin1 da2	55-41838-B
Su1 la1 wei1 xi1	55-39143-B
Su1 lai2 man4	55-41238-B
Su1 li2 shi4	55-42222-B
Su1 li3 nan2	55-41329-B
Su1 lian2	9-23488-S,11-35452-S,55-40837-B
Su1 lian2 Gong4 chan3 dang3	55-40979-B
Su1 lian2 Zui4 gao1 Su1 wei2 ai1	55-41084-B
Su1 lian2 zhi1 you3 she4	55-40883-B
Su1 lu4	55-40371-B
Su1 mei3 er3	55-40780-B
Su1 men2 da2 la4	55-41935-B
Su1 men2 da2 la4 dao3	55-42027-B
Su1 mu3 gai4 te4	55-38068-B
Su1 ni2 te4 you4 qi2	55-38194-B
Su1 ni2 te4 zuo3 qi2	55-38299-B
Su1 shan1	55-40249-B
Su1 wa3	55-40317-B
Su1 wei2 ai1	55-40448-B,55-41084-S
Su1 wei2 ai1 E2 guo2	55-40507-B
Su1 wei2 ai1 gong4 he2 guo2	2-80662-S
Su1 wei2 ai1 she4 hui4 zhu3 yi4 gong4 he2 guo2 lian2 meng2	55-40595-B
Su1 yi1 shi4	55-37606-B
Su1 yi1 shi4 he2	55-37661-B
Su1 yi1 shi4 yun4 he2	55-37728-B
Su1 zhou1	55-38404-B
Su1 zhou1 Da4 xue2	55-38555-B
Su1 zhou1 di4 qu1	55-38477-B
Su1 zhou1 he2	53-64036-B
Su1 zhou1 hua4	55-38722-B
Su1 zhou1 shi4	55-38638-B
Su4	42-36514-S,70-41116-S
Su4 Yu4	48-51211-B
Su4 bei3 Meng2 gu3 zu2 zi4 zhi4 xian4	52-2625-B
Su4 ji1	31-18091-S
Su4 ji4	31-18170-S
Su4 nan2 Yu4 gu4 zu2 zi4 zhi4 xian4	52-2764-B
Su4 ning2	52-3307-B
Su4 qian1	20-248-B
Su4 qian1 shi4	20-321-B
Su4 song1	20-609-B
Su4 wu4	19-66591-B
Su4 xian4	19-67649-B
Su4 xian4 di4 qu1	19-67701-B
Su4 yin1	68-12698-S
Su4 zhou1	19-66936-B
Su4 zhou1 shi4	19-67007-B
Suan nai jie	63-44716-B
Suan shu	3-20312-S
Suan1 nai3 jie2	63-44716-B
Suan4 shu4	3-20312-S
Sui	66-38713-B
Sui Tang	66-38828-B
Sui Tang yan yi	66-38905-B
Sui Wen di	66-38995-B
Sui Wen di Yang jian	66-39086-B
Sui Yang di	66-39400-B
Sui bin	49-57026-B
Sui chang	62-35313-B
Sui chao	66-39261-B
Sui chuan	62-35104-B
Sui chuan xian	62-35171-B
Sui dai	66-38773-B
Sui de	49-56899-B
Sui fen he	49-57164-B
Sui fen he shi	49-57247-B
Sui hua	49-56596-B
Sui hua di qu	49-56663-B
Sui jiang	49-56960-B
Sui leng	49-57094-B
Sui liang	34-33897-S
Sui mo	66-39317-B
Sui ning	45-55694-B,49-56836-B,62-34943-B
Sui ning shi	62-35018-B
Sui ping	62-35250-B
Sui ren	41-33357-B
Sui ren shi	41-33397-B
Sui shu	66-39201-B
Sui xi	40-8084-B,62-35381-B
Sui xian	45-55759-B
Sui yang	49-57331-B
Sui zhong	49-56420-B
Sui zhong xian	49-56502-B
Sui zhou	66-43432-B
Sui zhou shi	66-43505-B
Sui1 ning2	45-55694-B
Sui1 xi1	40-8084-B
Sui1 xian4	45-55759-B
Sui2	66-38713-B
Sui2 Tang2	66-38828-B
Sui2 Tang2 yan3 yi4	66-38905-B
Sui2 Wen2 di4	66-38995-B
Sui2 Wen2 di4 Yang2 jian1	66-39086-B
Sui2 Yang2 di4	66-39400-B
Sui2 bin1	49-57026-B
Sui2 chao2	66-39261-B
Sui2 dai4	66-38773-B
Sui2 de2	49-56899-B
Sui2 fen1 he2	49-57164-B
Sui2 fen1 he2 shi4	49-57247-B
Sui2 hua4	49-56596-B
Sui2 hua4 di4 qu1	49-56663-B
Sui2 jiang1	49-56960-B
Sui2 leng2	49-57094-B
Sui2 mo4	66-39317-B
Sui2 ning2	49-56836-B
Sui2 shu1	66-39201-B
Sui2 yang2	49-57331-B
Sui2 zhong1	49-56420-B
Sui2 zhong1 xian4	49-56502-B
Sui2 zhou1	66-43432-B
Sui2 zhou1 shi4	66-43505-B
Sui4 chang1	62-35313-B
Sui4 chuan1	62-35104-B
Sui4 chuan1 xian4	62-35171-B
Sui4 liang2	34-33897-S
Sui4 ning2	62-34943-B
Sui4 ning2 shi4	62-35018-B
Sui4 ping2	62-35250-B
Sui4 ren2	41-33357-B
Sui4 ren2 shi4	41-33397-B
Sui4 xi1	62-35381-B
Sun Bin	19-15595-B
Sun Bin bing fa	19-15636-B
Sun Chuan fang	19-14443-B
Sun Ji hai	19-15542-B
Sun Jian	19-14610-B
Sun Quan	19-15393-B
Sun Wu	19-15454-B
Sun Wu kong	19-15241-B
Sun Wu zi	19-15493-B
Sun Yi xian	19-15769-B
Sun Zhong shan	19-14369-B
Sun wu	19-14544-B
Sun zi	19-14962-B
Sun zi Bing fa	19-15065-B
Sun zi ding li	19-15158-B
Sun1 Bin4	19-15595-B
Sun1 Bin4 bing1 fa3	19-15636-B
Sun1 Chuan2 fang1	19-14443-B
Sun1 Ji4 hai3	19-15542-B
Sun1 Jian1	19-14610-B
Sun1 Quan2	19-15393-B
Sun1 Wu3	19-15454-B
Sun1 Wu3 zi3	19-15493-B
Sun1 Wu4 kong1	19-15241-B
Sun1 Yi4 xian1	19-15769-B
Sun1 Zhong1 shan1	19-14369-B
Sun1 wu2	19-14544-B
Sun1 zi3	19-14962-B
Sun1 zi3 Bing1 fa3	19-15065-B
Sun1 zi5 ding4 li3	19-15158-B
Suo	49-26010-B
Suo Guo	49-26306-B
Suo bang da xue	49-27773-B
Suo duo	26-27996-B
Suo duo ma	26-28034-B,49-26355-B
Suo duo ma yu E mo la	26-28096-B
Suo duo ma yu Ha mo la	49-26404-B
Suo er	49-26860-B
Suo er zi bo li ping yuan	49-26920-B
Suo er zi bo li shi huan	49-27022-B
Suo fei ya	49-27597-B,51-49867-S
