you3 feng1	32-41637-B
you3 fu2	32-37772-B
you3 gong1 ji2 xing4	32-33986-B
you3 gong1 lun4	31-38042-S
you3 guan1	32-40446-B
you3 guan1 lian2	32-40840-B
you3 guan1 ren2 shi4	32-40549-B
you3 guan1 xi5	32-40649-B
you3 guan2 lian1	32-40760-B
you3 gui3	32-39904-B
you3 gui3 dian4 che1	32-39955-B
you3 hai4	32-31634-B
you3 hai4 wu2 yi4	32-31696-B
you3 hao3	11-43079-B
you3 hao4 qi2 xin1	32-31375-B
you3 he2	32-41592-B
you3 he2 guo2 jia1	32-34982-B
you3 hei1	71-37556-B
you3 hua4	7-60658-S,15-9828-S,47-12770-S
you3 hua4 yao4 shuo1	32-39499-B
you3 huo2 li4	32-36257-B
you3 ji1	32-35315-B,63-36599-B
you3 ji1 fen1 zi3	32-35355-B
you3 ji1 hua4 he2 wu4	32-35425-B
you3 ji1 hua4 xue2	32-35505-B
you3 ji1 lin2 du2 ji4	32-35652-B
you3 ji1 lin2 suan1 zhi3 lei4	32-35738-B
you3 ji1 ti3	32-35831-B
you3 ji1 wu4	32-35577-B
you3 jia4 zhi2	32-29975-B
you3 jiao4 wu2 lei4	32-34243-B
you3 jie2 guo3	32-38122-B
you3 jie2 zhi4	32-37948-B
you3 jin4 qu3 xin1	32-40024-B
you3 jin4 you3	25-60015-S
you3 jing1 shen2 bing4	32-38002-B
you3 jing1 yan4	32-38277-B
you3 jue2 xin1	32-36202-B
you3 jun1	11-43388-B
you3 ke3 neng2	32-30814-B
you3 ke3 wei2	17-21298-S
you3 ke3 wu2	12-14454-S
you3 ke3 yuan2	25-14466-S
you3 kong3 chong2	22-60301-S,32-31501-B
you3 kong4	32-37889-B
you3 kou3 wu2 xin1	32-30707-B
you3 kui4	13-62764-S
you3 lai4 yu2	32-39687-B
you3 li3	23-56964-S,32-35058-S
you3 li3 de5	32-35170-S
you3 li3 mao4	32-37818-B
you3 li3 shu4	32-36431-B
you3 li4	23-44340-S,32-30211-B,32-30415-B
you3 li4 ke3 tu2	32-30285-B
you3 lian2 xi4	32-38738-B,37-10832-S
you3 liang2 xin1	32-39091-B
you3 liang3 xia4 zi5	32-30028-B
you3 lu:4	11-12585-S,22-12290-S
you3 mei2 mu4	32-37493-B
you3 mei4 li4	32-41730-B
you3 mei4 li4 de5	32-41793-B
you3 ming2	32-31026-B
you3 ming2 ci2	20-39376-S
you3 ming2 wang2 shi2	32-31078-B
you3 ming2 wu2 shi2	32-31208-B
you3 mu4 gong4 du3	32-36896-B
you3 mu4 gong4 jian4	32-37053-B
you3 mu4 gong4 shang3	32-37212-B
you3 mu4 wu2 du3	32-37334-B
you3 nai4 jiu3 li4	32-38676-B
you3 neng2 li4	32-38918-B
you3 ou3	40-56859-S
you3 pai2 shi2 fen1	63-36451-B
you3 pin3 pai2	53-7097-S
you3 pin3 wei4	37-10095-S
you3 qi1 tu2 xing2	32-34855-B
you3 qi2 biao3	55-52848-S
you3 qi2 fu4 bi4 you3 qi2 zi3	32-30116-B
you3 qi2 shi4	46-33798-S
you3 qi2 zi3	32-30116-S
you3 qi3 ye4	15-9732-S
you3 qi4 pai4	32-36085-B
you3 qi4 ti3	47-27894-S
you3 qian2 neng2 shi3 gui3 tui1 mo2	32-40285-B
you3 qiang2 zhong1 shou3	23-42358-S
you3 qing2	11-43133-B,32-33174-B
you3 qing2 ren2 zhong1 cheng2 juan4 shu3	32-33225-B
you3 qu4	32-39754-B,67-9222-S
you3 quan2	26-28926-S,32-35882-B,43-21348-S
you3 quan2 wei1	32-35934-B
you3 r5	46-63925-S
you3 ren2	11-42996-B,27-56636-S,32-29640-B,37-9977-S
you3 ren2 qing2	32-29839-B
you3 ren2 xiang3 ni3	32-29891-B
you3 ren2 yan1	37-10028-S
you3 ren2 zai4	17-21109-S
you3 ren2 zai4 xiang3 ni3	32-29744-B
you3 ru2	32-31437-B
you3 se4	32-38812-S,32-39151-B
you3 se4 jin1 shu3	32-39292-B
you3 se4 ren2 zhong3	32-39222-B
you3 se4 yan3 jing4	26-23583-S
you3 shan4	11-43036-B
you3 shan4 bao4	14-3623-S
you3 she4	55-40883-S
you3 shen2 lun4	32-37586-B
you3 shen2 lun4 zhe3	32-37675-B
you3 shen2 me5	37-10413-S
you3 shen2 me5 bu4 ke3 neng2	37-10510-S
you3 sheng1 yi3 lai2	32-36521-B
you3 sheng1 you3 se4	32-38812-B
you3 sheng1 yu4 neng2 li4	37-10654-S
you3 shi2	32-34551-B
you3 shi2 hou5	32-34607-B
you3 shi2 jian1	32-34660-B
you3 shi3 yi3 lai2	32-30872-B
you3 shi4	37-9879-S
you3 shu4	24-30901-S
you3 shui3	32-36135-B
you3 sun3 ya1 suo1	32-33891-B
you3 suo3	32-33782-B
you3 suo3 hao4	12-29750-S
you3 suo3 wen2	31-40793-S
you3 tan2 xing4	32-32186-B
you3 ti2 dong4 wu4	32-39818-B
you3 tian1	45-16804-S
you3 tiao2	3-56157-S
you3 tiao2 wen2	32-35262-B
you3 tiao2 you3 li3	32-35058-B
you3 tiao2 you3 li3 de5	32-35170-B
you3 tong2 qing2 xin1	32-30957-B
you3 tong3 ji4 xue2 yi4 yi4	32-38176-B
you3 wang4	32-34718-B
you3 wei2	22-49859-S,32-36316-B
you3 wei4	32-31336-B,37-58939-S
you3 wen2 zhang1	17-21518-S
you3 wu4	26-29028-S
you3 xi1 wang4	17-21418-S,32-31967-B
you3 xi4 tong3	32-38067-B
you3 xian4	32-38334-B,32-40893-B
you3 xian4 dan1 yuan2	32-41174-B
you3 xian4 dian4 shi4	32-38484-B
you3 xian4 gong1 si1	2-61362-S,32-41090-B,37-1297-S
you3 xian4 qun2	32-41255-B
you3 xian4 xin1 wen2 wang3	32-38393-B,51-4325-S
you3 xian4 yuan2	32-40942-B
you3 xian4 yuan2 fa3	32-41012-B
you3 xiao4	12-66688-S,32-34052-B,49-60498-S
you3 xiao4 qi1	32-34167-B
you3 xiao4 xing4	32-34112-B
you3 xie1	32-29537-B
you3 xie1 ren2	32-29584-B
you3 xin1	32-32561-B
you3 xin1 ren2	32-32698-B
you3 xin1 yan3	32-32825-B
you3 xin1 yi4	32-34411-B
you3 xing2	32-32240-B
you3 xing2 zhuang4	37-10261-S
you3 xing4	32-32094-B
you3 xing4 qu4	32-39024-B
you3 xing4 sheng1 zhi2	32-33096-B
you3 xiong2 xin1	32-41374-B
you3 xu4	3-56796-S,32-32140-B
you3 xuan3 ju3 quan2	32-40217-B
you3 xue2 wen4	32-31582-B
you3 yan1 mei2	32-36375-B
you3 yao4 yin3 zhe3	32-39437-B
you3 yi1 ci4	32-29405-B
you3 yi1 dian3 r5	32-29469-B
you3 yi1 ge4 feng4 xian4 de5 nu:3 ren2	26-8394-S
you3 yi1 xie1	32-29346-B
you3 yi4	11-43262-B,32-33410-B,32-36801-B,65-31013-S
you3 yi4 chu5	32-36843-B
you3 yi4 feng1	11-43330-B
you3 yi4 shi2	32-33729-B
you3 yi4 si5	32-33549-B
you3 yi4 yi4	32-33627-B,60-41196-S
you3 yi4 zhi4	32-33482-B
you3 yin1 ying3	32-41321-B
you3 yin3 li4	54-45572-S
you3 ying1 de2	50-51879-S
you3 ying3 xiang3	32-32300-B
you3 yong4	32-36610-B
you3 yong4 xin1	9-3923-S
you3 yu2	32-41677-B,36-8681-S
you3 yu2 er2 li4 bu4 zu2	24-33952-S
you3 yu2 gu1	35-57830-S
you3 yu2 ji4	24-33838-S
you3 yu2 li4	56-33675-S
you3 yu4 mou2	32-41536-B
you3 yuan2	32-38558-B
you3 yuan2 su4	47-27814-S
you3 ze2 ren4	32-39575-B
you3 zhao1 yi1 ri4	32-34770-B
you3 zhe3	26-29082-S
you3 zhe5	32-39392-B
you3 zheng1 wu2 zhan4	32-32359-B
you3 zhi1 jue2	37-10766-S
you3 zhi4	7-60596-S,26-28812-S,32-32892-B,47-12697-S
you3 zhi4 qi4	32-32941-B
you3 zhi4 zhe3 shi4 jing4 cheng2	32-32994-B
you3 zhu3	26-28751-S
you3 zhu3 quan2	8-4944-S
you3 zhu4	32-30474-B
you3 zhu4 yu2	32-30547-B
you3 zhu4 yu2 ji4 yi4	32-30618-B
you3 zi1 ge2	32-39637-B
you3 zui4	32-38636-B
you3 zuo4 wei2	17-21195-S
you4	5-1246-B,5-21525-B,5-38573-S,11-41494-B,12-22881-B,12-62633-S,15-975-B,18-45343-S,18-48850-S,19-56532-B,20-25144-S,20-43733-S,21-15577-S,21-58105-S,22-7129-S,22-48525-S,22-54032-B,22-58590-S,23-30737-S,27-43566-S,33-44984-B,40-47106-S,46-52319-B,53-5310-S,53-17855-S,54-58054-S,55-59088-B,58-17479-S,58-23861-B,59-28404-S,63-52456-B,70-54871-B,71-26164-S,71-50558-B
you4 bian4 ji4	58-24475-B
you4 bian5	12-23532-B
you4 bian5 r5	12-23615-B
you4 ce4	12-22917-B
you4 chong2	22-54867-B
you4 dao3	58-24036-B
you4 dao3 fen1 mian3	58-24136-B
you4 di4	22-54307-B
you4 dong4	58-23902-B
you4 duo4	12-23486-B
you4 er2	18-62300-S,22-54060-B
you4 er2 yuan2	22-54098-B
you4 er3	58-24567-B
you4 fa1	58-24393-B
you4 fa1 la1 di3 he2 gu3	22-54592-B
you4 fang1	12-23253-B
you4 fen1 zhi1 guan1 xi4 cong2 ju4	12-23010-B
you4 fen4 zi3	34-34496-S
you4 feng2 yuan2	21-58371-S
you4 gou1 quan2	21-58180-S
you4 guai3	58-24298-B
you4 guai3 zhe3	58-24339-B
you4 hu4	5-1288-B
you4 huo4	58-24226-B
you4 ke1	71-50667-B
you4 lai2 le5	11-41630-B
you4 ma3	22-54908-B
you4 mei4	22-54213-B
you4 miao2	22-54799-B
you4 ming2	11-41689-B,22-64272-S
you4 nian2	22-54261-B
you4 nu:3	22-54170-B,71-23046-S
you4 pan4	21-59763-S
you4 qi2	15-33165-S,22-7217-S,30-47495-S,55-38194-S,66-3611-S,68-43759-S
you4 qian2 wei4	12-23131-B
you4 qing1	12-22960-B
you4 shi2	22-54355-B
you4 shou3	12-23208-B,21-58286-S
you4 shou4	22-54398-B
you4 shu3	71-50603-B
you4 shuo1 hui2 lai5	58-15897-S
you4 xia4	22-58667-S
you4 xian4	58-24527-B
you4 xiang3	21-58646-S
you4 xuan2	42-26982-S
you4 yi1 ci4	11-41555-B
you4 yi4	12-23413-B
you4 yi4 hou4 qi2	20-10633-S
you4 yi4 zhong1 qi2	20-10494-S,47-19824-S
you4 yin1	58-23955-B
you4 zhi4	22-54687-B
you4 zhi4 yuan2	22-54741-B
you4 zi5	33-45022-B
you5	3-70225-S,18-21046-S,18-28528-S,32-42111-S,43-46456-S,61-23473-S,63-40681-S
