jia4	1-30860-S,1-39952-S,1-60459-S,3-29097-S,4-30474-S,4-55377-S,4-59450-S,4-67508-S,5-20207-S,5-26000-B,5-41808-S,6-5499-B,6-52852-B,8-8727-S,8-35244-S,8-38153-S,8-39641-S,9-17675-S,9-28216-S,9-39249-S,9-51384-S,10-6449-S,10-11236-S,10-11858-S,10-20772-S,10-37693-S,10-46044-S,10-55085-S,11-22609-S,11-41965-S,12-16965-S,13-2587-S,13-53983-S,14-8620-S,14-11628-S,14-17181-S,16-8825-S,16-28712-S,16-31363-S,16-32623-S,17-39128-S,18-53701-S,18-57650-B,19-40582-S,19-43802-S,20-9053-S,20-44458-S,20-47267-S,21-20401-S,21-63992-S,22-11785-S,22-37561-S,22-63628-S,23-4850-S,23-64756-S,26-7624-S,26-26253-S,26-45769-S,26-51985-S,26-56868-S,27-42533-S,28-12924-S,28-37107-S,28-60450-S,29-38657-S,29-38753-S,29-41699-S,29-48954-S,29-61917-S,30-8822-S,31-32758-S,31-44560-S,31-59319-S,32-11168-S,33-39414-B,34-1224-S,34-3986-S,34-22494-S,34-23229-S,34-43813-S,34-50493-S,34-52319-S,34-53446-S,36-5876-S,36-9438-S,37-22053-S,38-66856-S,39-2079-S,39-53912-S,40-46746-S,41-35564-S,41-45706-S,41-53131-S,41-55945-S,42-50924-S,43-31224-S,44-8645-S,45-29578-S,47-36111-B,47-42538-S,48-316-S,48-15238-S,49-33533-S,49-55819-S,50-5853-S,50-31869-S,50-43941-S,51-65228-S,52-9968-S,52-43313-S,53-6592-S,56-42419-S,57-25137-S,57-62243-S,58-3514-S,58-7204-S,58-35506-S,58-40780-S,58-42282-S,59-3100-S,59-7132-S,59-37579-S,59-44942-S,60-15954-S,60-18038-S,60-34201-S,61-22363-S,62-17648-S,62-28909-S,62-38753-S,63-9606-S,63-37454-S,63-56137-S,63-60270-S,64-39502-S,64-39594-S,65-11850-S,65-30212-S,66-16940-S,66-18349-S,66-23189-S,66-33289-S,67-25703-S,68-20490-S,69-49135-B,70-462-S,70-11758-S,70-16186-S
jia4 Gong1 yue1	51-58855-S
jia4 Xue2 hui4	9-35543-S
jia4 beng1	69-49194-B
jia4 ceng2	6-53313-B
jia4 che1	69-49415-B
jia4 chuang2	29-23082-S
jia4 dian4 zi3	6-53762-B
jia4 fen1 lei4	58-7260-S
jia4 ge2	2-31214-S,6-53431-B,36-6313-S,57-32973-S
jia4 ge2 biao1 qian1	6-53469-B
jia4 ge2 biao3	6-53535-B
jia4 ge2 zhi3 shu4	21-18847-S,38-32271-S
jia4 ge2 zi5	34-22548-S
jia4 gou4	1-27517-S,33-39616-B,50-9562-S
jia4 he4 Xi1 you2	69-50179-B
jia4 he4 cheng2 xian1	69-50084-B
jia4 huan2 jia4	57-62243-S
jia4 huo4 yu2 ren2	18-57952-B
jia4 ji1 sui2 ji1	18-58090-B
jia4 jian4	6-53715-B,7-70589-S
jia4 jiao1 huan4	2-23588-S
jia4 jie1	18-57884-B
jia4 kuan3	6-53590-B
jia4 lin2	69-49311-B
jia4 lin2 qu1	46-61662-S
jia4 mu4	6-53629-B
jia4 neng2	29-62035-S
jia4 qi1	6-8479-B,56-4731-S
jia4 qi2 qu1	2-48124-S
jia4 qian5	6-53676-B
jia4 qin1 zheng1	24-12606-S
jia4 qing1 jiu4 shu2	69-49464-B
jia4 qu3	18-57843-B
jia4 r5	28-13010-S
jia4 ren2	18-57693-B
jia4 ri4	6-8423-B
jia4 shi3	40-46185-S,69-49740-B
jia4 shi3 cang1	69-49955-B
jia4 shi3 ren2	69-49782-B
jia4 shi3 yuan2	69-49831-B
jia4 shi3 zheng4	69-50022-B
jia4 shi3 zhi2 zhao4	69-49882-B
jia4 shi5	33-39490-B
jia4 tiao2	6-8583-B
jia4 yu4	67-13883-S,69-49688-B
jia4 yuan2	6-53205-B
jia4 zhao4	69-49260-B
jia4 zhen1 zhu1	40-46872-S
jia4 zhi1 bao3	40-46799-S
jia4 zhi2	3-69230-S,5-14528-S,6-52957-B,9-29995-S,12-57939-S,13-58491-S,32-29975-S,41-32647-S,55-34799-S
jia4 zhi2 gong1 cheng2	6-53071-B
jia4 zhi2 guan1	6-53147-B
jia4 zhi2 zeng1 zhi2	6-53002-B
jia4 zhi3 shu4	41-53182-S
jia4 zhuang1	18-57752-B
jia4 zi3	29-30092-S
jia4 zi5	19-42024-S,28-59691-S,33-39558-B,53-16747-S,70-2357-S
jia4 zuo4	50-41867-S
jia5	4-8396-S,18-52351-S,27-60440-S,54-21680-S,57-38683-S
jia5 dao1	27-60483-S
jia5 di4	54-21725-S
jia5 han4	54-21792-S
