shui3	1-44971-S,1-51245-S,1-60832-S,2-33604-S,3-56645-S,5-22549-S,5-24520-S,5-48284-S,5-60392-S,6-59338-S,7-68512-S,8-18351-S,8-20903-S,8-21629-S,8-40515-S,10-38635-S,11-50948-S,11-68477-S,12-34984-S,12-41056-S,12-67912-S,13-3883-S,13-30209-S,13-60709-S,15-37948-S,15-44713-S,15-46665-S,16-28629-S,17-24423-S,17-48972-S,18-5531-S,18-23992-S,18-32123-S,19-44337-S,21-15087-S,21-30807-S,23-9185-S,23-14070-S,23-21748-S,24-4274-S,25-18273-S,25-22170-S,26-25878-S,27-5827-S,27-35260-S,27-35393-S,27-37181-S,28-16885-S,30-8944-S,30-29405-S,31-25068-S,32-5001-S,32-36135-S,33-38577-S,33-44372-S,33-45190-S,34-7839-S,35-15506-S,35-47347-S,36-37779-B,36-62941-S,36-64638-S,37-824-S,37-2352-S,37-2696-S,37-3136-S,37-3997-S,37-20133-S,37-21790-S,37-28467-S,37-35525-S,37-55041-S,37-58440-S,37-59532-S,37-61324-S,38-4364-S,38-9069-S,38-20681-S,38-37593-S,38-39360-S,38-42848-S,38-43493-S,38-46115-S,38-48097-S,38-50357-S,38-52653-S,38-56838-S,38-62215-S,39-1485-S,39-5151-S,39-13750-S,39-14312-S,39-18970-S,39-25238-S,39-28844-S,39-32163-S,39-34498-S,39-43480-S,39-44313-S,39-50355-S,39-51646-S,39-54071-S,39-56712-S,39-59201-S,39-63160-S,40-0-S,40-1998-S,40-13512-S,40-15196-S,40-16119-S,40-17356-S,40-18375-S,41-19991-S,42-35659-S,43-22295-S,43-26448-S,44-40844-S,44-47385-S,45-49347-S,45-51742-S,46-25761-S,46-44434-S,46-44535-S,47-57091-S,48-29346-S,48-61019-S,49-9010-S,49-41612-S,50-28082-S,50-49336-S,51-70-S,51-15384-S,51-18739-S,51-36492-S,51-48270-S,52-14291-S,52-33435-S,52-48939-S,53-953-S,53-21354-S,53-50235-S,54-50114-S,55-2421-S,55-4706-S,55-26743-S,55-34295-S,55-34377-S,55-38960-S,56-6398-S,56-19623-S,56-26195-S,56-27146-S,56-40850-S,59-20808-S,59-25493-S,59-48329-S,60-6475-S,60-12222-S,60-34665-S,60-44774-S,60-48182-S,61-10981-S,61-67384-S,62-970-S,63-35170-S,63-61105-S,65-3798-S,65-38061-S,65-61799-S,66-17186-S,66-66756-S,67-14486-S,67-47214-S,67-54766-S,68-19113-S,68-25332-S,68-55283-S,68-62063-S,69-6090-S,69-6452-S,69-26366-S,69-36405-S,70-4629-S,71-3553-S,71-9567-S,71-20317-S,71-30920-S,71-40140-S
shui3 Li2 zu2 zi4 zhi4 xian4	66-30881-S
shui3 Miao2 zu2 zi4 zhi4 xian4	56-11042-S
shui3 ba4	36-40307-B
shui3 beng4	27-17275-S,36-42771-B
shui3 bian1	36-47122-B
shui3 biao3	36-46510-B
shui3 bing1	36-38889-B
shui3 bing4	24-69431-S
shui3 bo1	36-42678-B
shui3 bu4 fan4 he2 shui3	3-56645-S
shui3 bu4 fan4 jing3 shui3	37-20133-S
shui3 bu4 jie3 jin4 ke3	62-61567-S
shui3 bu4 lou4	39-32924-S,71-40283-S
shui3 bu4 xing2	15-35976-S
shui3 cai3 hua4	36-41001-B
shui3 cao2	36-42301-B
shui3 cao3	36-45774-B
shui3 chan3	36-44542-B
shui3 chan3 ye4	36-44601-B
shui3 chang1 pu2	36-45857-B
shui3 chang2	21-33595-S
shui3 che1	40-18420-S,68-53606-S
shui3 che1 xin1	33-13633-S
shui3 chi2	14-37078-S,36-42465-B
shui3 chu3 li3	36-46164-B
shui3 chu3 li3 chang3	36-63034-S
shui3 chu4	59-41543-S
shui3 chuan1 ci4	51-120-S
shui3 chuan1 shi2	39-33298-S
shui3 dai4	41-20227-S
shui3 dao1	39-59241-S
shui3 dao4	1-61085-S,36-45068-B,36-47079-B
shui3 di1	36-43316-B
shui3 di1 shi2 chuan1	36-43354-B
shui3 di3	36-40749-B
shui3 di3 xiang4 ji1	36-40884-B
shui3 di3 xie3 zi4 ban3	36-40793-B
shui3 di4 qu1	17-49047-S,56-40925-S,71-9641-S
shui3 dian4	36-47720-B
shui3 dian4 zhan4	19-61539-S,36-47775-B
shui3 diao1	36-46635-B
shui3 dou4	36-44773-B
shui3 er5	16-28666-S
shui3 fan3 ying4 dui1	61-11112-S,63-61196-S
shui3 fei4	36-45547-B,36-46742-B
shui3 fei4 xi4 tong3	20-5906-S
shui3 fen4	16-59840-S,36-38948-B
shui3 fu1 bing4	39-59353-S
shui3 fu1 zheng4	39-59416-S
shui3 fu2 rong2	8-40597-S
shui3 gang1	36-45376-B
shui3 gong1 cheng2	23-29090-S
shui3 gou1	28-16978-S
shui3 guan3	6-59387-S,28-17030-S,36-45113-B,53-1021-S,54-50247-S,61-17750-S
shui3 guan3 gong1	36-45159-B
shui3 guan3 gong1 ren2	36-45214-B
shui3 guo3	36-41913-B
shui3 guo3 jiu3	36-41953-B
shui3 hai4	36-40389-B
shui3 he2	36-39584-B,38-62280-S
shui3 heng2 zhi1	36-42340-B
shui3 hu2	36-40349-B,38-43583-S,71-3889-S
shui3 hu3 hou4 zhuan4	36-43826-B
shui3 hu3 zhuan4	36-43602-B
shui3 hua4 he2 wu4	46-32025-S
shui3 huo3 bu4 rong2	36-43903-B
shui3 huo4	3-38942-S,36-46693-B
shui3 ji1	27-17219-S,52-33532-S,69-6221-S
shui3 jiang1	8-21720-S
shui3 jiang1 zi4 ran2 bao3 hu4 qu1	44-40909-S
shui3 jiang4	37-43079-S
shui3 jiao3	36-47897-B
shui3 jiao3 r5	36-47961-B
shui3 jie2	39-56895-S
shui3 jie3	36-46582-B
shui3 jie3 mei2	16-17145-S,37-16164-S
shui3 jing1	36-41528-B,49-28838-S,71-20428-S
shui3 jing1 qiu2	36-41637-B
shui3 jing3	36-38406-B
shui3 jiu4 bu5 liao3 jin4 huo3	62-61757-S
shui3 keng1	36-39963-B,36-62981-S
shui3 ku4	1-34052-S,19-41665-S,36-40958-B
shui3 lao3 ya1	36-45477-B
shui3 lei2	36-47675-B
shui3 li3	1-61022-S
shui3 li4	36-38999-B,36-39147-B
shui3 li4 fa1 dian4	36-39292-B
shui3 li4 fa1 dian4 zhan4	36-39364-B
shui3 li4 gong1 cheng2	36-39067-B
shui3 li4 gu3 feng1	36-39457-B
shui3 li4 xue2	36-39237-B
shui3 liang4	28-17097-S,36-47265-B,66-17263-S
shui3 ling3	8-55718-S
shui3 liu2	36-42950-B
shui3 long2 tou2	36-48131-B
shui3 lou2 tai2	61-48430-S
shui3 lu4	36-46982-B
shui3 lu4 shi1	36-47535-B
shui3 lun2	36-47024-B
shui3 lun2 liu2	68-55336-S
shui3 lun2 liu2 zhuan4	68-55421-S
shui3 luo4 shi2 chu1	36-45944-B
shui3 ma3 long2	60-59203-S
shui3 ma3 tong3	27-17333-S
shui3 mi4 tao2	36-46384-B
shui3 mian4	36-47848-B
shui3 mo1 yu2	38-54113-S,39-7964-S
shui3 mo4	36-40137-B
shui3 mo4 hua4	36-40193-B
shui3 mu3	36-42422-B
shui3 neng2	36-45596-B
shui3 neng2 yuan2	36-45651-B
shui3 ni2	36-42731-B,44-41066-S,46-22282-S,64-40737-S,64-41892-S
shui3 nian3	36-44977-B
shui3 niao3	36-48083-B,38-35195-S
shui3 niu2	36-44161-B
shui3 nuan3 gong1	36-41715-B
shui3 pao4	36-42629-B,36-44842-B,53-52396-S
shui3 pao4 bing4	59-25777-S
shui3 pen2	36-44884-B
shui3 ping2	7-6131-S,31-60197-S,36-40553-B,37-11016-S,41-20153-S,43-22568-S
shui3 ping2 jia4	16-28712-S
shui3 ping2 kao3 shi4	39-51086-S
shui3 ping2 mian4	36-40696-B
shui3 ping2 zhou2	36-40635-B
shui3 qi1	33-38639-S,36-42095-B
shui3 qi4	36-42569-B,41-20034-S
shui3 qian1 shan1	54-45956-S
shui3 qing2	70-37140-S
shui3 qiu2	36-44309-B
shui3 qiu2 chang3	36-44354-B
shui3 qu1	39-1633-S
shui3 qu2	28-16925-S,36-43061-B
shui3 qu2 dao4	21-15166-S
shui3 quan1	36-39636-B
shui3 r5	37-55099-S,55-34432-S
shui3 ren2 qing2	68-25384-S
shui3 rong2 xing4	36-43239-B
shui3 shan1	36-41787-B
shui3 shang4	36-37827-B
shui3 shang4 fei1 ji1	36-38070-B
shui3 shang4 yun4 dong4	36-37880-B
shui3 she2 zuo4	36-46224-B
shui3 shen1	36-42997-B
shui3 shen2	36-45023-B
shui3 sheng1 chan3	63-61292-S
shui3 shi1	10-33160-S,21-30852-S,36-40498-B
shui3 shi1 xue2 tang2	69-36481-S
shui3 shi2 chuan1	39-33050-S
shui3 shi4	7-68606-S,17-49144-S,56-41022-S,71-9737-S
shui3 shou3	36-41187-B
shui3 si1 yuan2	69-6139-S
shui3 ta3	36-44209-B
shui3 tan1	8-21802-S
shui3 ti3	36-48036-B
shui3 tian2	36-44658-B
shui3 tian2 jie4	36-44716-B
shui3 ting3	39-59534-S
shui3 tong3	36-42053-B
shui3 tu3	2-15376-S,36-39715-B
shui3 tu3 bao3 chi2	36-39890-B
shui3 tu3 bu4 fu2	36-39820-B
shui3 tu3 zhi4	52-59951-S
shui3 tui1 chuan2	68-25632-S
shui3 tui1 zhou1	68-25473-S
shui3 wang3 di1 chu4 liu2	36-41067-B
shui3 wei4	36-38676-B
shui3 wen2	36-41244-B
shui3 weng4 cai4	36-46073-B
shui3 wu1 ran3	36-42509-B
shui3 xi1	36-46452-B
shui3 xi4	36-45327-B
shui3 xia4	36-38136-B
shui3 xia4 he2 bao4 zha4	36-38196-B
shui3 xia4 he2 shi4 yan4	36-38316-B
shui3 xian1	14-4367-S,36-38454-B,36-38836-B
shui3 xian1 hua1	36-38611-B
shui3 xian4	1-37168-S,5-48352-S,8-55787-S,12-41119-S
shui3 xiang1	3-39015-S,6-59495-S,36-44924-B,36-45280-B,47-11540-S
shui3 xiang1 feng2	54-41668-S
shui3 xie4 bu4 tong1	36-42817-B
shui3 xing1	36-41476-B
shui3 xing2 zhou1	61-67446-S
shui3 xing4	51-36537-S,57-39693-S,62-1037-S
shui3 xue1	38-35108-S
shui3 ya1	36-40259-B
shui3 yang2 suan1	36-42152-B
shui3 yi1	39-59591-S
shui3 yi1 ge4 pao4	1-23668-S
shui3 yi1 zhan4	52-18052-S
shui3 yi4 chuan2	36-45421-B
shui3 yin2	36-47334-B
