king of cats	59-28176-B
king of kings	61-29198-S,61-29315-S
king of korean choson dynasty	2-38496-S
king of korean yi dynasty	33-2632-S
king of morocco	47-37936-S
king of the eastern sea in mythology	71-60983-S
king or emperor	19-57571-S,21-44992-S,36-56114-S,69-49194-S
king or emperor to abdicate	62-34177-S
king or feudal warlord	19-63874-S
king s horses and all the king s men	10-50654-S
king s men	10-50654-S
king sihanouk of cambodia	27-25996-S,57-14282-B
king songtsen gampo or songzain gambo in lhoka prefecture	70-27197-S
king wen of zhou state c 1152 1056 bc	13-12042-B
king wu of zhou	13-13077-B
king wu of zhou 1043	13-13008-B
king wu of zhou1 overthrows tyrant zhou4 of shang	35-47974-B
king xiaocheng of zhao 趙國 赵国	19-9674-B
king xuan	13-11449-B
king xuan of qi reigned 342 324 bc	71-53624-B
king zhou of shang 11th century bc	13-61165-B
king zhuang of chu reigned 613 591 bc	34-30497-B
kingdom	2-52539-S,6-3152-S,10-1123-S,14-45072-S,17-33389-S,42-33736-B,51-60360-S,53-25318-S,54-2002-S,54-2134-S,54-4242-S,54-28468-S
kingdom 1851 1864	17-58164-S
kingdom 18bc 660 ad	44-54843-S
kingdom 738 937 in southwest china and southeast asia	11-3288-S
kingdom destroyed by war	3-65946-S
kingdom during spring and autumn period	69-16668-S
kingdom hall	42-33841-B
kingdom in northwest india	42-1562-S
kingdom in somalia	32-55749-S
kingdom lu	70-40126-S
kingdom monera	11-33806-B
kingdom of heaven	17-45135-B
kingdom of kampuchea or cambodia	45-44445-S
kingdom of naples 1282 1860	63-16069-B
kingdom of the netherlands	54-20059-B
kingdom taxonomy	43-47408-B,43-47581-B,60-21963-S
kingdom that took over as qing dynasty in 1644	24-2637-S
kingdom that took over as the qing dynasty in 1644	64-8410-S
kingdoms	1-32939-S,1-33134-S,3-47261-S,3-54314-S,38-38850-S,56-2134-S,60-29277-S,69-41119-S
kingdoms 304 329	9-24207-S
kingdoms 304 347	26-10564-S
kingdoms 304 439 by cui hong 崔鴻 崔鸿	10-44784-S
kingdoms 314 376	9-21602-S
kingdoms 319 350	24-1891-S
kingdoms 351 395	9-22508-S
kingdoms 384 409	24-621-S
kingdoms 384 417	24-820-S
kingdoms 385 431	57-21238-S
kingdoms 386 403	24-344-S
kingdoms 397 414	11-979-S
kingdoms 398 410	11-1834-S
kingdoms 398 439	10-34099-S
kingdoms 400 421	57-19624-S
kingdoms 407 432	16-40012-S
kingdoms 409 436	10-34396-S
kingdoms after the fall of the han dynasty	56-1999-S
kingdoms and dynasties at different periods	34-9061-S
kingdoms in which zhao yun 趙雲 赵云 charges seven times through the ranks of cao cao s armies	65-12079-S
kingdoms of five non han people ruling most of china 304 439	3-53358-S,10-44624-S
kingdoms or dynasties with varying roles	2-45332-S
kingdoms period	33-16548-S
kingdoms period after the break up of the han 220 280	1-33013-S
kingdoms period between tang and song 907 960	3-46892-S
kingdoms period following the break up of the han 220 280	1-32791-S
kingdoms periods in korean history	1-32791-S
kingdoms 三國演義 三国演义 in which liu bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
kingdoms 前燕 337 370	9-21977-S
kingfish rachycentron canadum	60-65484-S
kingfisher	51-19365-B,71-346-S
kings	1-707-S,1-29611-S,3-14932-S,3-32275-S,7-4599-S,7-4684-S,7-4768-S,7-4851-S,8-67083-S,8-67160-S,8-67236-S,8-67313-S,46-58119-S,59-58283-S,61-29198-S,61-29315-S
kings from the east in the biblical nativity story	1-30402-S,33-19070-S
kings sanskrit vajra	14-47845-S
kingship	42-32892-B
kingston upon hull	60-8577-B
kingstown capital of saint vincent and the grenadines	64-10708-B
kinky	38-45670-B
kinmen or quemoy islands off the fujian coast	64-16882-B,64-16961-B
kinshasa capital of zaire	64-11977-B
kinsman	43-46102-B
kio daily	54-32010-S
kiosk	4-4151-B,16-8613-B,21-1104-B,32-9786-S
kippur or day of atonement jewish holiday	60-4779-S
kippur war of october 1973 between israel and her arab neighbors	60-4870-S
kiribati	16-1137-B,16-17286-S
kiribati formerly the gilbert islands	16-1517-B
kirin in northeast china	12-40707-S,12-40969-S
kirkenes city in finnmark	22-21089-B
kirschtorte	71-30702-S
kirzlesu river in xinjiang	7-15779-B
kisangani city in the democratic republic of the congo	15-69832-B
kiss	13-6761-B,26-41790-S,28-25713-B,57-37612-S,57-38266-B,57-40530-S,68-62895-S
kiss as lovers	57-38347-S
kiss up to	60-31497-S
kissinger 1923 	16-1451-S
kiswahili	30-41877-B
kit	10-22244-S,35-13632-S,35-13689-S
kitchen	12-7259-S,22-35751-S,22-61282-B,23-6214-B,23-6426-B
kitchen counter	38-5015-B
kitchen implement for grating vegetables	46-43678-S,46-43769-S
kitchen sink	37-53935-B
kitchen stove	40-26418-B
kitchen utensil	50-5792-S,64-57346-S
kitchen worker	40-28078-B
kitchen 成语 saw	60-25771-S
kite	49-23648-B,49-23731-B,68-56618-B
kite small hawk	70-53198-B
kite with cut string 成语 saw	30-60108-S
kith and kin	57-39487-B
kitsch	48-48869-B
kitten	21-901-B,59-27988-B
kitten mountain	59-28027-B
kitts and nevis	22-6688-S,51-45439-S
kitty	59-28138-B
kitty hawk us aircraft carrier	21-2822-B
kiwi fruit	18-1248-B,23-51549-B,42-26635-B
kiyoō 1902 1995	13-25537-S
kizilsu kyrghiz autonomous prefecture in xinjiang	7-15350-S,7-15462-S,7-15594-S
klang city in malaysia	22-8793-B
klaus name	7-15090-S
klebs loeddler bacillus the diphteria bacterium	44-37316-B
klebsiella	7-19889-B
klebsiella pnenmoniae	52-14916-B
kleenex	55-19613-B
klein 1849 1925	7-18111-S
klein or kline name	7-18111-B
klein s erlangen program 1872 on geometry and group theory	15-59655-S
klemens freiherr von ketteler	7-17125-B
kliment voroshilov 1881 1969	4-54375-B
kline name	7-18111-S
klystron electronic tube used to produce high frequency radio waves	62-17241-B
km	63-54405-S
km 	54-4691-S
km or 33 33 meters	22-12856-S
km southwest of alaska almost down to kamtchatka	66-9774-S
kmb	3-19082-S
kmt	15-11017-B
knack	41-16224-S,65-21183-B
knack for good business	43-29895-S
knack of doing sth	47-59321-S,47-59417-S
knack or trick esp scheme to get sth cheaper	65-22907-S
knapsack	52-16949-B,52-17491-S
knead	28-3101-S,28-35465-S,28-51748-S,28-53521-B
knead clay	28-35566-S
knead dough	28-52061-S
knead dough for bread	13-25791-S
knead leather	28-35514-S
knead to a pulp	28-34613-S
kneading or chopping board	34-4432-B
knee	52-47572-B,52-47749-B
knee breeches	46-211-B
knee pads	56-50750-B
knee 成语 saw	10-62423-S,18-23465-S
kneecap	52-53176-B,70-10815-B,70-10845-B
kneel	1-63212-B,60-40526-B,60-46072-B
kneel and kowtow to one another	3-68646-S
kneel and worship	60-40777-S
kneel down	60-40554-S,60-40654-S
kneel in prayer	60-40909-S
kneel three times and kowtow nine times formal etiquette on meeting the emperor	1-42832-S
kneeling	50-53556-S,60-40841-S
kneeling by bride and groom in a old fashioned wedding ceremony	27-45442-S
kneeling to heaven and earth by bride and groom in a old fashioned wedding ceremony	27-45189-S
kneepad	68-11091-B
knees	27-44849-S,44-34643-S,60-40654-S,67-626-S
knees drawn up	56-5595-S
knell	14-13586-B,30-13373-S
