block reinforcements	65-64435-S
block the ears and eyes 成语 saw	28-33271-S
block up	16-13772-S
blockade	6-23037-S,20-34148-B
blockage	5-58742-S,5-58954-S,8-17180-S,8-17248-S,16-13816-B,34-13502-B
blockage in water course	39-65152-S
blockbuster	31-64390-S
blockbuster movie	17-27350-B
blocked	11-64975-B,35-41702-S
blocked nose	71-51146-S
blocked or painful urination	65-55862-S
blocked up	2-33682-S
blocker used to treat high blood pressure	24-32275-S,31-50890-S
blockhead	35-14847-B,56-21802-B,69-51209-S
blockhouse	46-27290-B
blocking	65-27677-B
blocking agent	31-53147-S
blocks	9-29477-S,34-13079-S,47-39553-S,54-33652-S
blocks for printing	9-14708-S,9-14853-S
bloemfontein	22-18385-B
blog	11-7248-B,50-7608-B,50-9139-B
blog phonetic	63-23298-B
blogger	11-7248-B
blogger 博客	19-51050-S
blond	64-17797-B
blonde	44-42651-B
blood	5-22997-S,8-23123-S,8-28005-S,12-59222-S,13-4428-S,13-29469-S,14-29882-B,24-38802-S,27-17795-S,28-4324-S,33-10590-S,34-40777-B,36-22610-S,38-5756-S,41-21559-S,42-26248-S,42-62057-S,42-62153-S,44-16700-S,44-32737-S,49-16613-S,50-49431-S,56-23774-B,56-24227-S,56-25118-S,56-25322-S,56-26195-S,56-26195-S,56-26360-S,56-26513-S,56-26648-B,56-26763-S,56-26828-S,56-27338-S,56-28854-S,56-30143-S,56-30308-B,56-30539-S,56-59324-S,57-37612-S,61-18044-S,70-1606-S,70-2091-S,70-43428-B
blood after killing sb	56-23856-S,56-29852-S
blood and essential breath 血氣 血气 of traditional chinese medicine	4-15449-S
blood and qi 氣 气	27-33756-S
blood and sweat	56-25389-S,56-26253-B
blood and tears	56-26909-B
blood and vital breath	56-25929-B
blood bank	56-24978-B
blood bath	21-23528-B,56-26513-B
blood brain barrier	52-40838-B
blood bright red tree resin	56-27736-S
blood cell	2-71653-S,14-24687-S,14-24802-S,20-61786-S,44-43997-S,44-45988-S,48-48396-S,49-12160-S,49-13068-S,56-28099-B
blood cells due to alloimmune reaction between mother and fetus	39-24544-S
blood cells leading to anemia	39-24451-S
blood clot	8-27828-B,8-28412-B,44-16456-S,56-25640-B
blood congestion	7-241-B
blood corpuscle	56-27280-B
blood donor	5-23047-B,28-4394-B,42-26298-B
blood e g for a test	27-17795-S
blood esp after childbirth	56-25196-S
blood fat disease	70-21008-S
blood flow	7-241-S,56-26469-B
blood flowing to float pestles 成语 saw	56-26513-S
blood flying 成语 saw	56-28506-S
blood function of bone marrow	62-19115-S
blood generating stem cells in bone marrow	62-19188-B
blood group	56-24453-B
blood in medicine	66-49560-S
blood in one s stool	5-30093-S
blood in sacrifice	63-51990-S
blood in the pleural cavity	56-28744-B
blood in traditional chinese medicine	56-30227-S
blood is thicker than water	56-27146-B
blood leaking into surrounding tissue	44-16700-S
blood loss	17-67095-B
blood loss anemia	17-67139-B
blood obstruction	56-24549-B
blood of a sacrificial fowl which was sprinkled on doors and vessels	56-30445-S
blood of christ	51-52911-S
blood of molluscs etc with a respiratory function similar to hemoglobin	56-29282-S
blood on the men s swords 成语 saw	8-519-S
blood or other fluids	44-16612-S
blood orange	49-10577-B
blood oxygen level	56-26118-B
blood pigment	56-29068-S
blood plasma	56-27098-B
blood platelet	56-24722-B
blood pressure	4-69481-S,24-32275-S,24-38337-S,24-38630-S,29-42098-S,31-50890-S,52-29483-B,53-31010-S,56-24599-B,70-21408-S
blood pressure meter	56-24646-B
blood products	56-29580-B
blood purge	56-26416-B
blood relation	56-28382-B,56-29639-B,70-1606-B
blood relations	56-25118-B
blood sacrifice	56-27640-B
blood sacrifice arch 	53-29373-S,63-51926-S
blood serum	56-27003-B,56-60290-S
blood shed in a just cause	46-30011-B
blood soaked	38-15000-B
blood spilt into surrounding tissue	44-16456-S
blood stasis in traditional chinese medicine	46-54454-S
blood sucking vermin	13-4474-B
blood sugar level	70-21484-S
blood symbol of extreme suffering	56-26909-S
blood test	69-58848-B
blood tumor	56-27500-B
blood two basic bodily fluids of chinese medicine	36-29955-S
blood type	15-56395-S,56-24453-B
blood used in medical research	56-29766-S
blood vessels	50-6212-S,52-30078-S,56-27500-S,56-28807-B
blood 成语 saw	14-29882-S,56-24109-S,56-28630-S
bloodbath	56-26360-B
blooded animal	8-23123-S,8-23190-S,39-23144-S,41-21559-S,59-10247-S
bloodline	56-28338-B
bloodline i e parentage	56-25929-B
bloodstain	56-26317-B,56-27055-B,56-29920-B
bloodstain evidence	56-29692-B
bloodstained	56-29963-B
bloodstained shirt	56-29512-B
bloodstone	67-8213-B
bloody	35-62583-B
bloody and cruel	35-62680-B
bloody atrocities that cry to heaven	6-43703-B
bloody battle	56-25021-B
bloody events	56-28854-B
bloody garment	56-29465-B,56-29512-B
bloody mouth from devouring freshly killed prey	56-24026-B
bloody nose and a swollen face	71-52376-S
bloody path out of a battlefield	56-30030-S
bloody tragedy	56-26828-B
bloom	7-40006-S,12-61056-S,44-56695-S,53-61486-B,55-4922-S,60-6539-S,65-36192-S,65-40992-S
bloom abundantly	65-38581-S
bloomberg l p	23-57294-B
blooming	45-6298-B
blooming or display of brilliance	41-6302-S
blossom	34-3388-S,34-11860-S,50-38061-S,51-11211-B,53-54280-B,54-30879-S,65-40992-S
blossom everywhere	62-42399-B
blossom fist chinese martial art	34-11906-S
blossom of poem or art	53-50235-S
blossom 成语 saw	33-50232-S
blossoms	33-6879-S,47-41246-S
blossoms in the garden of literature	30-30569-S
blot	36-63218-B
blot out	27-15798-S
blot out at one stroke	1-16717-S
blouse	1-55542-B,18-22445-B,57-12048-B
blow	9-8684-S,13-4943-S,14-6357-S,26-45023-S,28-2822-S,29-20069-S
blow a brass instrument	13-6563-S
blow a flute	71-63853-S
blow a kiss	68-62895-S
blow air into	13-5837-S
blow apart the hairs upon a fur to discover any defect 成语 saw	13-5675-S
blow as of wind	68-59901-B
blow cold	13-5114-S
blow dry	13-5068-S
blow hot and cold	32-47262-S
blow nose	29-25719-B
blow of the wind	68-59535-S
blow off steam	12-60399-S
blow on the head etc	64-11065-S
blow one s own trumpet	53-3557-S
blow or breathe upon to smile	35-22739-S
blow out	13-10032-S
blow out a flame	13-5889-S
blow the husk and see the rice	13-6454-S
blow up	40-31255-S,41-34489-S,41-34782-S
blower	13-8976-S,71-48850-S
blowfish	70-45416-B
blowing	13-18125-S,67-40228-S
blowing fire	35-1304-S
blowing of the wind	68-60073-B
blowing off dust	2-31927-S
blowing on frontier	63-12852-S
blowing or rain falling	68-59955-S
blowing the trumpet	13-5362-S
blown by wind	68-55548-S
blown to pieces	56-28506-S
blows	9-17675-S,23-6689-S,26-45769-S,27-67918-S,36-9643-S
blows nobody any good	14-61468-S
blows violently	9-63971-S
blu ray	55-28364-B
blu ray disc format	55-28307-B
blu ray disk	55-28416-B
blubber	52-46574-S
blubber animal fat	52-46532-B
bludgeon	26-45935-S
blue	13-34950-S,20-30467-S,31-55258-S,38-25269-S,38-51152-S,39-25646-B,40-37635-S,46-10765-S,46-29556-B,46-29969-S,51-8665-S,51-19227-S,55-2676-S,55-11528-S,55-28219-B,55-29706-B,55-29743-S,62-42714-S,67-53725-S,67-53906-S,67-54289-S,67-55776-B,67-61293-S,71-5918-S
blue and white porcelain	67-57634-B
blue berry	60-27189-B
blue blood	12-59222-B
blue chip stock	55-29157-B
blue collar	55-30278-B
blue dome of heaven	55-3707-S
blue ear swine fever	55-29502-B
blue giant star	55-28764-B
blue green	67-57508-B
blue green algae	55-29274-S,55-29350-S,55-29426-S,55-29931-S,55-29997-S,55-30084-S,55-30150-S
blue house cheong wa dae	67-56538-B
blue moon	10-50849-S
blue ray	55-28364-B
blue sandalwood pteroceltis tatarinowii maxim	67-55973-B,67-56055-B
blue screen of death	55-28626-B
blue seas where once was mulberry fields 成语 saw	39-25878-S
blue shift in the doppler effect	55-29090-B
blue skin due to lack of oxygen in blood	44-32737-S
blue sky	55-28530-B
blue tongue viral disease of livestock	55-29620-B
blue topaz	55-28824-B
blue whale	55-30339-B
blueberry	40-38856-B,55-29888-B,60-27147-B
blueberry vaccinium angustifolium	55-29808-B
bluefish	70-44638-B
