franci	13-5490-B
francigeni	13-5442-B
francisca	13-5470-B
frangens, deminuens[adjective]	4-2838-S
frangit, deminuit[verb]	4-2653-S
frango	29-2775-B
frango, fracta	29-2797-B
frater	7-3963-B
fraudatio	13-5607-B
fraudulentus	10-1835-B
fraus	13-5642-B
frendo	14-2349-B,32-7148-B
freno	9-6370-B
frenum	7-3200-B,22-6085-B
frequentatio	13-6040-B
frequenter	13-6140-B
frequentia	3-5743-B,9-5561-B
frequento	30-4950-B,30-5002-B
fretus	3-1905-B
frigidus	12-5196-B
frigus	8-4238-B
frivolus	39-5666-B
from instruo)	11-6684-S
from summitto)	17-3303-S
frons	13-3181-B
fructuarius	13-6995-B
fructus	13-6862-S
fructus fructus	13-6862-B
frugalitas	13-6793-B
frugi	14-88-S
frumentum	14-3219-B
fruor	31-5411-B,33-3200-B
frusto	29-3074-B
frustra	16-853-B
frustra esse	28-4338-B
frustro	30-6492-B
frustro, frustror	30-5813-B
frustror	30-5813-S
frutex	24-3823-B
frux	14-53-B
frux, frugi	14-88-B
fuga	13-1382-B
fugio	32-3346-B
fugitive	10-3824-S
fugitivus, fugitive	10-3824-B
fugo	35-6938-B,35-6999-B
fui futurus	28-7376-S
fulcio	37-6262-B,38-159-B
fulgens	13-924-B
fulgeo (fulsi )	32-3165-B
fulgidus	14-1995-B
fulgur	32-3204-B
fulsi )	32-3165-S
fultus	26-1287-B
fumidus	25-28-B
fumo	37-3077-B
functus	34-7697-S
fundatio-onis	12-2702-B
fundator	18-225-B
funditus	39-4191-B,40-4534-B
fundo	2-4862-B,29-6981-B,32-4796-B,35-3768-B
fundus	12-369-B
funeris	14-426-S
funestus	8-834-B
fungi, functus	34-7697-S
fungor	27-3968-B
fungor, fungi, functus	34-7697-B
funiculus	4-981-B
funis	23-3703-B
funis -is	23-3727-B
furax	16-1179-B
furca	3-4899-B
furca[noun]	13-3677-B
furcifer	22-4058-B
furcillo	27-5356-B
furiae	18-663-B
furibundus	16-4017-B,22-3525-B
furiosus	18-376-B
furo	35-7363-B
furor	14-527-B,18-634-B
furs	27-2246-B
furta	25-4619-B
furtificus	27-2258-B
furtim	7-5324-B,7-5355-B
furtum	27-1484-B
fusus	2-1734-B
futurus	4-1923-B,28-7376-S
galactinus	27-253-B
galbinus	3-5305-B
galea	3-1290-B,15-1789-B
gallina	15-1857-B
gallo	8-4149-B
gandavum	14-1370-B
ganea ganeum	7-3941-B
ganeum	7-3941-S
garrio	29-7424-B,35-4013-B
garrulitas	21-4440-B
garrulus	8-2332-B,19-3242-B
garum	3-4552-B
gaudeo	1-124-B,2-1790-B,36-1813-B
gaudium	3-126-B,16-6245-B
gauisus	1-3014-B
gaza	39-5224-B
