internus	10-2268-B
interpellatio	28-206-B
interpolatio	16-4827-B
interpono	35-2155-B
interpretor	32-37-B
interr.) when si quando	15-5199-S
interrogatio	16-4761-B
interrogo	33-5422-B
intertio	5-5947-B
interventus	18-3124-B
intervigilium	3-6336-B
intestinus	16-4733-B
intextus	11-4885-B
intimo	27-7003-B
intolerabiliter	40-3216-B
intoneo	36-3606-B
intorqueo	39-6637-B
intransitive	30-7365-B
intrepidus	11-3295-B,40-2958-B
intrico	31-5833-B
intro	39-638-B
introduco	34-754-B
intueor	27-5956-B,34-3139-B
intueri[verb]	9-770-B
intuitus	9-829-B
intumesco	38-866-B,38-917-B
intus	42-991-B
inultus	39-6927-B
inundantia	13-1467-B
invado	28-1648-B,28-2357-B,38-7114-B
invalesco	32-5467-B
invectio	16-5005-B
invective	24-25-B
invenio	30-1643-B
inventor	9-2408-B
investigo	38-4781-B
inveteratus	14-5540-B
invetero	32-6318-B
invicem	20-1104-B,22-5211-B
invictus	40-420-B
invideo	31-6158-B,31-6211-B
invidia	11-6370-B
invidus	11-6353-B
inviso	33-481-B
invisus	15-81-B
invito	33-5949-B
invitus	40-3581-B
invocatio	16-5193-B
involvo	39-3218-B
ioco iocor	33-6311-B
iocor	33-6311-S
iocus	16-6216-B
ionis	12-2659-S
ipsa ipsum	15-2399-S
ipse ipsa ipsum	15-2399-B
ipsemet	15-2609-B
ipsum	15-2399-S
ira	5-4214-B
irascor, iratus	28-3704-B
iratus	5-4323-B,28-3704-S
ire	1-1903-S,10-6568-S,30-7186-S,33-413-S,37-2239-S
ire itum	33-663-S
ire, ii, itum[verb]	14-2408-S
irenses	16-5271-S
ironice	16-5442-B
irradio	28-7472-B
irrepo	33-5444-B
irretitus	8-698-B
irreto	11-5858-S
irreverens	11-365-B
irrisorie	16-5406-B
irrito	33-5975-B
irritum	19-4131-B
irritus	40-626-B,40-4620-B,41-201-S
irrumpo	29-5255-B
irruo	36-5489-S,36-5524-B
irruo, inruo	36-5563-B
is	23-3727-S,25-3042-S
is ea id	27-2838-B
ista istud	26-4577-S
iste ista istud	26-4577-B
istud	26-4577-S
ita	2-2199-B,25-399-B,41-4955-S
ita ut	2-10085-B
itaque	1-4805-B
ite[verb]	14-2395-B
item	4-6270-B
iter	33-4145-S
iter itineris	23-3281-B
itero	36-3063-B
iterum	5-947-B
itineris	23-3281-S
itis	8-1611-S
itum	33-663-S
itum[verb]	14-2408-S
iubeo	35-185-B
iubeo iussi iussum	35-206-B
iucunditas	21-2573-B
iucundus	5-1155-B
iucundus legenti[adjective]	22-4538-B
iudex	16-6372-B
iudicium	16-6459-B
iudico	33-6349-B
iuge	21-367-S
iugis iuge	21-367-B
iugo	29-1770-B
iugosus	19-500-B
iugulum iugulus	27-1055-B
iugulus	27-1055-S
iugum	9-5267-B,42-3443-B
iuguolo	30-5536-B
ium (f.)[noun]	5-272-S,8-6275-S,41-4880-S
ium (m.)[noun]	9-4627-S,9-4813-S,21-4368-S,22-743-S
ium[noun]	21-1486-S
iumentum	6-4474-B
iunceus	18-545-B
iunctio	8-7179-B
iunctum	33-6218-S
iunctura	3-5653-B
iunctus	4-1948-B
iuncus	27-608-B
iungo iunxi iunctum	33-6218-B
iuniperus	26-5924-B
iunxi iunctum	33-6218-S
iurandi etc.	19-5170-S
iurandum iuris iurandi etc.	19-5170-S
iuratus	40-674-B
iureiuro	38-758-B
iurgium	22-2960-B
iurgo	35-7184-B
iuris	16-6889-S
iuris iurandi etc.	19-5170-S
iurisdictio	4-5650-B
iuro	38-785-B
ius iurandum iuris iurandi etc.	19-5170-B
ius iuris	16-6889-B
iussi iussum	35-206-S
iussu	1-3417-B
iussum	35-206-S
iusta	11-2716-B
iuste	12-3263-B
iustitia	16-6853-B
iustum	41-3677-B
iustus	16-6755-B
iuvenalis iuvenilis	42-4028-B
iuvenesco	36-241-B
iuvenilis	42-4028-S
iuventus	42-3957-B
iuvo	33-3514-B
iuxta	1-967-B,8-3903-B,16-6696-B
iuxtim	11-6506-B
iv, iiii)[adjective]	13-5005-S
ivi	20-6075-B
jaceo-ere-ui	37-4907-B
jacio	29-7022-B
jactantia	20-3698-B
jactito	7-1415-B
jaculum	10-1109-B,10-1132-B,10-1155-B
jubilo	37-1500-B
jubilus	24-3720-B
jucundus	21-2457-B
