锷	64-50108-S
锹	64-50655-S,64-50704-S
锺	64-51439-S
锺情	64-51591-S
锺繇	64-51641-S
锻	64-50234-S
锻炼	64-50285-S
锻铁	64-50372-S
锼	64-53456-S
锽	64-50419-S
锾	64-50779-S
锿	64-51974-S
镀	64-49919-S
镀金	64-49957-S
镀银	64-49999-S
镁	64-51696-S
镁光	64-51731-S
镁盐	64-51926-S
镁砂	64-51782-S
镁砖	64-51853-S
镂	64-58523-S
镄	65-1275-S
镅	65-11517-S
镅 镅	65-11517-B
镆	64-56657-S
镇	64-53683-S
镇区	64-53760-S
镇压	64-53985-S
镇原	64-53802-S
镇咳	64-53867-S
镇坪	64-53918-S
镇守	64-54074-S
镇安	64-54131-S
镇定	64-54195-S
镇定剂	64-54252-S
镇巴	64-54330-S
镇平	64-54393-S
镇康	64-54458-S
镇江	64-54524-S
镇江地区	64-54603-S
镇江市	64-54704-S
镇流器	64-54794-S
镇海	64-54857-S
镇源县	64-54923-S
镇痛	64-54996-S
镇痛药	64-55053-S
镇赉	64-55109-S
镇赉县	64-55177-S
镇远	64-55257-S
镇长	64-55324-S
镇雄县	64-55414-S
镇静	64-55490-S
镇静剂	64-55535-S
镇静药	64-55593-S
镈	64-53029-S
镉	64-52919-S
镊	65-8085-S
镊子	65-8184-S
镌	65-1342-S
镌刻	65-1397-S
镍	64-55702-S
镎	65-11554-S
镎 镎	65-11554-B
镏	64-53223-S
镏子	64-53259-S
镏金	64-53304-S
镐	64-53505-S,64-53534-S
镐京	64-53580-S
镑	64-52042-S
镒	64-55648-S
镓	64-55734-S
镔	65-6184-S
镕	64-52275-S
镖	64-58393-S
镖客	64-58439-S
镗	64-57100-S
镘	64-57138-S
镚	64-58646-S
镛	64-57194-S
镜	64-57796-S
镜像	64-57826-S
镜像站点	64-57875-S
镜头	64-58324-S
镜子	64-57954-S
镜片	64-57993-S
镜花水月	64-58033-S
镜花缘	64-58240-S
镝	64-56716-S
镞	64-55804-S
镟	64-55841-S
镡	64-59502-S
镣	64-59216-S
镣铐	64-59257-S
镣锁	64-59335-S
镤	64-58723-S
镥	65-7317-S
镦	64-59454-S
镧	65-7431-S
镧系元素	65-11590-S
镧系元素 镧系元素	65-11590-B
镨	65-1037-S
镪	64-58823-S,64-58861-S
镫	65-936-S
镫骨	65-967-S
镬	65-6143-S
镭	65-2051-S
镭射	65-2083-S
镭射印表机	65-2122-S
镯	65-2019-S
镰	65-1438-S
镰刀	65-1475-S
镰刀斧头	65-1542-S
镰刀细胞贫血	65-1633-S
镰形血球贫血症	65-1729-S
镰状细胞血症	65-1861-S
镱	65-5741-S
镳	65-7233-S
镶	65-7717-S
镶嵌	65-7772-S
镶金	65-7877-S
镶黄旗	65-7919-S
長 长	65-11675-B,65-11737-B
長久 长久	65-11797-B
長假 长假	65-11850-B
長兄 长兄	65-11971-B
長出 长出	65-12023-B
長坂坡七进七出 长坂坡七进七出	65-12079-B
長垣 长垣	65-12302-B
長城 长城	65-12369-B
長城卡 长城卡	65-12421-B
長城飯店 长城饭店	65-12522-B
長壽 长寿	65-12638-B
長夜漫漫 长夜漫漫	65-12716-B
長大 长大	65-12820-B
長姊 长姊	65-12865-B
長子 长子	65-12912-B,65-12976-B
長子的名份 长子的名份	65-13021-B
長存 长存	65-13098-B
長孫 长孙	65-13150-B
長孫無忌 长孙无忌	65-13267-B
長安 长安	65-13349-B
長安區 长安区	65-13499-B
長官 长官	65-13570-B
長寧 长宁	65-13622-B
長尾 长尾	65-13691-B
長山山脈 长山山脉	65-13740-B
長島 长岛	65-13813-B
長島縣 长岛县	65-13899-B
長崎 长崎	65-13997-B
長嶺 长岭	65-14056-B
長嶺縣 长岭县	65-14128-B
長平 长平	65-14212-B
長平之戰 长平之战	65-14258-B
長年 长年	65-14347-B
長庚 长庚	65-14402-B
長度 长度	65-14488-B
長度指示符 长度指示符	65-14529-B
長廊 长廊	65-14612-B
長征 长征	65-14703-B
長得 长得	65-14755-B
長德 长德	65-14794-B
長成 长成	65-14836-B
長拳 长拳	65-14884-B
長方形 长方形	65-14988-B
長方體 长方体	65-15046-B
長明燈 长明灯	65-15099-B
長春 长春	65-15180-B
長春市 长春市	65-15248-B
長期 长期	65-15327-B
長期以來 长期以来	65-15381-B
長期性 长期性	65-15463-B
長期穩定性 长期稳定性	65-15519-B
長條 长条	65-15608-B
長棍 长棍	65-15650-B
長椅 长椅	65-15694-B
長榮航空 长荣航空	65-15734-B
長槍 长枪	65-15822-B
長樂 长乐	65-15864-B
長武 长武	65-15927-B
長汀 长汀	65-15992-B
長汀縣 长汀县	65-16081-B
長江 长江	65-16171-B
長江三峽 长江三峡	65-16239-B
長江三角洲 长江三角洲	65-16311-B
長沙 长沙	65-16403-B
長沙市 长沙市	65-16522-B
長沙灣 长沙湾	65-16652-B
長沙縣 长沙县	65-16743-B
長治 长治	65-16806-B
長治市 长治市	65-16893-B
長治鄉 长治乡	65-16991-B
長泰 长泰	65-17073-B
長海 长海	65-17139-B
長清 长清	65-17207-B
長滿 长满	65-17277-B
長濱鄉 长滨乡	65-17329-B
長牙 长牙	65-17410-B
