政治犯	29-56586-S
政治犯 政治犯	29-56586-B
政治異議人士 政治异议人士	29-56651-B
政治素質 政治素质	29-56748-B
政治素质	29-56748-S
政治經濟學 政治经济学	29-56849-B
政治经济学	29-56849-S
政治部	29-56935-S
政治部 政治部	29-56935-B
政治關係 政治关系	29-57016-B
政治體制 政治体制	29-57093-B
政法	29-57168-S
政法 政法	29-57168-B
政派	29-57233-S
政派 政派	29-57233-B
政理	29-57292-S
政理 政理	29-57292-B
政界	29-57354-S
政界 政界	29-57354-B
政策	29-57422-S
政策 政策	29-57422-B
政紀 政纪	29-57463-B
政綱 政纲	29-57544-B
政績 政绩	29-57607-B
政纪	29-57463-S
政纲	29-57544-S
政绩	29-57607-S
政要	29-57679-S
政要 政要	29-57679-B
政見 政见	29-57741-B
政见	29-57741-S
政訓處 政训处	29-57793-B
政論 政论	29-57892-B
政變 政变	29-57948-B
政训处	29-57793-S
政论	29-57892-S
政通人和	29-57997-S
政通人和 政通人和	29-57997-B
政體 政体	29-58075-B
政黨 政党	29-58149-B
敁	29-58201-S
敁 敁	29-58201-B
敃	29-58245-S
敃 敃	29-58245-B
故	29-58290-S
故 故	29-58290-B
故世	29-58356-S
故世 故世	29-58356-B
故业	29-60491-S
故乡	29-61543-S
故事	29-58408-S,29-58453-S
故事 故事	29-58408-B,29-58453-B
故事片	29-58505-S
故事片 故事片	29-58505-B
故交	29-58576-S
故交 故交	29-58576-B
故人	29-58640-S
故人 故人	29-58640-B
故伎	29-58683-S
故伎 故伎	29-58683-B
故伎重演	29-58738-S
故伎重演 故伎重演	29-58738-B
故作	29-58843-S
故作 故作	29-58843-B
故作姿态	29-58883-S
故作姿態 故作姿态	29-58883-B
故作端庄	29-58954-S
故作端莊 故作端庄	29-58954-B
故典	29-59067-S
故典 故典	29-59067-B
故友	29-59123-S
故友 故友	29-59123-B
故园	29-59247-S
故国	29-59183-S
故國 故国	29-59183-B
故園 故园	29-59247-B
故土	29-59296-S
故土 故土	29-59296-B
故地	29-59357-S
故地 故地	29-59357-B
故地重游	29-59423-S
故地重遊 故地重游	29-59423-B
故址	29-59531-S
故址 故址	29-59531-B
故城	29-59584-S
故城 故城	29-59584-B
故城县	29-59627-S
故城縣 故城县	29-59627-B
故墓	29-59700-S
故墓 故墓	29-59700-B
故宅	29-59740-S
故宅 故宅	29-59740-B
故宫	29-59785-S
故宫博物院	29-59838-S
故宮 故宫	29-59785-B
故宮博物院 故宫博物院	29-59838-B
故家	29-59935-S
故家 故家	29-59935-B
故家子弟	29-59978-S
故家子弟 故家子弟	29-59978-B
故居	29-60059-S
故居 故居	29-60059-B
故弄玄虚	29-60107-S
故弄玄虛 故弄玄虚	29-60107-B
故态复萌	29-60353-S
故意	29-60224-S
故意 故意	29-60224-B
故意杀人	29-60279-S
故意殺人 故意杀人	29-60279-B
故態復萌 故态复萌	29-60353-B
故我	29-60429-S
故我 故我	29-60429-B
故旧	29-61117-S
故旧不弃	29-61161-S
故杀	29-60756-S
故業 故业	29-60491-B
故此	29-60547-S
故此 故此	29-60547-B
故步自封	29-60588-S
故步自封 故步自封	29-60588-B
故殺 故杀	29-60756-B
故知	29-60845-S
故知 故知	29-60845-B
故称	29-60908-S
故稱 故称	29-60908-B
故第	29-60965-S
故第 故第	29-60965-B
故紙堆 故纸堆	29-61013-B
故纸堆	29-61013-S
故而	29-61076-S
故而 故而	29-61076-B
故舊 故旧	29-61117-B
故舊不棄 故旧不弃	29-61161-B
故訓 故训	29-61240-B
故训	29-61240-S
故跡 故迹	29-61314-B
故轍 故辙	29-61362-B
故辙	29-61362-S
故迹	29-61314-S
故道	29-61440-S
故道 故道	29-61440-B
故都	29-61481-S
故都 故都	29-61481-B
故鄉 故乡	29-61543-B
故里	29-61604-S
故里 故里	29-61604-B
故障	29-61657-S
故障 故障	29-61657-B
故障排除	29-61780-S
故障排除 故障排除	29-61780-B
效	6-29753-S,29-61870-S
效 效	29-61870-B
效价	29-61917-S
效价能	29-62035-S
效價 效价	29-61917-B
效價能 效价能	29-62035-B
效力	29-62165-S
效力 效力	29-62165-B
效劳	29-62256-S
效勞 效劳	29-62256-B
效应	29-62472-S
效忠	29-62330-S
效忠 效忠	29-62330-B
效忠誓詞 效忠誓词	29-62394-B
效忠誓词	29-62394-S
效應 效应	29-62472-B
效果	29-62539-S
效果 效果	29-62539-B
效法	29-62595-S
效法 效法	29-62595-B
效率	29-62664-S
效率 效率	29-62664-B
效用	29-62708-S
效用 效用	29-62708-B
效益	29-62768-S
效益 效益	29-62768-B
效能	29-62809-S
效能 效能	29-62809-B
敉	29-62854-S
敉 敉	29-62854-B
敌	30-17406-S
敌人	30-17439-S
敌军	30-18301-S
敌占区	30-17477-S
敌国	30-17545-S
敌地	30-17591-S
敌对	30-17690-S
敌对性	30-17757-S
敌将	30-17638-S
敌意	30-17819-S
敌手	30-17867-S
敌敌畏	30-17911-S
敌方	30-17964-S
敌机	30-18003-S
敌特	30-18046-S
敌特分子	30-18106-S
敌视	30-18204-S
敌阵	30-18348-S
敏	29-62884-S
敏 敏	29-62884-B
敏感	29-62911-S
敏感 敏感	29-62911-B
敏感性	29-62989-S
敏感性 敏感性	29-62989-B
敏感物質 敏感物质	29-63056-B
敏感物质	29-63056-S
敏捷	29-63130-S
敏捷 敏捷	29-63130-B
敏銳 敏锐	29-63183-B
敏锐	29-63183-S
救	29-63233-S
救 救	29-63233-B
救世	29-63283-S
救世 救世	29-63283-B
救世主	29-63326-S
