rule	2-66421-S,3-4552-B,5-20149-B,9-16471-B,11-26547-S,15-41713-S,17-43157-B,18-47080-S,19-58203-B,19-58264-B,21-11513-S,21-11751-B,23-53366-B,26-14205-B,31-66720-S,33-64800-B,34-39308-S,35-35462-S,37-24078-S,37-29580-B,41-6672-S,42-36865-S,47-29151-B,48-36174-S,48-37931-S,49-52202-B,57-32258-S,57-32380-B,57-32862-B,57-33524-B,57-33621-B,57-46929-B,57-59404-S,59-7759-S,62-57528-S,62-58120-S,67-49458-S
rule a country	49-52202-S
rule by force	67-48785-S
rule by law	37-32165-B
rule by setting virtuous example confucian ideal	24-27406-B
rule by virtue	24-27406-B
rule e g of science	57-33045-B
rule in 1945	7-8962-S
rule in 1997	66-27907-S
rule in hong kong or macao	45-25002-S
rule no longer in force	55-52633-B
rule of	1-63376-S
rule of former kings	7-4684-S
rule of science	47-17223-B
rule of thumb	34-37599-B
rule strategy	8-57472-S
ruled better that tang and song	37-25193-B
ruled by six daoist deities heart 心	7-68706-S
ruled by the ming dynasty	18-22766-S
ruler	3-4599-B,12-63959-B,15-65083-B,20-33198-S,21-11555-S,25-1885-S,25-33290-S,25-35817-S,29-4348-S,32-42338-S,32-54979-S,43-47633-S,45-20884-S,49-52355-B,51-47491-S,51-48868-S,51-49238-S,51-51626-S
ruler and compass construction geom 	21-12061-B
ruler and compass in geometric constructions	21-11981-B
ruler guides subject	1-39604-S
ruler measuring instrument	21-11751-B
ruler of shang 11th century bc	49-3639-S
ruler of some muslim states	55-37532-S
ruler of the xia dynasty	18-37228-S
ruler or comprehensive mirror for aid in government	59-52142-S
ruler s seal	43-7498-B,64-24741-S
ruler to people	59-43758-S
rules	1-17703-S,3-27295-S,19-21784-B,24-17586-S,26-11894-S,29-21698-S,30-5263-S,34-13974-B,38-49493-S,38-56474-S,40-3199-S,40-32865-S,41-9730-S,42-3130-S,42-29133-S,45-17733-S,45-63852-S,47-16590-B,47-63937-B,52-20593-S,57-33403-B,57-33471-B,57-33621-S,57-33621-S,57-56976-S,62-55753-S,62-57340-S,62-57977-S,62-58369-S,62-68579-S,62-69073-S
rules and customs	66-29335-S
rules and discipline	37-32655-B
rules and regulations	57-32380-B
rules football	40-3199-S
