yi2	1-20639-S,1-70228-S,2-57-S,2-5580-S,2-22615-S,3-30069-S,4-66720-S,5-20064-B,5-28837-S,5-43515-S,5-63049-S,6-53985-B,6-60531-S,7-13180-S,8-25848-S,8-51259-S,10-25111-S,10-37081-B,10-54975-S,10-55607-S,12-15360-S,12-31509-S,12-32900-S,12-34724-S,13-11974-S,13-12853-S,13-27923-B,13-52708-S,14-11676-S,14-59805-S,14-60620-S,15-37400-B,15-38912-S,15-42856-S,15-45767-S,16-4145-S,16-40463-S,16-60596-S,17-3245-S,17-13785-S,17-39188-S,17-64596-S,17-65060-S,17-68566-B,18-11361-S,18-43202-B,18-45157-S,18-58959-S,19-49101-B,19-57074-B,20-62694-S,21-26653-S,21-38941-B,21-49013-B,21-51525-S,22-32910-S,22-43675-S,23-39647-S,23-53366-B,24-7436-S,24-31164-S,24-33759-S,24-35490-S,24-56981-B,26-1333-S,26-2745-S,27-54268-S,28-10858-S,30-1272-S,30-50883-S,31-40069-S,33-10859-B,33-32251-S,33-40471-B,34-4804-B,34-26758-B,35-3044-S,35-13854-S,35-18828-S,36-15981-S,36-29114-S,36-58907-S,36-59048-S,37-2597-B,37-26207-S,37-58323-B,38-1445-S,38-48544-S,39-4532-S,39-7789-S,39-18733-S,39-43574-S,39-44366-S,39-60124-S,40-47984-S,40-50000-S,40-57568-S,42-6628-S,42-12737-S,43-13312-S,43-23518-S,43-52221-S,44-3563-B,44-13403-B,44-18273-S,45-40175-B,46-54207-S,47-7995-S,47-26081-B,48-20971-S,48-35227-B,49-11838-S,49-62193-S,50-8734-S,50-53172-S,52-23620-B,52-59383-S,53-44443-S,54-17023-B,55-29090-S,56-23009-S,56-52590-B,56-58698-S,56-60003-S,56-60108-S,57-51524-S,57-58734-S,57-63981-B,58-6692-B,58-17145-S,58-22943-S,58-56032-S,59-35012-B,59-36824-S,59-48667-B,59-60607-S,60-41398-S,61-18530-S,61-25513-S,61-26493-S,61-49898-B,61-56140-B,61-66699-S,62-33159-S,62-49468-S,62-65003-S,62-67613-S,62-69763-S,63-1642-B,63-32052-S,63-39153-B,63-53490-S,64-31327-B,66-903-S,66-30672-S,68-35791-B,68-61338-S,69-443-S,69-6780-B,70-8057-S
yi2 an1 zhi4	61-26558-S
yi2 an4	44-4571-B
yi2 biao3	6-54452-B
yi2 bing1	44-3684-B,44-3754-B
yi2 bu3 que1	27-54374-S
yi2 chan3	2-39540-S,30-26530-S,63-3302-B
yi2 chan3 di4	2-39641-S
yi2 chuan2	63-1687-B
yi2 chuan2 duo1 xing2 xing4	67-68170-S
yi2 chuan2 gong1 cheng2	63-1808-B
yi2 chuan2 wu4 zhi4	63-2047-B
yi2 chuan2 xing4	63-1887-B
yi2 chuan2 xing4 ji2 bing4	63-1962-B
yi2 chuan2 xue2	63-1754-B
yi2 cong1	56-7976-S
yi2 dao3	16-40513-S,52-23655-B
yi2 dao3 su4	52-23696-B
yi2 de5 zhuang4 tai4	53-11188-S
yi2 di2	17-69044-B
yi2 di4 qu1	52-59455-S
yi2 dian3	6-54050-B,44-5159-B
yi2 dong4	47-26200-B
yi2 dong4 dian4 hua4	47-26659-B
yi2 dong4 ping2 jun1 xian4	47-26276-B
yi2 dong4 ping2 jun1 xian4 zhi3 biao1	47-26383-B
yi2 dong4 shi4	47-26524-B
yi2 dong4 shi4 dian4 hua4	47-26575-B
yi2 dong4 tong1 xin4	2-62133-S
yi2 dou4	44-4824-B
yi2 fan4	18-59076-S,44-4632-B
yi2 fang1	9-42721-S
yi2 fu4 zi3	63-3683-B
