ái pī	27-68229-B
ái tóu zi	27-69292-B
ái wù	53-19698-S
ái wù zhì	53-19751-S
ái zhèng	44-20787-B
ái zhěng	27-68512-B
ái zòu	27-68293-B
ái è	24-44174-S,27-69366-B
án	14-689-B
áng	4-68165-S,11-15193-S,11-15299-S,11-17323-B,16-19899-S,31-17771-B,31-18304-S,36-28414-S,40-4961-S,57-2030-S,70-15770-S,70-40079-S
áng chuán zhōu	31-18419-B
áng cáng	31-18486-B
áng fèn	31-17972-B
áng guì	31-18564-B
áng lì	31-17927-B
áng rán	31-18365-B
áng rén	31-17866-B
áng shān	31-18036-B
áng shān sù jì	31-18170-B
áng shān sù jī	31-18091-B
áng shǒu	31-18614-B
áng shǒu kuò bù	31-18788-B
áng shǒu tǐng xiōng	31-18719-B
áng yáng	31-18249-B
áng áng	31-18304-B,36-28414-S
áo	11-10525-S,14-26308-B,23-6017-B,29-2929-B,29-65368-B,33-5322-S,41-17397-B,42-17217-B,43-3317-B,51-20220-B,51-65115-B,55-31241-S,56-13246-B,58-59042-B,62-64359-B,64-56753-B,67-13045-S,70-46668-B,71-46435-B
áo bèi dé	29-65598-B
áo dài bǔ	14-26362-S
áo dé sà	29-65396-B
áo hàn	29-65462-B
áo hàn qí	29-65525-B
áo jiān	41-17490-B
áo quǎn	42-17246-B
áo tóu	42-17952-S,42-18048-S
áo xiáng	51-20252-B
áo xiè	49-49765-S
áo yà zhōu lùn tán	11-10594-S
áo yè	41-17433-B
áo yóu	29-65652-B,62-64409-B
áo zhàn	64-56791-B
áo zhèn	11-10703-S
áo áo dài bǔ	14-26362-B
è	1-64676-S,5-6843-S,7-1680-S,8-30894-S,9-43431-S,10-10766-S,11-15939-S,11-28544-B,13-7797-B,13-27697-B,14-35555-B,15-68766-S,16-6916-B,16-7701-B,16-8188-B,18-25071-S,21-2287-S,21-45830-B,21-48789-B,23-58150-S,24-44174-S,24-52224-S,25-8817-B,25-18726-B,25-30866-B,26-58653-B,27-69366-S,28-57819-B,33-35435-B,36-8305-S,43-54957-S,44-37825-S,45-28594-S,47-57780-S,50-51753-S,53-60342-S,54-48878-B,55-12153-S,55-22262-S,57-53355-S,58-17837-B,58-45522-B,61-1710-B,61-4862-S,62-48916-B,63-7092-S,63-18651-S,63-28290-B,63-48695-S,64-50108-B,65-50555-B,65-59444-B,65-65125-S,66-45841-S,68-35637-B,68-44455-B,69-4842-S,69-13907-B,69-18335-B,69-61934-S,70-48877-B,70-58094-B,71-56880-B,71-56925-B
è bà	25-24079-B
è bào	25-20115-B,25-21703-S
è bìng zhì	25-22556-B,53-52305-S
è bù zuò	40-52307-S
è bǔ	25-23230-B
è chòu	25-22992-B
è chòu pū bí	25-23030-B
è chā bái lài	25-19651-B
è dé	25-20356-B
è dòu	25-24121-B
è dù zi	69-14151-B
è dú	25-22061-B
è fù	25-20200-B
è fāng chéng	55-22336-S
è guàn mǎn yíng	25-23777-B
è guā duō ěr	11-28910-B
è guǐ	25-24180-B
è guǒ	25-21887-B
è gùn	25-21961-B
è gǎn	25-21332-B
è gǎo	25-21482-B
è gǎo wén huà	25-21577-B
è huà	9-49538-S,25-19613-B
è huò cì kè hǎi	63-29169-B
è hàn jī	69-7875-S
è hèn	25-21002-B
è hěn	25-22390-B
è hěn hěn	25-22440-B
è jì	25-23957-B,44-37935-S
è jí	25-22494-B,50-51633-S
è kǒu	25-19748-B
è liè	25-19479-B,68-44486-B,71-56952-B
è luò sī	11-28641-B
è là	25-24000-B
è làng	25-22268-B
è lì dé	21-12957-S
è lì tè lǐ yà	11-28970-B
è lí	70-48917-B
