a thousand pieces of gold on one throw 成语 saw	1-9947-S,10-51803-S
a thousand pounds hangs by a thread 成语 saw	10-52209-B
a thousand sutras	10-50098-S
a thousand things remain to be done	44-55698-B
a thousand years ago	10-49364-B
a thousand years 成语 saw	10-50849-S
a thrashing	27-68149-S
a thread	2-24636-S,50-654-B
a thread 成语 saw	10-52209-S
a threat to biodiversity	43-20676-S
a thrifty funeral	11-29964-S
a thriller	69-63582-B
a throne	14-25279-S
a throttle	48-29456-B
a through ticket	62-11889-B
a throw in wrestling	28-63656-B
a throwback to a former age	69-16916-B,69-16995-B
a throwing weapon	64-58393-B
a thunderous noise	14-31146-S
a ticket	26-50181-S,46-64441-B
a tide of people	4-14015-B
a tie	22-39612-B
a tiger	4-54634-S,10-7837-S,41-12379-S,42-11298-S,55-48445-S,69-52618-S
a tiger and court disaster 成语 saw	69-12555-S,69-12695-S
a tiger and waist of a bear	55-47709-S
a tiger cat	23-56407-B
a tiger like a dog 成语 saw	43-59073-S
a tiger s roar	13-53899-B
a tiger using a cat as a model 成语 saw	41-9566-S
a tiger 成语 saw	1-29980-S,53-65325-S
a tight rope	42-19456-S
a time	1-8173-S,9-9255-S,26-16511-S,26-16511-S,32-29405-S,45-5370-S,53-5914-S,62-42226-B,62-60067-S
a time limit	66-18815-S
a time limit and according to specifications	10-14326-S
a time machine	31-41343-B
a time of military urgency	26-6811-B
a time of peace and stability	60-41398-B,62-49468-B
a time or place	43-64373-S
a timed detonator	19-45757-B
a tinge of emotion or regret	25-41585-S
a tiny bit and understand everything 成语 saw	58-62318-S
a tiny number	20-11691-B
a tire	29-7752-S,51-21766-S,56-59007-S
a title	12-58359-B,14-25123-S,14-25214-S,58-30780-S
a title an an official position	9-53534-S
a title in successive years	56-18272-S
a title posthumously	61-60180-S
a title upon sb	8-7822-S
a to b	60-43346-S
a toad	56-22060-B
a toast	3-24610-S,3-24610-S,30-12742-S,46-55185-S
a toast only to be forced to drink a forfeit	30-12804-S
a token	56-46364-S
a tomb	16-30607-B,20-32671-S,20-32671-S
a tomb on mt mang	63-15044-S
a tomb or grave	47-44442-B
a tone on a chinese syllable	51-66705-B
a tonic or nourishing food to build up one s health	56-60200-S
a tool	64-35445-S
a tooth	56-57733-S
a tooth for a tooth retaliation	4-38100-B
a tooth retaliation	4-38100-S
a tooth stopped	56-57733-S
a top knot	70-28329-S
a topic	27-65304-S,38-34675-S,38-56066-S,38-56232-S,61-27153-S,65-57941-S
a topic from a certain point of view	5-18624-S,5-19307-S
a topological space	63-35001-S
a topological space in math 	1-47719-S,12-51574-S
a torch in a torchlit procession	40-21382-B,40-21449-B
a torchlit procession	40-21382-S,40-21449-S
a torment	46-41073-B
a torrent	37-3915-S,40-12896-B
a total	50-33458-B
a total mess	1-5398-B
a tough question	8-46781-S
a tour	20-59993-S
a tour group	30-68998-B
a tourist	30-69055-B,62-36278-B
a tourist guide	20-59993-B
a tourist trap	30-69166-B
a tow	27-37470-B,27-37698-B
a tower crane	12-42752-B
a towering rage	24-52224-S
a towering rock	46-37631-B
a town	29-47390-S
a town in belgium famous for its university	70-40841-S
a toxic agent	36-6943-B
a toy	29-12476-S
a trace	1-4070-S
a trade	1-9124-S,24-11732-S,26-65445-S
a trade mark	26-15335-S
a trade off	27-8490-B,27-10515-B
a trade or profession	24-11787-S
a trademark	12-57631-S
a trading or transit post on border between countries	11-67859-B
a tradition	14-25123-S,14-25454-S,14-25590-S,71-51934-S
a traditional chinese dictionary	63-23984-S
a traditional gift to celebrate weddings etc	53-59281-S
a tragic end	35-58424-B
a trail	61-60445-S
a train	48-30189-B,52-54725-S,52-55368-S
a train bound for	23-61667-S
a train by threatening suicide	52-55272-S
a train conductor	60-36216-S
a trained saddle horse	69-45972-B
a traitor	18-25521-B
a trajectory	56-34373-B
a trance	24-68208-S,48-55652-S,61-54878-S
a tranquil heart or mind	21-18593-B
a transaction	62-30487-S
a transformation	59-8852-B
a transformation group	59-8949-S
a transition stop and change in spoken sound	68-32657-B
a transitive verb	11-59455-S
a translation	29-45563-S
