fu yang	26-56571-B,29-14717-B
fu yang cheng ren	29-14781-B
fu yao	32-44104-B
fu yao guo liang	32-44150-B
fu ye	9-32664-B,51-16029-S
fu ye chu	31-45960-S
fu yi	24-16418-B,24-45369-S,32-43566-B,61-8801-B,62-57206-S
fu yi xi	51-54099-S
fu yi zhang	9-33614-B
fu yin	22-63008-B,43-1651-S,47-5962-B,48-7241-S,49-7468-S,53-66368-S,57-5082-B,60-41686-S,61-9422-B,69-34942-S,69-35735-S
fu yin cao	60-15602-B
fu yin ji	57-5151-B
fu yin shi fang shi jian	61-9464-B
fu yin shu	47-6001-B
fu yin xing	57-6780-B
fu yin zhi	24-13531-B
fu ying kui	53-14422-S
fu yong	32-43895-B,66-15815-B
fu you	20-7544-B,59-31940-B
fu you sheng wu	38-13638-B
fu yu	19-16533-B,20-6536-B,20-8131-B,20-8698-B,29-14096-B,30-40707-S,51-23712-S,59-59451-B
fu yu jing	63-64460-S
fu yu shi	4-13833-S
fu yu xiang xiang	20-7475-B
fu yuan	22-33770-B,24-13404-B,24-13592-B,24-14113-B
fu yuan gui	8-7926-S
fu yuan zhi	19-41763-S
fu yuan zhuang	25-443-S
fu yue	2-35456-S,8-48509-S
fu yue tang huo	30-38177-B
fu yue zhi zhu	30-38074-B
fu yun mu	57-6842-B
fu za	57-6541-B,64-48290-S
fu za hua	57-6592-B
fu za xi tong	57-6712-B
fu za xing	57-6658-B
fu zai	59-32424-B,62-7672-S
fu zao	38-14325-B
fu ze	47-5163-B,59-32156-B
fu ze ren	2-31616-S,59-32262-B,59-32336-B
fu zha	59-17355-S
fu zha gong cheng	59-17413-S
fu zhai	38-2655-S,59-31182-B
fu zhai biao	59-52795-S
fu zhai lei lei	59-31224-B
fu zhai quan	29-54555-S
fu zhang	4-27857-B,27-27106-B
fu zhang kuan	25-58874-S
fu zhao	61-19703-B
fu zhe	23-64145-S,38-14182-B,57-28748-B,64-1165-S
fu zhen	24-16240-B
fu zheng	39-59416-S
fu zheng fu zui	66-25115-S
fu zheng shu	59-31781-B
fu zhi	10-54881-S,22-63059-B,24-15505-B,26-56051-B,42-34089-S,47-5771-B,57-6125-B
fu zhi bing ding	4-26987-B
fu zhi dong liu	4-27235-B
fu zhi du wai	4-27069-B
fu zhi guo	17-46929-S
fu zhi huan	24-38167-S
fu zhi ji	52-44972-B
fu zhi pin	57-6209-B
fu zhi tong	8-62770-S
fu zhi yi ju	4-26737-B
fu zhi yi tan	4-26525-B,4-26631-B
fu zhi yi xiao	4-26876-B
fu zhong	24-44065-S,38-13923-B
