shou3 zuo4	20-35330-S
shou4	2-2711-S,2-3646-S,2-76432-S,4-1928-S,4-20535-S,6-28404-S,6-36439-S,7-23168-S,8-37035-S,8-47943-S,9-32409-S,11-59260-B,13-53952-B,16-38105-B,18-26927-S,18-59130-S,19-51756-S,19-59387-S,21-33037-S,21-61605-S,22-54398-S,23-16577-S,23-17304-S,23-36670-S,24-42769-S,24-65362-S,25-39646-S,25-40023-S,26-60830-S,27-27453-S,27-31447-S,27-45332-S,27-58195-S,27-66056-S,28-11844-B,28-12229-S,28-25319-S,29-35780-S,30-2829-S,30-2911-S,33-2317-S,34-42021-S,34-52494-S,36-50003-S,38-29712-S,38-31454-S,38-63743-S,39-49021-S,40-56004-S,40-62943-S,41-54886-S,42-8385-B,42-12168-S,42-17638-B,42-21592-S,42-25203-B,42-43586-S,42-62247-S,44-15451-B,44-18779-B,44-22404-S,46-54829-S,46-58574-S,47-10417-S,49-58127-S,50-801-B,51-36029-S,52-46677-S,53-796-S,54-14948-S,54-61691-S,55-56282-S,58-54606-S,60-12624-S,60-52827-S,60-64395-S,61-24372-S,61-65870-S,62-66249-S,63-37717-S,63-40807-S,64-3932-S,64-33585-S,65-12638-S,66-35073-S,66-53459-S,67-11834-S,67-19902-S,67-51145-S,68-33642-S,68-64468-S,69-3999-S,69-7338-S,69-45177-S,70-12836-S,70-18779-S,70-50071-S,70-55051-S
shou4 bao3 ren2	11-59744-B
shou4 bao3 xian3	4-7634-S
shou4 bao3 zhang4 jian1 du1 de5 she4 shi1	11-59850-B
shou4 bi3 Nan2 shan1	16-38864-B
shou4 bi4 jing4 shi4 jiao4 shou4	30-2911-S
shou4 bie3	11-62981-B
shou4 bing4	11-62934-B
shou4 bu4 liao3	11-59370-B
shou4 cai2	16-38674-B
shou4 chang2	44-18993-B
shou4 chao2	11-62550-B
shou4 chen2	16-39419-B
shou4 cheng2 fa2	11-61473-B
shou4 chi2	11-61610-B
shou4 chong3	11-61174-B
shou4 chong3 ruo4 jing1	11-61260-B
shou4 cuo4	11-61682-B
shou4 dao4	11-60273-B
shou4 dao4 ying3 xiang3	11-60343-B
shou4 dian4	67-20009-S
shou4 e2	64-33641-S
shou4 fang3 zhe3	11-64637-B
shou4 fen3	28-12535-B
shou4 ge2	11-62020-B
shou4 gong1 ji1	31-27594-S
shou4 gu3 lin2 xun2	44-19034-B
shou4 gu4	11-60118-B
shou4 hai4	2-7996-S,11-60914-B
shou4 hai4 zhe3	11-60965-B
shou4 han2	11-61036-B
shou4 hou4 fu2 wu4	13-54043-B
shou4 huan1 ying2	1-75014-S,11-62218-B
shou4 hui4	11-61420-B,11-64797-B
shou4 huo4	13-54369-B
shou4 huo4 ji1	53-2056-S
shou4 huo4 tai2	13-54475-B
shou4 huo4 yuan2	13-54417-B
shou4 ji1	12-61006-S
shou4 ji4	28-12675-B
shou4 jia4	13-53983-B
shou4 jiang3	28-12482-B
shou4 jiao3 lei4 kong3 long2	42-25501-B
shou4 jiao4	11-61854-B
shou4 jie4	11-61528-B
shou4 jing1	11-63610-B,28-12581-B,32-56988-S,70-6249-S
shou4 jing1 luan3	11-63686-B
shou4 jiong3	11-63489-B
shou4 kan4	11-63186-B
shou4 ke4	28-12732-B
shou4 ku3	11-64381-B
shou4 kun4	11-60773-B
shou4 lei4	11-63817-B,42-25911-B
shou4 li3	1-75081-S,11-62818-B,11-63414-B,16-39035-B
shou4 li4	51-36085-S
shou4 li4 che1	42-25242-B
shou4 liang2	11-62500-B
shou4 lie4	42-8490-B
shou4 lie4 chang3	42-8532-B
shou4 ling3	11-65428-B
shou4 ling3 zhe3	11-65474-B
shou4 luo2	47-3227-S
shou4 mai4	13-54535-B
shou4 mian4	16-39693-B
shou4 ming4	11-60517-B,16-38248-B,22-38476-S,28-12283-B,52-56397-S
shou4 ming4 yu2 tian1	11-60608-B
shou4 nan2 ji4 nian4	11-65265-B
shou4 nan4	11-65170-B
shou4 nan4 jie2	51-40968-S
shou4 nan4 zhe3	11-65330-B
shou4 nian2 feng1	4-7706-S
shou4 pi2	42-25406-B
shou4 pian4	11-65532-B
shou4 piao4 chu4	13-54309-B
shou4 piao4 da4 ting1	13-54238-B
shou4 piao4 kou3	13-54117-B
shou4 piao4 yuan2	13-54177-B
shou4 pin4	11-64002-B
shou4 pin4 yu2	11-64162-B
shou4 qi4	11-62281-B,25-39767-S
shou4 qi4 bao1	11-62358-B
shou4 qiong2	11-63569-B
shou4 quan2	11-62145-B,28-12434-B
shou4 re4	11-62768-B
shou4 ren4	11-59582-B,28-12015-B
shou4 rou4	44-18949-B
shou4 ru2 chai2	70-1128-S
shou4 ru3	11-64912-B,28-11905-B
shou4 ruo4	44-18901-B
shou4 san4	70-50129-S
shou4 shan1	54-44329-S
shou4 shan4	11-63358-B
shou4 shang1	1-74947-S,5-13236-S,11-59971-B,67-19944-S
shou4 shang1 hai4	11-60063-B
shou4 shang3	11-64857-B
shou4 shen3	11-61101-B
shou4 shen3 wen4	28-25374-S
shou4 shi2	28-12387-B
shou4 shi2 ren2	42-28888-S
