xiàn	1-18080-S,1-30982-S,1-32204-S,1-32401-S,1-36290-S,1-37168-S,1-37336-S,1-37623-S,1-38909-S,1-43434-S,1-44032-S,1-50550-S,1-50783-S,1-53936-S,1-54954-S,1-56921-S,1-57648-S,1-57866-S,1-61896-S,1-62210-S,1-64184-S,1-64514-S,2-6622-S,2-43144-S,2-44664-S,2-81960-S,3-3200-S,3-5200-S,3-9482-S,3-16555-S,3-18559-S,3-19954-S,3-22306-S,3-22441-S,3-23333-S,3-24481-S,3-25184-S,3-37177-S,3-44695-S,3-49518-S,3-53684-S,3-54131-S,3-67487-S,4-13536-S,4-19629-S,4-20377-S,4-20466-S,4-21145-S,4-29783-S,4-31853-S,4-32832-S,4-43682-S,4-51690-S,4-52001-S,4-55621-S,4-64130-S,4-70096-S,5-1923-S,5-3948-S,5-11367-S,5-18028-S,5-22802-S,5-28168-S,5-33037-B,5-46602-S,5-48352-S,6-3506-S,6-16938-S,6-48673-S,6-49514-S,6-51807-B,6-55212-S,7-3722-S,7-8363-S,7-8570-S,7-11891-S,7-20062-S,7-26547-S,7-34680-S,7-40797-S,7-58825-S,8-1318-S,8-7175-S,8-8452-S,8-9220-S,8-13163-S,8-31573-S,8-31802-S,8-31888-S,8-33547-S,8-42047-S,8-42653-S,8-43933-S,8-51328-S,8-55787-S,8-56591-S,8-62535-S,9-18393-S,9-22780-S,9-25338-S,9-25524-S,9-34187-S,9-40031-S,9-66819-S,9-66966-S,9-67033-S,10-24980-S,10-29622-S,10-31062-S,10-31163-S,10-36108-S,10-50301-S,10-59078-S,10-68755-S,10-68971-S,10-72407-S,11-1308-S,11-1683-S,11-2441-S,11-3510-S,11-5249-S,12-4787-S,12-18342-S,12-37010-S,12-39690-S,12-41119-S,12-41793-S,13-1447-S,13-8325-S,13-24744-S,13-52777-S,13-56983-S,13-58781-S,14-1512-S,14-20785-S,14-21348-S,14-56692-S,14-64525-S,14-64647-S,15-2302-S,15-11894-S,15-16900-S,15-25108-S,15-36153-S,15-40619-S,15-44051-S,15-48305-S,15-55465-S,15-60970-S,15-62294-S,16-1002-S,16-15247-S,16-28830-S,16-29592-S,16-31178-S,16-33392-S,16-39221-S,16-39482-S,16-41572-S,16-44592-S,17-8296-S,17-11548-S,17-12130-S,17-12355-S,17-13718-S,17-17304-S,17-19862-S,17-29966-S,17-36602-S,17-38365-S,17-41365-S,17-44859-S,17-51797-S,17-52841-S,17-72001-S,18-1441-S,18-3690-S,18-3821-S,18-3892-S,18-38214-S,18-39097-S,18-45074-S,18-48605-S,18-55418-S,19-482-S,19-10759-S,19-11067-S,19-20644-S,19-20791-S,19-25622-S,19-31742-S,19-32180-S,19-32387-S,19-33619-S,19-38158-S,19-44053-S,19-49733-S,19-50318-S,19-50459-S,19-50915-S,19-57478-S,19-65837-S,19-67649-S,20-5294-S,20-6389-S,20-7039-S,20-7634-S,20-7833-S,20-14218-S,20-16973-S,20-18721-S,20-18885-S,20-19131-S,20-19532-S,20-19732-S,20-19969-S,20-20187-S,20-24655-S,20-26971-S,20-27106-S,20-27970-S,20-35909-S,20-40886-S,20-45657-S,20-56217-S,20-59248-S,20-59488-S,20-68517-S,21-17406-S,21-21606-S,21-22378-S,21-29726-S,21-30476-S,21-36092-S,21-36845-S,21-38362-S,21-39092-S,21-39623-S,21-40227-S,21-40323-B,21-40695-S,21-41208-S,21-42806-S,21-45442-S,21-46015-S,21-46088-S,21-46432-S,21-46918-S,21-46991-S,21-58905-S,22-5776-S,22-8988-S,22-9636-S,22-10808-S,22-17094-S,22-32331-S,22-44720-S,22-45497-S,22-46353-S,22-50403-S,22-52962-S,22-56747-S,22-60933-S,23-1952-S,23-3181-S,23-9654-S,23-13679-S,23-15143-S,23-17547-S,23-19487-S,23-20999-S,23-21428-S,23-24986-S,23-30179-S,23-35628-S,23-38787-S,23-57047-S,23-57735-S,23-57870-S,23-58619-S,24-15076-S,24-15343-S,24-16956-S,24-25029-S,24-30490-S,24-37465-S,24-46717-S,24-51290-S,24-63110-S,25-2784-S,25-4762-S,25-5003-S,25-9216-S,25-32955-S,25-37030-S,25-57270-B,25-61076-S,25-64423-S,26-11294-S,26-16415-S,26-20067-S,26-25327-S,26-25553-S,26-27309-S,26-29197-S,26-30463-S,26-55714-S,26-63545-S,27-1651-S,27-9409-S,27-10115-S,27-19607-S,27-27915-S,27-38098-S,27-47221-S,28-3998-S,29-4551-S,29-5370-B,29-14634-S,29-14925-S,29-30344-S,29-35161-S,29-39108-S,29-43425-S,29-47813-S,29-48304-S,29-59627-S,30-27455-S,30-29648-S,30-30308-S,30-33199-S,30-36591-S,30-44730-S,30-45799-S,30-47931-S,30-48192-S,30-48523-S,30-49430-S,30-49741-S,30-51633-S,30-52676-S,30-53688-S,30-56567-S,30-56738-S,30-56881-S,30-57869-S,30-58936-S,30-60052-S,30-65148-S,31-20525-S,31-21136-S,31-28218-S,31-29139-S,31-42544-S,31-42799-S,31-44101-S,31-45840-B,31-49756-S,31-53525-S,31-54579-S,32-5584-S,32-5642-S,32-13658-S,32-20601-S,32-24069-S,32-24644-S,32-38334-S,32-40893-S,32-45150-S,32-49681-S,32-51912-S,32-54613-S,32-58392-S,32-61599-S,32-65265-S,32-65405-S,33-9374-S,33-11146-S,33-19495-S,33-24401-S,33-24709-S,33-25324-S,33-25442-S,33-28124-S,33-34712-S,33-35045-S,33-47750-S,33-50157-S,33-66994-S,34-6173-S,34-7355-S,34-7499-S,34-9546-S,34-11793-S,34-17991-S,34-19035-S,34-36291-S,34-41699-S,34-47819-S,34-49048-S,34-55717-S,35-6568-S,35-7159-S,35-7898-S,35-8257-S,35-9641-S,35-9719-S,35-19262-S,35-31219-S,35-44577-S,35-46186-S,35-46609-S,35-46746-S,36-7972-S,36-14986-S,36-48854-S,36-49320-S,36-49693-S,36-50447-S,36-51497-S,36-51969-S,36-52755-S,36-56875-S,36-59432-S,36-60372-S,36-61115-S,36-61635-S,36-64153-S,36-65317-S,37-2480-S,37-7692-S,37-13984-S,37-17462-S,37-18104-S,37-19215-S,37-19533-S,37-26979-S,37-27396-S,37-31294-S,37-32920-S,37-35652-S,37-45569-S,37-46136-S,37-48156-S,37-51743-S,37-61499-S,38-8476-S,38-8647-S,38-8933-S,38-10019-S,38-13457-S,38-13843-S,38-17988-S,38-20219-S,38-24343-S,38-28734-S,38-29483-S,38-35495-S,38-36022-S,38-40400-S,38-41035-S,38-42989-S,38-45519-S,38-47701-S,38-51096-S,38-52716-S,38-59244-S,38-59391-S,38-60319-S,38-61164-S,39-1856-S,39-3652-S,39-11012-S,39-13987-S,39-20467-S,39-22601-S,39-22990-S,39-26130-S,39-28266-S,39-29182-S,39-30986-S,39-31423-S,39-55078-S,39-56015-S,39-61278-S,40-2059-S,40-15315-S,40-17048-S,40-19364-S,40-23826-S,40-28725-S,40-34570-S,40-35641-S,40-39084-S,40-44210-S,40-44431-S,40-56377-S,40-59598-S,40-63268-S,40-63616-S,41-21233-S,41-46975-S,41-56237-S,42-131-S,42-25980-B,42-26192-S,42-29892-S,42-30096-S,42-44358-S,42-48620-B,42-56351-S,42-56742-S,43-6874-S,43-19549-S,43-21960-S,43-27008-S,43-35648-S,43-40809-S,43-47741-S,43-47803-S,44-1717-S,44-3405-S,44-31357-S,44-41420-S,44-44067-S,44-65283-S,44-66062-S,45-1504-S,45-10927-S,45-19370-S,45-23206-S,45-36611-S,45-40018-B,45-51338-S,45-54141-B,45-55759-S,45-66890-S,46-5207-S,46-6997-S,46-10490-S,46-34800-S,46-35460-S,46-36250-S,46-37406-S,46-50940-S,46-56319-S,47-3773-S,47-3837-S,47-9003-S,47-15594-S,47-15684-S,47-25937-S,47-26276-S,47-40919-S,47-52177-S,47-52307-S,47-53505-S,48-18216-S,48-19315-S,48-31468-S,48-54140-S,49-9112-S,49-21186-S,49-25462-S,49-27369-S,49-28261-S,49-28332-S,49-32165-S,49-37466-S,49-49711-S,49-51144-S,49-55299-S,49-56502-S,49-62031-S,49-63410-S,50-654-B,50-12878-S,50-16201-B,50-24150-S,50-26285-B,50-30164-S,50-35206-S,50-49622-S,50-57218-S,51-0-S,51-624-S,51-3811-S,51-11690-S,51-12258-B,51-14153-S,51-16589-S,51-16945-S,51-24453-S,52-2625-S,52-2764-S,52-7069-S,52-23794-S,52-25627-S,52-31226-S,52-33942-S,52-36674-S,52-41856-S,52-45465-B,52-57133-S,52-58435-S,52-60083-S,52-61295-S,52-62005-S,52-62860-S,53-6455-S,53-8416-S,53-23478-S,53-24988-S,53-29485-S,53-36114-S,53-62570-S,54-6290-S,54-6622-S,54-9093-S,54-22389-S,54-22659-S,54-23005-S,54-23645-B,54-33316-S,54-35683-S,54-44493-S,54-45210-S,54-46921-S,54-47897-S,54-52343-S,55-1219-S,55-3229-S,55-6238-S,55-9168-S,55-11476-S,55-14269-S,55-17028-S,55-21005-S,55-27818-S,55-33183-S,55-37259-S,55-53600-S,56-11042-S,56-14827-S,56-21563-S,56-45431-S,56-48534-S,57-1031-S,57-21027-S,57-22926-S,57-23779-S,57-29510-B,57-36573-S,57-49282-S,57-56216-S,58-24527-S,58-27463-S,58-29886-S,59-15199-S,59-19398-B,59-20376-S,59-20512-S,59-21634-S,59-22367-S,59-34679-S,59-47806-S,59-48407-S,59-50130-S,59-52561-S,59-55678-S,60-3837-S,60-5557-S,60-6060-S,60-9778-S,60-18519-S,60-26245-S,60-30078-S,60-41767-S,60-43543-S,60-47747-S,60-48228-S,61-5622-S,61-13982-S,61-14334-S,61-16054-S,61-31548-B,61-40337-S,62-8529-S,62-9432-S,62-10165-S,62-12194-S,62-15161-S,62-19851-S,62-19988-S,62-20323-S,62-21149-S,62-21323-S,62-23931-S,62-24065-S,62-30140-S,62-31297-S,62-35171-S,62-51654-S,62-54974-S,62-57432-S,63-4459-S,63-12504-S,63-12709-S,63-19632-S,63-21949-S,63-27000-S,63-27484-S,63-31366-S,63-31586-S,63-32460-S,63-35584-S,63-36145-S,63-62370-S,64-9348-S,64-9651-S,64-12448-S,64-13475-S,64-13838-S,64-19132-S,64-24031-S,64-31108-S,64-45693-S,64-54923-S,64-55177-S,64-55414-S,64-59810-S,65-257-S,65-2905-S,65-13899-S,65-14128-S,65-16081-S,65-16743-S,65-17841-S,65-17995-S,65-20555-S,65-20661-S,65-23017-S,65-26004-S,65-33612-S,65-40324-S,65-48731-S,65-58940-S,65-59964-S,65-62989-S,65-67514-S,65-69588-S,66-9521-S,66-18314-B,66-19528-S,66-21076-S,66-22958-B,66-30470-S,66-30881-S,66-31011-S,66-31881-B,66-33527-S,66-35200-S,66-37858-S,66-46217-S,66-48482-S,66-51421-S,66-53507-S,66-66162-S,67-356-S,67-16951-S,67-18927-S,67-32830-S,67-33770-S,67-37512-S,67-46239-B,67-48257-S,67-49941-S,67-50633-S,67-57351-S,67-58405-S,67-58554-S,67-60138-S,67-60529-S,67-60671-S,67-61849-S,67-64384-S,68-7473-S,68-12038-S,68-51417-S,69-14578-S,69-15518-S,69-16180-S,69-17896-B,69-26418-S,69-29742-S,69-39786-S,69-43460-S,69-44598-S,69-62703-S,70-8393-S,70-12711-S,70-14535-S,70-20402-S,70-26372-S,70-35210-S,70-51873-S,70-52308-S,70-52607-S,71-6201-S,71-7133-S,71-10180-S,71-10977-S,71-23821-S,71-26734-S,71-29803-S,71-43523-S,71-57891-S,71-58098-S,71-61846-S
xiàn 5r	67-48372-S,69-17939-B
xiàn 5r bǐng	69-17996-B
xiàn biāo líng	52-45494-B
xiàn biāo líng hé gān sān lín suān	52-45563-B
xiàn bìng dú	4-18418-S,52-45755-B
xiàn bīng	25-57314-B
xiàn bīng duì	25-57365-B
xiàn bǐng	33-38108-S,55-43539-S,69-18094-B
xiàn chuí tǐ	52-45694-B
