Kai1 feng1 xian4	65-33612-B
Kai1 fu4	33-5914-S
Kai1 hui4	34-29508-S
Kai1 jiang1	65-38122-B
Kai1 lu3	65-44278-B
Kai1 luo2	65-40380-B
Kai1 luo2 Da4 xue2	65-40438-B
Kai1 man4 Qun2 dao3	65-37368-B
Kai1 ping2	65-34186-B
Kai1 pu3 dun1	65-37189-B
Kai1 pu3 le4	65-37015-B
Kai1 pu3 le4 ding4 lu:4	65-37085-B
Kai1 xian4	65-40324-B
Kai1 yang2	65-43981-B
Kai1 yuan2	65-31143-B
Kai1 yuan2 shi4	65-31228-B
Kai1 yuan3	65-42946-B
Kai1 zhai1 jie2	65-44538-B
Kai3 che4	8-29730-B,25-44291-B
Kai3 da2 ge2 lan2	8-30405-B
Kai3 da2 ge2 lan2 zu2	8-30468-B
Kai3 di2 la1 ke4	8-30344-B
Kai3 er3 te4 ren2	8-30097-B
Kai3 ge1	66-26855-S
Kai3 le1	38-15840-S
Kai3 li3	8-30225-B
Kai3 li3 shi4	8-30279-B
Kai3 li4	8-29678-B
Kai3 sa1 lei4 ya3	8-29788-B
Kai3 sa3	25-44349-B
Kai3 wen2	8-29866-B
Kai3 zhi1	68-49428-S
Kan cha jia	10-3067-B,16-7829-B
Kan cha jia ban dao	10-3154-B
Kan da ha	15-49759-B
Kan da ha sheng	15-49841-B
Kan ding xiang	21-40958-B
Kan kun	15-50136-B
Kan pa la	15-49979-B
Kan pei la	16-7777-B
Kan sa si zhou	16-8060-B
Kan ta bu lian	15-49396-B
Kan ta bu lian hai	15-49653-B
Kan ta bu lian shan mai	15-49498-B
Kan te bo lei	15-50177-B
Kan te bo lei da zhu jiao	15-50241-B
Kan1 cha2 jia1	10-3067-B,16-7829-B
Kan1 cha2 jia1 ban4 dao3	10-3154-B
Kan1 pei2 la1	16-7777-B
Kan1 sa4 si1 zhou1	16-8060-B
Kan3 da4 ha1	15-49759-B
Kan3 da4 ha1 sheng3	15-49841-B
Kan3 ding3 xiang1	21-40958-B
Kan3 kun1	15-50136-B
Kan3 pa4 la1	15-49979-B
Kan3 ta3 bu4 lian2	15-49396-B
Kan3 ta3 bu4 lian2 hai3	15-49653-B
Kan3 ta3 bu4 lian2 shan1 mai4	15-49498-B
Kan3 te4 bo2 lei2	15-50177-B
Kan3 te4 bo2 lei2 da4 zhu3 jiao4	15-50241-B
Kang	30-27816-S,33-9016-S
Kang Guang ren	23-2041-B
Kang Sheng	23-3050-B
Kang You wei	23-2478-B
Kang bao	23-1354-B
Kang de	23-2242-B
Kang ding	23-1770-B
Kang duo li zha · Lai si	23-1464-B
Kang fu	47-5695-S
Kang ke de	23-3109-B
Kang le	23-2547-B
Kang ma	23-3298-B
Kang nai er	23-1618-B
Kang nai er da xue	23-1686-B
Kang nie di ge	23-2711-B
Kang nie di ge zhou	23-2791-B
Kang ping	23-1819-B
Kang ping xian	23-1952-B
Kang qian zong jia feng	23-1120-B
Kang qiao	23-2608-B
Kang si tan cha	23-2395-B
Kang si wei en ge	23-2301-B
Kang xi	23-2869-B
Kang xi zi dian	23-2922-B
Kang xian	23-3181-B
Kang1	30-27816-S,33-9016-S
Kang1 Guang3 ren2	23-2041-B
Kang1 Sheng1	23-3050-B
Kang1 You3 wei2	23-2478-B
Kang1 bao3	23-1354-B
Kang1 de2	23-2242-B
Kang1 ding4	23-1770-B
Kang1 duo1 li4 zha1 · Lai4 si1	23-1464-B
Kang1 fu1	47-5695-S
Kang1 ke1 de2	23-3109-B
Kang1 le4	23-2547-B
Kang1 ma3	23-3298-B
Kang1 nai4 er3	23-1618-B
Kang1 nai4 er3 da4 xue2	23-1686-B
Kang1 nie4 di2 ge2	23-2711-B
Kang1 nie4 di2 ge2 zhou1	23-2791-B
Kang1 ping2	23-1819-B
Kang1 ping2 xian4	23-1952-B
Kang1 qian2 zong1 jia1 feng1	23-1120-B
Kang1 qiao2	23-2608-B
Kang1 si1 tan3 cha2	23-2395-B
Kang1 si1 wei2 en1 ge2	23-2301-B
Kang1 xi1	23-2869-B
Kang1 xi1 zi4 dian3	23-2922-B
Kang1 xian4	23-3181-B
Kao wen chui	51-33463-B
Kao wen chui shi	51-33522-B
Kao3 wen2 chui2	51-33463-B
Kao3 wen2 chui2 shi4	51-33522-B
Ke	24-41152-S,54-16648-S
Ke Shao min	33-48335-B
Ke Ya shi zheng	7-19803-B,59-10824-S
Ke bu duo	47-18335-B
