popular science movie	47-19195-B
popular song of 1943	15-28946-S
popular support	2-8568-S
popular tradition	36-23473-B
popular variant of 人馬座 人马座	20-35330-B
popular variant of 室女座	55-49665-B
popular wave	41-19402-S
popular will	36-20392-B
popularity	5-11525-S,40-23236-S,44-17248-S,61-57822-B
popularity of a new book	37-57098-S
popularity rating	29-38376-B
popularization of science	47-17929-B,47-19437-B
popularize	28-30547-S
popularized	17-29049-B
population	4-6860-B,4-7031-B,38-2380-S,38-2380-S,38-4507-S,43-66757-S,51-32096-S
population counted as number of households for census or taxation	26-24480-B
population density	4-6959-B
population in china	39-49914-S
population of a country	7-38311-S
population of a species	47-33723-B
population statistics	4-7211-B
population studies	4-7211-B
populations or races	67-4478-S
populist and romantic writing around 1900	70-54425-S
populous	4-7147-B
populus	34-28461-S
populus bonatii	44-40320-S
populus tremula	35-29341-S
porcelain	43-12337-B,43-12384-B,43-12435-B,46-34584-B,63-52456-S,66-31578-S,67-57634-S
porcelain or woven in fabric	31-62771-S
porcelain wind instrument	16-32219-S
porch	23-5499-B,42-28502-B,66-36566-B
porcine reproductive and respiratory syndrome prrs	55-29502-B
porcupine	59-25114-B
pore	36-13155-B,36-13840-B,36-28045-B
porfirevich borodin 1833 1887	70-42161-S
porgy	70-44344-B
porgy pagrosomus major	9-53078-B,45-45759-B
pork	3-53933-S,13-26729-S,14-58121-S,19-57777-S,43-17803-S,44-44218-S,48-61624-S,48-61688-S,49-11293-S,59-26120-B,63-46175-S,63-46250-S,70-38807-S
pork bun	11-42064-S
pork chop	28-18612-B,59-25724-B
pork cutlet	28-18612-B
pork fat	52-12081-S
pork meatballs	42-16062-B
pork on menus	52-6385-S
pork ribs	59-25724-B
pork shoulder	33-16721-S,52-8389-B
pork with fish barbecue sauce	70-38807-S
pork with garlic	17-33947-S,54-64759-S
porn	53-44732-B
porn business	53-44894-B
pornographic	25-15523-B,53-44679-B,71-22375-B
pornographic film	36-14734-S
pornographic novel	53-44807-B
pornography	28-11570-S,28-11634-S,38-45999-B,66-24849-S
porous limestone	21-36267-S
porphin c20h14n4	11-11915-B
porphyrin organic chemical essential to hemoglobin and chlorophyll	11-11964-B
porphyrites	42-37579-B
porphyry geology	30-32516-B
porpoise	71-49708-B
porridge	41-30317-B,47-28201-S,47-28388-B,47-38140-B,48-51283-B,48-60254-B,71-13217-B
porridge head	59-17124-B
porsche car company	5-37392-B
porsgrunn city in telemark	37-37501-B
port	1-71058-S,1-71058-S,3-69525-S,4-37002-S,6-27079-S,15-63441-B,15-63723-B,15-64182-B,20-33671-S,21-51856-S,28-25550-B,30-69687-S,36-6313-S,38-21661-S,39-5844-B,39-5890-B,39-42487-S,47-65236-B,47-65527-B,53-11134-S,61-125-S,62-9015-S,66-55626-S
port and navy base in the tokyo bay	35-10501-S
port area	39-5771-B
port au prince capital of haiti	17-57881-B
port authority	39-5713-B
port city	12-39220-S,48-6575-S
port city in jordan	3-58393-S
port florida or mississippi	33-67682-S
port for external trade	11-67859-S
port for trade	65-32273-S
port louis capital of mauritius	60-42825-B
port moresby capital of papua new guinea	54-25900-B
port of call	6-17702-B
port of guangzhou	39-13264-S
port of spain capital of trinidad and tobago	57-20622-B
port on north of hangzhou bay 杭州灣 杭州湾 in zhejiang	3-11262-S,3-11371-S
port refers to vladivostok	1-71127-S
portability	47-26957-B
portability programming language	12-15643-B
portable	5-29379-B,26-33709-B,27-9551-S,29-33874-B,47-26200-B,61-9671-S,66-43589-B
portable computer	26-33869-B
portable lamp	28-40623-S
portable programming language	12-15569-B
portable radio transmitter	16-12141-B
portable stereo	66-45109-B
portal	15-18683-S,65-22328-B,65-22328-S,65-22435-S
portent	40-27189-S,47-2299-B
portent in astrology	31-31869-S,49-28760-S
portentous signs	31-30531-B,31-30686-B
porter	4-56792-B,28-58569-S,60-29054-S,62-41485-B,67-4569-S
porter for a palanquin	61-30859-S
portfolio	48-32523-B
portion	1-22198-B,4-44561-B,4-44987-B,52-9678-B
portion of a sum of money	43-50141-S,43-50258-S
portland cement	46-22282-B
portland city	37-40738-B
portly	20-7361-B
portrait	6-50232-B,7-36172-S,10-60553-S,20-23834-B,34-54050-S,43-58084-B,45-25570-B,45-27575-S,45-41573-B,52-8299-B,53-12144-S,65-18159-B
portrait of great national leader	6-50498-S
portrait of the deceased	63-2119-B
portray	9-14916-S,28-35975-S,28-36042-S,28-36251-S,43-58084-B
